transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g,offense_rush_yards,offense_pass_yards,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,season_wins,season_losses
True,Ethan Vasko,2022,QB,kansas,1,1,5.0,3.0,60.0,13.0,2.6,0.0,0.0,81.84,5.0,13.0,ethan_vasko_kansas,2.0,6.0,3.00,0.0,2.00,6.00,6,13,7,19,2.71,19.0,6,7
False,Ethan Vasko,2023,QB,coastal_carolina,1,8,122.0,76.0,62.3,779.0,6.4,7.0,1.0,133.23,15.3,97.4,ethan_vasko_coastal_carolina,63.0,368.0,5.84,2.0,7.88,46.00,368,779,185,1147,6.20,143.4,8,5
False,Ethan Vasko,2024,QB,coastal_carolina,2,6,128.0,69.0,53.9,1185.0,9.3,8.0,4.0,146.06,21.3,197.5,ethan_vasko_coastal_carolina,53.0,258.0,4.87,2.0,8.83,43.00,258,1185,181,1443,7.97,240.5,4,2
False,Evan Bullock,2023,QB,louisiana_tech,1,1,5.0,2.0,40.0,21.0,4.2,0.0,1.0,35.28,5.0,21.0,evan_bullock_louisiana_tech,1.0,-1.0,-1.00,0.0,1.00,-1.00,-1,21,6,20,3.33,20.0,3,9
False,Evan Bullock,2024,QB,louisiana_tech,1,4,68.0,48.0,70.6,557.0,8.2,6.0,0.0,168.51,17.0,139.3,evan_bullock_louisiana_tech,13.0,-17.0,-1.31,1.0,3.25,-4.25,-17,557,81,540,6.67,135.0,2,3
False,Evan Conley,2019,QB,louisville,1,7,71.0,40.0,56.3,613.0,8.6,4.0,3.0,139.01,10.1,87.6,evan_conley_louisville,30.0,88.0,2.93,1.0,4.29,12.57,88,613,101,701,6.94,100.1,8,5
False,Evan Conley,2020,QB,louisville,2,3,5.0,4.0,80.0,48.0,9.6,0.0,0.0,160.64,1.7,16.0,evan_conley_louisville,1.0,-10.0,-10.00,0.0,0.33,-3.33,-10,48,6,38,6.33,12.7,4,7
False,Evan Conley,2021,QB,louisville,2,5,19.0,10.0,52.6,79.0,4.2,1.0,0.0,104.93,3.8,15.8,evan_conley_louisville,3.0,26.0,8.67,0.0,0.60,5.20,26,79,22,105,4.77,21.0,6,7
False,Evan Conley,2023,QB,louisville,4,14,,,,,,,,,,,evan_conley_louisville,7.0,42.0,6.00,2.0,0.50,3.00,42,0,7,42,6.00,3.0,10,4
False,Evan Marshman,2018,QB,rice,1,4,31.0,17.0,54.8,164.0,5.3,0.0,1.0,92.83,7.8,41.0,evan_marshman_rice,18.0,75.0,4.17,2.0,4.50,18.75,75,164,49,239,4.88,59.8,2,11
