team_name,season,team_wins,team_losses
fresno_state,2024,3,2
hawai'i,2024,2,3
nevada,2024,2,4
new_mexico,2024,1,4
san_diego_state,2024,2,3
san_jose_state,2024,4,1
unlv,2024,4,1
utah_state,2024,1,4
wyoming,2024,1,4
oregon_state,2024,4,1
washington_state,2024,4,1
alabama,2024,4,1
arkansas,2024,4,2
auburn,2024,2,4
florida,2024,3,2
georgia,2024,4,1
kentucky,2024,3,2
lsu,2024,4,1
mississippi,2024,5,1
mississippi_state,2024,1,4
missouri,2024,4,1
oklahoma,2024,4,1
south_carolina,2024,3,2
tennessee,2024,4,1
texas,2024,5,0
texas_a&m,2024,5,1
vanderbilt,2024,3,2
appalachian_state,2024,2,3
arkansas_state,2024,3,2
coastal_carolina,2024,4,2
georgia_southern,2024,3,2
georgia_state,2024,2,2
james_madison,2024,5,1
louisiana-lafayette,2024,4,1
louisiana-monroe,2024,4,1
marshall,2024,3,2
old_dominion,2024,1,4
south_alabama,2024,2,4
southern_mississippi,2024,1,4
texas_state,2024,3,2
troy,2024,1,5
