name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Haaziq Daniels,JR,QB,12,736,1171,258,1907,7.39,158.9,air_force
Brad Roberts,JR,RB,13,1357,0,297,1357,4.57,104.4,air_force
DeAndre Hughes,JR,WR,10,497,0,61,497,8.15,49.7,air_force
Emmanuel Michel,JR,FB,12,427,0,73,427,5.85,35.6,air_force
Micah Davis,SO,WR,8,360,0,47,360,7.66,45.0,air_force
Omar Fattah,JR,FB,10,220,0,49,220,4.49,22.0,air_force
Brandon Lewis,SR,WR,13,178,0,21,178,8.48,13.7,air_force
Dane Kinamon,SO,WR,12,170,0,37,170,4.59,14.2,air_force
Zachary Larrier,SO,QB,5,106,0,12,106,8.83,21.2,air_force
Warren Bryan,SR,QB,5,43,58,20,101,5.05,20.2,air_force
Elijah Robinson,JR,FB,5,29,0,7,29,4.14,5.8,air_force
Jensen Jones,SO,QB,1,27,0,4,27,6.75,27.0,air_force
Jet Harris,,,1,24,0,4,24,6.00,24.0,air_force
Owen Burk,SO,RB,4,22,0,6,22,3.67,5.5,air_force
John Lee Eldridge III,SO,RB,9,21,0,3,21,7.00,2.3,air_force
Conner Carey,JR,WR,2,19,0,2,19,9.50,9.5,air_force
CJ McNeal,SR,RB,3,17,0,2,17,8.50,5.7,air_force
Ben Jefferson,JR,WR,9,17,0,3,17,5.67,1.9,air_force
Jorden Gidrey,SO,RB,9,16,0,8,16,2.00,1.8,air_force
Amari Terry,SR,WR,6,11,0,4,11,2.75,1.8,air_force
Zach Gibson,FR,QB,7,57,1262,200,1319,6.60,188.4,akron
DJ Irons,SO,QB,8,296,892,212,1188,5.60,148.5,akron
Jonzell Norrils,FR,RB,10,573,0,118,573,4.86,57.3,akron
Kato Nelson,SR,QB,5,78,445,116,523,4.51,104.6,akron
Blake Hester,FR,RB,11,274,0,65,274,4.22,24.9,akron
"Anthony Williams, Jr.",FR,RB,10,207,0,56,207,3.70,20.7,akron
"Oran Singleton, Jr.",FR,WR,9,14,0,3,14,4.67,1.6,akron
Joey Marousek,FR,QB,1,0,11,5,11,2.20,11.0,akron
Josh Bryant,FR,RB,9,6,0,2,6,3.00,0.7,akron
Michael Mathison,SO,WR,11,5,0,1,5,5.00,0.5,akron
