name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Arion Worthman,JR,QB,10,109,54,49.5,1100,10.1,10,4,157.24,10.9,110.0,air_force
Nate Romine,SR,QB,5,16,9,56.3,133,8.3,0,1,113.58,3.2,26.6,air_force
Isaiah Sanders,SO,QB,3,15,4,26.7,33,2.2,0,1,31.82,5.0,11.0,air_force
Tyler Williams,SR,WR,7,1,1,100.0,31,31.0,0,0,360.40,0.1,4.4,air_force
Geraud Sanders,SO,WR,11,1,1,100.0,24,24.0,0,0,301.60,0.1,2.2,air_force
Andrew Smith,JR,WR,3,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,air_force
Thomas Woodson,SR,QB,11,278,159,57.2,1777,6.4,14,9,121.03,25.3,161.5,akron
Kato Nelson,FR,QB,10,140,70,50.0,989,7.1,8,2,125.34,14.0,98.9,akron
Robbie Kelley,JR,QB,7,26,12,46.2,179,6.9,2,0,129.36,3.7,25.6,akron
Nick Johns,SO,QB,8,2,1,50.0,4,2.0,0,0,66.80,0.3,0.5,akron
Tra'Von Chapman,SR,WR,14,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,akron
Jalen Hurts,SO,QB,14,254,154,60.6,2081,8.2,17,1,150.75,18.1,148.6,alabama
Tua Tagovailoa,FR,QB,9,77,49,63.6,636,8.3,11,2,174.97,8.6,70.7,alabama
JK Scott,SR,P,14,1,1,100.0,-9,-9.0,0,0,24.40,0.1,-0.6,alabama
Taylor Lamb,SR,QB,13,337,206,61.1,2737,8.1,27,6,152.23,25.9,210.5,appalachian_state
Zac Thomas,FR,QB,4,10,6,60.0,33,3.3,0,0,87.72,2.5,8.3,appalachian_state
Malik Williams,FR,WR,13,3,1,33.3,27,9.0,1,0,218.93,0.2,2.1,appalachian_state
Jacob Huesman,FR,QB,2,3,2,66.7,14,4.7,0,0,105.87,1.5,7.0,appalachian_state
Khalil Tate,SO,QB,11,179,111,62.0,1591,8.9,14,9,152.42,16.3,144.6,arizona
Brandon Dawkins,JR,QB,7,114,70,61.4,732,6.4,5,4,122.79,16.3,104.6,arizona
Rhett Rodriguez,FR,QB,2,1,1,100.0,10,10.0,0,0,184.00,0.5,5.0,arizona
Donavan Tate,FR,QB,2,1,1,100.0,10,10.0,0,0,184.00,0.5,5.0,arizona
Manny Wilkins,JR,QB,13,410,260,63.4,3270,8.0,20,8,142.62,31.5,251.5,arizona_state
Blake Barnett,SO,QB,3,5,3,60.0,40,8.0,0,1,87.20,1.7,13.3,arizona_state
N'Keal Harry,SO,WR,13,1,1,100.0,14,14.0,1,0,547.60,0.1,1.1,arizona_state
Austin Allen,SR,QB,8,187,105,56.1,1427,7.6,10,5,132.55,23.4,178.4,arkansas
Cole Kelley,FR,QB,9,151,87,57.6,1038,6.9,8,4,127.54,16.8,115.3,arkansas
Jordan Jones,FR,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arkansas
Blake Johnson,SO,P,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arkansas
Justice Hansen,JR,QB,12,487,305,62.6,3967,8.1,37,16,149.56,40.6,330.6,arkansas_state
Logan Bonner,FR,QB,4,21,9,42.9,70,3.3,1,1,77.05,5.3,17.5,arkansas_state
Chauncey Mason,SO,RB,9,1,1,100.0,34,34.0,0,0,385.60,0.1,3.8,arkansas_state
Cody Grace,SO,P,11,1,1,100.0,21,21.0,0,0,276.40,0.1,1.9,arkansas_state
Darveon Brown,SO,WR,11,1,1,100.0,14,14.0,0,0,217.60,0.1,1.3,arkansas_state
Ahmad Bradshaw,SR,QB,13,43,14,32.6,285,6.6,1,2,86.62,3.3,21.9,army
Kelvin Hopkins Jr.,SO,QB,7,18,6,33.3,76,4.2,1,1,76.01,2.6,10.9,army
Zach Potter,SO,P,4,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,army
Luke Langdon,JR,QB,7,2,0,0.0,0,0.0,0,2,-200.00,0.3,0.0,army
Kjetil Cline,SO,WR,12,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,army
Jarrett Stidham,SO,QB,14,370,246,66.5,3158,8.5,18,6,150.99,26.4,225.6,auburn
Ryan Davis,JR,WR,14,2,1,50.0,62,31.0,1,0,475.40,0.1,4.4,auburn
Malik Willis,FR,QB,7,7,6,85.7,45,6.4,1,0,186.85,1.0,6.4,auburn
Kerryon Johnson,JR,RB,12,1,1,100.0,3,3.0,1,0,455.20,0.1,0.3,auburn
Devin Adams,JR,QB,1,2,1,50.0,-1,-0.5,0,0,45.80,2.0,-1.0,auburn
Jack Milas,SR,QB,12,207,110,53.1,970,4.7,2,8,87.96,17.3,80.8,ball_state
Riley Neal,JR,QB,3,99,67,67.7,659,6.7,6,3,137.54,33.0,219.7,ball_state
Drew Plitt,FR,QB,5,84,42,50.0,430,5.1,3,3,97.64,16.8,86.0,ball_state
Zack Blair,SO,QB,4,15,9,60.0,67,4.5,0,0,97.52,3.8,16.8,ball_state
Charlie Brewer,FR,QB,8,204,139,68.1,1562,7.7,11,4,146.33,25.5,195.3,baylor
Zach Smith,SO,QB,9,201,105,52.2,1471,7.3,8,8,118.88,22.3,163.4,baylor
Anu Solomon,SR,QB,2,55,24,43.6,399,7.3,4,2,121.31,27.5,199.5,baylor
Jared Atkinson,SO,WR,12,1,1,100.0,20,20.0,0,0,268.00,0.1,1.7,baylor
Tony Nicholson,SO,WR,11,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,baylor
Brett Rypien,JR,QB,13,348,218,62.6,2877,8.3,16,6,143.80,26.8,221.3,boise_state
Montell Cozart,SR,QB,14,97,61,62.9,754,7.8,10,1,160.14,6.9,53.9,boise_state
Cedrick Wilson,SR,WR,14,3,2,66.7,46,15.3,0,0,195.47,0.2,3.3,boise_state
Sean Modster,JR,WR,14,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,boise_state
Anthony Brown,FR,QB,10,258,134,51.9,1367,5.3,11,9,103.53,25.8,136.7,boston_college
Darius Wade,SR,QB,10,102,62,60.8,736,7.2,3,3,125.22,10.2,73.6,boston_college
Jeff Smith,JR,WR,13,4,2,50.0,59,14.8,2,0,338.90,0.3,4.5,boston_college
Jon Hilliman,JR,RB,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,boston_college
Travis Levy,FR,RB,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,boston_college
