name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Jared Roznos,JR,WR,10,12,374,31.17,3,1.2,37.4,air_force
Cade Harris,JR,WR,13,5,179,35.80,1,0.4,13.8,air_force
Brandon Engel,JR,WR,11,10,178,17.80,0,0.9,16.2,air_force
Dane Kinamon,SR,WR,8,5,126,25.20,2,0.6,15.8,air_force
Wyatt Wilson,SR,WR,11,5,106,21.20,0,0.5,9.6,air_force
Caleb Rillos,SR,TE,13,8,97,12.13,0,0.6,7.5,air_force
John Lee Eldridge III,SR,RB,13,7,39,5.57,1,0.5,3.0,air_force
Quin Smith,SO,WR,3,1,10,10.00,0,0.3,3.3,air_force
Jensen Jones,SR,QB,10,1,4,4.00,0,0.1,0.4,air_force
Zac Larrier,SR,QB,11,1,-8,-8.00,0,0.1,-0.7,air_force
Jasaiah Gathings,SO,WR,12,55,575,10.45,1,4.6,47.9,akron
Daniel George,SR,WR,12,52,529,10.17,1,4.3,44.1,akron
Lorenzo Lingard,SR,RB,12,38,368,9.68,2,3.2,30.7,akron
Alex Adams,JR,WR,7,22,188,8.55,2,3.1,26.9,akron
TJ Banks,SR,TE,12,19,150,7.89,1,1.6,12.5,akron
Bobby Golden,SO,WR,12,17,144,8.47,0,1.4,12.0,akron
Jake Newell,FR,TE,11,13,124,9.54,1,1.2,11.3,akron
Drake Anderson,SR,RB,12,17,93,5.47,1,1.4,7.8,akron
Adrian Norton,FR,WR,11,9,71,7.89,0,0.8,6.5,akron
Myles Walker,SO,WR,12,8,66,8.25,1,0.7,5.5,akron
Caleb Anderson,JR,WR,11,6,40,6.67,0,0.5,3.6,akron
Nik Ognenovic,JR,TE,12,2,23,11.50,0,0.2,1.9,akron
Jermaine Burton,SR,WR,13,39,798,20.46,8,3.0,61.4,alabama
Isaiah Bond,SO,WR,14,48,668,13.92,4,3.4,47.7,alabama
Amari Niblack,SO,TE,14,20,327,16.35,4,1.4,23.4,alabama
Kobe Prentice,SO,WR,13,18,314,17.44,2,1.4,24.2,alabama
CJ Dippre,JR,TE,14,11,187,17.00,0,0.8,13.4,alabama
Malik Benson,JR,WR,14,13,162,12.46,1,0.9,11.6,alabama
Jalen Hale,FR,WR,13,5,148,29.60,1,0.4,11.4,alabama
Jase McClellan,SR,RB,13,15,137,9.13,0,1.2,10.5,alabama
Kendrick Law,SO,WR,13,15,135,9.00,0,1.2,10.4,alabama
Jam Miller,SO,RB,14,4,73,18.25,1,0.3,5.2,alabama
Roydell Williams,SR,RB,14,11,58,5.27,1,0.8,4.1,alabama
Robbie Ouzts,JR,TE,14,3,33,11.00,1,0.2,2.4,alabama
Ja'Corey Brooks,JR,WR,9,3,30,10.00,0,0.3,3.3,alabama
Cole Adams,FR,WR,2,2,11,5.50,0,1.0,5.5,alabama
Danny Lewis Jr.,FR,TE,14,1,5,5.00,0,0.1,0.4,alabama
Kaedin Robinson,JR,WR,14,67,905,13.51,10,4.8,64.6,appalachian_state
Christan Horn,JR,WR,14,36,566,15.72,6,2.6,40.4,appalachian_state
Makai Jackson,SO,WR,14,27,418,15.48,2,1.9,29.9,appalachian_state
Dalton Stroman,SO,WR,14,20,390,19.50,3,1.4,27.9,appalachian_state
Dashaun Davis,JR,WR,13,29,381,13.14,3,2.2,29.3,appalachian_state
Eli Wilson,JR,TE,14,34,350,10.29,5,2.4,25.0,appalachian_state
Milan Tucker,JR,WR,14,21,305,14.52,1,1.5,21.8,appalachian_state
Kanye Roberts,FR,RB,14,14,113,8.07,0,1.0,8.1,appalachian_state
Michael Hetzel,SO,WR,14,12,108,9.00,1,0.9,7.7,appalachian_state
David Larkins,SO,TE,11,13,99,7.62,3,1.2,9.0,appalachian_state
Nate Noel,JR,RB,11,16,86,5.38,0,1.5,7.8,appalachian_state
Miller Gibbs,SR,TE,8,6,74,12.33,0,0.8,9.3,appalachian_state
Anderson Castle,JR,RB,6,5,35,7.00,0,0.8,5.8,appalachian_state
Tetairoa McMillan,SO,WR,13,90,1402,15.58,10,6.9,107.8,arizona
Jacob Cowing,SR,WR,13,90,848,9.42,13,6.9,65.2,arizona
Tanner McLachlan,SR,TE,13,45,528,11.73,4,3.5,40.6,arizona
Michael Wiley,SR,RB,10,28,306,10.93,5,2.8,30.6,arizona
Montana Lemonious-Craig,JR,WR,13,28,296,10.57,3,2.2,22.8,arizona
Jonah Coleman,SO,RB,13,25,283,11.32,1,1.9,21.8,arizona
Kevin Green Jr.,FR,WR,11,8,97,12.13,0,0.7,8.8,arizona
Rayshon Luke,SO,RB,13,4,95,23.75,0,0.3,7.3,arizona
Malachi Riley,FR,WR,11,4,90,22.50,0,0.4,8.2,arizona
Keyan Burnett,SO,TE,13,3,34,11.33,0,0.2,2.6,arizona
AJ Jones,FR,WR,10,5,27,5.40,0,0.5,2.7,arizona
DJ Williams,SR,RB,12,1,2,2.00,0,0.1,0.2,arizona
Roberto Miranda,SO,TE,13,1,0,0.00,0,0.1,0.0,arizona
Elijhah Badger,JR,WR,11,65,713,10.97,3,5.9,64.8,arizona_state
Jalin Conyers,JR,TE,11,30,362,12.07,0,2.7,32.9,arizona_state
Cam Skattebo,JR,RB,12,24,286,11.92,1,2.0,23.8,arizona_state
Xavier Guillory,JR,WR,9,21,226,10.76,1,2.3,25.1,arizona_state
Troy Omeire,JR,WR,9,20,223,11.15,3,2.2,24.8,arizona_state
Melquan Stovall,SR,WR,12,18,207,11.50,0,1.5,17.3,arizona_state
Bryce Pierre,SR,TE,12,17,139,8.18,0,1.4,11.6,arizona_state
Giovanni Sanders,SR,WR,12,15,133,8.87,0,1.3,11.1,arizona_state
Kyson Brown,FR,RB,12,9,49,5.44,0,0.8,4.1,arizona_state
Messiah Swinson,SR,TE,12,6,48,8.00,0,0.5,4.0,arizona_state
DeCarlos Brooks,JR,RB,5,7,47,6.71,0,1.4,9.4,arizona_state
Andre Johnson,SR,WR,9,4,36,9.00,0,0.4,4.0,arizona_state
Trenton Bourguet,JR,QB,8,1,18,18.00,0,0.1,2.3,arizona_state
Drew Pyne,SO,QB,2,1,17,17.00,0,0.5,8.5,arizona_state
Ryan Morgan,JR,TE,12,2,13,6.50,0,0.2,1.1,arizona_state
George Hart III,JR,RB,3,1,5,5.00,0,0.3,1.7,arizona_state
Tevin White,SO,RB,11,1,4,4.00,0,0.1,0.4,arizona_state
Kaleb Black,FR,WR,3,1,-2,-2.00,0,0.3,-0.7,arizona_state
Andrew Armstrong,SR,WR,12,56,764,13.64,5,4.7,63.7,arkansas
Isaac TeSlaa,SR,WR,12,34,351,10.32,2,2.8,29.3,arkansas
Luke Hasz,FR,TE,5,16,253,15.81,3,3.2,50.6,arkansas
Jaedon Wilson,SO,WR,12,15,199,13.27,2,1.3,16.6,arkansas
Ty Washington,FR,TE,9,11,170,15.45,2,1.2,18.9,arkansas
Isaiah Sategna,FR,WR,12,15,129,8.60,2,1.3,10.8,arkansas
Tyrone Broden,SR,WR,12,15,109,7.27,3,1.3,9.1,arkansas
Rashod Dubinion,SO,RB,10,14,85,6.07,1,1.4,8.5,arkansas
Raheim Sanders,JR,RB,6,10,75,7.50,0,1.7,12.5,arkansas
Nathan Bax,SR,TE,11,5,31,6.20,0,0.5,2.8,arkansas
Var’keyes Gumms,SO,TE,11,3,26,8.67,0,0.3,2.4,arkansas
AJ Green,JR,RB,12,6,25,4.17,1,0.5,2.1,arkansas
Davion Dozier,FR,WR,3,1,14,14.00,1,0.3,4.7,arkansas
Francis Sherman,SR,TE,11,1,8,8.00,0,0.1,0.7,arkansas
