name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Marcus Bennett,JR,WR,12,19,398,20.95,3,1.6,33.2,air_force
Ronald Cleveland,JR,WR,12,11,261,23.73,2,0.9,21.8,air_force
Geraud Sanders,SO,WR,11,9,194,21.56,3,0.8,17.6,air_force
Ryan Reffitt,SR,TE,11,8,173,21.63,2,0.7,15.7,air_force
Tim McVey,SR,RB,12,6,136,22.67,0,0.5,11.3,air_force
Kade Waguespack,SO,TE,5,2,35,17.50,0,0.4,7.0,air_force
Jacob Stafford,SR,FB,12,3,33,11.00,0,0.3,2.8,air_force
Arion Worthman,JR,QB,10,1,24,24.00,0,0.1,2.4,air_force
Nolan Eriksen,SO,RB,10,4,23,5.75,0,0.4,2.3,air_force
Jake Matkovich,JR,WR,9,1,18,18.00,0,0.1,2.0,air_force
Garrett Amy,JR,WR,10,1,10,10.00,0,0.1,1.0,air_force
Adam Farah,SO,WR,1,1,8,8.00,0,1.0,8.0,air_force
Andrew Smith,JR,WR,3,1,6,6.00,0,0.3,2.0,air_force
Tyler Williams,SR,WR,7,1,2,2.00,0,0.1,0.3,air_force
Malik Miller,JR,RB,6,1,0,0.00,0,0.2,0.0,air_force
Kwadarrius Smith,JR,WR,14,34,726,21.35,7,2.4,51.9,akron
A.J. Coney,SR,WR,14,43,551,12.81,3,3.1,39.4,akron
Austin Wolf,SR,WR,12,33,476,14.42,5,2.8,39.7,akron
Tra'Von Chapman,SR,WR,14,53,475,8.96,2,3.8,33.9,akron
Fransohn Bickley,SR,WR,7,12,155,12.92,1,1.7,22.1,akron
Kobie Booker,FR,TE,12,8,126,15.75,4,0.7,10.5,akron
Kevin Gladney,SR,WR,13,10,116,11.60,1,0.8,8.9,akron
Andre Williams,FR,WR,12,4,70,17.50,0,0.3,5.8,akron
Anthony Young,SR,WR,8,7,60,8.57,0,0.9,7.5,akron
Manny Morgan,SR,RB,14,12,58,4.83,0,0.9,4.1,akron
