name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Cade Harris,SR,WR,5,9,124,13.78,0,1.8,24.8,air_force
Quin Smith,JR,WR,5,6,86,14.33,0,1.2,17.2,air_force
Tre Roberson,JR,WR,5,3,71,23.67,1,0.6,14.2,air_force
Tylor Latham,JR,WR,4,3,42,14.00,0,0.8,10.5,air_force
Aiden Calvert,SR,RB,5,1,21,21.00,0,0.2,4.2,air_force
Reign Broadway,,WR,1,1,18,18.00,0,1.0,18.0,air_force
Bruin Fleischmann,JR,TE,5,1,7,7.00,0,0.2,1.4,air_force
Brandon Engel,SR,WR,4,1,6,6.00,0,0.3,1.5,air_force
Kade Frew,JR,RB,3,1,5,5.00,0,0.3,1.7,air_force
Adrian Norton,SO,WR,6,20,373,18.65,3,3.3,62.2,akron
Bobby Golden,JR,WR,6,15,239,15.93,1,2.5,39.8,akron
Jake Newell,SO,TE,6,27,185,6.85,2,4.5,30.8,akron
Charles Kellom,SO,RB,6,18,124,6.89,1,3.0,20.7,akron
Israel Polk,FR,WR,6,14,72,5.14,0,2.3,12.0,akron
Jordon Simmons,JR,RB,6,11,65,5.91,0,1.8,10.8,akron
Ahmarian Granger,JR,WR,6,5,46,9.20,0,0.8,7.7,akron
Conner Cravaack,SO,TE,6,5,31,6.20,0,0.8,5.2,akron
Jarvis Rush,JR,WR,5,5,21,4.20,0,1.0,4.2,akron
Ben Finley,JR,QB,6,1,5,5.00,0,0.2,0.8,akron
Paul Davis,SO,WR,5,1,2,2.00,0,0.2,0.4,akron
Tahj Bullock,JR,QB,6,4,2,0.50,0,0.7,0.3,akron
Ryan Williams,FR,WR,5,19,544,28.63,6,3.8,108.8,alabama
Germie Bernard,JR,WR,5,16,220,13.75,1,3.2,44.0,alabama
CJ Dippre,SR,TE,5,8,124,15.50,0,1.6,24.8,alabama
Kobe Prentice,JR,WR,5,8,107,13.38,1,1.6,21.4,alabama
Josh Cuevas,JR,TE,5,7,91,13.00,1,1.4,18.2,alabama
Emmanuel Henderson Jr.,JR,WR,5,3,54,18.00,0,0.6,10.8,alabama
Caleb Odom,FR,WR,5,5,45,9.00,0,1.0,9.0,alabama
Kendrick Law,JR,WR,4,2,41,20.50,1,0.5,10.3,alabama
Justice Haynes,SO,RB,5,8,38,4.75,0,1.6,7.6,alabama
Cole Adams,FR,WR,4,4,37,9.25,0,1.0,9.3,alabama
Jam Miller,JR,RB,5,4,37,9.25,1,0.8,7.4,alabama
Robbie Ouzts,SR,TE,5,3,18,6.00,0,0.6,3.6,alabama
Rico Scott,FR,WR,2,2,14,7.00,0,1.0,7.0,alabama
Kaedin Robinson,SR,WR,5,32,469,14.66,0,6.4,93.8,appalachian_state
Christan Horn,SR,WR,4,15,291,19.40,1,3.8,72.8,appalachian_state
Makai Jackson,JR,WR,5,21,225,10.71,2,4.2,45.0,appalachian_state
Dalton Stroman,JR,WR,4,9,156,17.33,3,2.3,39.0,appalachian_state
Eli Wilson,SR,TE,5,11,137,12.45,2,2.2,27.4,appalachian_state
Anderson Castle,JR,RB,5,11,62,5.64,0,2.2,12.4,appalachian_state
Maquel Haywood,SR,RB,5,5,52,10.40,0,1.0,10.4,appalachian_state
Kanye Roberts,SO,RB,5,5,46,9.20,0,1.0,9.2,appalachian_state
William Fowles,FR,WR,5,2,29,14.50,0,0.4,5.8,appalachian_state
Michael Hetzel,JR,WR,5,1,27,27.00,0,0.2,5.4,appalachian_state
David Larkins,JR,TE,5,3,11,3.67,0,0.6,2.2,appalachian_state
Ahmani Marshall,SR,RB,5,3,10,3.33,0,0.6,2.0,appalachian_state
Kanen Hamlett,SO,TE,5,1,8,8.00,0,0.2,1.6,appalachian_state
Tetairoa McMillan,JR,WR,5,37,664,17.95,4,7.4,132.8,arizona
Keyan Burnett,JR,TE,5,13,171,13.15,1,2.6,34.2,arizona
Montana Lemonious-Craig,SR,WR,5,12,129,10.75,0,2.4,25.8,arizona
Quali Conley,SR,RB,5,18,122,6.78,0,3.6,24.4,arizona
Devin Hyatt,FR,WR,5,3,77,25.67,0,0.6,15.4,arizona
Jeremiah Patterson,JR,WR,5,9,58,6.44,2,1.8,11.6,arizona
Rayshon Luke,JR,RB,4,6,52,8.67,0,1.5,13.0,arizona
Chris Hunter,SO,WR,5,3,33,11.00,0,0.6,6.6,arizona
Tyler Powell,SO,TE,4,3,25,8.33,0,0.8,6.3,arizona
Kedrick Reescano,SO,RB,5,2,14,7.00,0,0.4,2.8,arizona
Sam Olson,JR,TE,4,3,9,3.00,0,0.8,2.3,arizona
Malachi Riley,SO,WR,3,1,7,7.00,0,0.3,2.3,arizona
Jordyn Tyson,SO,WR,5,20,285,14.25,3,4.0,57.0,arizona_state
Cam Skattebo,SR,RB,5,15,209,13.93,0,3.0,41.8,arizona_state
Xavier Guillory,SR,WR,5,11,142,12.91,1,2.2,28.4,arizona_state
Chamon Metayer,JR,TE,5,12,132,11.00,2,2.4,26.4,arizona_state
Kyson Brown,SO,RB,5,5,96,19.20,1,1.0,19.2,arizona_state
Melquan Stovall,SR,WR,5,6,65,10.83,0,1.2,13.0,arizona_state
Jake Smith,SR,WR,5,4,51,12.75,0,0.8,10.2,arizona_state
Cameron Harpole,JR,TE,5,1,17,17.00,0,0.2,3.4,arizona_state
Clayton Smith,JR,DL,5,1,15,15.00,0,0.2,3.0,arizona_state
Raleek Brown,SO,RB,2,3,6,2.00,0,1.5,3.0,arizona_state
Troy Omeire,SR,WR,4,1,6,6.00,0,0.3,1.5,arizona_state
Markeston Douglas,JR,TE,5,1,3,3.00,0,0.2,0.6,arizona_state
