name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Nate Romine,SR,QB,9,279,1206,203,1485,7.32,165.0,air_force
Arion Worthman,SO,QB,8,674,546,169,1220,7.22,152.5,air_force
Jacobi Owens,SR,RB,13,859,0,142,859,6.05,66.1,air_force
Timothy McVey,JR,RB,13,708,0,83,708,8.53,54.5,air_force
D.J. Johnson,SR,RB,12,622,0,150,622,4.15,51.8,air_force
Shayne Davern,SR,RB,12,475,0,116,475,4.09,39.6,air_force
Tyler Williams,JR,WR,13,270,0,50,270,5.40,20.8,air_force
Ronald Cleveland,SO,WR,13,160,0,22,160,7.27,12.3,air_force
Parker Wilson,SO,RB,10,97,0,16,97,6.06,9.7,air_force
Jacob Stafford,JR,FB,2,14,0,4,14,3.50,7.0,air_force
Jalen Robinette,SR,WR,13,0,0,1,0,0.00,0.0,air_force
Thomas Woodson,JR,QB,8,34,2079,284,2113,7.44,264.1,akron
Tra'Von Chapman,JR,QB,10,195,700,165,895,5.42,89.5,akron
"Van Edwards, Jr.",SO,RB,11,492,0,100,492,4.92,44.7,akron
Manny Morgan,JR,RB,11,417,14,82,431,5.26,39.2,akron
Tyrell Goodman,SR,WR,10,40,270,63,310,4.92,31.0,akron
"Denzel Jones, Jr.",SR,RB,12,193,0,41,193,4.71,16.1,akron
Warren Ball,SR,RB,2,181,0,25,181,7.24,90.5,akron
Mykel Traylor-Bennett,JR,TE,9,46,0,10,46,4.60,5.1,akron
"JoJo Natson, Jr.",SR,WR,12,6,0,4,6,1.50,0.5,akron
Nick Gasser,SO,PK,12,-16,0,1,-16,-16.00,-1.3,akron
Jalen Hurts,FR,QB,15,954,2780,573,3734,6.52,248.9,alabama
Damien Harris,SO,RB,15,1037,0,146,1037,7.10,69.1,alabama
Bo Scarbrough,SO,RB,13,812,0,125,812,6.50,62.5,alabama
Josh Jacobs,FR,RB,15,567,0,85,567,6.67,37.8,alabama
Blake Barnett,FR,QB,3,-17,219,26,202,7.77,67.3,alabama
B.J. Emmons,FR,RB,7,173,0,35,173,4.94,24.7,alabama
Cooper Bateman,JR,QB,15,-11,119,17,108,6.35,7.2,alabama
ArDarius Stewart,JR,WR,12,68,36,10,104,10.40,8.7,alabama
Derrick Gore,SO,RB,11,93,0,18,93,5.17,8.5,alabama
Calvin Ridley,SO,WR,15,21,0,5,21,4.20,1.4,alabama
Ronnie Clark,SO,RB,1,14,0,4,14,3.50,14.0,alabama
Avery Reid,SO,RB,1,4,0,2,4,2.00,4.0,alabama
Robert Foster,JR,WR,10,-5,0,1,-5,-5.00,-0.5,alabama
Taylor Lamb,JR,QB,13,505,2281,414,2786,6.73,214.3,appalachian_state
Jalin Moore,SO,RB,13,1402,0,237,1402,5.92,107.8,appalachian_state
Marcus Cox,SR,RB,9,1015,0,158,1015,6.42,112.8,appalachian_state
Darrynton Evans,FR,ATH,12,217,0,48,217,4.52,18.1,appalachian_state
J.P. Caruso,SO,QB,9,46,46,18,92,5.11,10.2,appalachian_state
Deltron Hopkins,SO,WR,10,69,0,7,69,9.86,6.9,appalachian_state
Josh Boyd,SO,RB,1,42,0,7,42,6.00,42.0,appalachian_state
Bentlee Critcher,SR,P,13,29,0,3,29,9.67,2.2,appalachian_state
Jaylan Barbour,SO,WR,11,20,0,2,20,10.00,1.8,appalachian_state
Jake Easter,FR,QB,1,2,0,1,2,2.00,2.0,appalachian_state
Mykel Golden,SR,WR,1,-2,0,1,-2,-2.00,-2.0,appalachian_state
Ike Lewis,JR,WR,9,-9,0,4,-9,-2.25,-1.0,appalachian_state
Brandon Dawkins,SO,QB,10,944,1345,312,2289,7.34,228.9,arizona
Khalil Tate,FR,QB,7,237,243,94,480,5.11,68.6,arizona
Samajie Grant,SR,WR,12,461,0,74,461,6.23,38.4,arizona
Anu Solomon,JR,QB,5,-52,465,89,413,4.64,82.6,arizona
Zach Green,JR,RB,11,373,0,77,373,4.84,33.9,arizona
Nick Wilson,JR,RB,5,320,0,55,320,5.82,64.0,arizona
J.J. Taylor,FR,RB,4,261,0,38,261,6.87,65.3,arizona
Tyrell Johnson,JR,WR,7,144,0,28,144,5.14,20.6,arizona
Matt Morin,SR,TE,11,31,84,14,115,8.21,10.5,arizona
Shun Brown,SO,WR,12,62,0,2,62,31.00,5.2,arizona
Branden Leon,FR,RB,12,38,0,8,38,4.75,3.2,arizona
Orlando Bradford,SO,RB,2,16,0,5,16,3.20,8.0,arizona
Trevor Wood,SO,TE,12,3,0,1,3,3.00,0.3,arizona
Zach Werlinger,SO,QB,2,-4,0,7,-4,-0.57,-2.0,arizona
Manny Wilkins,SO,QB,10,246,2329,439,2575,5.87,257.5,arizona_state
Demario Richard,JR,RB,11,593,2,156,595,3.81,54.1,arizona_state
Kalen Ballage,JR,RB,12,536,30,130,566,4.35,47.2,arizona_state
Dillon Sterling-Cole,FR,QB,6,10,388,70,398,5.69,66.3,arizona_state
Brady White,FR,QB,4,3,259,52,262,5.04,65.5,arizona_state
Nick Ralston,FR,RB,12,139,0,32,139,4.34,11.6,arizona_state
N'Keal Harry,FR,WR,12,69,46,5,115,23.00,9.6,arizona_state
Jack Smith,FR,WR,5,0,40,1,40,40.00,8.0,arizona_state
Jalen Harvey,SO,WR,11,0,17,2,17,8.50,1.5,arizona_state
Matt Haack,SR,P,12,7,0,1,7,7.00,0.6,arizona_state
Frederick Gammage,SR,WR,12,0,0,1,0,0.00,0.0,arizona_state
