name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Brad Roberts,SR,RB,13,1728,0,345,1728,5.01,132.9,air_force
Haaziq Daniels,SR,QB,13,695,836,221,1531,6.93,117.8,air_force
John Lee Eldridge III,JR,RB,13,766,0,99,766,7.74,58.9,air_force
Emmanuel Michel,SR,FB,10,252,0,52,252,4.85,25.2,air_force
Omar Fattah,SR,FB,12,130,0,28,130,4.64,10.8,air_force
DeAndre Hughes,SR,WR,10,113,0,23,113,4.91,11.3,air_force
Ben Brittain,JR,QB,5,25,80,5,105,21.00,21.0,air_force
Jalen Johnson,JR,RB,5,102,0,2,102,51.00,20.4,air_force
Dane Kinamon,JR,WR,3,98,0,5,98,19.60,32.7,air_force
Jensen Jones,JR,QB,7,82,0,15,82,5.47,11.7,air_force
Jet Harris,,,3,70,0,17,70,4.12,23.3,air_force
Ben Jefferson,SR,WR,13,67,0,8,67,8.38,5.2,air_force
Zac Larrier,JR,QB,6,60,0,12,60,5.00,10.0,air_force
Aiden Calvert,SO,RB,4,45,0,4,45,11.25,11.3,air_force
Owen Burk,JR,RB,6,43,0,16,43,2.69,7.2,air_force
Cannon Turner,JR,QB,3,12,0,2,12,6.00,4.0,air_force
Amari Terry,SR,WR,13,11,0,2,11,5.50,0.8,air_force
Sione Angilau,SO,RB,2,9,0,3,9,3.00,4.5,air_force
Wesley Erwin,,,1,5,0,1,5,5.00,5.0,air_force
Kale Gibbs,SO,RB,1,4,0,1,4,4.00,4.0,air_force
Cade Harris,SO,WR,4,2,0,1,2,2.00,0.5,air_force
DJ Irons,JR,QB,10,314,2605,512,2919,5.70,291.9,akron
"Jeff Undercuffler, Jr.",JR,QB,7,-83,791,137,708,5.17,101.1,akron
Cam Wiley,SO,RB,10,486,0,106,486,4.58,48.6,akron
Clyde Price III,SO,RB,12,309,0,99,309,3.12,25.8,akron
Charles Kellom,FR,RB,1,27,0,2,27,13.50,27.0,akron
Jonzell Norrils,SO,RB,5,22,0,9,22,2.44,4.4,akron
Blake Hester,SO,RB,12,10,0,3,10,3.33,0.8,akron
Daniel George,JR,WR,12,5,0,1,5,5.00,0.4,akron
"Tony Grimes, Jr.",SO,WR,9,4,0,0,4,-,0.4,akron
Ryan Jankowski,FR,QB,2,-8,0,2,-8,-4.00,-4.0,akron
Bryce Young,JR,QB,12,185,3328,429,3513,8.19,292.8,alabama
Jahmyr Gibbs,JR,RB,12,926,0,151,926,6.13,77.2,alabama
Jase McClellan,JR,RB,13,655,0,111,655,5.90,50.4,alabama
Jalen Milroe,FR,QB,8,265,297,84,562,6.69,70.3,alabama
Roydell Williams,JR,RB,13,250,0,56,250,4.46,19.2,alabama
Jamarion Miller,FR,RB,13,223,0,33,223,6.76,17.2,alabama
Trey Sanders,JR,RB,10,80,0,14,80,5.71,8.0,alabama
Ty Simpson,FR,QB,4,0,35,5,35,7.00,8.8,alabama
Jonathan Bennett,JR,RB,1,12,0,2,12,6.00,12.0,alabama
Chase Brice,SR,QB,12,117,2921,420,3038,7.23,253.2,appalachian_state
