name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Nate Romine,SR,QB,9,108,45,41.7,1206,11.2,10,4,158.61,12.0,134.0,air_force
Arion Worthman,SO,QB,8,39,23,59.0,546,14.0,4,2,200.15,4.9,68.3,air_force
Jalen Robinette,SR,WR,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,air_force
Tyler Williams,JR,WR,13,2,0,0.0,0,0.0,0,2,-200.00,0.2,0.0,air_force
Thomas Woodson,JR,QB,8,242,146,60.3,2079,8.6,18,6,152.08,30.3,259.9,akron
Tra'Von Chapman,JR,QB,10,117,54,46.2,700,6.0,5,5,101.96,11.7,70.0,akron
Tyrell Goodman,SR,WR,10,36,16,44.4,270,7.5,1,3,99.94,3.6,27.0,akron
Manny Morgan,JR,RB,11,1,1,100.0,14,14.0,1,0,547.60,0.1,1.3,akron
Jalen Hurts,FR,QB,15,382,240,62.8,2780,7.3,23,9,139.12,25.5,185.3,alabama
Blake Barnett,FR,QB,3,19,11,57.9,219,11.5,2,0,189.46,6.3,73.0,alabama
Cooper Bateman,JR,QB,15,14,12,85.7,119,8.5,1,0,180.68,0.9,7.9,alabama
ArDarius Stewart,JR,WR,12,2,2,100.0,36,18.0,0,0,251.20,0.2,3.0,alabama
Taylor Lamb,JR,QB,13,325,197,60.6,2281,7.0,15,8,129.88,25.0,175.5,appalachian_state
J.P. Caruso,SO,QB,9,6,6,100.0,46,7.7,1,0,219.40,0.7,5.1,appalachian_state
Bentlee Critcher,SR,P,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,appalachian_state
Brandon Dawkins,SO,QB,10,181,97,53.6,1345,7.4,8,6,123.97,18.1,134.5,arizona
Anu Solomon,JR,QB,5,64,38,59.4,465,7.3,1,2,119.32,12.8,93.0,arizona
Khalil Tate,FR,QB,7,45,18,40.0,243,5.4,3,3,94.03,6.4,34.7,arizona
Matt Morin,SR,TE,11,8,4,50.0,84,10.5,1,1,154.45,0.7,7.6,arizona
Zach Werlinger,SO,QB,2,5,0,0.0,0,0.0,0,0,0.00,2.5,0.0,arizona
Manny Wilkins,SO,QB,10,311,197,63.3,2329,7.5,12,9,133.19,31.1,232.9,arizona_state
Dillon Sterling-Cole,FR,QB,6,55,28,50.9,388,7.1,1,4,101.62,9.2,64.7,arizona_state
Brady White,FR,QB,4,49,25,51.0,259,5.3,2,1,104.81,12.3,64.8,arizona_state
N'Keal Harry,FR,WR,12,2,1,50.0,46,23.0,0,0,243.20,0.2,3.8,arizona_state
Jack Smith,FR,WR,5,1,1,100.0,40,40.0,0,0,436.00,0.2,8.0,arizona_state
Kalen Ballage,JR,RB,12,4,3,75.0,30,7.5,1,0,220.50,0.3,2.5,arizona_state
Jalen Harvey,SO,WR,11,2,1,50.0,17,8.5,0,0,121.40,0.2,1.5,arizona_state
Demario Richard,JR,RB,11,1,1,100.0,2,2.0,0,0,116.80,0.1,0.2,arizona_state
Austin Allen,JR,QB,13,401,245,61.1,3430,8.6,25,15,146.04,30.8,263.8,arkansas
Ty Storey,FR,QB,3,4,1,25.0,3,0.8,0,0,31.30,1.3,1.0,arkansas
Rawleigh Williams III,SO,RB,13,1,1,100.0,1,1.0,1,0,438.40,0.1,0.1,arkansas
Justice Hansen,SO,QB,13,340,197,57.9,2719,8.0,19,8,138.84,26.2,209.2,arkansas_state
Chad Voytik,SR,QB,11,57,32,56.1,363,6.4,1,1,111.91,5.2,33.0,arkansas_state
Cam Echols-Luper,JR,WR,13,3,2,66.7,66,22.0,1,0,361.47,0.2,5.1,arkansas_state
Warren Wand,SO,RB,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arkansas_state
Ahmad Bradshaw,JR,QB,12,91,40,44.0,703,7.7,4,9,103.58,7.6,58.6,army
Chris Carter,SO,QB,9,23,9,39.1,176,7.7,2,1,123.41,2.6,19.6,army
Malik McGue,FR,QB,11,6,4,66.7,76,12.7,1,1,194.74,0.5,6.9,army
Joe Walker,SR,RB,12,1,1,100.0,12,12.0,0,0,200.80,0.1,1.0,army
Kell Walker,FR,RB,13,2,0,0.0,0,0.0,0,0,0.00,0.2,0.0,army
Sean White,SO,QB,11,208,133,63.9,1679,8.1,9,3,143.14,18.9,152.6,auburn
Jeremy Johnson,SR,QB,5,47,27,57.4,312,6.6,1,2,111.72,9.4,62.4,auburn
John Franklin III,JR,QB,13,26,14,53.8,204,7.8,1,0,132.45,2.0,15.7,auburn
Kerryon Johnson,SO,RB,12,3,3,100.0,11,3.7,1,0,240.80,0.3,0.9,auburn
Chandler Cox,SO,FB,12,2,1,50.0,-3,-1.5,0,1,-62.60,0.2,-0.3,auburn
Riley Neal,SO,QB,11,394,242,61.4,2541,6.4,13,12,120.39,35.8,231.0,ball_state
Jack Milas,JR,QB,12,38,20,52.6,199,5.2,1,2,94.78,3.2,16.6,ball_state
Corey Lacanaria,JR,WR,11,2,1,50.0,10,5.0,0,1,-8.00,0.2,0.9,ball_state
Seth Russell,SR,QB,9,278,152,54.7,2126,7.6,20,8,136.89,30.9,236.2,baylor
Zach Smith,FR,QB,10,196,116,59.2,1526,7.8,13,7,139.33,19.6,152.6,baylor
Terence Williams,SO,RB,12,1,1,100.0,0,0.0,0,0,100.00,0.1,0.0,baylor
Zack Bennema,FR,QB,1,1,0,0.0,0,0.0,0,0,0.00,1.0,0.0,baylor
Preston Heard,FR,QB,3,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,baylor
Blake Lynch,FR,WR,11,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,baylor
Ishmael Zamora,SO,WR,10,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,baylor
Brett Rypien,SO,QB,13,394,244,61.9,3646,9.3,24,8,155.70,30.3,280.5,boise_state
