name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Brandon Lewis,SR,WR,13,21,619,29.48,3,1.6,47.6,air_force
Micah Davis,SO,WR,8,10,221,22.10,2,1.3,27.6,air_force
Dane Kinamon,SO,WR,12,9,128,14.22,2,0.8,10.7,air_force
David Cormier,JR,WR,9,5,89,17.80,0,0.6,9.9,air_force
Kyle Patterson,JR,TE,4,3,81,27.00,0,0.8,20.3,air_force
Caleb Rillos,SO,TE,8,1,40,40.00,0,0.1,5.0,air_force
Jake Spiewak,SR,WR,13,1,31,31.00,0,0.1,2.4,air_force
Dalton King,SR,TE,13,1,13,13.00,1,0.1,1.0,air_force
DeAndre Hughes,JR,WR,10,3,7,2.33,0,0.3,0.7,air_force
Konata Mumpfield,FR,WR,12,63,751,11.92,8,5.3,62.6,akron
Michael Mathison,SO,WR,11,56,706,12.61,3,5.1,64.2,akron
Tristian Brank,FR,TE,12,25,269,10.76,3,2.1,22.4,akron
"George Qualls, Jr.",JR,WR,7,10,171,17.10,0,1.4,24.4,akron
Andre Williams,JR,WR,10,10,161,16.10,1,1.0,16.1,akron
Jonzell Norrils,FR,RB,10,17,153,9.00,3,1.7,15.3,akron
"Tony Grimes, Jr.",FR,WR,12,14,133,9.50,1,1.2,11.1,akron
"Oran Singleton, Jr.",FR,WR,9,11,112,10.18,1,1.2,12.4,akron
"Anthony Williams, Jr.",FR,RB,10,7,74,10.57,0,0.7,7.4,akron
Nik Ognenovic,JR,TE,9,2,38,19.00,1,0.2,4.2,akron
Blake Hester,FR,RB,11,9,36,4.00,0,0.8,3.3,akron
Shawn Naim,FR,WR,8,2,6,3.00,0,0.3,0.8,akron
Jameson Williams,JR,WR,15,79,1572,19.90,15,5.3,104.8,alabama
John Metchie III,JR,WR,13,96,1142,11.90,8,7.4,87.8,alabama
Cameron Latu,JR,TE,15,26,410,15.77,8,1.7,27.3,alabama
Slade Bolden,JR,WR,15,42,408,9.71,3,2.8,27.2,alabama
Brian Robinson Jr.,SR,RB,14,35,296,8.46,2,2.5,21.1,alabama
Jahleel Billingsley,JR,TE,15,17,256,15.06,3,1.1,17.1,alabama
Traeshon Holden,SO,WR,14,21,239,11.38,1,1.5,17.1,alabama
Ja'Corey Brooks,FR,WR,15,15,192,12.80,2,1.0,12.8,alabama
JoJo Earle,FR,WR,12,12,148,12.33,0,1.0,12.3,alabama
Javon Baker,SO,WR,13,7,101,14.43,1,0.5,7.8,alabama
Jase McClellan,SO,RB,5,10,97,9.70,3,2.0,19.4,alabama
Agiye Hall,FR,WR,7,4,72,18.00,0,0.6,10.3,alabama
Roydell Williams,SO,RB,10,5,57,11.40,1,0.5,5.7,alabama
Trey Sanders,SO,RB,13,6,55,9.17,0,0.5,4.2,alabama
Thaiu Jones-Bell,SO,WR,5,2,16,8.00,0,0.4,3.2,alabama
Robbie Ouzts,FR,TE,11,1,8,8.00,0,0.1,0.7,alabama
Christian Leary,FR,WR,8,2,4,2.00,1,0.3,0.5,alabama
Corey Sutton,SR,WR,13,61,904,14.82,7,4.7,69.5,appalachian_state
Thomas Hennigan,SR,WR,14,60,823,13.72,6,4.3,58.8,appalachian_state
Malik Williams,SR,WR,14,52,819,15.75,7,3.7,58.5,appalachian_state
Christian Wells,SO,WR,14,12,243,20.25,2,0.9,17.4,appalachian_state
Jalen Virgil,SR,WR,12,15,226,15.07,1,1.3,18.8,appalachian_state
Henry Pearson,SR,TE,11,11,153,13.91,0,1.0,13.9,appalachian_state
Mike Evans,SR,TE,13,7,77,11.00,0,0.5,5.9,appalachian_state
Dashaun Davis,SO,WR,14,3,53,17.67,1,0.2,3.8,appalachian_state
Eli Wilson,FR,TE,11,8,48,6.00,1,0.7,4.4,appalachian_state
Christan Horn,SO,WR,14,5,46,9.20,0,0.4,3.3,appalachian_state
Miller Gibbs,JR,TE,13,3,21,7.00,2,0.2,1.6,appalachian_state
Milan Tucker,SO,WR,13,1,20,20.00,0,0.1,1.5,appalachian_state
Camerun Peoples,JR,RB,12,2,19,9.50,0,0.2,1.6,appalachian_state
Nate Noel,SO,RB,14,8,16,2.00,0,0.6,1.1,appalachian_state
Dalton Stroman,FR,WR,1,1,10,10.00,0,1.0,10.0,appalachian_state
Daetrich Harrington,SR,RB,6,3,7,2.33,0,0.5,1.2,appalachian_state
Caleb Spurlin,SR,DL,14,2,2,1.00,2,0.1,0.1,appalachian_state
Cooper Hodges,JR,OL,14,1,0,0.00,0,0.1,0.0,appalachian_state
Stanley Berryhill III,JR,WR,12,83,749,9.02,1,6.9,62.4,arizona
BJ Casteel,JR,WR,12,33,326,9.88,1,2.8,27.2,arizona
Dorian Singer,FR,WR,5,18,301,16.72,0,3.6,60.2,arizona
Tayvian Cunningham,SR,WR,10,18,299,16.61,2,1.8,29.9,arizona
Michael Wiley,SO,RB,11,33,297,9.00,4,3.0,27.0,arizona
Boobie Curry,SO,WR,12,21,233,11.10,3,1.8,19.4,arizona
Alex Lines,FR,TE,11,10,138,13.80,0,0.9,12.5,arizona
Drake Anderson,SO,RB,11,18,95,5.28,0,1.6,8.6,arizona
Stevie Rocker Jr.,FR,RB,11,7,49,7.00,0,0.6,4.5,arizona
Jamarye Joiner,SO,WR,8,4,48,12.00,0,0.5,6.0,arizona
Anthony Simpson,FR,WR,7,4,46,11.50,0,0.6,6.6,arizona
Jalen John,FR,RB,9,8,42,5.25,0,0.9,4.7,arizona
Bryce Wolma,SR,TE,10,6,42,7.00,1,0.6,4.2,arizona
Jalen Johnson,SO,WR,8,4,37,9.25,0,0.5,4.6,arizona
Clay Markoff,SR,RB,12,1,9,9.00,0,0.1,0.8,arizona
Ricky Pearsall,JR,WR,13,48,580,12.08,4,3.7,44.6,arizona_state
Rachaad White,SR,RB,11,43,456,10.60,1,3.9,41.5,arizona_state
LV Bunkley-Shelton,FR,WR,12,33,418,12.67,2,2.8,34.8,arizona_state
Curtis Hodges,SR,TE,12,20,373,18.65,2,1.7,31.1,arizona_state
Andre Johnson,SO,WR,9,12,186,15.50,1,1.3,20.7,arizona_state
Johnny Wilson,FR,WR,5,12,154,12.83,1,2.4,30.8,arizona_state
Bryan Thompson,SR,WR,11,13,130,10.00,0,1.2,11.8,arizona_state
Jalin Conyers,FR,TE,11,6,62,10.33,1,0.5,5.6,arizona_state
Elijhah Badger,FR,WR,11,7,61,8.71,0,0.6,5.5,arizona_state
Geordon Porter,JR,WR,6,1,47,47.00,0,0.2,7.8,arizona_state
Daniyel Ngata,FR,RB,11,4,29,7.25,0,0.4,2.6,arizona_state
DeaMonte Trayanum,SO,RB,9,4,19,4.75,0,0.4,2.1,arizona_state
Case Hatch,JR,H-B,10,2,12,6.00,0,0.2,1.2,arizona_state
George Hart III,FR,RB,12,1,3,3.00,0,0.1,0.3,arizona_state
Treylon Burks,JR,WR,12,66,1104,16.73,11,5.5,92.0,arkansas
Tyson Morris,SR,WR,13,24,337,14.04,2,1.8,25.9,arkansas
Warren Thompson,JR,WR,13,19,304,16.00,2,1.5,23.4,arkansas
De’Vion Warren,SR,WR,13,16,252,15.75,0,1.2,19.4,arkansas
Blake Kern,SR,TE,13,15,183,12.20,2,1.2,14.1,arkansas
Trey Knox,JR,WR,12,20,141,7.05,1,1.7,11.8,arkansas
Raheim Sanders,FR,RB,13,11,109,9.91,1,0.8,8.4,arkansas
Ketron Jackson Jr.,FR,WR,13,5,97,19.40,1,0.4,7.5,arkansas
AJ Green,FR,RB,12,7,84,12.00,1,0.6,7.0,arkansas
