name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Haaziq Daniels,SR,QB,13,83,40,48.2,836,10.1,7,2,155.80,6.4,64.3,air_force
Ben Brittain,JR,QB,5,2,1,50.0,80,40.0,1,0,551.00,0.4,16.0,air_force
Jensen Jones,JR,QB,7,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,air_force
DJ Irons,JR,QB,10,379,253,66.8,2605,6.9,10,7,129.51,37.9,260.5,akron
"Jeff Undercuffler, Jr.",JR,QB,7,120,70,58.3,791,6.6,5,5,119.12,17.1,113.0,akron
Ryan Jankowski,FR,QB,2,1,0,0.0,0,0.0,0,0,0.00,0.5,0.0,akron
Bryce Young,JR,QB,12,380,245,64.5,3328,8.8,32,5,163.20,31.7,277.3,alabama
Jalen Milroe,FR,QB,8,53,31,58.5,297,5.6,5,3,125.37,6.6,37.1,alabama
Ty Simpson,FR,QB,4,5,4,80.0,35,7.0,0,0,138.80,1.3,8.8,alabama
Chase Brice,SR,QB,12,349,219,62.8,2921,8.4,27,6,155.15,29.1,243.4,appalachian_state
Ryan Burger,FR,QB,1,6,4,66.7,40,6.7,0,0,122.67,6.0,40.0,appalachian_state
Brady McBride,JR,QB,1,3,2,66.7,33,11.0,0,0,159.07,3.0,33.0,appalachian_state
Dashaun Davis,SO,WR,12,1,1,100.0,17,17.0,1,0,572.80,0.1,1.4,appalachian_state
Jayden de Laura,SO,QB,12,435,272,62.5,3685,8.5,25,13,146.68,36.3,307.1,arizona
Noah Fifita,FR,QB,3,19,9,47.4,128,6.7,1,0,121.33,6.3,42.7,arizona
Tetairoa McMillan,FR,WR,12,2,2,100.0,8,4.0,0,0,133.60,0.2,0.7,arizona
Jamarye Joiner,JR,WR,5,1,0,0.0,0,0.0,0,0,0.00,0.2,0.0,arizona
Emory Jones,JR,QB,8,199,125,62.8,1533,7.7,7,4,135.11,24.9,191.6,arizona_state
Trenton Bourguet,JR,QB,7,204,145,71.1,1490,7.3,11,6,144.34,29.1,212.9,arizona_state
KJ Jefferson,JR,QB,11,300,204,68.0,2648,8.8,24,5,165.22,27.3,240.7,arkansas
Malik Hornsby,SO,QB,8,27,13,48.1,268,9.9,1,2,128.94,3.4,33.5,arkansas
Cade Fortin,SR,QB,3,29,14,48.3,135,4.7,1,0,98.76,9.7,45.0,arkansas
