name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Grant Wells,FR,QB,10,270,165,61.1,2091,7.7,18,9,141.49,27.0,209.1,marshall
Luke Zban,SO,QB,4,8,6,75.0,38,4.8,1,0,156.15,2.0,9.5,marshall
Xavier Gaines,SR,TE,10,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,marshall
Taulia Tagovailoa,SO,QB,4,122,75,61.5,1011,8.3,7,7,138.55,30.5,252.8,maryland
Eric Najarian,SO,QB,1,23,12,52.2,218,9.5,2,0,160.49,23.0,218.0,maryland
Lance LeGendre,FR,QB,3,14,11,78.6,91,6.5,0,2,104.60,4.7,30.3,maryland
Garrett Dzuro,FR,QB,3,36,15,41.7,215,6.0,0,2,80.72,12.0,71.7,massachusetts
Will Koch,FR,QB,3,40,24,60.0,166,4.2,1,1,98.11,13.3,55.3,massachusetts
Mike Fallon,SR,QB,1,12,7,58.3,41,3.4,0,1,70.36,12.0,41.0,massachusetts
Josiah Johnson,SO,TE,4,9,6,66.7,39,4.3,0,1,80.85,2.3,9.8,massachusetts
Jared Cole,FR,RB,4,1,1,100.0,25,25.0,0,0,310.00,0.3,6.3,massachusetts
Evan Deckers,JR,LS,3,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,massachusetts
Andrew Brito,JR,QB,3,1,1,100.0,-5,-5.0,0,0,58.00,0.3,-1.7,massachusetts
Brady White,SR,QB,11,420,254,60.5,3380,8.0,31,10,147.68,38.2,307.3,memphis
Calvin Austin III,JR,WR,11,1,1,100.0,7,7.0,0,0,158.80,0.1,0.6,memphis
Connor Adair,JR,QB,2,2,0,0.0,0,0.0,0,0,0.00,1.0,0.0,memphis
D'Eriq King,SR,QB,11,329,211,64.1,2686,8.2,23,5,152.74,29.9,244.2,miami_florida
N'Kosi Perry,JR,QB,5,47,26,55.3,348,7.4,3,1,134.31,9.4,69.6,miami_florida
Brevin Jordan,JR,TE,9,1,1,100.0,15,15.0,0,0,226.00,0.1,1.7,miami_florida
Larry Hodges,FR,TE,6,1,1,100.0,1,1.0,0,0,108.40,0.2,0.2,miami_florida
Tyler Van Dyke,FR,QB,2,2,0,0.0,0,0.0,0,0,0.00,1.0,0.0,miami_florida
Brett Gabbert,SO,QB,3,35,23,65.7,384,11.0,4,0,195.59,11.7,128.0,miami_ohio
AJ Mayer,SO,QB,3,49,23,46.9,328,6.7,4,1,126.03,16.3,109.3,miami_ohio
Aveon Smith,FR,QB,1,1,1,100.0,3,3.0,0,0,125.20,1.0,3.0,miami_ohio
Joe Milton,JR,QB,6,141,80,56.7,1077,7.6,4,4,124.59,23.5,179.5,michigan
Cade McNamara,SO,QB,4,71,43,60.6,425,6.0,5,0,134.08,17.8,106.3,michigan
Hassan Haskins,JR,RB,6,1,0,0.0,0,0.0,0,0,0.00,0.2,0.0,michigan
Rocky Lombardi,JR,QB,6,157,84,53.5,1090,6.9,8,9,117.18,26.2,181.7,michigan_state
Payton Thorne,FR,QB,4,85,48,56.5,582,6.8,3,3,118.57,21.3,145.5,michigan_state
Asher O'Hara,JR,QB,9,288,192,66.7,1960,6.8,12,8,132.03,32.0,217.8,middle_tennessee
Chase Cunningham,JR,QB,3,17,9,52.9,73,4.3,0,2,65.48,5.7,24.3,middle_tennessee
Mike DiLiello,SO,QB,1,4,3,75.0,35,8.8,1,0,231.00,4.0,35.0,middle_tennessee
Chaton Mobley,JR,RB,9,1,1,100.0,6,6.0,0,0,150.40,0.1,0.7,middle_tennessee
Tanner Morgan,JR,QB,7,183,106,57.9,1374,7.5,7,5,128.15,26.1,196.3,minnesota
Seth Green,SR,WR,7,1,1,100.0,20,20.0,0,0,268.00,0.1,2.9,minnesota
Matt Corral,SO,QB,10,326,231,70.9,3337,10.2,29,14,177.61,32.6,333.7,mississippi
John Rhys Plumlee,SO,QB,7,7,5,71.4,65,9.3,1,0,196.57,1.0,9.3,mississippi
Dontario Drummond,SR,WR,10,1,1,100.0,45,45.0,0,0,478.00,0.1,4.5,mississippi
Elijah Moore,JR,WR,8,1,1,100.0,2,2.0,0,0,116.80,0.1,0.3,mississippi
Will Rogers,FR,QB,9,346,239,69.1,1976,5.7,11,7,123.49,38.4,219.6,mississippi_state
K.J. Costello,SR,QB,6,209,134,64.1,1283,6.1,6,11,114.63,34.8,213.8,mississippi_state
Connor Bazelak,FR,QB,10,324,218,67.3,2366,7.3,7,6,132.05,32.4,236.6,missouri
Shawn Robinson,JR,QB,5,29,20,69.0,185,6.4,1,0,133.93,5.8,37.0,missouri
Brady Cook,FR,QB,3,7,6,85.7,72,10.3,1,0,219.25,2.3,24.0,missouri
Keke Chism,SR,WR,9,1,1,100.0,29,29.0,0,0,343.60,0.1,3.2,missouri
Tauskie Dove,SO,WR,10,1,1,100.0,16,16.0,0,0,234.40,0.1,1.6,missouri
Grant McKinniss,SR,P,10,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,missouri
Dalen Morris,SR,QB,9,65,33,50.8,579,8.9,3,2,134.68,7.2,64.3,navy
Tyger Goslin,JR,QB,4,35,15,42.9,333,9.5,3,1,145.35,8.8,83.3,navy
Xavier Arline,FR,QB,5,12,4,33.3,27,2.3,0,0,52.23,2.4,5.4,navy
Perry Olsen,SO,QB,1,4,2,50.0,14,3.5,0,0,79.40,4.0,14.0,navy
Maasai Maynor,SO,QB,1,3,2,66.7,14,4.7,0,1,39.20,3.0,14.0,navy
Myles Fells,SR,SB,10,1,1,100.0,7,7.0,0,0,158.80,0.1,0.7,navy
Chance Warren,JR,SB,10,2,0,0.0,0,0.0,0,0,0.00,0.2,0.0,navy
Adrian Martinez,JR,QB,7,151,108,71.5,1055,7.0,4,3,134.98,21.6,150.7,nebraska
Luke McCaffrey,FR,QB,7,76,48,63.2,466,6.1,1,6,103.22,10.9,66.6,nebraska
Carson Strong,SO,QB,9,355,249,70.1,2858,8.1,27,4,160.62,39.4,317.6,nevada
Nate Cox,JR,QB,7,2,1,50.0,10,5.0,0,0,92.00,0.3,1.4,nevada
Toa Taua,JR,RB,8,2,1,50.0,4,2.0,0,0,66.80,0.3,0.5,nevada
Trae Hall,SO,QB,4,101,53,52.5,518,5.1,0,3,89.62,25.3,129.5,new_mexico
Tevaka Tuioti,JR,QB,2,66,37,56.1,475,7.2,4,1,133.48,33.0,237.5,new_mexico
Isaiah Chavez,FR,QB,3,28,19,67.9,251,9.0,2,0,166.73,9.3,83.7,new_mexico
Connor Genal,FR,QB,3,18,11,61.1,98,5.4,0,2,84.62,6.0,32.7,new_mexico
Bryson Carroll,JR,RB,7,2,2,100.0,44,22.0,2,0,614.80,0.3,6.3,new_mexico
Sam Howell,SO,QB,12,348,237,68.1,3586,10.3,30,7,179.09,29.0,298.8,north_carolina
Jacolby Criswell,FR,QB,6,4,3,75.0,16,4.0,0,1,58.60,0.7,2.7,north_carolina
Jace Ruder,SO,QB,3,3,2,66.7,11,3.7,0,0,97.47,1.0,3.7,north_carolina
Jefferson Boaz,FR,QB,1,1,1,100.0,3,3.0,0,0,125.20,1.0,3.0,north_carolina
Rontavius Groves,JR,WR,12,1,1,100.0,1,1.0,1,0,438.40,0.1,0.1,north_carolina
Bailey Hockman,JR,QB,10,266,171,64.3,2088,7.8,13,11,138.09,26.6,208.8,north_carolina_state
Devin Leary,SO,QB,4,110,66,60.0,890,8.1,8,2,148.32,27.5,222.5,north_carolina_state
Ben Finley,FR,QB,1,20,13,65.0,143,7.2,1,2,121.56,20.0,143.0,north_carolina_state
Thayer Thomas,JR,WR,12,3,1,33.3,31,10.3,1,0,230.13,0.3,2.6,north_carolina_state
"Ricky Person, Jr.",JR,RB,12,1,1,100.0,2,2.0,1,0,446.80,0.1,0.2,north_carolina_state
Austin Aune,SO,QB,8,185,101,54.6,1650,8.9,13,4,148.39,23.1,206.3,north_texas
Jason Bean,SO,QB,8,145,79,54.5,1131,7.8,14,5,144.96,18.1,141.4,north_texas
Kason Martin,SO,QB,5,6,5,83.3,49,8.2,1,0,206.93,1.2,9.8,north_texas
Ross Bowers,SR,QB,6,212,123,58.0,1365,6.4,10,2,125.79,35.3,227.5,northern_illinois
Andrew Haidet,SR,QB,4,6,3,50.0,44,7.3,1,0,166.60,1.5,11.0,northern_illinois
Rodney Thompson,JR,QB,2,2,1,50.0,34,17.0,0,0,192.80,1.0,17.0,northern_illinois
Peyton Ramsey,SR,QB,9,282,172,61.0,1733,6.1,12,8,120.98,31.3,192.6,northwestern
Riley Lees,SR,WR,9,2,2,100.0,48,24.0,0,0,301.60,0.2,5.3,northwestern
Ian Book,SR,QB,12,353,228,64.6,2830,8.0,15,3,144.25,29.4,235.8,notre_dame
Drew Pyne,FR,QB,4,3,2,66.7,12,4.0,0,0,100.27,0.8,3.0,notre_dame
Brendon Clark,SO,QB,1,3,1,33.3,7,2.3,0,0,52.93,3.0,7.0,notre_dame
Kurtis Rourke,FR,QB,3,44,30,68.2,386,8.8,3,0,164.37,14.7,128.7,ohio
Armani Rogers,SR,QB,3,9,5,55.6,48,5.3,1,0,137.03,3.0,16.0,ohio
CJ Harris,FR,QB,1,1,1,100.0,4,4.0,0,0,133.60,1.0,4.0,ohio
Justin Fields,JR,QB,8,225,158,70.2,2100,9.3,22,6,175.56,28.1,262.5,ohio_state
Spencer Rattler,FR,QB,11,317,214,67.5,3031,9.6,28,7,172.56,28.8,275.5,oklahoma
Tanner Mordecai,SO,QB,4,40,32,80.0,395,9.9,2,1,174.45,10.0,98.8,oklahoma
Chandler Morris,FR,QB,5,5,3,60.0,39,7.8,0,0,125.52,1.0,7.8,oklahoma
Spencer Sanders,SO,QB,9,247,155,62.8,2007,8.1,14,8,143.23,27.4,223.0,oklahoma_state
Shane Illingworth,FR,QB,4,70,41,58.6,554,7.9,4,1,141.05,17.5,138.5,oklahoma_state
Ethan Bullock,JR,QB,2,20,11,55.0,74,3.7,0,1,76.08,10.0,37.0,oklahoma_state
Tyler Shough,SO,QB,7,167,106,63.5,1559,9.3,13,6,160.38,23.9,222.7,oregon
Anthony Brown,SR,QB,2,23,15,65.2,164,7.1,2,0,153.81,11.5,82.0,oregon
Travis Dye,JR,RB,7,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,oregon
Tristan Gebbia,JR,QB,4,129,80,62.0,824,6.4,3,3,118.71,32.3,206.0,oregon_state
Chance Nolan,SO,QB,5,91,46,50.5,537,5.9,6,2,117.48,18.2,107.4,oregon_state
Ben Gulbranson,FR,QB,1,9,6,66.7,64,7.1,1,0,163.07,9.0,64.0,oregon_state
Tyjon Lindsey,JR,WR,6,2,2,100.0,54,27.0,1,0,491.80,0.3,9.0,oregon_state
Jack Colletto,JR,ILB,7,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,oregon_state
