name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Arion Worthman,JR,QB,10,821,1100,326,1921,5.89,192.1,air_force
Tim McVey,SR,RB,12,741,0,128,741,5.79,61.8,air_force
Ronald Cleveland,JR,WR,12,418,0,44,418,9.50,34.8,air_force
Jacob Stafford,SR,FB,12,398,0,67,398,5.94,33.2,air_force
Taven Birdow,SO,FB,9,384,0,88,384,4.36,42.7,air_force
Isaiah Sanders,SO,QB,3,218,33,65,251,3.86,83.7,air_force
Nolan Eriksen,SO,RB,10,228,0,40,228,5.70,22.8,air_force
Nate Romine,SR,QB,5,94,133,37,227,6.14,45.4,air_force
Parker Wilson,JR,RB,7,200,0,44,200,4.55,28.6,air_force
Garrett Amy,JR,WR,10,55,0,11,55,5.00,5.5,air_force
Tyler Williams,SR,WR,7,5,31,4,36,9.00,5.1,air_force
Malik Miller,JR,RB,6,34,0,8,34,4.25,5.7,air_force
Aubrey Duty-Tyson,SR,FB,1,32,0,5,32,6.40,32.0,air_force
Cole Fagan,SO,FB,10,27,0,5,27,5.40,2.7,air_force
Jake LaCoste,SR,WR,1,26,0,2,26,13.00,26.0,air_force
Geraud Sanders,SO,WR,11,2,24,1,26,26.00,2.4,air_force
Mike Schmidt,,,2,21,0,1,21,21.00,10.5,air_force
Christian Mallard,SO,RB,3,21,0,4,21,5.25,7.0,air_force
D'Morea Wicks,SO,WR,1,14,0,2,14,7.00,14.0,air_force
Colton Parton,SO,LB,1,11,0,4,11,2.75,11.0,air_force
Benton Washington,SR,RB,6,5,0,1,5,5.00,0.8,air_force
Andrew Smith,JR,WR,3,2,0,3,2,0.67,0.7,air_force
Charlie Scott,SO,,12,-23,0,1,-23,-23.00,-1.9,air_force
Thomas Woodson,SR,QB,11,-25,1777,321,1752,5.46,159.3,akron
Kato Nelson,FR,QB,10,198,989,235,1187,5.05,118.7,akron
Manny Morgan,SR,RB,14,434,0,116,434,3.74,31.0,akron
"Van Edwards, Jr.",JR,RB,14,343,0,94,343,3.65,24.5,akron
Warren Ball,SR,RB,5,332,0,75,332,4.43,66.4,akron
Deltron Sands,SO,RB,10,173,0,25,173,6.92,17.3,akron
Robbie Kelley,JR,QB,7,-10,179,27,169,6.26,24.1,akron
Chuck Turfe,SO,RB,11,31,0,7,31,4.43,2.8,akron
Andre Williams,FR,WR,12,7,0,1,7,7.00,0.6,akron
Nick Johns,SO,QB,8,0,4,2,4,2.00,0.5,akron
Tra'Von Chapman,SR,WR,14,0,0,1,0,0.00,0.0,akron
Jalen Hurts,SO,QB,14,855,2081,408,2936,7.20,209.7,alabama
Damien Harris,JR,RB,14,1000,0,135,1000,7.41,71.4,alabama
Tua Tagovailoa,FR,QB,9,133,636,104,769,7.39,85.4,alabama
Bo Scarbrough,JR,RB,14,596,0,124,596,4.81,42.6,alabama
Najee Harris,FR,RB,14,370,0,61,370,6.07,26.4,alabama
Josh Jacobs,SO,RB,12,284,0,46,284,6.17,23.7,alabama
Brian Robinson Jr.,FR,RB,11,165,0,24,165,6.88,15.0,alabama
Ronnie Clark,JR,RB,5,107,0,21,107,5.10,21.4,alabama
Calvin Ridley,JR,WR,14,17,0,2,17,8.50,1.2,alabama
Robert Foster,SR,WR,14,12,0,1,12,12.00,0.9,alabama
Austin Johnson,SR,WR,1,8,0,2,8,4.00,8.0,alabama
JK Scott,SR,P,14,0,-9,1,-9,-9.00,-0.6,alabama
Taylor Lamb,SR,QB,13,584,2737,415,3321,8.00,255.5,appalachian_state
Jalin Moore,JR,RB,11,1037,0,183,1037,5.67,94.3,appalachian_state
Marcus Williams Jr.,FR,RB,8,500,0,97,500,5.15,62.5,appalachian_state
Terrence Upshaw,SR,RB,6,314,0,68,314,4.62,52.3,appalachian_state
Daetrich Harrington,FR,RB,9,296,0,59,296,5.02,32.9,appalachian_state
Zac Thomas,FR,QB,4,45,33,18,78,4.33,19.5,appalachian_state
DeMarcus Harper,FR,RB,5,46,0,8,46,5.75,9.2,appalachian_state
Malik Williams,FR,WR,13,6,27,9,33,3.67,2.5,appalachian_state
Ike Lewis,SR,WR,13,31,0,3,31,10.33,2.4,appalachian_state
Jacob Huesman,FR,QB,2,13,14,5,27,5.40,13.5,appalachian_state
Caleb Fuller,SR,DL,13,23,0,1,23,23.00,1.8,appalachian_state
De'Vonta Smith,FR,RB,1,15,0,6,15,2.50,15.0,appalachian_state
Curtis Fitch,JR,QB,1,6,0,2,6,3.00,6.0,appalachian_state
T.J. Watkins,SR,WR,11,3,0,1,3,3.00,0.3,appalachian_state
Jalen Virgil,FR,WR,13,0,0,2,0,0.00,0.0,appalachian_state
Khalil Tate,SO,QB,11,1411,1591,332,3002,9.04,272.9,arizona
Brandon Dawkins,JR,QB,7,459,732,183,1191,6.51,170.1,arizona
J.J. Taylor,FR,RB,13,847,0,146,847,5.80,65.2,arizona
Nick Wilson,SR,RB,11,614,0,128,614,4.80,55.8,arizona
Zach Green,SR,RB,13,312,0,66,312,4.73,24.0,arizona
Nathan Tilford,FR,RB,10,121,0,13,121,9.31,12.1,arizona
Tyrell Johnson,SR,WR,13,96,0,8,96,12.00,7.4,arizona
Branden Leon,SO,RB,13,81,0,13,81,6.23,6.2,arizona
Shun Brown,JR,WR,13,51,0,5,51,10.20,3.9,arizona
Tony Ellison,JR,WR,13,36,0,3,36,12.00,2.8,arizona
Donavan Tate,FR,QB,2,0,10,1,10,10.00,5.0,arizona
Rhett Rodriguez,FR,QB,2,-1,10,5,9,1.80,4.5,arizona
Zach Werlinger,JR,QB,1,1,0,1,1,1.00,1.0,arizona
Manny Wilkins,JR,QB,13,287,3270,548,3557,6.49,273.6,arizona_state
Demario Richard,SR,RB,12,1027,0,198,1027,5.19,85.6,arizona_state
Kalen Ballage,SR,RB,13,669,0,157,669,4.26,51.5,arizona_state
Eno Benjamin,FR,RB,10,142,0,23,142,6.17,14.2,arizona_state
Kyle Williams,SO,WR,13,86,0,10,86,8.60,6.6,arizona_state
N'Keal Harry,SO,WR,13,65,14,14,79,5.64,6.1,arizona_state
Blake Barnett,SO,QB,3,-3,40,6,37,6.17,12.3,arizona_state
Nick Ralston,SO,RB,12,22,0,4,22,5.50,1.8,arizona_state
Frank Darby,FR,WR,10,21,0,1,21,21.00,2.1,arizona_state
Mark Cosgrove,JR,FB,2,6,0,3,6,2.00,3.0,arizona_state
Trelon Smith,FR,RB,9,4,0,1,4,4.00,0.4,arizona_state
Jalen Harvey,JR,WR,13,2,0,1,2,2.00,0.2,arizona_state
Ryan Newsome,SO,WR,10,-10,0,1,-10,-10.00,-1.0,arizona_state
