name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Emmanuel Michel,SR,FB,11,204,950,4.66,11,18.55,86.36,air_force
Zac Larrier,SR,QB,11,142,605,4.26,6,12.91,55.00,air_force
John Lee Eldridge III,SR,RB,13,84,599,7.13,6,6.46,46.08,air_force
Dylan Carson,SO,RB,9,68,493,7.25,2,7.56,54.78,air_force
Owen Burk,SR,RB,12,81,439,5.42,3,6.75,36.58,air_force
Jensen Jones,SR,QB,10,47,233,4.96,4,4.70,23.30,air_force
Aiden Calvert,JR,RB,13,23,177,7.70,0,1.77,13.62,air_force
Cade Harris,JR,WR,13,11,81,7.36,2,0.85,6.23,air_force
Ben Brittain,SR,QB,4,7,31,4.43,0,1.75,7.75,air_force
Dane Kinamon,SR,WR,8,7,21,3.00,0,0.88,2.63,air_force
Jet Harris,SR,RB,13,5,20,4.00,1,0.38,1.54,air_force
Kaden Cloud,SO,RB,1,2,11,5.50,0,2.00,11.00,air_force
John Busha,SO,QB,4,13,11,0.85,1,3.25,2.75,air_force
Jalen Johnson,SR,RB,12,2,7,3.50,0,0.17,0.58,air_force
Darius Stone,SO,RB,1,1,6,6.00,0,1.00,6.00,air_force
Cannon Turner,SR,QB,2,3,5,1.67,0,1.50,2.50,air_force
Christopher Frew,SO,RB,3,1,3,3.00,0,0.33,1.00,air_force
Kendin Alexander,JR,WR,3,1,0,0.00,0,0.33,0.00,air_force
Lorenzo Lingard,SR,RB,12,143,641,4.48,4,11.92,53.42,akron
DJ Irons,SR,QB,5,61,215,3.52,2,12.20,43.00,akron
Tahj Bullock,SO,QB,10,62,165,2.66,4,6.20,16.50,akron
Drake Anderson,SR,RB,12,40,132,3.30,1,3.33,11.00,akron
Dante Jackson,JR,K,12,1,22,22.00,0,0.08,1.83,akron
Bobby Golden,SO,WR,12,2,7,3.50,0,0.17,0.58,akron
Charles Kellom,FR,RB,12,4,5,1.25,0,0.33,0.42,akron
"Jeff Undercuffler, Jr.",SR,QB,10,26,-201,-7.73,1,2.60,-20.10,akron
Jase McClellan,SR,RB,13,180,890,4.94,8,13.85,68.46,alabama
Roydell Williams,SR,RB,14,111,560,5.05,5,7.93,40.00,alabama
Jalen Milroe,SO,QB,13,161,531,3.30,12,12.38,40.85,alabama
