name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Haaziq Daniels,JR,QB,12,103,51,49.5,1171,11.4,7,3,161.62,8.6,97.6,air_force
Warren Bryan,SR,QB,5,7,3,42.9,58,8.3,1,0,159.60,1.4,11.6,air_force
Dane Kinamon,SO,WR,12,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,air_force
Zach Gibson,FR,QB,7,157,109,69.4,1262,8.0,10,0,157.97,22.4,180.3,akron
DJ Irons,SO,QB,8,121,78,64.5,892,7.4,8,4,141.59,15.1,111.5,akron
Kato Nelson,SR,QB,5,69,36,52.2,445,6.4,3,1,117.79,13.8,89.0,akron
Joey Marousek,FR,QB,1,5,3,60.0,11,2.2,0,0,78.48,5.0,11.0,akron
Konata Mumpfield,FR,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,akron
Bryce Young,SO,QB,15,547,366,66.9,4872,8.9,47,7,167.52,36.5,324.8,alabama
Paul Tyson,SO,QB,12,16,10,62.5,150,9.4,0,0,141.25,1.3,12.5,alabama
Jalen Milroe,FR,QB,4,7,3,42.9,41,5.9,1,0,139.20,1.8,10.3,alabama
Braxton Barker,JR,QB,1,1,1,100.0,10,10.0,0,0,184.00,1.0,10.0,alabama
Chase Brice,SR,QB,14,390,242,62.1,3337,8.6,27,11,151.13,27.9,238.4,appalachian_state
Jacob Huesman,SR,QB,6,21,12,57.1,116,5.5,1,1,109.73,3.5,19.3,appalachian_state
Malik Williams,SR,WR,14,2,1,50.0,34,17.0,1,0,357.80,0.1,2.4,appalachian_state
Will Plummer,FR,QB,10,267,155,58.1,1605,6.0,6,9,109.22,26.7,160.5,arizona
Gunner Cruz,FR,QB,5,93,61,65.6,536,5.8,2,3,114.65,18.6,107.2,arizona
Jordan McCloud,SO,QB,3,73,48,65.8,481,6.6,2,5,116.44,24.3,160.3,arizona
Jamarye Joiner,SO,WR,8,10,4,40.0,89,8.9,2,0,180.76,1.3,11.1,arizona
Luke Ashworth,SO,QB,2,1,0,0.0,0,0.0,0,1,-200.00,0.5,0.0,arizona
Jayden Daniels,JR,QB,13,301,197,65.4,2380,7.9,10,10,136.19,23.2,183.1,arizona_state
Trenton Bourguet,SO,QB,4,10,7,70.0,91,9.1,1,0,179.44,2.5,22.8,arizona_state
Ricky Pearsall,JR,WR,13,2,2,100.0,59,29.5,1,0,512.80,0.2,4.5,arizona_state
KJ Jefferson,SO,QB,13,294,198,67.3,2676,9.1,21,4,164.66,22.6,205.8,arkansas
Malik Hornsby,FR,QB,7,12,5,41.7,46,3.8,0,0,73.87,1.7,6.6,arkansas
Reid Bauer,JR,P,13,1,1,100.0,32,32.0,1,0,698.80,0.1,2.5,arkansas
Warren Thompson,JR,WR,13,2,1,50.0,27,13.5,0,1,63.40,0.2,2.1,arkansas
John Stephen Jones,JR,QB,2,1,0,0.0,0,0.0,0,0,0.00,0.5,0.0,arkansas
De’Vion Warren,SR,WR,13,2,0,0.0,0,0.0,0,0,0.00,0.2,0.0,arkansas
Treylon Burks,JR,WR,12,2,0,0.0,0,0.0,0,0,0.00,0.2,0.0,arkansas
Layne Hatcher,SO,QB,11,341,201,58.9,2423,7.1,19,13,129.40,31.0,220.3,arkansas_state
James Blackman,JR,QB,6,183,109,59.6,1344,7.3,8,4,131.31,30.5,224.0,arkansas_state
Christian Anderson,SR,QB,11,63,31,49.2,713,11.3,5,0,170.46,5.7,64.8,army
Jabari Laws,SR,QB,6,24,19,79.2,306,12.8,4,0,241.27,4.0,51.0,army
Jemel Jones,JR,QB,4,13,7,53.8,135,10.4,1,1,151.08,3.3,33.8,army
Tyhier Tyler,JR,QB,11,7,3,42.9,79,11.3,1,1,156.23,0.6,7.2,army
Tyrell Robinson,SO,RB,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,army
Cade Ballard,SO,QB,3,2,0,0.0,0,0.0,0,1,-100.00,0.7,0.0,army
Bo Nix,JR,QB,10,323,197,61.0,2294,7.1,11,3,130.03,32.3,229.4,auburn
T.J. Finley,SO,QB,9,128,70,54.7,827,6.5,6,1,122.87,14.2,91.9,auburn
Oscar Chapman,SO,P,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,auburn
Drew Plitt,SR,QB,13,411,248,60.3,2541,6.2,18,6,123.80,31.6,195.5,ball_state
John Paddock,JR,QB,2,26,18,69.2,132,5.1,0,1,104.19,13.0,66.0,ball_state
Jayshon Jackson,JR,WR,13,2,1,50.0,26,13.0,0,0,159.20,0.2,2.0,ball_state
Gerry Bohanon,JR,QB,12,276,173,62.7,2194,7.9,18,7,145.90,23.0,182.8,baylor
Blake Shapen,FR,QB,6,86,62,72.1,596,6.9,5,0,149.49,14.3,99.3,baylor
Jacob Zeno,SO,QB,2,3,1,33.3,41,13.7,0,0,148.13,1.5,20.5,baylor
Tyquan Thornton,SR,WR,14,1,1,100.0,6,6.0,1,0,480.40,0.1,0.4,baylor
Hank Bachmeier,JR,QB,12,401,252,62.8,3080,7.7,20,8,139.83,33.4,256.7,boise_state
Jack Sears,SR,QB,4,6,2,33.3,48,8.0,0,1,67.20,1.5,12.0,boise_state
Davis Koetter,SR,WR,11,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,boise_state
Khalil Shakir,SR,WR,12,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,boise_state
Dennis Grosel,SR,QB,8,192,111,57.8,1216,6.3,6,7,114.03,24.0,152.0,boston_college
Phil Jurkovec,JR,QB,6,96,52,54.2,914,9.5,7,4,149.88,16.0,152.3,boston_college
Emmett Morehead,FR,QB,2,16,6,37.5,87,5.4,0,0,83.18,8.0,43.5,boston_college
Matt McDonald,SR,QB,12,393,236,60.1,2555,6.5,12,7,121.17,32.8,212.9,bowling_green
Tucker Melton,FR,QB,4,10,2,20.0,23,2.3,0,1,19.32,2.5,5.8,bowling_green
Matt Naranjo,SR,P,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,bowling_green
Taron Keith,FR,RB,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,bowling_green
Jaedyn McKinstry,FR,TE,10,2,0,0.0,0,0.0,0,1,-100.00,0.2,0.0,bowling_green
Kyle Vantrease,SR,QB,10,262,161,61.5,1865,7.1,8,6,126.73,26.2,186.5,buffalo
Matt Myers,JR,QB,10,103,56,54.4,703,6.8,4,5,114.80,10.3,70.3,buffalo
Dominic Johnson,SR,WR,12,1,1,100.0,15,15.0,0,0,226.00,0.1,1.3,buffalo
Jaren Hall,SO,QB,10,296,189,63.9,2583,8.7,20,5,156.07,29.6,258.3,byu
Baylor Romney,SO,QB,5,80,56,70.0,779,9.7,6,0,176.55,16.0,155.8,byu
Jacob Conover,FR,QB,2,10,5,50.0,45,4.5,0,0,87.80,5.0,22.5,byu
Neil Pau'u,JR,WR,10,3,3,100.0,26,8.7,0,0,172.80,0.3,2.6,byu
Chase Garbers,SR,QB,11,348,223,64.1,2525,7.3,16,8,135.60,31.6,229.5,california
Ryan Glover,SR,QB,1,29,11,37.9,94,3.2,0,0,65.15,29.0,94.0,california
Kekoa Crawford,SR,WR,11,1,1,100.0,34,34.0,0,0,385.60,0.1,3.1,california
Marcel Dancy,SR,RB,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,california
Daniel Richardson,FR,QB,13,316,191,60.4,2583,8.2,24,6,150.36,24.3,198.7,central_michigan
Jacob Sirmon,SO,QB,5,119,73,61.3,734,6.2,6,4,123.08,23.8,146.8,central_michigan
Lew Nichols III,FR,RB,13,3,3,100.0,41,13.7,0,0,214.80,0.2,3.2,central_michigan
Darius Bracy,JR,RB,8,3,3,100.0,26,8.7,1,0,282.80,0.4,3.3,central_michigan
Tyler Pape,FR,QB,1,2,2,100.0,12,6.0,0,0,150.40,2.0,12.0,central_michigan
Kalil Pimpleton,JR,WR,13,2,1,50.0,4,2.0,0,0,66.80,0.2,0.3,central_michigan
Chris Reynolds,SR,QB,11,337,215,63.8,2684,8.0,26,9,150.82,30.6,244.0,charlotte
James Foster,SO,QB,5,56,31,55.4,364,6.5,1,1,112.28,11.2,72.8,charlotte
Desmond Ridder,SR,QB,14,387,251,64.9,3334,8.6,30,8,158.68,27.6,238.1,cincinnati
Evan Prater,FR,QB,7,11,5,45.5,38,3.5,2,1,116.30,1.6,5.4,cincinnati
Jordan Jones,SR,WR,5,1,1,100.0,5,5.0,1,0,472.00,0.2,1.0,cincinnati
DJ Uiagalelei,SO,QB,13,374,208,55.6,2246,6.0,9,10,108.65,28.8,172.8,clemson
Taisun Phommachanh,SO,QB,6,19,11,57.9,131,6.9,1,1,122.66,3.2,21.8,clemson
Hunter Helms,FR,QB,2,13,5,38.5,58,4.5,0,0,75.94,6.5,29.0,clemson
Billy Wiles,FR,QB,1,4,2,50.0,31,7.8,1,0,197.60,4.0,31.0,clemson
Will Spiers,SR,P,13,1,1,100.0,17,17.0,0,0,242.80,0.1,1.3,clemson
Will Shipley,FR,RB,10,1,1,100.0,2,2.0,1,0,446.80,0.1,0.2,clemson
Grayson McCall,SO,QB,11,241,176,73.0,2873,11.9,27,3,207.65,21.9,261.2,coastal_carolina
Bryce Carpenter,SR,QB,11,69,41,59.4,483,7.0,4,1,134.45,6.3,43.9,coastal_carolina
Jarrett Guest,SO,QB,6,10,9,90.0,96,9.6,1,0,203.64,1.7,16.0,coastal_carolina
Zachary Stevens,SO,QB,1,1,1,100.0,5,5.0,1,0,472.00,1.0,5.0,coastal_carolina
Brendon Lewis,FR,QB,12,257,149,58.0,1540,6.0,10,3,118.82,21.4,128.3,colorado
Drew Carter,FR,QB,6,12,5,41.7,35,2.9,0,0,66.17,2.0,5.8,colorado
Todd Centeio,SR,QB,12,380,229,60.3,2958,7.8,15,10,133.42,31.7,246.5,colorado_state
Evan Olaes,FR,QB,3,12,7,58.3,50,4.2,0,1,76.66,4.0,16.7,colorado_state
Justice McCoy,SR,WR,11,2,1,50.0,12,6.0,0,0,100.40,0.2,1.1,colorado_state
Steven Krajewski,SO,QB,11,230,121,52.6,1221,5.3,7,10,98.55,20.9,111.0,connecticut
Jack Zergiotis,SO,QB,3,86,38,44.2,325,3.8,3,5,75.81,28.7,108.3,connecticut
Tyler Phommachanh,FR,QB,3,72,35,48.6,321,4.5,1,2,85.08,24.0,107.0,connecticut
Micah Leon,JR,QB,1,13,10,76.9,62,4.8,0,0,116.98,13.0,62.0,connecticut
Jay Rose,SR,TE,10,2,1,50.0,26,13.0,0,0,159.20,0.2,2.6,connecticut
Jacob Drena,FR,QB,1,3,2,66.7,15,5.0,0,0,108.67,3.0,15.0,connecticut
Gunnar Holmberg,SR,QB,11,324,217,67.0,2358,7.3,7,8,130.31,29.5,214.4,duke
Riley Leonard,FR,QB,7,62,37,59.7,381,6.1,1,1,113.39,8.9,54.4,duke
Jordan Moore,FR,QB,10,19,9,47.4,95,5.0,1,0,106.74,1.9,9.5,duke
Luca Diamont,FR,QB,2,3,2,66.7,21,7.0,0,0,125.47,1.5,10.5,duke
Holton Ahlers,JR,QB,12,414,256,61.8,3130,7.6,18,10,134.86,34.5,260.8,east_carolina
Tyler Snead,SO,WR,12,5,3,60.0,102,20.4,2,0,363.36,0.4,8.5,east_carolina
Mason Garcia,FR,QB,6,3,2,66.7,21,7.0,1,1,168.80,0.5,3.5,east_carolina
Ben Bryant,SR,QB,13,408,279,68.4,3121,7.6,14,7,140.53,31.4,240.1,eastern_michigan
Preston Hutchinson,JR,QB,8,40,23,57.5,216,5.4,1,2,101.11,5.0,27.0,eastern_michigan
Samson Evans,SO,RB,12,4,4,100.0,43,10.8,3,0,437.80,0.3,3.6,eastern_michigan
Austin Smith,FR,QB,1,1,1,100.0,16,16.0,0,0,234.40,1.0,16.0,eastern_michigan
Dylan Drummond,JR,WR,13,1,1,100.0,13,13.0,1,0,539.20,0.1,1.0,eastern_michigan
Hassan Beydoun,JR,WR,13,1,1,100.0,8,8.0,0,0,167.20,0.1,0.6,eastern_michigan
Emory Jones,JR,QB,13,346,224,64.7,2734,7.9,19,13,141.73,26.6,210.3,florida
Anthony Richardson,FR,QB,8,64,38,59.4,529,8.3,6,5,144.12,8.0,66.1,florida
Trent Whittemore,SO,WR,11,4,3,75.0,41,10.3,2,0,326.10,0.4,3.7,florida
Malik Davis,SR,RB,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,florida
N'Kosi Perry,SR,QB,12,345,210,60.9,2762,8.0,20,7,143.19,28.8,230.2,florida_atlantic
Nick Tronti,JR,QB,6,36,19,52.8,202,5.6,0,1,94.35,6.0,33.7,florida_atlantic
Javion Posey,FR,WR,10,1,1,100.0,11,11.0,0,0,192.40,0.1,1.1,florida_atlantic
Je'Quan Burton,SO,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,florida_atlantic
Max Bortenschlager,SR,QB,12,342,178,52.0,2935,8.6,19,12,135.45,28.5,244.6,florida_international
Grayson James,FR,QB,6,27,18,66.7,162,6.0,1,0,129.29,4.5,27.0,florida_international
Kaylan Wiggins,JR,QB,2,7,4,57.1,52,7.4,0,0,119.54,3.5,26.0,florida_international
Tommy Heatherly,SR,P,12,2,2,100.0,33,16.5,0,0,238.60,0.2,2.8,florida_international
Jordan Travis,SO,QB,10,194,122,62.9,1539,7.9,15,6,148.86,19.4,153.9,florida_state
McKenzie Milton,SR,QB,6,139,81,58.3,775,5.6,3,6,103.60,23.2,129.2,florida_state
Chubba Purdy,FR,QB,1,5,5,100.0,98,19.6,2,0,396.64,5.0,98.0,florida_state
Tate Rodemaker,FR,QB,3,2,1,50.0,7,3.5,0,0,79.40,0.7,2.3,florida_state
Jake Haener,SR,QB,13,490,329,67.1,4096,8.4,33,9,155.92,37.7,315.1,fresno_state
Logan Fife,FR,QB,1,13,7,53.8,51,3.9,1,1,96.80,13.0,51.0,fresno_state
Jalen Cropper,JR,WR,13,2,1,50.0,51,25.5,1,0,429.20,0.2,3.9,fresno_state
Jaylen Henderson,FR,QB,3,8,5,62.5,49,6.1,0,0,113.95,2.7,16.3,fresno_state
Stetson Bennett,SR,QB,14,287,185,64.5,2862,10.0,29,7,176.69,20.5,204.4,georgia
JT Daniels,JR,QB,6,94,68,72.3,722,7.7,7,3,155.06,15.7,120.3,georgia
Carson Beck,FR,QB,4,23,10,43.5,176,7.7,2,2,119.07,5.8,44.0,georgia
Kenny McIntosh,JR,RB,14,1,1,100.0,18,18.0,1,0,581.20,0.1,1.3,georgia
Brock Vandagriff,FR,QB,2,1,0,0.0,0,0.0,0,0,0.00,0.5,0.0,georgia
Justin Tomlin,JR,QB,8,143,74,51.7,977,6.8,2,9,101.17,17.9,122.1,georgia_southern
Cam Ransom,FR,QB,9,83,39,47.0,494,6.0,3,0,108.92,9.2,54.9,georgia_southern
Connor Cigelske,FR,QB,2,38,22,57.9,229,6.0,0,1,103.26,19.0,114.5,georgia_southern
Amare Jones,SR,RB,10,8,4,50.0,45,5.6,0,1,72.25,0.8,4.5,georgia_southern
Sam Kenerson,FR,WR,7,3,2,66.7,20,6.7,0,1,56.00,0.4,2.9,georgia_southern
Darren Grainger,JR,QB,13,228,136,59.6,1715,7.5,19,4,146.82,17.5,131.9,georgia_state
Cornelious Brown IV,SO,QB,5,81,42,51.9,384,4.7,0,4,81.79,16.2,76.8,georgia_state
Mikele Colasurdo,FR,QB,11,2,2,100.0,2,1.0,0,0,108.40,0.2,0.2,georgia_state
Jeff Sims,FR,QB,8,188,113,60.1,1468,7.8,12,7,139.32,23.5,183.5,georgia_tech
Jordan Yates,FR,QB,8,153,91,59.5,908,5.9,6,3,118.35,19.1,113.5,georgia_tech
Demetrius Knight II,SO,ATH,12,1,1,100.0,4,4.0,0,0,133.60,0.1,0.3,georgia_tech
Chevan Cordeiro,JR,QB,11,353,195,55.2,2793,7.9,17,11,131.36,32.1,253.9,hawai'i
