name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
David Cormier,SR,WR,13,15,404,26.93,4,1.2,31.1,air_force
Amari Terry,SR,WR,13,7,187,26.71,1,0.5,14.4,air_force
Dane Kinamon,JR,WR,3,2,88,44.00,1,0.7,29.3,air_force
Cade Harris,SO,WR,4,2,45,22.50,1,0.5,11.3,air_force
Brandon Engel,SO,WR,13,3,40,13.33,0,0.2,3.1,air_force
Kyle Patterson,SR,TE,7,3,32,10.67,0,0.4,4.6,air_force
Zac Larrier,JR,QB,6,2,31,15.50,0,0.3,5.2,air_force
Caleb Rillos,JR,TE,13,2,30,15.00,1,0.2,2.3,air_force
DeAndre Hughes,SR,WR,10,1,22,22.00,0,0.1,2.2,air_force
Ben Jefferson,SR,WR,13,1,17,17.00,0,0.1,1.3,air_force
Brad Roberts,SR,RB,13,1,9,9.00,0,0.1,0.7,air_force
James Bryant,JR,TE,13,1,7,7.00,0,0.1,0.5,air_force
John Lee Eldridge III,JR,RB,13,1,4,4.00,0,0.1,0.3,air_force
Shocky Jacques-Louis,SR,WR,12,74,931,12.58,2,6.2,77.6,akron
Alex Adams,SO,WR,11,63,855,13.57,9,5.7,77.7,akron
Daniel George,JR,WR,12,67,793,11.84,2,5.6,66.1,akron
TJ Banks,JR,TE,12,21,175,8.33,0,1.8,14.6,akron
Tristian Brank,SO,TE,12,16,153,9.56,1,1.3,12.8,akron
Clyde Price III,SO,RB,12,31,139,4.48,1,2.6,11.6,akron
Cam Wiley,SO,RB,10,22,117,5.32,0,2.2,11.7,akron
"Tony Grimes, Jr.",SO,WR,9,10,83,8.30,0,1.1,9.2,akron
Shawn Naim,SO,WR,10,5,42,8.40,0,0.5,4.2,akron
Caleb Anderson,SO,WR,10,5,39,7.80,0,0.5,3.9,akron
"Anthony Williams, Jr.",JR,RB,4,4,36,9.00,0,1.0,9.0,akron
Jasaiah Gathings,FR,WR,2,1,16,16.00,0,0.5,8.0,akron
Jonzell Norrils,SO,RB,5,2,12,6.00,0,0.4,2.4,akron
Bobby Golden,FR,WR,9,1,5,5.00,0,0.1,0.6,akron
Tony Georges,SO,OL,12,1,0,0.00,0,0.1,0.0,akron
Jermaine Burton,JR,WR,13,40,677,16.93,7,3.1,52.1,alabama
Ja'Corey Brooks,SO,WR,13,39,674,17.28,8,3.0,51.8,alabama
Jahmyr Gibbs,JR,RB,12,44,444,10.09,3,3.7,37.0,alabama
Cameron Latu,SR,TE,11,30,377,12.57,4,2.7,34.3,alabama
Kobe Prentice,FR,WR,13,31,337,10.87,2,2.4,25.9,alabama
Traeshon Holden,JR,WR,10,25,331,13.24,6,2.5,33.1,alabama
Isaiah Bond,FR,WR,13,17,220,12.94,1,1.3,16.9,alabama
Jase McClellan,JR,RB,13,14,174,12.43,3,1.1,13.4,alabama
JoJo Earle,SO,WR,8,12,155,12.92,2,1.5,19.4,alabama
Kendrick Law,FR,WR,11,8,103,12.88,0,0.7,9.4,alabama
Robbie Ouzts,SO,TE,13,4,43,10.75,0,0.3,3.3,alabama
Roydell Williams,JR,RB,13,5,37,7.40,0,0.4,2.8,alabama
Miles Kitselman,SO,TE,6,2,18,9.00,0,0.3,3.0,alabama
Tyler Harrell,SR,WR,6,2,18,9.00,0,0.3,3.0,alabama
Amari Niblack,FR,TE,10,1,15,15.00,1,0.1,1.5,alabama
Emmanuel Henderson Jr.,FR,WR,13,1,14,14.00,0,0.1,1.1,alabama
Trey Sanders,JR,RB,10,2,13,6.50,0,0.2,1.3,alabama
Christian Leary,SO,WR,10,1,6,6.00,0,0.1,0.6,alabama
Thaiu Jones-Bell,JR,WR,3,1,5,5.00,0,0.3,1.7,alabama
Jamarion Miller,FR,RB,13,1,-1,-1.00,0,0.1,-0.1,alabama
Christan Horn,SO,WR,12,33,600,18.18,4,2.8,50.0,appalachian_state
Dashaun Davis,SO,WR,12,37,441,11.92,3,3.1,36.8,appalachian_state
Kaedin Robinson,SO,WR,11,27,419,15.52,2,2.5,38.1,appalachian_state
Dalton Stroman,FR,WR,12,19,371,19.53,4,1.6,30.9,appalachian_state
Henry Pearson,SR,TE,12,25,329,13.16,5,2.1,27.4,appalachian_state
Christian Wells,SO,WR,8,9,170,18.89,3,1.1,21.3,appalachian_state
