name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Marcus Bennett,SR,WR,12,24,465,19.38,3,2.0,38.8,air_force
Ronald Cleveland,SR,WR,7,15,241,16.07,2,2.1,34.4,air_force
Geraud Sanders,JR,WR,11,14,236,16.86,0,1.3,21.5,air_force
Joseph Saucier,JR,RB,11,6,146,24.33,0,0.5,13.3,air_force
Kade Waguespack,JR,TE,12,9,137,15.22,3,0.8,11.4,air_force
Andrew Smith,SR,WR,12,7,126,18.00,1,0.6,10.5,air_force
Brandon Lewis,FR,WR,4,5,100,20.00,0,1.3,25.0,air_force
Cole Fagan,JR,FB,12,3,53,17.67,0,0.3,4.4,air_force
Kadin Remsberg,SO,RB,12,6,20,3.33,1,0.5,1.7,air_force
Garrett Amy,SR,WR,12,1,19,19.00,0,0.1,1.6,air_force
Jake Matkovich,SR,WR,7,1,15,15.00,0,0.1,2.1,air_force
Nolan Eriksen,JR,RB,9,1,9,9.00,0,0.1,1.0,air_force
Taven Birdow,JR,FB,11,1,9,9.00,0,0.1,0.8,air_force
Andre Williams,SO,WR,11,46,649,14.11,6,4.2,59.0,akron
Kwadarrius Smith,SR,WR,11,33,538,16.30,3,3.0,48.9,akron
Jonah Morris,SO,WR,12,26,381,14.65,1,2.2,31.8,akron
Nate Stewart,SO,WR,10,22,280,12.73,1,2.2,28.0,akron
Jeremiah Knight,FR,WR,10,9,129,14.33,0,0.9,12.9,akron
Mykel Traylor-Bennett,SR,WR,12,12,128,10.67,1,1.0,10.7,akron
"Van Edwards, Jr.",SR,RB,11,13,105,8.08,1,1.2,9.5,akron
Maverick Wolfley,FR,TE,12,4,58,14.50,1,0.3,4.8,akron
Daishawn Brimage,FR,WR,7,3,33,11.00,0,0.4,4.7,akron
Brian Reinke,SR,TE,11,3,31,10.33,1,0.3,2.8,akron
Newman Williams,SR,TE,11,4,28,7.00,1,0.4,2.5,akron
Deltron Sands,JR,RB,11,4,9,2.25,0,0.4,0.8,akron
Brandon Council,SO,OL,3,1,8,8.00,0,0.3,2.7,akron
Brandon Junk,JR,TE,12,2,5,2.50,0,0.2,0.4,akron
M.J. McGriff,SO,WR,3,1,4,4.00,0,0.3,1.3,akron
Dustin Burkhart,SO,WR,6,1,4,4.00,0,0.2,0.7,akron
Keyondre White,FR,RB,7,1,3,3.00,0,0.1,0.4,akron
Jemarulin Suggs,FR,RB,4,2,-3,-1.50,0,0.5,-0.8,akron
Jerry Jeudy,SO,WR,15,68,1315,19.34,14,4.5,87.7,alabama
Jaylen Waddle,FR,WR,15,45,848,18.84,7,3.0,56.5,alabama
Henry Ruggs III,SO,WR,15,46,741,16.11,11,3.1,49.4,alabama
Irv Smith Jr.,JR,TE,15,44,710,16.14,7,2.9,47.3,alabama
DeVonta Smith,SO,WR,14,42,693,16.50,6,3.0,49.5,alabama
Josh Jacobs,JR,RB,15,20,247,12.35,3,1.3,16.5,alabama
Damien Harris,SR,RB,15,22,204,9.27,0,1.5,13.6,alabama
Derek Kief,SR,WR,15,4,39,9.75,1,0.3,2.6,alabama
Hale Hentges,SR,TE,15,4,34,8.50,3,0.3,2.3,alabama
Jalen Hurts,JR,QB,13,2,16,8.00,0,0.2,1.2,alabama
Najee Harris,SO,RB,15,4,7,1.75,0,0.3,0.5,alabama
Corey Sutton,SO,WR,13,44,773,17.57,10,3.4,59.5,appalachian_state
Thomas Hennigan,SO,WR,13,29,327,11.28,1,2.2,25.2,appalachian_state
Dominique Heath,SR,WR,13,23,304,13.22,5,1.8,23.4,appalachian_state
Malik Williams,SO,WR,13,23,257,11.17,3,1.8,19.8,appalachian_state
Jalen Virgil,SO,WR,13,17,238,14.00,0,1.3,18.3,appalachian_state
Henry Pearson,FR,TE,13,14,160,11.43,2,1.1,12.3,appalachian_state
Collin Reed,JR,TE,13,12,134,11.17,3,0.9,10.3,appalachian_state
Darrynton Evans,SO,RB,13,12,87,7.25,1,0.9,6.7,appalachian_state
Marcus Williams Jr.,SO,RB,12,5,84,16.80,1,0.4,7.0,appalachian_state
Jalin Moore,SR,RB,5,6,40,6.67,0,1.2,8.0,appalachian_state
Brad Absher,SR,WR,13,5,30,6.00,0,0.4,2.3,appalachian_state
A'Darius Purifoy,SO,WR,5,2,25,12.50,0,0.4,5.0,appalachian_state
Devin Papenheim,JR,TE,9,2,11,5.50,0,0.2,1.2,appalachian_state
Zac Thomas,SO,QB,12,1,8,8.00,1,0.1,0.7,appalachian_state
D'Andre Hicks,FR,RB,6,1,0,0.00,0,0.2,0.0,appalachian_state
Shawn Poindexter,SR,WR,12,42,759,18.07,11,3.5,63.3,arizona
Shun Brown,SR,WR,12,64,655,10.23,6,5.3,54.6,arizona
Tony Ellison,SR,WR,12,29,525,18.10,6,2.4,43.8,arizona
Devaughn Cooper,SO,WR,12,18,368,20.44,0,1.5,30.7,arizona
Cedric Peterson,JR,WR,12,18,268,14.89,4,1.5,22.3,arizona
Stanley Berryhill III,FR,WR,12,14,218,15.57,2,1.2,18.2,arizona
J.J. Taylor,SO,RB,12,16,133,8.31,0,1.3,11.1,arizona
Bryce Wolma,SO,TE,12,5,69,13.80,0,0.4,5.8,arizona
Jamie Nunley,SO,TE,11,2,21,10.50,0,0.2,1.9,arizona
Thomas Marcus Jr.,FR,WR,3,1,17,17.00,0,0.3,5.7,arizona
Zach Williams,FR,TE,2,1,10,10.00,0,0.5,5.0,arizona
Gary Brightwell,SO,RB,11,2,9,4.50,0,0.2,0.8,arizona
Thomas Reid III,SO,WR,12,1,6,6.00,0,0.1,0.5,arizona
Darrius Smith,FR,RB,5,1,3,3.00,0,0.2,0.6,arizona
Anthony Mariscal,JR,RB,12,1,3,3.00,0,0.1,0.3,arizona
Jake Peters,FR,TE,1,1,-1,-1.00,0,1.0,-1.0,arizona
N'Keal Harry,JR,WR,12,73,1088,14.90,9,6.1,90.7,arizona_state
Brandon Aiyuk,JR,WR,13,33,474,14.36,3,2.5,36.5,arizona_state
Kyle Williams,JR,WR,13,44,449,10.20,2,3.4,34.5,arizona_state
Frank Darby,SO,WR,13,21,421,20.05,2,1.6,32.4,arizona_state
Eno Benjamin,SO,RB,13,35,263,7.51,2,2.7,20.2,arizona_state
Ryan Jenkins,SR,WR,11,6,79,13.17,0,0.5,7.2,arizona_state
Tommy Hudson,JR,TE,13,13,66,5.08,0,1.0,5.1,arizona_state
Ryan Newsome,JR,WR,7,4,55,13.75,0,0.6,7.9,arizona_state
Isaiah Floyd,SO,RB,13,4,31,7.75,0,0.3,2.4,arizona_state
Curtis Hodges,SO,WR,7,3,30,10.00,0,0.4,4.3,arizona_state
Trelon Smith,SO,RB,4,4,22,5.50,0,1.0,5.5,arizona_state
Terrell Chatman,JR,WR,3,2,20,10.00,1,0.7,6.7,arizona_state
Nick Ralston,JR,LB,12,4,18,4.50,1,0.3,1.5,arizona_state
Ceejhay French-Love,SR,TE,4,1,9,9.00,0,0.3,2.3,arizona_state
La’Michael Pettway,JR,WR,12,30,499,16.63,4,2.5,41.6,arkansas
Cheyenne O’Grady,JR,TE,10,30,400,13.33,6,3.0,40.0,arkansas
Michael Woods,FR,WR,10,18,206,11.44,1,1.8,20.6,arkansas
Jordan Jones,SO,WR,12,17,191,11.24,1,1.4,15.9,arkansas
Deon Stewart,JR,WR,12,21,167,7.95,0,1.8,13.9,arkansas
Rakeem Boyd,SO,RB,12,23,165,7.17,0,1.9,13.8,arkansas
Austin Cantrell,JR,TE,12,8,119,14.88,1,0.7,9.9,arkansas
Jared Cornelius,SR,WR,11,8,102,12.75,0,0.7,9.3,arkansas
Devwah Whaley,JR,RB,7,8,87,10.88,0,1.1,12.4,arkansas
T.J. Hammonds,JR,RB,4,4,84,21.00,1,1.0,21.0,arkansas
Chase Hayden,SO,RB,12,11,61,5.55,0,0.9,5.1,arkansas
Chase Harrell,JR,WR,10,4,60,15.00,0,0.4,6.0,arkansas
Grayson Gunter,SO,TE,10,4,51,12.75,1,0.4,5.1,arkansas
Jeremy Patton,SR,TE,5,5,45,9.00,0,1.0,9.0,arkansas
Tyson Morris,FR,WR,11,4,30,7.50,1,0.4,2.7,arkansas
De’Vion Warren,SO,WR,9,3,14,4.67,1,0.3,1.6,arkansas
Koilan Jackson,FR,WR,3,1,13,13.00,0,0.3,4.3,arkansas
Nate Dalton,JR,DB,7,1,11,11.00,0,0.1,1.6,arkansas
Cole Kelley,SO,QB,9,0,9,-,0,0.0,1.0,arkansas
Jonathan Nance,SR,WR,4,1,-2,-2.00,0,0.3,-0.5,arkansas
Ty Storey,JR,QB,10,1,-5,-5.00,0,0.1,-0.5,arkansas
Kirk Merritt,JR,WR,13,83,1005,12.11,7,6.4,77.3,arkansas_state
Justin McInnis,SR,WR,13,61,748,12.26,5,4.7,57.5,arkansas_state
Omar Bayless,JR,WR,12,39,566,14.51,2,3.3,47.2,arkansas_state
"Jonathan Adams, Jr.",SO,WR,12,17,267,15.71,3,1.4,22.3,arkansas_state
Warren Wand,SR,RB,13,26,213,8.19,1,2.0,16.4,arkansas_state
Javonis Isaac,SO,TE,10,12,210,17.50,4,1.2,21.0,arkansas_state
Kendrick Edwards,SR,WR,11,12,197,16.42,2,1.1,17.9,arkansas_state
Marcel Murray,FR,RB,13,16,141,8.81,2,1.2,10.8,arkansas_state
Brandon Bowling,SO,WR,6,15,108,7.20,0,2.5,18.0,arkansas_state
Reed Tyler,FR,TE,13,10,52,5.20,1,0.8,4.0,arkansas_state
Justice Hansen,SR,QB,13,2,47,23.50,0,0.2,3.6,arkansas_state
Bubba Ogbebor,SO,WR,11,5,45,9.00,1,0.5,4.1,arkansas_state
Armond Weh-Weh,SR,RB,12,3,37,12.33,0,0.3,3.1,arkansas_state
Dahu Green,JR,WR,1,2,23,11.50,0,2.0,23.0,arkansas_state
Jordan Asberry,SR,RB,13,11,219,19.91,4,0.8,16.8,army
Kell Walker,JR,RB,11,11,170,15.45,1,1.0,15.5,army
Christian Hayes,JR,WR,12,7,152,21.71,1,0.6,12.7,army
Camden Harrison,SO,WR,13,4,129,32.25,1,0.3,9.9,army
Glen Coates,JR,WR,11,8,121,15.13,0,0.7,11.0,army
Calen Holt,SR,RB,11,3,117,39.00,0,0.3,10.6,army
Kjetil Cline,JR,WR,12,3,69,23.00,0,0.3,5.8,army
Artice Hobbs IV,SO,RB,7,1,15,15.00,0,0.1,2.1,army
Zack Boobas,SO,RB,3,1,14,14.00,0,0.3,4.7,army
Quinten Parker,SR,TE,13,1,14,14.00,0,0.1,1.1,army
Fred Cooper,SO,RB,4,1,12,12.00,0,0.3,3.0,army
Darnell Woolfolk,SR,RB,13,1,9,9.00,0,0.1,0.7,army
Darius Slayton,JR,WR,12,35,670,19.14,5,2.9,55.8,auburn
Ryan Davis,SR,WR,13,69,546,7.91,1,5.3,42.0,auburn
Seth Williams,FR,WR,13,26,534,20.54,5,2.0,41.1,auburn
Anthony Schwartz,FR,WR,13,22,357,16.23,2,1.7,27.5,auburn
JaTarvious Whitlow,FR,RB,13,15,173,11.53,2,1.2,13.3,auburn
Malik Miller,SO,RB,10,13,144,11.08,1,1.3,14.4,auburn
Sal Cannella,JR,TE,13,12,111,9.25,3,0.9,8.5,auburn
Chandler Cox,SR,FB,13,11,93,8.45,1,0.8,7.2,auburn
Kam Martin,JR,RB,12,10,64,6.40,0,0.8,5.3,auburn
John Samuel Shenker,FR,TE,12,3,40,13.33,1,0.3,3.3,auburn
Nate Craig-Myers,JR,WR,3,2,39,19.50,0,0.7,13.0,auburn
Asa Martin,FR,RB,6,2,36,18.00,0,0.3,6.0,auburn
