name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Donald Hammond III,JR,QB,13,553,1316,232,1869,8.06,143.8,air_force
Kadin Remsberg,JR,RB,13,1050,0,181,1050,5.80,80.8,air_force
Taven Birdow,SR,FB,13,839,0,180,839,4.66,64.5,air_force
Timothy Jackson,SO,FB,10,745,0,122,745,6.11,74.5,air_force
Mike Schmidt,SR,QB,6,133,147,23,280,12.17,46.7,air_force
Joshua Stoner,JR,RB,8,207,0,23,207,9.00,25.9,air_force
Christian Mallard,SR,RB,12,192,0,40,192,4.80,16.0,air_force
Isaiah Sanders,SR,QB,5,72,76,15,148,9.87,29.6,air_force
C Stevenson,,,6,11,63,4,74,18.50,12.3,air_force
Nolan Eriksen,SR,RB,9,47,0,7,47,6.71,5.2,air_force
Matthew Murla,JR,FB,9,44,0,10,44,4.40,4.9,air_force
Colton Parton,SR,FB,1,19,0,2,19,9.50,19.0,air_force
Omar Fattah,SO,FB,1,15,0,3,15,5.00,15.0,air_force
Jake Smith,,,1,11,0,1,11,11.00,11.0,air_force
Benjamin Waters,SR,WR,13,9,0,5,9,1.80,0.7,air_force
L Leviston,,,1,8,0,1,8,8.00,8.0,air_force
Qawi Ntsasa,,,1,4,0,1,4,4.00,4.0,air_force
Ben Peterson,JR,WR,13,3,0,1,3,3.00,0.2,air_force
Robert Gross,,,1,2,0,1,2,2.00,2.0,air_force
Dane Kinamon,FR,WR,10,0,0,1,0,0.00,0.0,air_force
Zachar Larrier,,,1,-3,0,1,-3,-3.00,-3.0,air_force
Geraud Sanders,SR,WR,13,-36,0,2,-36,-18.00,-2.8,air_force
Kato Nelson,JR,QB,10,116,1825,389,1941,4.99,194.1,akron
Zach Gibson,FR,QB,4,-72,425,95,353,3.72,88.3,akron
Brandon Lee,SO,RB,12,179,0,61,179,2.93,14.9,akron
Peter Hayes-Patrick,FR,RB,7,138,0,41,138,3.37,19.7,akron
Michiah Burton,FR,RB,11,117,0,38,117,3.08,10.6,akron
Deltron Sands,SR,RB,6,91,0,35,91,2.60,15.2,akron
Robbie Kelley,SR,QB,8,-5,75,35,70,2.00,8.8,akron
Decavilon Reese,,,2,43,0,10,43,4.30,21.5,akron
T.J. DeShields,FR,QB,3,4,22,10,26,2.60,8.7,akron
Michael Mathison,FR,WR,10,10,0,2,10,5.00,1.0,akron
Jeremiah Knight,SO,WR,12,3,0,1,3,3.00,0.3,akron
Maverick Wolfley,SO,TE,7,2,0,1,2,2.00,0.3,akron
Dustin Burkhart,JR,WR,4,1,0,1,1,1.00,0.3,akron
Julian Hicks,SO,WR,10,1,0,1,1,1.00,0.1,akron
Nate Stewart,JR,WR,12,0,0,1,0,0.00,0.0,akron
Tua Tagovailoa,JR,QB,9,17,2840,275,2857,10.39,317.4,alabama
Mac Jones,SO,QB,12,36,1503,157,1539,9.80,128.3,alabama
Najee Harris,JR,RB,13,1224,0,209,1224,5.86,94.2,alabama
Brian Robinson Jr.,JR,RB,13,441,0,96,441,4.59,33.9,alabama
Keilan Robinson,FR,RB,8,254,0,39,254,6.51,31.8,alabama
Jerome Ford,FR,RB,4,114,0,24,114,4.75,28.5,alabama
Taulia Tagovailoa,FR,QB,5,-2,100,13,98,7.54,19.6,alabama
Henry Ruggs III,JR,WR,12,75,0,2,75,37.50,6.3,alabama
Chadarius Townsend,SO,RB,6,22,0,8,22,2.75,3.7,alabama
Slade Bolden,FR,WR,13,10,6,5,16,3.20,1.2,alabama
Tyrell Shavers,SO,WR,13,14,0,1,14,14.00,1.1,alabama
De'Marquise Lockridge,SR,RB,1,12,0,2,12,6.00,12.0,alabama
Jaylen Waddle,SO,WR,13,5,0,1,5,5.00,0.4,alabama
Jerry Jeudy,JR,WR,13,1,0,1,1,1.00,0.1,alabama
Ty Perine,FR,PK,6,-19,0,1,-19,-19.00,-3.2,alabama
Zac Thomas,JR,QB,14,436,2718,463,3154,6.81,225.3,appalachian_state
Darrynton Evans,JR,RB,14,1484,14,256,1498,5.85,107.0,appalachian_state
Marcus Williams Jr.,JR,RB,14,652,0,113,652,5.77,46.6,appalachian_state
Daetrich Harrington,SO,RB,8,319,0,50,319,6.38,39.9,appalachian_state
Raykwon Anderson,FR,RB,9,223,0,34,223,6.56,24.8,appalachian_state
Jacob Huesman,JR,QB,5,1,92,8,93,11.63,18.6,appalachian_state
Nakendrick Clark,JR,RB,9,43,0,11,43,3.91,4.8,appalachian_state
Jalen Virgil,JR,WR,14,42,0,10,42,4.20,3.0,appalachian_state
Camerun Peoples,FR,RB,1,23,0,3,23,7.67,23.0,appalachian_state
Gabe Montgomery,SO,RB,2,16,0,4,16,4.00,8.0,appalachian_state
Malik Williams,JR,WR,14,16,0,7,16,2.29,1.1,appalachian_state
Thomas Hennigan,JR,WR,14,4,0,1,4,4.00,0.3,appalachian_state
Jackson Gibbs,SO,QB,4,-2,0,2,-2,-1.00,-0.5,appalachian_state
Khalil Tate,SR,QB,11,413,1954,356,2367,6.65,215.2,arizona
Grant Gunnell,FR,QB,8,14,1239,187,1253,6.70,156.6,arizona
J.J. Taylor,JR,RB,11,721,0,148,721,4.87,65.5,arizona
Gary Brightwell,JR,RB,11,390,0,66,390,5.91,35.5,arizona
Nathan Tilford,SO,RB,9,228,0,37,228,6.16,25.3,arizona
Darrius Smith,FR,RB,9,203,0,34,203,5.97,22.6,arizona
Michael Wiley,FR,RB,12,106,0,31,106,3.42,8.8,arizona
Brian Casteel,JR,WR,12,22,0,4,22,5.50,1.8,arizona
Nazar Bombata,FR,RB,9,12,0,2,12,6.00,1.3,arizona
Jamarye Joiner,FR,WR,12,0,0,1,0,0.00,0.0,arizona
Tayvian Cunningham,JR,WR,12,-1,0,1,-1,-1.00,-0.1,arizona
Rhett Rodriguez,JR,QB,1,-3,0,1,-3,-3.00,-3.0,arizona
Jayden Daniels,FR,QB,12,355,2943,463,3298,7.12,274.8,arizona_state
