name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Jalen Robinette,SR,WR,13,35,959,27.40,6,2.7,73.8,air_force
Timothy McVey,JR,RB,13,8,193,24.13,2,0.6,14.8,air_force
Ryan Reffitt,JR,TE,13,8,173,21.63,2,0.6,13.3,air_force
Ronald Cleveland,SO,WR,13,4,162,40.50,3,0.3,12.5,air_force
Tyler Williams,JR,WR,13,6,136,22.67,0,0.5,10.5,air_force
Shayne Davern,SR,RB,12,4,69,17.25,0,0.3,5.8,air_force
Jacobi Owens,SR,RB,13,3,60,20.00,1,0.2,4.6,air_force
Jerome Lane,JR,WR,12,62,1018,16.42,6,5.2,84.8,akron
"JoJo Natson, Jr.",SR,WR,12,59,837,14.19,10,4.9,69.8,akron
Austin Wolf,JR,WR,12,36,550,15.28,5,3.0,45.8,akron
A.J. Coney,JR,WR,12,15,173,11.53,1,1.3,14.4,akron
Kwadarrius Smith,SO,WR,10,6,147,24.50,1,0.6,14.7,akron
Mykel Traylor-Bennett,JR,TE,9,9,97,10.78,1,1.0,10.8,akron
"Van Edwards, Jr.",SO,RB,11,8,81,10.13,1,0.7,7.4,akron
Anthony Young,JR,WR,2,8,59,7.38,0,4.0,29.5,akron
Kevin Gladney,JR,WR,7,3,25,8.33,0,0.4,3.6,akron
Anthony Lauro,SO,WR,9,3,18,6.00,0,0.3,2.0,akron
"Denzel Jones, Jr.",SR,RB,12,1,18,18.00,0,0.1,1.5,akron
Newman Williams,SO,TE,8,2,16,8.00,0,0.3,2.0,akron
Warren Ball,SR,RB,2,2,13,6.50,0,1.0,6.5,akron
Manny Morgan,JR,RB,11,2,8,4.00,0,0.2,0.7,akron
Tyrell Goodman,SR,WR,10,1,3,3.00,0,0.1,0.3,akron
ArDarius Stewart,JR,WR,12,54,864,16.00,8,4.5,72.0,alabama
Calvin Ridley,SO,WR,15,72,769,10.68,7,4.8,51.3,alabama
O.J. Howard,SR,TE,15,45,595,13.22,3,3.0,39.7,alabama
Gehrig Dieter,SR,WR,15,15,214,14.27,4,1.0,14.3,alabama
Josh Jacobs,FR,RB,15,14,156,11.14,0,0.9,10.4,alabama
Cam Sims,JR,WR,14,14,152,10.86,0,1.0,10.9,alabama
Damien Harris,SO,RB,15,14,99,7.07,2,0.9,6.6,alabama
Trevon Diggs,FR,WR,15,11,88,8.00,1,0.7,5.9,alabama
Miller Forristall,FR,TE,15,5,73,14.60,0,0.3,4.9,alabama
Robert Foster,JR,WR,10,5,55,11.00,0,0.5,5.5,alabama
Derek Kief,SO,WR,12,4,31,7.75,0,0.3,2.6,alabama
Bo Scarbrough,SO,RB,13,4,22,5.50,0,0.3,1.7,alabama
B.J. Emmons,FR,RB,7,2,20,10.00,0,0.3,2.9,alabama
Hale Hentges,SO,TE,15,3,10,3.33,0,0.2,0.7,alabama
Brandon Greene,SR,TE,14,1,5,5.00,0,0.1,0.4,alabama
Mack Wilson,FR,LB,15,1,1,1.00,1,0.1,0.1,alabama
Derrick Gore,SO,RB,11,1,0,0.00,0,0.1,0.0,alabama
Shaedon Meadors,JR,WR,13,45,716,15.91,2,3.5,55.1,appalachian_state
Jaquil Capel,SR,WR,12,25,290,11.60,1,2.1,24.2,appalachian_state
Ike Lewis,JR,WR,9,18,236,13.11,1,2.0,26.2,appalachian_state
Barrett Burns,SR,TE,12,19,227,11.95,3,1.6,18.9,appalachian_state
Zy Letman,JR,WR,12,10,165,16.50,1,0.8,13.8,appalachian_state
Deltron Hopkins,SO,WR,10,23,151,6.57,2,2.3,15.1,appalachian_state
Marcus Cox,SR,RB,9,14,112,8.00,1,1.6,12.4,appalachian_state
Dante Jones,JR,WR,12,10,94,9.40,1,0.8,7.8,appalachian_state
T.J. Watkins,FR,WR,6,8,78,9.75,0,1.3,13.0,appalachian_state
Mock Adams,FR,WR,11,6,63,10.50,1,0.5,5.7,appalachian_state
Jaylan Barbour,SO,WR,11,6,45,7.50,1,0.5,4.1,appalachian_state
Levi Duffield,JR,TE,12,1,36,36.00,1,0.1,3.0,appalachian_state
Darrynton Evans,FR,ATH,12,6,34,5.67,0,0.5,2.8,appalachian_state
Jalin Moore,SO,RB,13,5,32,6.40,0,0.4,2.5,appalachian_state
Collin Reed,FR,TE,8,4,27,6.75,1,0.5,3.4,appalachian_state
Brad Absher,SO,WR,9,2,17,8.50,0,0.2,1.9,appalachian_state
Bill Cecil,JR,TE,7,1,4,4.00,0,0.1,0.6,appalachian_state
Shun Brown,SO,WR,12,29,521,17.97,3,2.4,43.4,arizona
Nate Phillips,SR,WR,11,33,414,12.55,2,3.0,37.6,arizona
Trey Griffey,SR,WR,12,23,382,16.61,2,1.9,31.8,arizona
Samajie Grant,SR,WR,12,22,247,11.23,3,1.8,20.6,arizona
Cam Denson,JR,WR,12,15,242,16.13,2,1.3,20.2,arizona
Shawn Poindexter,JR,WR,10,6,82,13.67,0,0.6,8.2,arizona
Trevor Wood,SO,TE,12,7,49,7.00,0,0.6,4.1,arizona
Cedric Peterson,FR,WR,6,3,47,15.67,0,0.5,7.8,arizona
Tyrell Johnson,JR,WR,7,5,46,9.20,0,0.7,6.6,arizona
Josh Kern,SR,TE,12,5,41,8.20,1,0.4,3.4,arizona
Tony Ellison,SO,WR,9,2,19,9.50,0,0.2,2.1,arizona
J.J. Taylor,FR,RB,4,2,16,8.00,0,0.5,4.0,arizona
Devaughn Cooper,FR,WR,2,1,15,15.00,0,0.5,7.5,arizona
Nick Wilson,JR,RB,5,2,11,5.50,0,0.4,2.2,arizona
Zach Green,JR,RB,11,2,5,2.50,0,0.2,0.5,arizona
Tim White,SR,WR,12,56,713,12.73,2,4.7,59.4,arizona_state
N'Keal Harry,FR,WR,12,58,659,11.36,5,4.8,54.9,arizona_state
Kalen Ballage,JR,RB,12,44,469,10.66,1,3.7,39.1,arizona_state
Frederick Gammage,SR,WR,12,26,334,12.85,2,2.2,27.8,arizona_state
Jalen Harvey,SO,WR,11,21,330,15.71,0,1.9,30.0,arizona_state
Cameron Smith,JR,WR,7,11,183,16.64,0,1.6,26.1,arizona_state
Demario Richard,JR,RB,11,17,136,8.00,0,1.5,12.4,arizona_state
Kody Kohl,SR,TE,11,7,93,13.29,2,0.6,8.5,arizona_state
Jay Jay Wilson,SO,TE,9,4,81,20.25,3,0.4,9.0,arizona_state
Kyle Williams,FR,WR,11,6,56,9.33,0,0.5,5.1,arizona_state
Ellis Jefferson,JR,WR,11,2,21,10.50,0,0.2,1.9,arizona_state
Ryan Jenkins,JR,WR,5,2,13,6.50,0,0.4,2.6,arizona_state
Raymond Epps,JR,TE,11,1,13,13.00,1,0.1,1.2,arizona_state
Nick Ralston,FR,RB,12,2,10,5.00,0,0.2,0.8,arizona_state
Keon Hatcher,SR,WR,12,44,743,16.89,8,3.7,61.9,arkansas
Drew Morgan,SR,WR,13,65,739,11.37,3,5.0,56.8,arkansas
Jared Cornelius,JR,WR,11,32,515,16.09,4,2.9,46.8,arkansas
Jeremy Sprinkle,SR,TE,13,33,380,11.52,4,2.5,29.2,arkansas
Dominique Reed,SR,WR,13,16,255,15.94,2,1.2,19.6,arkansas
Rawleigh Williams III,SO,RB,13,15,220,14.67,1,1.2,16.9,arkansas
Cody Hollister,SR,WR,12,10,140,14.00,0,0.8,11.7,arkansas
Devwah Whaley,FR,RB,13,6,139,23.17,0,0.5,10.7,arkansas
Austin Cantrell,FR,TE,13,13,120,9.23,2,1.0,9.2,arkansas
Cheyenne O'Grady,FR,TE,5,3,63,21.00,1,0.6,12.6,arkansas
Deon Stewart,FR,WR,12,2,34,17.00,0,0.2,2.8,arkansas
Grayson Gunter,FR,TE,12,1,29,29.00,0,0.1,2.4,arkansas
Hayden Johnson,FR,FB,11,2,25,12.50,0,0.2,2.3,arkansas
Kody Walker,SR,RB,8,3,21,7.00,0,0.4,2.6,arkansas
La'Michael Pettway,FR,WR,11,1,10,10.00,1,0.1,0.9,arkansas
Kendrick Jackson,SO,FB,13,1,1,1.00,0,0.1,0.1,arkansas
Blake Mack,JR,TE,13,34,652,19.18,3,2.6,50.2,arkansas_state
Kendall Sanders,SR,WR,13,38,553,14.55,7,2.9,42.5,arkansas_state
Cam Echols-Luper,JR,WR,13,26,407,15.65,1,2.0,31.3,arkansas_state
Chris Murray,JR,WR,12,22,327,14.86,1,1.8,27.3,arkansas_state
Dijon Paschal,JR,WR,13,22,308,14.00,3,1.7,23.7,arkansas_state
Warren Wand,SO,RB,13,24,279,11.63,3,1.8,21.5,arkansas_state
Christian Booker,JR,WR,9,19,194,10.21,0,2.1,21.6,arkansas_state
Omar Bayless,FR,WR,12,13,117,9.00,1,1.1,9.8,arkansas_state
Justin McInnis,JR,WR,13,10,83,8.30,1,0.8,6.4,arkansas_state
Sterling Stowers,JR,WR,13,11,82,7.45,1,0.8,6.3,arkansas_state
Johnston White,JR,RB,12,7,64,9.14,0,0.6,5.3,arkansas_state
Chris Humes,SR,DB,13,1,31,31.00,0,0.1,2.4,arkansas_state
Daryl Rollins-Davis,SO,RB,11,2,27,13.50,0,0.2,2.5,arkansas_state
Jaylon Marshall,FR,WR,5,1,13,13.00,0,0.2,2.6,arkansas_state
Logan Moragne,SO,RB,13,1,11,11.00,0,0.1,0.8,arkansas_state
Edgar Poe,SR,WR,10,16,336,21.00,3,1.6,33.6,army
Christian Poe,SO,WR,12,10,133,13.30,0,0.8,11.1,army
Jeff Ejekam,JR,WR,13,9,110,12.22,1,0.7,8.5,army
Jordan Asberry,SO,RB,13,5,100,20.00,1,0.4,7.7,army
Tyler Campbell,SO,RB,12,2,71,35.50,0,0.2,5.9,army
Joe Walker,SR,RB,12,3,65,21.67,2,0.3,5.4,army
Dalton Mendenhall,SR,TE,7,1,39,39.00,0,0.1,5.6,army
Kell Walker,FR,RB,13,2,30,15.00,0,0.2,2.3,army
Quinten Parker,SO,TE,13,1,24,24.00,0,0.1,1.8,army
Elijah St. Hilaire,SR,RB,12,1,19,19.00,0,0.1,1.6,army
Glen Coates,FR,WR,11,1,15,15.00,0,0.1,1.4,army
Ahmad Bradshaw,JR,QB,12,1,12,12.00,0,0.1,1.0,army
Jermaine Adams,JR,WR,8,1,9,9.00,0,0.1,1.1,army
John Trainor,JR,RB,11,1,4,4.00,0,0.1,0.4,army
Tony Stevens,SR,WR,11,31,487,15.71,3,2.8,44.3,auburn
Darius Slayton,FR,WR,13,15,292,19.47,1,1.2,22.5,auburn
Kyle Davis,FR,WR,13,12,248,20.67,2,0.9,19.1,auburn
Eli Stove,FR,WR,12,23,224,9.74,0,1.9,18.7,auburn
Ryan Davis,SO,WR,13,25,194,7.76,1,1.9,14.9,auburn
Marcus Davis,SR,WR,10,17,160,9.41,0,1.7,16.0,auburn
Kerryon Johnson,SO,RB,12,17,125,7.35,0,1.4,10.4,auburn
Stanton Truitt,SO,RB,11,7,100,14.29,1,0.6,9.1,auburn
Will Hastings,SO,K,11,11,98,8.91,1,1.0,8.9,auburn
Nate Craig-Myers,FR,WR,10,4,70,17.50,1,0.4,7.0,auburn
Jason Smith,JR,WR,10,4,60,15.00,0,0.4,6.0,auburn
Kam Martin,FR,RB,10,2,52,26.00,0,0.2,5.2,auburn
Chandler Cox,SO,FB,12,4,41,10.25,0,0.3,3.4,auburn
Johnathan Ford,SR,DB,12,1,25,25.00,0,0.1,2.1,auburn
