name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Jalen Harris,SO,TE,13,2,16,8.00,2,0.2,1.2,auburn
Kamryn Pettway,SO,RB,10,2,14,7.00,0,0.2,1.4,auburn
John Franklin III,JR,QB,13,1,-3,-3.00,0,0.1,-0.2,auburn
KeVonn Mabon,SR,WR,12,85,972,11.44,3,7.1,81.0,ball_state
Damon Hazelton Jr.,FR,WR,11,51,505,9.90,4,4.6,45.9,ball_state
Corey Lacanaria,JR,WR,11,33,341,10.33,2,3.0,31.0,ball_state
Jordan Hogue,JR,WR,11,20,170,8.50,1,1.8,15.5,ball_state
Cywettnie Brown,SR,WR,8,5,168,33.60,1,0.6,21.0,ball_state
Aaron Hepp,SR,WR,12,13,164,12.62,1,1.1,13.7,ball_state
Darian Green,JR,RB,8,24,124,5.17,0,3.0,15.5,ball_state
Devin Reece,SO,WR,12,10,110,11.00,1,0.8,9.2,ball_state
Sam Brunner,SR,TE,12,8,80,10.00,1,0.7,6.7,ball_state
Teddy Williamson,SR,RB,11,6,40,6.67,0,0.5,3.6,ball_state
Malik Dunner,FR,RB,10,3,38,12.67,0,0.3,3.8,ball_state
James Gilbert,SO,RB,12,1,18,18.00,0,0.1,1.5,ball_state
Riley Neal,SO,QB,11,1,10,10.00,0,0.1,0.9,ball_state
Danny Pinter,FR,TE,12,3,10,3.33,0,0.3,0.8,ball_state
KD Cannon,JR,WR,12,87,1215,13.97,13,7.3,101.3,baylor
Ishmael Zamora,SO,WR,10,63,809,12.84,8,6.3,80.9,baylor
Chris Platt,SO,WR,13,35,567,16.20,4,2.7,43.6,baylor
Blake Lynch,FR,WR,11,34,404,11.88,3,3.1,36.7,baylor
Pooh Stricklin,FR,WR,8,13,226,17.38,2,1.6,28.3,baylor
Lynx Hawthorne,SR,WR,11,6,106,17.67,0,0.5,9.6,baylor
Jordan Feuerbacher,JR,TE,13,7,104,14.86,2,0.5,8.0,baylor
Quan Jones,JR,WR,6,5,56,11.20,0,0.8,9.3,baylor
Jared Atkinson,FR,WR,9,4,44,11.00,0,0.4,4.9,baylor
Sam Tecklenburg,FR,TE,13,3,40,13.33,1,0.2,3.1,baylor
JaMycal Hasty,FR,RB,12,3,26,8.67,0,0.3,2.2,baylor
Denzel Mims,FR,WR,11,4,24,6.00,0,0.4,2.2,baylor
Terence Williams,SO,RB,12,2,22,11.00,0,0.2,1.8,baylor
Shock Linwood,SR,RB,11,2,6,3.00,0,0.2,0.5,baylor
Zach Smith,FR,QB,10,1,3,3.00,0,0.1,0.3,baylor
Thomas Sperbeck,SR,WR,13,80,1272,15.90,9,6.2,97.8,boise_state
Cedrick Wilson,JR,WR,13,56,1129,20.16,11,4.3,86.8,boise_state
Jeremy McNichols,JR,RB,13,37,474,12.81,4,2.8,36.5,boise_state
Chaz Anderson,SR,WR,13,30,386,12.87,0,2.3,29.7,boise_state
Sean Modster,SO,WR,10,8,135,16.88,0,0.8,13.5,boise_state
Alec Dhaenens,JR,TE,13,15,119,7.93,2,1.2,9.2,boise_state
Jake Roh,JR,TE,11,10,113,11.30,0,0.9,10.3,boise_state
Jake Knight,SO,TE,13,2,56,28.00,0,0.2,4.3,boise_state
Alexander Mattison,FR,RB,13,5,54,10.80,0,0.4,4.2,boise_state
A.J. Richardson,SO,WR,13,2,42,21.00,1,0.2,3.2,boise_state
Brett Rypien,SO,QB,13,1,33,33.00,1,0.1,2.5,boise_state
Chase Blakley,SO,TE,13,2,31,15.50,0,0.2,2.4,boise_state
Akilian Butler,SO,WR,10,3,25,8.33,0,0.3,2.5,boise_state
Devan Demas,SR,RB,8,1,5,5.00,0,0.1,0.6,boise_state
Steven Baggett,SR,OL,13,1,4,4.00,0,0.1,0.3,boise_state
Michael Walker,SO,WR,13,33,420,12.73,4,2.5,32.3,boston_college
Jeff Smith,SO,WR,13,27,395,14.63,3,2.1,30.4,boston_college
Tommy Sweeney,SO,TE,13,26,353,13.58,3,2.0,27.2,boston_college
Charlie Callinan,JR,WR,13,24,286,11.92,1,1.8,22.0,boston_college
Davon Jones,FR,RB,13,10,99,9.90,0,0.8,7.6,boston_college
Chris Garrison,FR,WR,5,5,90,18.00,0,1.0,18.0,boston_college
Tyler Rouse,SR,RB,13,9,86,9.56,1,0.7,6.6,boston_college
Colton Cardinal,SO,FB,11,3,52,17.33,0,0.3,4.7,boston_college
Korab Idrizi,FR,TE,7,2,25,12.50,0,0.3,3.6,boston_college
Patrick Towles,SR,QB,13,2,25,12.50,1,0.2,1.9,boston_college
Thadd Smith,JR,WR,13,4,24,6.00,0,0.3,1.8,boston_college
Myles Willis,SR,RB,13,1,8,8.00,0,0.1,0.6,boston_college
Ben Glines,FR,WR,12,2,3,1.50,0,0.2,0.3,boston_college
Jon Hilliman,SO,RB,12,1,2,2.00,0,0.1,0.2,boston_college
Bobby Wolford,SR,FB,11,1,1,1.00,1,0.1,0.1,boston_college
Scott Miller,SO,WR,12,74,968,13.08,10,6.2,80.7,bowling_green
Ronnie Moore,SR,WR,12,42,513,12.21,1,3.5,42.8,bowling_green
Teo Redding,JR,WR,12,31,423,13.65,3,2.6,35.3,bowling_green
Marquis Zimmerman,FR,WR,10,22,184,8.36,1,2.2,18.4,bowling_green
Deric Phouthavong,SO,WR,12,15,170,11.33,1,1.3,14.2,bowling_green
Janarvis Pough,FR,WR,11,12,125,10.42,0,1.1,11.4,bowling_green
Hunter Folkertsma,JR,TE,12,7,93,13.29,1,0.6,7.8,bowling_green
Vanel Dossous,JR,WR,11,9,79,8.78,0,0.8,7.2,bowling_green
Fred Coppet,SR,RB,12,15,79,5.27,0,1.3,6.6,bowling_green
Josh Cleveland,JR,RB,11,9,41,4.56,0,0.8,3.7,bowling_green
Donovan Wilson,JR,RB,12,4,34,8.50,1,0.3,2.8,bowling_green
Leonard Skattebo,JR,FB,12,1,8,8.00,1,0.1,0.7,bowling_green
Terence Stephens Jr.,FR,RB,9,2,-4,-2.00,0,0.2,-0.4,bowling_green
Mason Schreck,SR,TE,12,59,651,11.03,4,4.9,54.3,buffalo
Marcus McGill,SR,WR,12,40,573,14.33,0,3.3,47.8,buffalo
Malcolm Robinson,SR,WR,12,22,277,12.59,1,1.8,23.1,buffalo
Kamathi Holsey,JR,WR,12,19,189,9.95,1,1.6,15.8,buffalo
Jamarl Eiland,JR,WR,12,18,175,9.72,1,1.5,14.6,buffalo
Jacob Martinez,JR,WR,7,7,121,17.29,1,1.0,17.3,buffalo
Johnathan Hawkins,SO,RB,12,21,119,5.67,1,1.8,9.9,buffalo
K.J. Osborn,FR,WR,12,8,105,13.13,1,0.7,8.8,buffalo
Jordan Johnson,SR,RB,12,9,101,11.22,1,0.8,8.4,buffalo
Tyler Mabry,FR,TE,12,9,95,10.56,0,0.8,7.9,buffalo
Nick Kurtz,SR,WR,13,49,541,11.04,2,3.8,41.6,byu
Colby Pearson,SR,WR,13,38,384,10.11,4,2.9,29.5,byu
Mitchell Juergens,SR,WR,13,34,333,9.79,2,2.6,25.6,byu
Jonah Trinnaman,JR,WR,13,28,321,11.46,1,2.2,24.7,byu
Moroni Laulu-Pututau,SO,WR,13,27,277,10.26,2,2.1,21.3,byu
Tanner Balderree,JR,TE,13,13,156,12.00,2,1.0,12.0,byu
Brayden El-Bakri,SO,RB,13,5,88,17.60,0,0.4,6.8,byu
Jamaal Williams,SR,RB,10,7,80,11.43,0,0.7,8.0,byu
KJ Hall,FR,RB,4,5,78,15.60,0,1.3,19.5,byu
Algernon Brown,SR,RB,13,6,67,11.17,0,0.5,5.2,byu
Hunter Marshall,SO,TE,12,7,66,9.43,1,0.6,5.5,byu
Aleva Hifo,FR,WR,13,11,58,5.27,0,0.8,4.5,byu
Talon Shumway,FR,WR,7,3,49,16.33,0,0.4,7.0,byu
Garrett Juergens,SR,WR,13,4,36,9.00,1,0.3,2.8,byu
Nate Sampson,SO,TE,4,1,12,12.00,0,0.3,3.0,byu
Corbin Kaufusi,SO,DL,13,1,9,9.00,0,0.1,0.7,byu
Squally Canada,SO,RB,12,3,7,2.33,0,0.3,0.6,byu
Beau Tanner,SO,WR,10,1,5,5.00,0,0.1,0.5,byu
Ului Lapuaho,JR,OL,2,1,4,4.00,0,0.5,2.0,byu
Quin Ficklin,SO,OL,7,1,2,2.00,0,0.1,0.3,byu
Chad Hansen,JR,WR,10,92,1249,13.58,11,9.2,124.9,california
Demetris Robertson,FR,WR,12,50,767,15.34,7,4.2,63.9,california
Melquise Stovall,FR,WR,10,42,415,9.88,3,4.2,41.5,california
Bug Rivera,SR,WR,12,41,386,9.41,3,3.4,32.2,california
Jordan Veasy,JR,WR,12,25,306,12.24,3,2.1,25.5,california
Vic Wharton III,SO,WR,11,28,293,10.46,1,2.5,26.6,california
Tre Watson,JR,RB,12,21,241,11.48,4,1.8,20.1,california
Raymond Hudson,JR,WR,11,16,165,10.31,3,1.5,15.0,california
Khalfani Muhammad,SR,RB,11,17,132,7.76,0,1.5,12.0,california
Brandon Singleton,FR,WR,9,15,110,7.33,1,1.7,12.2,california
Patrick Worstell,SR,WR,10,9,82,9.11,0,0.9,8.2,california
Jack Austin,JR,WR,12,5,47,9.40,0,0.4,3.9,california
Kanawai Noa,SO,WR,4,3,34,11.33,0,0.8,8.5,california
Jordan Duncan,FR,WR,11,7,31,4.43,1,0.6,2.8,california
Malik McMorris,SO,TE,12,2,26,13.00,0,0.2,2.2,california
Evan Weaver,FR,DE,11,1,11,11.00,0,0.1,1.0,california
Vic Enwere,JR,RB,6,4,10,2.50,0,0.7,1.7,california
Billy McCrary III,SO,RB,11,2,3,1.50,0,0.2,0.3,california
Patrick Laird,SO,RB,12,3,-2,-0.67,0,0.3,-0.2,california
Corey Willis,JR,WR,13,71,1087,15.31,9,5.5,83.6,central_michigan
Mark Chapman,JR,WR,13,44,592,13.45,4,3.4,45.5,central_michigan
Tyler Conklin,JR,TE,13,42,560,13.33,6,3.2,43.1,central_michigan
Brandon Childress,FR,WR,11,23,327,14.22,1,2.1,29.7,central_michigan
Jesse Kroll,SR,WR,4,13,214,16.46,1,3.3,53.5,central_michigan
Devon Spalding,JR,RB,11,31,204,6.58,1,2.8,18.5,central_michigan
Jahray Hayes,SR,RB,13,12,120,10.00,0,0.9,9.2,central_michigan
Zach Crouch,JR,TE,10,4,86,21.50,0,0.4,8.6,central_michigan
Joe Bacci,SR,RB,13,9,84,9.33,0,0.7,6.5,central_michigan
Jonathan Ward,FR,RB,8,8,69,8.63,0,1.0,8.6,central_michigan
Austin Stewart,SR,WR,9,6,65,10.83,0,0.7,7.2,central_michigan
Anthony Rice,SR,WR,10,5,56,11.20,0,0.5,5.6,central_michigan
Eric Cooper,JR,WR,4,4,41,10.25,0,1.0,10.3,central_michigan
Jonathan Carson,SO,TE,3,1,33,33.00,0,0.3,11.0,central_michigan
Nate Brisson-Fast,SO,DL,13,1,18,18.00,0,0.1,1.4,central_michigan
Jay Roberson,JR,RB,3,2,11,5.50,0,0.7,3.7,central_michigan
Trevor Thomas,JR,RB,13,1,11,11.00,1,0.1,0.8,central_michigan
Jamil Sabbagh,FR,WR,5,1,6,6.00,0,0.2,1.2,central_michigan
Malik Fountain,SO,LB,13,1,4,4.00,0,0.1,0.3,central_michigan
Cooper Rush,SR,QB,13,1,1,1.00,0,0.1,0.1,central_michigan
Austin Duke,SR,WR,12,59,803,13.61,4,4.9,66.9,charlotte
T.L. Ford II,JR,WR,12,36,430,11.94,4,3.0,35.8,charlotte
Workpeh Kofa,SO,WR,12,27,329,12.19,5,2.3,27.4,charlotte
Kalif Phillips,SR,RB,11,20,242,12.10,1,1.8,22.0,charlotte
Kyle Hoffman,SR,HB,12,11,96,8.73,1,0.9,8.0,charlotte
Uriah LeMay,JR,WR,11,9,91,10.11,0,0.8,8.3,charlotte
Nate Mullen,FR,WR,12,12,85,7.08,0,1.0,7.1,charlotte
Justin Bolus,SR,HB,11,8,73,9.13,2,0.7,6.6,charlotte
Juwan Foggie,SO,WR,12,6,57,9.50,0,0.5,4.8,charlotte
Mark Quattlebaum,SO,WR,6,4,36,9.00,0,0.7,6.0,charlotte
Ben LeMay,FR,RB,10,5,28,5.60,0,0.5,2.8,charlotte
Robert Washington,FR,RB,12,13,28,2.15,0,1.1,2.3,charlotte
Zach Bumgarner,SR,HB,12,1,9,9.00,0,0.1,0.8,charlotte
Chris Montgomery,JR,WR,12,3,6,2.00,0,0.3,0.5,charlotte
Devin Gray,JR,WR,12,58,860,14.83,5,4.8,71.7,cincinnati
Kahlil Lewis,SO,WR,12,48,605,12.60,5,4.0,50.4,cincinnati
Nate Cole,SR,WR,12,57,518,9.09,4,4.8,43.2,cincinnati
Mike Boone,JR,RB,9,20,249,12.45,0,2.2,27.7,cincinnati
Tion Green,SR,RB,12,29,167,5.76,0,2.4,13.9,cincinnati
Thomas Geddis,FR,WR,8,7,139,19.86,1,0.9,17.4,cincinnati
Avery Johnson,SO,WR,10,8,123,15.38,0,0.8,12.3,cincinnati
Tshumbi Johnson,JR,WR,10,6,104,17.33,0,0.6,10.4,cincinnati
Jerron Rollins,FR,WR,11,6,94,15.67,1,0.5,8.5,cincinnati
Josiah Deguara,FR,TE,11,4,47,11.75,0,0.4,4.3,cincinnati
DJ Dowdy,SR,TE,12,4,44,11.00,2,0.3,3.7,cincinnati
Tyler Cogswell,JR,TE,12,2,42,21.00,0,0.2,3.5,cincinnati
Brayden Beard,FR,WR,12,5,34,6.80,0,0.4,2.8,cincinnati
Hayden Moore,SO,QB,7,1,29,29.00,1,0.1,4.1,cincinnati
Chad Banschbach,JR,RB,10,3,11,3.67,0,0.3,1.1,cincinnati
Sam Geraci,JR,P,12,1,5,5.00,0,0.1,0.4,cincinnati
Mike Williams,JR,WR,15,98,1361,13.89,11,6.5,90.7,clemson
Jordan Leggett,SR,TE,15,46,736,16.00,7,3.1,49.1,clemson
Deon Cain,SO,WR,15,38,724,19.05,9,2.5,48.3,clemson
Artavis Scott,JR,WR,15,76,614,8.08,5,5.1,40.9,clemson
Hunter Renfrow,SO,WR,11,44,495,11.25,6,4.0,45.0,clemson
Ray-Ray McCloud,SO,WR,14,49,472,9.63,2,3.5,33.7,clemson
Wayne Gallman,JR,RB,15,20,152,7.60,0,1.3,10.1,clemson
Trevion Thompson,SO,WR,13,11,108,9.82,1,0.8,8.3,clemson
Cornell Powell,FR,WR,9,12,87,7.25,0,1.3,9.7,clemson
C.J. Fuller,SO,RB,15,7,62,8.86,2,0.5,4.1,clemson
Diondre Overton,FR,WR,8,2,48,24.00,1,0.3,6.0,clemson
Seth Ryan,JR,WR,15,4,39,9.75,0,0.3,2.6,clemson
Adam Choice,SO,RB,11,4,38,9.50,0,0.4,3.5,clemson
Cannon Smith,SO,TE,15,2,25,12.50,0,0.1,1.7,clemson
Garrett Williams,SO,TE,15,2,19,9.50,0,0.1,1.3,clemson
Tyshon Dye,JR,RB,7,2,11,5.50,0,0.3,1.6,clemson
Milan Richard,SO,TE,15,1,9,9.00,0,0.1,0.6,clemson
Grant Radakovich,SR,TE,15,1,8,8.00,0,0.1,0.5,clemson
Sean Mac Lain,SR,WR,3,1,3,3.00,0,0.3,1.0,clemson
Christian Wilkins,SO,DL,15,1,1,1.00,1,0.1,0.1,clemson
Jack Swinney,JR,WR,2,1,-3,-3.00,0,0.5,-1.5,clemson
Shay Fields,JR,WR,14,56,883,15.77,9,4.0,63.1,colorado
Devin Ross,JR,WR,14,69,787,11.41,5,4.9,56.2,colorado
Bryce Bobo,JR,WR,13,44,548,12.45,2,3.4,42.2,colorado
Phillip Lindsay,JR,TB,14,53,493,9.30,1,3.8,35.2,colorado
Jay MacIntyre,SO,WR,14,32,412,12.88,1,2.3,29.4,colorado
Kabion Ento,JR,WR,14,8,174,21.75,2,0.6,12.4,colorado
Kyle Evans,SO,TB,14,8,114,14.25,0,0.6,8.1,colorado
Donovan Lee,JR,TB,11,8,46,5.75,0,0.7,4.2,colorado
Lee Walker,SO,WR,8,3,36,12.00,0,0.4,4.5,colorado
Sean Irwin,SR,TE,13,1,15,15.00,0,0.1,1.2,colorado
Sefo Liufau,SR,QB,12,1,14,14.00,0,0.1,1.2,colorado
Johnny Huntley III,FR,WR,13,1,14,14.00,0,0.1,1.1,colorado
Chris Bounds,FR,TE,12,1,8,8.00,0,0.1,0.7,colorado
Dylan Keeney,SO,TE,11,1,8,8.00,0,0.1,0.7,colorado
Joseph Hall,JR,WR,1,1,6,6.00,0,1.0,6.0,colorado
