name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Kadin Remsberg,JR,RB,13,181,1050,5.80,8,13.92,80.77,air_force
Taven Birdow,SR,FB,13,180,839,4.66,7,13.85,64.54,air_force
Timothy Jackson,SO,FB,10,122,745,6.11,6,12.20,74.50,air_force
Donald Hammond III,JR,QB,13,121,553,4.57,13,9.31,42.54,air_force
Joshua Stoner,JR,RB,8,23,207,9.00,1,2.88,25.88,air_force
Christian Mallard,SR,RB,12,40,192,4.80,2,3.33,16.00,air_force
Mike Schmidt,SR,QB,6,17,133,7.82,3,2.83,22.17,air_force
Isaiah Sanders,SR,QB,5,10,72,7.20,0,2.00,14.40,air_force
Nolan Eriksen,SR,RB,9,7,47,6.71,1,0.78,5.22,air_force
Matthew Murla,JR,FB,9,10,44,4.40,0,1.11,4.89,air_force
Colton Parton,SR,FB,1,2,19,9.50,0,2.00,19.00,air_force
Omar Fattah,SO,FB,1,3,15,5.00,0,3.00,15.00,air_force
Jake Smith,,,1,1,11,11.00,0,1.00,11.00,air_force
C Stevenson,,,6,2,11,5.50,0,0.33,1.83,air_force
Benjamin Waters,SR,WR,13,5,9,1.80,0,0.38,0.69,air_force
L Leviston,,,1,1,8,8.00,0,1.00,8.00,air_force
Qawi Ntsasa,,,1,1,4,4.00,0,1.00,4.00,air_force
Ben Peterson,JR,WR,13,1,3,3.00,0,0.08,0.23,air_force
Robert Gross,,,1,1,2,2.00,0,1.00,2.00,air_force
Dane Kinamon,FR,WR,10,1,0,0.00,0,0.10,0.00,air_force
Zachar Larrier,,,1,1,-3,-3.00,0,1.00,-3.00,air_force
Geraud Sanders,SR,WR,13,2,-36,-18.00,0,0.15,-2.77,air_force
Brandon Lee,SO,RB,12,61,179,2.93,0,5.08,14.92,akron
Peter Hayes-Patrick,FR,RB,7,41,138,3.37,0,5.86,19.71,akron
Michiah Burton,FR,RB,11,38,117,3.08,1,3.45,10.64,akron
Kato Nelson,JR,QB,10,109,116,1.06,0,10.90,11.60,akron
Deltron Sands,SR,RB,6,35,91,2.60,1,5.83,15.17,akron
Decavilon Reese,,,2,10,43,4.30,0,5.00,21.50,akron
Michael Mathison,FR,WR,10,2,10,5.00,0,0.20,1.00,akron
T.J. DeShields,FR,QB,3,2,4,2.00,0,0.67,1.33,akron
Jeremiah Knight,SO,WR,12,1,3,3.00,0,0.08,0.25,akron
Maverick Wolfley,SO,TE,7,1,2,2.00,0,0.14,0.29,akron
