name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Kyle Williams,SR,WR,13,45,482,10.71,2,3.5,37.1,arizona_state
Eno Benjamin,JR,RB,12,42,347,8.26,2,3.5,28.9,arizona_state
Ricky Pearsall,FR,WR,13,7,128,18.29,0,0.5,9.8,arizona_state
Tommy Hudson,SR,TE,13,10,112,11.20,0,0.8,8.6,arizona_state
Geordon Porter,FR,WR,10,8,83,10.38,0,0.8,8.3,arizona_state
Jordan Kerley,FR,WR,13,6,81,13.50,0,0.5,6.2,arizona_state
Curtis Hodges,JR,WR,10,5,58,11.60,0,0.5,5.8,arizona_state
Ryan Newsome,SR,WR,7,4,42,10.50,0,0.6,6.0,arizona_state
Nolan Matthews,FR,TE,12,6,36,6.00,1,0.5,3.0,arizona_state
Case Hatch,FR,LB,13,1,26,26.00,0,0.1,2.0,arizona_state
A.J. Carter,FR,RB,13,2,25,12.50,0,0.2,1.9,arizona_state
Brandon Pierce,JR,WR,5,1,7,7.00,0,0.2,1.4,arizona_state
Treylon Burks,FR,WR,11,29,475,16.38,0,2.6,43.2,arkansas
Mike Woods,SO,WR,12,33,423,12.82,4,2.8,35.3,arkansas
Trey Knox,FR,WR,11,28,385,13.75,3,2.5,35.0,arkansas
Cheyenne O’Grady,SR,TE,7,33,372,11.27,3,4.7,53.1,arkansas
Rakeem Boyd,JR,RB,12,19,160,8.42,0,1.6,13.3,arkansas
Tyson Morris,JR,WR,11,13,155,11.92,1,1.2,14.1,arkansas
Devwah Whaley,SR,RB,12,16,141,8.81,0,1.3,11.8,arkansas
Grayson Gunter,JR,TE,12,6,55,9.17,1,0.5,4.6,arkansas
Koilan Jackson,SO,WR,11,3,38,12.67,1,0.3,3.5,arkansas
Chase Harrell,SR,TE,12,3,34,11.33,1,0.3,2.8,arkansas
John David White,FR,WR,2,2,27,13.50,0,1.0,13.5,arkansas
De’Vion Warren,JR,WR,9,4,19,4.75,0,0.4,2.1,arkansas
Hudson Henry,FR,TE,3,3,15,5.00,0,1.0,5.0,arkansas
Chase Hayden,JR,RB,4,4,12,3.00,0,1.0,3.0,arkansas
T.J. Hammonds,JR,RB,5,4,10,2.50,0,0.8,2.0,arkansas
T.Q. Jackson,FR,WR,3,1,2,2.00,0,0.3,0.7,arkansas
K.J. Jefferson,FR,QB,3,1,-8,-8.00,0,0.3,-2.7,arkansas
Omar Bayless,SR,WR,13,93,1653,17.77,17,7.2,127.2,arkansas_state
"Jonathan Adams, Jr.",JR,WR,13,62,851,13.73,5,4.8,65.5,arkansas_state
Kirk Merritt,SR,WR,13,70,806,11.51,12,5.4,62.0,arkansas_state
Brandon Bowling,JR,WR,13,28,263,9.39,2,2.2,20.2,arkansas_state
Marcel Murray,SO,RB,11,15,125,8.33,0,1.4,11.4,arkansas_state
Reed Tyler,SO,TE,13,8,113,14.13,1,0.6,8.7,arkansas_state
Dahu Green,SR,WR,5,5,86,17.20,0,1.0,17.2,arkansas_state
Javonis Isaac,JR,TE,11,4,58,14.50,0,0.4,5.3,arkansas_state
Logan Bonner,JR,QB,5,1,37,37.00,0,0.2,7.4,arkansas_state
Jamal Jones,SR,RB,10,6,30,5.00,0,0.6,3.0,arkansas_state
Ryan Graham,JR,RB,4,1,13,13.00,0,0.3,3.3,arkansas_state
Bubba Ogbebor,JR,WR,9,2,11,5.50,0,0.2,1.2,arkansas_state
Jeff Foreman,FR,WR,10,1,8,8.00,0,0.1,0.8,arkansas_state
DJ Chatman,JR,RB,8,1,7,7.00,0,0.1,0.9,arkansas_state
Isaiah Azubuike,FR,RB,5,1,-4,-4.00,0,0.2,-0.8,arkansas_state
Camden Harrison,JR,WR,12,25,433,17.32,3,2.1,36.1,army
Artice Hobbs IV,JR,RB,13,13,335,25.77,1,1.0,25.8,army
Brandon Walters,SO,RB,13,4,96,24.00,0,0.3,7.4,army
Malik Hancock,SR,RB,12,3,78,26.00,1,0.3,6.5,army
Michael Roberts,SO,WR,13,5,43,8.60,0,0.4,3.3,army
Kell Walker,SR,RB,13,4,41,10.25,1,0.3,3.2,army
Kjetil Cline,SR,WR,13,4,23,5.75,0,0.3,1.8,army
Christian Hayes,SR,WR,8,1,17,17.00,0,0.1,2.1,army
Seth Williams,SO,WR,12,59,830,14.07,8,4.9,69.2,auburn
Anthony Schwartz,SO,WR,13,41,440,10.73,1,3.2,33.8,auburn
Eli Stove,JR,WR,13,37,321,8.68,3,2.8,24.7,auburn
Will Hastings,SR,WR,13,19,222,11.68,1,1.5,17.1,auburn
Sal Cannella,SR,WR,13,10,188,18.80,2,0.8,14.5,auburn
Jay Jay Wilson,SR,HB,12,14,133,9.50,1,1.2,11.1,auburn
Harold Joiner,FR,RB,13,6,128,21.33,1,0.5,9.8,auburn
JaTarvious Whitlow,SO,RB,11,6,106,17.67,0,0.5,9.6,auburn
Malik Miller,JR,RB,10,4,49,12.25,0,0.4,4.9,auburn
Matthew Hill,FR,WR,13,8,46,5.75,0,0.6,3.5,auburn
Zach Farrar,JR,WR,4,3,41,13.67,2,0.8,10.3,auburn
Marquis McClain,JR,WR,11,1,37,37.00,0,0.1,3.4,auburn
Spencer Nigh,SR,FB,13,2,33,16.50,0,0.2,2.5,auburn
D.J. Williams,FR,RB,9,5,32,6.40,0,0.6,3.6,auburn
Shedrick Jackson,SO,WR,9,2,31,15.50,0,0.2,3.4,auburn
Kam Martin,SR,RB,12,3,21,7.00,0,0.3,1.8,auburn
John Samuel Shenker,SO,TE,13,3,21,7.00,1,0.2,1.6,auburn
Pace Ozmint,SR,WR,1,1,13,13.00,0,1.0,13.0,auburn
Jackson McFadden,FR,WR,1,1,4,4.00,0,1.0,4.0,auburn
Shaun Shivers,SO,RB,12,4,1,0.25,0,0.3,0.1,auburn
Justin Hall,JR,WR,12,61,684,11.21,6,5.1,57.0,ball_state
Riley Miller,SR,WR,12,43,612,14.23,6,3.6,51.0,ball_state
Antwan Davis,SR,WR,12,38,516,13.58,3,3.2,43.0,ball_state
Yo'Heinz Tyler,SO,WR,12,27,504,18.67,5,2.3,42.0,ball_state
Walter Fletcher,SR,RB,12,26,306,11.77,2,2.2,25.5,ball_state
Nolan Givan,JR,TE,12,12,92,7.67,0,1.0,7.7,ball_state
Hassan Littles,JR,WR,12,7,66,9.43,0,0.6,5.5,ball_state
Malik Dunner,SR,WR,12,6,39,6.50,1,0.5,3.3,ball_state
Will Jones,SO,RB,12,7,37,5.29,0,0.6,3.1,ball_state
Kyle Schrank,SR,TE,11,1,30,30.00,0,0.1,2.7,ball_state
Caleb Huntley,JR,RB,12,7,25,3.57,0,0.6,2.1,ball_state
Trevor Hohlt,SO,WR,10,1,5,5.00,0,0.1,0.5,ball_state
Cody Rudy,JR,FB,12,2,5,2.50,1,0.2,0.4,ball_state
Drew Plitt,JR,QB,12,1,2,2.00,0,0.1,0.2,ball_state
Denzel Mims,SR,WR,14,66,1020,15.45,12,4.7,72.9,baylor
Tyquan Thornton,SO,WR,14,45,782,17.38,5,3.2,55.9,baylor
R.J. Sneed,SO,WR,14,42,437,10.40,3,3.0,31.2,baylor
Chris Platt,SR,WR,14,24,353,14.71,1,1.7,25.2,baylor
Trestan Ebner,JR,RB,14,24,317,13.21,2,1.7,22.6,baylor
Josh Fleeks,SO,WR,14,25,262,10.48,1,1.8,18.7,baylor
JaMycal Hasty,SR,RB,14,25,184,7.36,0,1.8,13.1,baylor
Jared Atkinson,JR,WR,14,7,77,11.00,0,0.5,5.5,baylor
John Lovett,JR,RB,14,8,66,8.25,0,0.6,4.7,baylor
Christoph Henle,SO,TE,14,5,33,6.60,0,0.4,2.4,baylor
Marques Jones,SR,WR,11,1,19,19.00,0,0.1,1.7,baylor
Koby Bullard,JR,FB,14,1,8,8.00,0,0.1,0.6,baylor
Russell Morrison,JR,WR,14,1,6,6.00,0,0.1,0.4,baylor
Ben Sims,FR,TE,8,2,5,2.50,0,0.3,0.6,baylor
Davis Baucum,FR,WR,2,1,2,2.00,0,0.5,1.0,baylor
John Hightower,SR,WR,14,51,943,18.49,8,3.6,67.4,boise_state
Khalil Shakir,SO,WR,14,63,872,13.84,6,4.5,62.3,boise_state
CT Thomas,JR,WR,13,41,522,12.73,5,3.2,40.2,boise_state
Akilian Butler,SR,WR,14,28,316,11.29,2,2.0,22.6,boise_state
John Bates,JR,TE,14,22,273,12.41,1,1.6,19.5,boise_state
Octavius Evans,JR,WR,14,19,211,11.11,1,1.4,15.1,boise_state
George Holani,FR,RB,14,26,206,7.92,3,1.9,14.7,boise_state
Garrett Collingham,SR,TE,14,13,113,8.69,3,0.9,8.1,boise_state
Robert Mahone,JR,RB,13,9,76,8.44,0,0.7,5.8,boise_state
Stefan Cobbs,FR,WR,6,3,57,19.00,1,0.5,9.5,boise_state
Andrew Van Buren,SO,RB,14,8,47,5.88,1,0.6,3.4,boise_state
Matt Pistone,SR,TE,14,4,28,7.00,0,0.3,2.0,boise_state
Hunter Long,SO,TE,13,28,509,18.18,2,2.2,39.2,boston_college
Kobay White,JR,WR,13,29,460,15.86,5,2.2,35.4,boston_college
Zay Flowers,FR,WR,13,22,341,15.50,3,1.7,26.2,boston_college
Jake Burt,SR,TE,11,15,212,14.13,1,1.4,19.3,boston_college
AJ Dillon,JR,RB,13,13,195,15.00,1,1.0,15.0,boston_college
Korab Idrizi,SR,TE,10,14,164,11.71,4,1.4,16.4,boston_college
Ben Glines,SR,WR,12,10,97,9.70,0,0.8,8.1,boston_college
David Bailey,SO,RB,13,10,94,9.40,1,0.8,7.2,boston_college
Chris Garrison,SR,TE,8,5,58,11.60,1,0.6,7.3,boston_college
Ethon Williams,FR,WR,8,3,56,18.67,0,0.4,7.0,boston_college
Elijah Robinson,SR,WR,12,3,35,11.67,0,0.3,2.9,boston_college
Anthony Brown,JR,QB,6,1,30,30.00,1,0.2,5.0,boston_college
CJ Lewis,JR,WR,4,2,13,6.50,0,0.5,3.3,boston_college
Travis Levy,JR,RB,13,2,12,6.00,0,0.2,0.9,boston_college
Pat Garwo III,FR,RB,3,3,8,2.67,0,1.0,2.7,boston_college
Isaiah Miranda,JR,TE,12,1,4,4.00,1,0.1,0.3,boston_college
Quintin Morris,JR,WR,12,55,649,11.80,4,4.6,54.1,bowling_green
Julian Ortega-Jones,FR,WR,11,20,298,14.90,0,1.8,27.1,bowling_green
Bryson Denley,JR,RB,12,27,267,9.89,3,2.3,22.3,bowling_green
RB Marlow III,SR,WR,12,22,217,9.86,0,1.8,18.1,bowling_green
Austin Dorris,SR,TE,12,14,127,9.07,0,1.2,10.6,bowling_green
Christian Sims,FR,TE,12,8,72,9.00,1,0.7,6.0,bowling_green
Andrew Clair,JR,RB,4,10,71,7.10,0,2.5,17.8,bowling_green
Jordan Wayne-Prather,SR,WR,12,9,57,6.33,0,0.8,4.8,bowling_green
Rodell Rahmaan,JR,WR,12,2,54,27.00,0,0.2,4.5,bowling_green
Davon Jones,SR,RB,9,15,50,3.33,1,1.7,5.6,bowling_green
Noah Massey,SO,WR,3,1,14,14.00,0,0.3,4.7,bowling_green
Jake Rogers,FR,WR,10,3,11,3.67,0,0.3,1.1,bowling_green
Presley Motes,JR,TE,12,2,4,2.00,0,0.2,0.3,bowling_green
Nigel Sealey,JR,RB,8,1,-3,-3.00,0,0.1,-0.4,bowling_green
Antonio Nunn,JR,WR,12,49,687,14.02,6,4.1,57.3,buffalo
Daniel Lee,JR,WR,13,23,284,12.35,1,1.8,21.8,buffalo
Zac Lefebvre,JR,TE,11,21,235,11.19,2,1.9,21.4,buffalo
Jaret Patterson,SO,RB,13,13,209,16.08,1,1.0,16.1,buffalo
Carlton Todd,JR,WR,12,10,115,11.50,0,0.8,9.6,buffalo
Marlyn Johnson,FR,WR,4,3,67,22.33,0,0.8,16.8,buffalo
Dominic Johnson,JR,QB,10,6,46,7.67,1,0.6,4.6,buffalo
Kevin Marks,SO,RB,13,12,41,3.42,0,0.9,3.2,buffalo
"Ron Cook, Jr.",FR,RB,12,5,40,8.00,0,0.4,3.3,buffalo
Dylan McDuffie,FR,RB,10,3,25,8.33,1,0.3,2.5,buffalo
LeMaro Smith Jr.,FR,WR,3,2,19,9.50,0,0.7,6.3,buffalo
Tito Overton,JR,WR,6,1,16,16.00,0,0.2,2.7,buffalo
Julien Bourassa,SO,TE,10,1,6,6.00,1,0.1,0.6,buffalo
Cole Burniston,FR,TE,12,1,5,5.00,1,0.1,0.4,buffalo
Matt Bushman,JR,TE,13,47,688,14.64,4,3.6,52.9,byu
Micah Simon,SR,WR,13,51,616,12.08,2,3.9,47.4,byu
Talon Shumway,SR,WR,13,42,553,13.17,4,3.2,42.5,byu
Aleva Hifo,SR,WR,12,42,483,11.50,3,3.5,40.3,byu
Gunner Romney,SO,WR,13,31,377,12.16,2,2.4,29.0,byu
Lopini Katoa,SO,RB,12,24,288,12.00,1,2.0,24.0,byu
Dax Milne,SO,WR,13,21,285,13.57,2,1.6,21.9,byu
Moroni Laulu-Pututau,SR,TE,11,9,124,13.78,1,0.8,11.3,byu
Tyler Allgeier,FR,LB,13,4,75,18.75,1,0.3,5.8,byu
Ty'Son Williams,SR,RB,4,7,47,6.71,0,1.8,11.8,byu
Keanu Hill,FR,WR,3,3,40,13.33,0,1.0,13.3,byu
Sione Finau,FR,RB,8,4,29,7.25,0,0.5,3.6,byu
Tevita Ika,FR,WR,3,3,28,9.33,0,1.0,9.3,byu
Isaac Rex,FR,TE,3,1,23,23.00,0,0.3,7.7,byu
Zach Wilson,SO,QB,9,1,19,19.00,0,0.1,2.1,byu
Baylor Romney,FR,QB,4,1,13,13.00,0,0.3,3.3,byu
Emmanuel Esukpa,SR,RB,8,2,12,6.00,0,0.3,1.5,byu
Carter Wheat,FR,TE,3,1,8,8.00,0,0.3,2.7,byu
Jackson McChesney,FR,RB,3,2,-7,-3.50,0,0.7,-2.3,byu
Nikko Remigio,SO,WR,12,38,513,13.50,3,3.2,42.8,california
Jordan Duncan,SR,WR,11,25,364,14.56,2,2.3,33.1,california
Makai Polk,FR,WR,13,19,295,15.53,2,1.5,22.7,california
Kekoa Crawford,JR,WR,6,16,272,17.00,2,2.7,45.3,california
Jake Tonges,SO,TE,13,13,262,20.15,1,1.0,20.2,california
Trevon Clark,JR,WR,13,21,250,11.90,2,1.6,19.2,california
Christopher Brown Jr.,SO,RB,13,22,166,7.55,4,1.7,12.8,california
Marcel Dancy,JR,RB,12,20,153,7.65,0,1.7,12.8,california
Gavin Reinwald,SO,TE,12,14,146,10.43,2,1.2,12.2,california
Jeremiah Hawkins,JR,WR,7,7,66,9.43,0,1.0,9.4,california
Ricky Walker III,SO,WR,11,2,30,15.00,0,0.2,2.7,california
Ben Skinner,FR,WR,3,3,22,7.33,0,1.0,7.3,california
DeShawn Collins,JR,RB,9,2,11,5.50,0,0.2,1.2,california
Collin Moore,SO,TE,13,2,11,5.50,1,0.2,0.8,california
Kalil Pimpleton,SO,WR,14,82,894,10.90,6,5.9,63.9,central_michigan
JaCorey Sullivan,JR,WR,13,57,808,14.18,3,4.4,62.2,central_michigan
Tyrone Scott,FR,WR,14,37,650,17.57,5,2.6,46.4,central_michigan
Tony Poljan,JR,TE,12,33,496,15.03,4,2.8,41.3,central_michigan
Jonathan Ward,SR,RB,13,34,329,9.68,1,2.6,25.3,central_michigan
Kobe Lewis,SO,RB,14,23,164,7.13,0,1.6,11.7,central_michigan
Bernhard Raimann,SO,TE,14,10,76,7.60,0,0.7,5.4,central_michigan
Keonta Nixon,FR,WR,7,6,54,9.00,0,0.9,7.7,central_michigan
Drayton Law,SO,WR,12,3,25,8.33,0,0.3,2.1,central_michigan
Da'Quaun Jamison,SR,DB,13,1,9,9.00,0,0.1,0.7,central_michigan
Adam Jones,FR,WR,4,1,8,8.00,0,0.3,2.0,central_michigan
Joel Wilson,FR,TE,3,1,7,7.00,0,0.3,2.3,central_michigan
Oakley Lavallii,JR,FB,13,1,6,6.00,0,0.1,0.5,central_michigan
Mark Patritto,SO,WR,10,1,5,5.00,0,0.1,0.5,central_michigan
Victor Tucker,SO,WR,13,52,909,17.48,7,4.0,69.9,charlotte
Cameron Dollar,SO,WR,13,41,599,14.61,2,3.2,46.1,charlotte
Tyler Ringwood,JR,WR,13,25,395,15.80,5,1.9,30.4,charlotte
Micaleous Elder,FR,WR,11,21,266,12.67,1,1.9,24.2,charlotte
Benny LeMay,SR,RB,11,19,242,12.74,4,1.7,22.0,charlotte
Aaron McAllister,JR,RB,11,7,69,9.86,2,0.6,6.3,charlotte
Noah Henderson,FR,WR,12,8,65,8.13,0,0.7,5.4,charlotte
Christian Roberson,SR,TE,12,5,64,12.80,1,0.4,5.3,charlotte
Ishod Finger,FR,RB,12,6,41,6.83,0,0.5,3.4,charlotte
Jacob Hunt,SO,TE,13,6,33,5.50,2,0.5,2.5,charlotte
Chris Reynolds,SO,QB,13,1,28,28.00,0,0.1,2.2,charlotte
Tre' Goode,FR,WR,9,1,18,18.00,0,0.1,2.0,charlotte
Justin Jeffery,FR,WR,5,1,7,7.00,0,0.2,1.4,charlotte
Ryan Carriere,JR,TE,13,1,7,7.00,0,0.1,0.5,charlotte
Cam Bent,SO,WR,5,1,6,6.00,0,0.2,1.2,charlotte
Alec Pierce,SO,WR,14,37,652,17.62,2,2.6,46.6,cincinnati
Josiah Deguara,SR,TE,14,39,504,12.92,7,2.8,36.0,cincinnati
Rashad Medaris,SR,WR,14,25,354,14.16,2,1.8,25.3,cincinnati
Malick Mbodj,JR,WR,10,23,249,10.83,1,2.3,24.9,cincinnati
Jayshon Jackson,SO,WR,14,17,171,10.06,0,1.2,12.2,cincinnati
Michael Warren II,JR,RB,14,21,153,7.29,2,1.5,10.9,cincinnati
Thomas Geddis,SR,WR,14,11,137,12.45,1,0.8,9.8,cincinnati
Tre Tucker,FR,WR,14,7,92,13.14,0,0.5,6.6,cincinnati
Gerrid Doaks,JR,RB,12,8,70,8.75,1,0.7,5.8,cincinnati
Josh Whyle,FR,TE,12,2,51,25.50,0,0.2,4.3,cincinnati
Trent Cloud,SO,WR,9,7,34,4.86,1,0.8,3.8,cincinnati
Leonard Taylor,SO,TE,14,3,30,10.00,1,0.2,2.1,cincinnati
Blue Smith,FR,WR,6,2,19,9.50,0,0.3,3.2,cincinnati
Bruno Labelle,JR,TE,14,2,9,4.50,1,0.1,0.6,cincinnati
Bryan Wright,SR,LB,14,1,7,7.00,0,0.1,0.5,cincinnati
Myjai Sanders,SO,DE,14,1,7,7.00,0,0.1,0.5,cincinnati
Wyatt Fischer,FR,WR,14,1,7,7.00,0,0.1,0.5,cincinnati
Tavion Thomas,SO,RB,4,1,6,6.00,0,0.3,1.5,cincinnati
Tee Higgins,JR,WR,15,59,1167,19.78,13,3.9,77.8,clemson
Justyn Ross,SO,WR,14,66,865,13.11,8,4.7,61.8,clemson
Travis Etienne,JR,RB,15,37,432,11.68,4,2.5,28.8,clemson
Amari Rodgers,JR,WR,14,30,426,14.20,4,2.1,30.4,clemson
Diondre Overton,SR,WR,15,22,352,16.00,3,1.5,23.5,clemson
Joseph Ngata,FR,WR,15,17,240,14.12,3,1.1,16.0,clemson
Frank Ladson Jr.,FR,WR,15,9,128,14.22,3,0.6,8.5,clemson
Cornell Powell,JR,WR,15,15,122,8.13,2,1.0,8.1,clemson
Lyn-J Dixon,SO,RB,15,14,121,8.64,0,0.9,8.1,clemson
Will Swinney,JR,WR,15,12,94,7.83,0,0.8,6.3,clemson
T.J. Chase,JR,WR,12,7,70,10.00,0,0.6,5.8,clemson
Braden Galloway,SO,TE,2,2,60,30.00,0,1.0,30.0,clemson
J.C. Chalk,JR,TE,15,13,60,4.62,0,0.9,4.0,clemson
Davis Allen,FR,TE,15,5,53,10.60,0,0.3,3.5,clemson
Luke Price,SO,TE,15,4,41,10.25,0,0.3,2.7,clemson
Darien Rencher,JR,RB,15,4,26,6.50,0,0.3,1.7,clemson
Jaelyn Lay,FR,TE,4,1,20,20.00,0,0.3,5.0,clemson
Brannon Spector,FR,WR,3,3,16,5.33,0,1.0,5.3,clemson
Drew Swinney,FR,WR,8,2,11,5.50,0,0.3,1.4,clemson
Will Brown,SO,WR,5,1,8,8.00,0,0.2,1.6,clemson
Carter Groomes,JR,WR,9,1,8,8.00,0,0.1,0.9,clemson
J.L. Banks,SR,TE,8,1,5,5.00,0,0.1,0.6,clemson
Trevor Lawrence,SO,QB,15,1,0,0.00,0,0.1,0.0,clemson
Jaivon Heiligh,SO,WR,12,46,497,10.80,3,3.8,41.4,coastal_carolina
Isaiah Likely,SO,TE,12,32,431,13.47,5,2.7,35.9,coastal_carolina
CJ Marable,JR,RB,12,38,295,7.76,3,3.2,24.6,coastal_carolina
Jeremiah Miller,SO,WR,10,19,248,13.05,1,1.9,24.8,coastal_carolina
Ky'Jon Tyler,SR,WR,9,23,203,8.83,1,2.6,22.6,coastal_carolina
Jai Williams,FR,WR,10,9,136,15.11,2,0.9,13.6,coastal_carolina
Larry Collins Jr.,JR,WR,8,8,122,15.25,0,1.0,15.3,coastal_carolina
T'Qele Holmes,JR,WR,12,13,112,8.62,0,1.1,9.3,coastal_carolina
Reese White,FR,RB,10,4,90,22.50,2,0.4,9.0,coastal_carolina
Shadell Bell,SR,TE,12,9,81,9.00,2,0.8,6.8,coastal_carolina
Aaron Bedgood,FR,WR,5,8,76,9.50,1,1.6,15.2,coastal_carolina
Sam Denmark,JR,WR,7,1,44,44.00,1,0.1,6.3,coastal_carolina
Patrick McSweeney,FR,TE,4,1,14,14.00,0,0.3,3.5,coastal_carolina
Josh Anderson,SR,WR,6,3,13,4.33,0,0.5,2.2,coastal_carolina
Deon Fountain,FR,WR,3,2,11,5.50,0,0.7,3.7,coastal_carolina
Michael McFarlane,SO,TE,12,1,6,6.00,0,0.1,0.5,coastal_carolina
Laviska Shenault Jr.,JR,WR,11,56,764,13.64,4,5.1,69.5,colorado
Tony Brown,SR,WR,12,56,707,12.63,5,4.7,58.9,colorado
K.D. Nixon,JR,WR,12,35,465,13.29,3,2.9,38.8,colorado
Dimitri Stanley,FR,WR,12,29,312,10.76,2,2.4,26.0,colorado
