name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name
Geraud Sanders,SR,WR,13,30,746,24.87,7,2.3,57.4,air_force
Benjamin Waters,SR,WR,13,22,658,29.91,7,1.7,50.6,air_force
Kade Waguespack,SR,TE,7,5,95,19.00,0,0.7,13.6,air_force
Ben Peterson,JR,WR,13,3,25,8.33,0,0.2,1.9,air_force
Kadin Remsberg,JR,RB,13,3,24,8.00,0,0.2,1.8,air_force
Donald Hammond III,JR,QB,13,1,22,22.00,0,0.1,1.7,air_force
Taven Birdow,SR,FB,13,1,16,16.00,0,0.1,1.2,air_force
Daniel Morris,JR,WR,12,1,10,10.00,0,0.1,0.8,air_force
Rhett Myers,SR,OL,9,1,8,8.00,0,0.1,0.9,air_force
Timothy Jackson,SO,FB,10,1,-2,-2.00,0,0.1,-0.2,air_force
Nate Stewart,JR,WR,12,37,529,14.30,3,3.1,44.1,akron
Jeremiah Knight,SO,WR,12,31,430,13.87,0,2.6,35.8,akron
Dustin Burkhart,JR,WR,4,15,320,21.33,1,3.8,80.0,akron
Michael Mathison,FR,WR,10,31,243,7.84,0,3.1,24.3,akron
Timothy Scippio,SO,WR,11,12,221,18.42,3,1.1,20.1,akron
Julian Hicks,SO,WR,10,32,212,6.63,2,3.2,21.2,akron
Brandon Lee,SO,RB,12,15,114,7.60,0,1.3,9.5,akron
Andre Williams,JR,WR,4,10,96,9.60,0,2.5,24.0,akron
Maverick Wolfley,SO,TE,7,5,68,13.60,2,0.7,9.7,akron
Michiah Burton,FR,RB,11,5,37,7.40,0,0.5,3.4,akron
Deltron Sands,SR,RB,6,6,31,5.17,0,1.0,5.2,akron
Peter Hayes-Patrick,FR,RB,7,2,18,9.00,0,0.3,2.6,akron
Darryl Long,SR,TE,11,1,15,15.00,0,0.1,1.4,akron
Nick Johns,SR,TE,7,1,6,6.00,0,0.1,0.9,akron
Decavilon Reese,,,2,1,4,4.00,0,0.5,2.0,akron
Brandon Junk,SR,TE,6,1,3,3.00,1,0.2,0.5,akron
DeVonta Smith,JR,WR,13,68,1256,18.47,14,5.2,96.6,alabama
Jerry Jeudy,JR,WR,13,77,1163,15.10,10,5.9,89.5,alabama
Henry Ruggs III,JR,WR,12,40,746,18.65,7,3.3,62.2,alabama
Jaylen Waddle,SO,WR,13,33,560,16.97,6,2.5,43.1,alabama
Najee Harris,JR,RB,13,27,304,11.26,7,2.1,23.4,alabama
Miller Forristall,JR,TE,9,15,167,11.13,4,1.7,18.6,alabama
Brian Robinson Jr.,JR,RB,13,11,124,11.27,0,0.8,9.5,alabama
Slade Bolden,FR,WR,13,2,34,17.00,0,0.2,2.6,alabama
John Metchie III,FR,WR,13,4,23,5.75,0,0.3,1.8,alabama
Major Tennison,SO,TE,13,3,21,7.00,1,0.2,1.6,alabama
Tyrell Shavers,SO,WR,13,1,20,20.00,0,0.1,1.5,alabama
Jahleel Billingsley,FR,TE,9,2,16,8.00,0,0.2,1.8,alabama
Jerome Ford,FR,RB,4,2,11,5.50,0,0.5,2.8,alabama
Giles Amos,SR,TE,9,1,5,5.00,0,0.1,0.6,alabama
Mac Jones,SO,QB,12,1,-1,-1.00,0,0.1,-0.1,alabama
Thomas Hennigan,JR,WR,14,61,773,12.67,6,4.4,55.2,appalachian_state
Corey Sutton,JR,WR,9,41,601,14.66,7,4.6,66.8,appalachian_state
Malik Williams,JR,WR,14,55,598,10.87,4,3.9,42.7,appalachian_state
Jalen Virgil,JR,WR,14,24,383,15.96,4,1.7,27.4,appalachian_state
Darrynton Evans,JR,RB,14,21,198,9.43,5,1.5,14.1,appalachian_state
Keishawn Watson,SR,WR,14,9,104,11.56,1,0.6,7.4,appalachian_state
Henry Pearson,SO,TE,14,8,75,9.38,0,0.6,5.4,appalachian_state
Collin Reed,SR,TE,13,6,56,9.33,2,0.5,4.3,appalachian_state
Christian Wells,FR,WR,2,1,17,17.00,1,0.5,8.5,appalachian_state
Marcus Williams Jr.,JR,RB,14,1,7,7.00,0,0.1,0.5,appalachian_state
Daetrich Harrington,SO,RB,8,1,6,6.00,0,0.1,0.8,appalachian_state
Ryker Casey,FR,K,2,1,4,4.00,0,0.5,2.0,appalachian_state
Cooper Hodges,FR,OL,14,0,2,-,0,0.0,0.1,appalachian_state
Raykwon Anderson,FR,RB,9,2,0,0.00,0,0.2,0.0,appalachian_state
Jamarye Joiner,FR,WR,12,34,552,16.24,5,2.8,46.0,arizona
Cedric Peterson,SR,WR,12,24,412,17.17,2,2.0,34.3,arizona
Brian Casteel,JR,WR,12,45,397,8.82,3,3.8,33.1,arizona
Tayvian Cunningham,JR,WR,12,35,383,10.94,2,2.9,31.9,arizona
J.J. Taylor,JR,RB,11,32,289,9.03,0,2.9,26.3,arizona
Stanley Berryhill III,SO,WR,12,19,288,15.16,3,1.6,24.0,arizona
Darrius Smith,FR,RB,9,12,181,15.08,2,1.3,20.1,arizona
Michael Wiley,FR,RB,12,18,165,9.17,0,1.5,13.8,arizona
Drew Dixon,SO,WR,11,14,143,10.21,2,1.3,13.0,arizona
Thomas Reid III,JR,WR,12,5,111,22.20,1,0.4,9.3,arizona
Jalen Johnson,FR,WR,9,7,79,11.29,1,0.8,8.8,arizona
Boobie Curry,FR,WR,9,6,68,11.33,0,0.7,7.6,arizona
Bryce Wolma,JR,TE,11,5,62,12.40,1,0.5,5.6,arizona
Gary Brightwell,JR,RB,11,4,59,14.75,1,0.4,5.4,arizona
Nathan Tilford,SO,RB,9,1,4,4.00,0,0.1,0.4,arizona
Brandon Aiyuk,SR,WR,12,65,1192,18.34,8,5.4,99.3,arizona_state
Frank Darby,JR,WR,13,31,616,19.87,8,2.4,47.4,arizona_state
