name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Jacobi Owens,SR,RB,13,142,859,6.05,5,10.92,66.08,air_force
Timothy McVey,JR,RB,13,83,708,8.53,10,6.38,54.46,air_force
Arion Worthman,SO,QB,8,130,674,5.18,6,16.25,84.25,air_force
D.J. Johnson,SR,RB,12,150,622,4.15,2,12.50,51.83,air_force
Shayne Davern,SR,RB,12,116,475,4.09,4,9.67,39.58,air_force
Nate Romine,SR,QB,9,95,279,2.94,3,10.56,31.00,air_force
Tyler Williams,JR,WR,13,48,270,5.63,6,3.69,20.77,air_force
Ronald Cleveland,SO,WR,13,22,160,7.27,2,1.69,12.31,air_force
Parker Wilson,SO,RB,10,16,97,6.06,0,1.60,9.70,air_force
Jacob Stafford,JR,FB,2,4,14,3.50,0,2.00,7.00,air_force
"Van Edwards, Jr.",SO,RB,11,100,492,4.92,3,9.09,44.73,akron
Manny Morgan,JR,RB,11,81,417,5.15,0,7.36,37.91,akron
Tra'Von Chapman,JR,QB,10,48,195,4.06,4,4.80,19.50,akron
"Denzel Jones, Jr.",SR,RB,12,41,193,4.71,0,3.42,16.08,akron
Warren Ball,SR,RB,2,25,181,7.24,1,12.50,90.50,akron
Mykel Traylor-Bennett,JR,TE,9,10,46,4.60,4,1.11,5.11,akron
Tyrell Goodman,SR,WR,10,27,40,1.48,0,2.70,4.00,akron
Thomas Woodson,JR,QB,8,42,34,0.81,1,5.25,4.25,akron
"JoJo Natson, Jr.",SR,WR,12,4,6,1.50,0,0.33,0.50,akron
Nick Gasser,SO,PK,12,1,-16,-16.00,0,0.08,-1.33,akron
Damien Harris,SO,RB,15,146,1037,7.10,2,9.73,69.13,alabama
Jalen Hurts,FR,QB,15,191,954,4.99,13,12.73,63.60,alabama
Bo Scarbrough,SO,RB,13,125,812,6.50,11,9.62,62.46,alabama
Josh Jacobs,FR,RB,15,85,567,6.67,4,5.67,37.80,alabama
B.J. Emmons,FR,RB,7,35,173,4.94,1,5.00,24.71,alabama
Derrick Gore,SO,RB,11,18,93,5.17,1,1.64,8.45,alabama
ArDarius Stewart,JR,WR,12,8,68,8.50,0,0.67,5.67,alabama
Calvin Ridley,SO,WR,15,5,21,4.20,1,0.33,1.40,alabama
Ronnie Clark,SO,RB,1,4,14,3.50,0,4.00,14.00,alabama
Avery Reid,SO,RB,1,2,4,2.00,0,2.00,4.00,alabama
Robert Foster,JR,WR,10,1,-5,-5.00,0,0.10,-0.50,alabama
Cooper Bateman,JR,QB,15,3,-11,-3.67,0,0.20,-0.73,alabama
Blake Barnett,FR,QB,3,7,-17,-2.43,0,2.33,-5.67,alabama
Jalin Moore,SO,RB,13,237,1402,5.92,10,18.23,107.85,appalachian_state
Marcus Cox,SR,RB,9,158,1015,6.42,9,17.56,112.78,appalachian_state
Taylor Lamb,JR,QB,13,89,505,5.67,9,6.85,38.85,appalachian_state
Darrynton Evans,FR,ATH,12,48,217,4.52,0,4.00,18.08,appalachian_state
Deltron Hopkins,SO,WR,10,7,69,9.86,0,0.70,6.90,appalachian_state
J.P. Caruso,SO,QB,9,12,46,3.83,1,1.33,5.11,appalachian_state
Josh Boyd,SO,RB,1,7,42,6.00,0,7.00,42.00,appalachian_state
Bentlee Critcher,SR,P,13,2,29,14.50,0,0.15,2.23,appalachian_state
Jaylan Barbour,SO,WR,11,2,20,10.00,0,0.18,1.82,appalachian_state
Jake Easter,FR,QB,1,1,2,2.00,0,1.00,2.00,appalachian_state
Mykel Golden,SR,WR,1,1,-2,-2.00,0,1.00,-2.00,appalachian_state
Ike Lewis,JR,WR,9,4,-9,-2.25,0,0.44,-1.00,appalachian_state
Brandon Dawkins,SO,QB,10,131,944,7.21,10,13.10,94.40,arizona
Samajie Grant,SR,WR,12,74,461,6.23,6,6.17,38.42,arizona
Zach Green,JR,RB,11,77,373,4.84,3,7.00,33.91,arizona
Nick Wilson,JR,RB,5,55,320,5.82,3,11.00,64.00,arizona
J.J. Taylor,FR,RB,4,38,261,6.87,2,9.50,65.25,arizona
Khalil Tate,FR,QB,7,49,237,4.84,1,7.00,33.86,arizona
Tyrell Johnson,JR,WR,7,28,144,5.14,1,4.00,20.57,arizona
Shun Brown,SO,WR,12,2,62,31.00,0,0.17,5.17,arizona
Branden Leon,FR,RB,12,8,38,4.75,0,0.67,3.17,arizona
Matt Morin,SR,TE,11,6,31,5.17,0,0.55,2.82,arizona
Orlando Bradford,SO,RB,2,5,16,3.20,0,2.50,8.00,arizona
Trevor Wood,SO,TE,12,1,3,3.00,0,0.08,0.25,arizona
Zach Werlinger,SO,QB,2,2,-4,-2.00,0,1.00,-2.00,arizona
Anu Solomon,JR,QB,5,25,-52,-2.08,0,5.00,-10.40,arizona
Demario Richard,JR,RB,11,155,593,3.83,3,14.09,53.91,arizona_state
Kalen Ballage,JR,RB,12,126,536,4.25,14,10.50,44.67,arizona_state
Manny Wilkins,SO,QB,10,128,246,1.92,5,12.80,24.60,arizona_state
Nick Ralston,FR,RB,12,32,139,4.34,2,2.67,11.58,arizona_state
N'Keal Harry,FR,WR,12,3,69,23.00,2,0.25,5.75,arizona_state
Dillon Sterling-Cole,FR,QB,6,15,10,0.67,1,2.50,1.67,arizona_state
Matt Haack,SR,P,12,1,7,7.00,0,0.08,0.58,arizona_state
Brady White,FR,QB,4,3,3,1.00,0,0.75,0.75,arizona_state
Frederick Gammage,SR,WR,12,1,0,0.00,0,0.08,0.00,arizona_state
Tim White,SR,WR,12,5,-4,-0.80,0,0.42,-0.33,arizona_state
Rawleigh Williams III,SO,RB,13,245,1360,5.55,12,18.85,104.62,arkansas
Devwah Whaley,FR,RB,13,110,602,5.47,3,8.46,46.31,arkansas
Kody Walker,SR,RB,8,33,109,3.30,1,4.13,13.63,arkansas
T.J. Hammonds,FR,RB,8,15,88,5.87,1,1.88,11.00,arkansas
Jared Cornelius,JR,WR,11,13,53,4.08,1,1.18,4.82,arkansas
Cody Hollister,SR,WR,12,2,48,24.00,1,0.17,4.00,arkansas
Dominique Reed,SR,WR,13,5,26,5.20,0,0.38,2.00,arkansas
Damon Mitchell,JR,RB,12,7,18,2.57,0,0.58,1.50,arkansas
Deon Stewart,FR,WR,12,2,9,4.50,0,0.17,0.75,arkansas
