name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Brad Roberts,SO,RB,4,64,461,7.20,5,16.00,115.25,air_force
Haaziq Daniels,SO,QB,6,55,297,5.40,3,9.17,49.50,air_force
Brandon Lewis,JR,WR,5,20,180,9.00,1,4.00,36.00,air_force
Timothy Jackson,JR,FB,2,34,178,5.24,0,17.00,89.00,air_force
Kadin Remsberg,SR,RB,4,25,146,5.84,1,6.25,36.50,air_force
Elija Robinson,,,2,19,128,6.74,0,9.50,64.00,air_force
Warren Bryan,JR,QB,3,23,116,5.04,1,7.67,38.67,air_force
Matthew Murla,SR,FB,6,23,112,4.87,4,3.83,18.67,air_force
Joshua Stoner,SR,RB,5,11,61,5.55,0,2.20,12.20,air_force
CJ McNeal,JR,RB,3,5,54,10.80,0,1.67,18.00,air_force
Bo Gross,JR,FB,4,9,29,3.22,1,2.25,7.25,air_force
Jorden Gidrey,FR,RB,6,11,19,1.73,0,1.83,3.17,air_force
Ben Peterson,SR,WR,6,1,18,18.00,0,0.17,3.00,air_force
Ben Brittain,FR,QB,2,4,15,3.75,0,2.00,7.50,air_force
Jensen Jones,,,1,2,13,6.50,0,2.00,13.00,air_force
Micah Davis,FR,WR,4,1,13,13.00,0,0.25,3.25,air_force
Owen Burk,,,1,2,1,0.50,0,2.00,1.00,air_force
Teon Dollard,JR,RB,6,112,666,5.95,6,18.67,111.00,akron
Jeremiah Knight,JR,WR,6,39,194,4.97,0,6.50,32.33,akron
Jonzell Norrils,FR,RB,2,7,30,4.29,1,3.50,15.00,akron
MyJaden Horton,FR,S,3,3,4,1.33,0,1.00,1.33,akron
Michael Mathison,SO,WR,4,1,3,3.00,0,0.25,0.75,akron
T.J. DeShields,SO,QB,2,2,-4,-2.00,0,1.00,-2.00,akron
Zach Gibson,FR,QB,6,48,-44,-0.92,0,8.00,-7.33,akron
Najee Harris,SR,RB,13,251,1466,5.84,26,19.31,112.77,alabama
Brian Robinson Jr.,SR,RB,13,91,483,5.31,6,7.00,37.15,alabama
Jase McClellan,FR,RB,12,23,245,10.65,2,1.92,20.42,alabama
Trey Sanders,FR,RB,4,30,134,4.47,0,7.50,33.50,alabama
Roydell Williams,FR,RB,8,19,71,3.74,1,2.38,8.88,alabama
Mac Jones,JR,QB,13,35,14,0.40,1,2.69,1.08,alabama
Jaylen Waddle,JR,WR,6,3,12,4.00,0,0.50,2.00,alabama
DeVonta Smith,SR,WR,13,4,6,1.50,1,0.31,0.46,alabama
Slade Bolden,SO,WR,13,1,1,1.00,0,0.08,0.08,alabama
Miller Forristall,SR,TE,12,1,1,1.00,0,0.08,0.08,alabama
Jahleel Billingsley,SO,TE,12,1,-3,-3.00,0,0.08,-0.25,alabama
Bryce Young,FR,QB,9,9,-23,-2.56,0,1.00,-2.56,alabama
Camerun Peoples,SO,RB,11,168,1124,6.69,12,15.27,102.18,appalachian_state
Daetrich Harrington,JR,RB,6,106,595,5.61,7,17.67,99.17,appalachian_state
Nate Noel,FR,RB,10,82,510,6.22,3,8.20,51.00,appalachian_state
Marcus Williams Jr.,SR,RB,8,68,503,7.40,3,8.50,62.88,appalachian_state
Zac Thomas,SR,QB,12,90,312,3.47,2,7.50,26.00,appalachian_state
Anderson Castle,FR,RB,12,17,104,6.12,0,1.42,8.67,appalachian_state
Gabe Montgomery,JR,RB,8,2,18,9.00,0,0.25,2.25,appalachian_state
Jalen Virgil,SR,WR,9,1,9,9.00,0,0.11,1.00,appalachian_state
Jacob Huesman,SR,QB,6,1,8,8.00,1,0.17,1.33,appalachian_state
Milan Tucker,FR,WR,11,1,7,7.00,0,0.09,0.64,appalachian_state
Ben Williams,FR,RB,1,2,6,3.00,0,2.00,6.00,appalachian_state
Malik Williams,SR,WR,11,1,-2,-2.00,0,0.09,-0.18,appalachian_state
Gary Brightwell,SR,RB,5,88,390,4.43,1,17.60,78.00,arizona
Michael Wiley,SO,RB,5,31,222,7.16,3,6.20,44.40,arizona
Will Plummer,FR,QB,3,29,95,3.28,0,9.67,31.67,arizona
Jalen John,FR,RB,2,4,30,7.50,0,2.00,15.00,arizona
Grant Gunnell,SO,QB,4,23,22,0.96,0,5.75,5.50,arizona
Nathan Tilford,JR,RB,1,2,13,6.50,0,2.00,13.00,arizona
Stanley Berryhill III,JR,WR,5,1,6,6.00,0,0.20,1.20,arizona
Rhett Rodriguez,JR,QB,1,1,5,5.00,0,1.00,5.00,arizona
Ma'jon Wright,FR,WR,5,1,5,5.00,0,0.20,1.00,arizona
Tayvian Cunningham,SR,WR,4,1,0,0.00,0,0.25,0.00,arizona
Jamarye Joiner,SO,WR,5,2,-5,-2.50,0,0.40,-1.00,arizona
Rachaad White,JR,RB,4,42,420,10.00,5,10.50,105.00,arizona_state
Chip Trayanum,FR,RB,4,49,290,5.92,4,12.25,72.50,arizona_state
Jayden Daniels,SO,QB,4,33,223,6.76,4,8.25,55.75,arizona_state
Daniyel Ngata,FR,RB,4,26,108,4.15,1,6.50,27.00,arizona_state
Ricky Pearsall,SO,WR,4,3,33,11.00,1,0.75,8.25,arizona_state
Jackson He,JR,RB,2,4,7,1.75,1,2.00,3.50,arizona_state
D.J. Taylor,FR,DB,3,2,5,2.50,0,0.67,1.67,arizona_state
Johnny Wilson,FR,WR,3,1,0,0.00,0,0.33,0.00,arizona_state
Geordon Porter,SO,WR,4,1,-14,-14.00,0,0.25,-3.50,arizona_state
Trelon Smith,JR,RB,10,134,710,5.30,5,13.40,71.00,arkansas
Rakeem Boyd,SR,RB,7,82,309,3.77,3,11.71,44.14,arkansas
Feleipe Franks,SR,QB,10,105,204,1.94,1,10.50,20.40,arkansas
