name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Zac Larrier,SR,QB,11,67,40,59.7,789,11.8,7,2,187.13,6.1,71.7,air_force
Jensen Jones,SR,QB,10,15,5,33.3,160,10.7,0,1,109.60,1.5,16.0,air_force
John Busha,SO,QB,4,19,9,47.4,152,8.0,0,1,104.04,4.8,38.0,air_force
Brandon Engel,JR,WR,11,1,1,100.0,4,4.0,0,0,133.60,0.1,0.4,air_force
Ben Brittain,SR,QB,4,3,0,0.0,0,0.0,0,2,-133.33,0.8,0.0,air_force
"Jeff Undercuffler, Jr.",SR,QB,10,224,138,61.6,1378,6.2,4,9,111.14,22.4,137.8,akron
DJ Irons,SR,QB,5,133,88,66.2,722,5.4,3,3,114.70,26.6,144.4,akron
Tahj Bullock,SO,QB,10,66,32,48.5,271,4.1,3,3,88.89,6.6,27.1,akron
Jalen Milroe,SO,QB,13,284,187,65.8,2834,10.0,23,6,172.17,21.8,218.0,alabama
Ty Simpson,FR,QB,6,20,11,55.0,179,9.0,0,0,130.18,3.3,29.8,alabama
Tyler Buchner,SO,QB,2,19,8,42.1,61,3.2,0,0,69.08,9.5,30.5,alabama
Dylan Lonergan,FR,QB,1,2,2,100.0,12,6.0,0,0,150.40,2.0,12.0,alabama
Joey Aguilar,JR,QB,14,460,293,63.7,3757,8.2,33,10,151.62,32.9,268.4,appalachian_state
Ryan Burger,FR,QB,1,11,7,63.6,73,6.6,1,0,149.38,11.0,73.0,appalachian_state
Noah Fifita,FR,QB,12,333,241,72.4,2869,8.6,25,6,165.92,27.8,239.1,arizona
Jayden de Laura,JR,QB,7,128,89,69.5,1120,8.8,10,5,161.00,18.3,160.0,arizona
Tetairoa McMillan,SO,WR,13,1,1,100.0,21,21.0,1,0,606.40,0.1,1.6,arizona
Jacob Cowing,SR,WR,13,1,1,100.0,-2,-2.0,0,0,83.20,0.1,-0.2,arizona
Trenton Bourguet,JR,QB,8,248,151,60.9,1486,6.0,1,4,109.32,31.0,185.8,arizona_state
Jaden Rashada,FR,QB,3,82,44,53.7,485,5.9,4,3,112.13,27.3,161.7,arizona_state
Drew Pyne,SO,QB,2,49,26,53.1,273,5.6,2,3,101.09,24.5,136.5,arizona_state
Jacob Conover,SO,QB,3,38,11,28.9,130,3.4,0,3,41.90,12.7,43.3,arizona_state
Cam Skattebo,JR,RB,12,15,6,40.0,130,8.7,1,1,121.47,1.3,10.8,arizona_state
Jalin Conyers,JR,TE,11,6,5,83.3,20,3.3,0,0,111.33,0.5,1.8,arizona_state
KJ Jefferson,SR,QB,12,296,190,64.2,2107,7.1,19,8,139.75,24.7,175.6,arkansas
Jacolby Criswell,JR,QB,4,27,17,63.0,143,5.3,3,0,144.12,6.8,35.8,arkansas
Jaylen Raynor,FR,QB,11,285,166,58.2,2550,8.9,17,7,148.17,25.9,231.8,arkansas_state
J.T. Shrout,SR,QB,2,51,24,47.1,227,4.5,0,2,76.61,25.5,113.5,arkansas_state
Jaxon Dailey,FR,QB,5,33,17,51.5,137,4.2,0,0,86.40,6.6,27.4,arkansas_state
Wyatt Begeal,SO,WR,1,1,1,100.0,24,24.0,0,0,301.60,1.0,24.0,arkansas_state
Bryson Daily,JR,QB,11,120,60,50.0,913,7.6,7,6,123.16,10.9,83.0,army
Champ Harris,FR,QB,6,35,19,54.3,260,7.4,0,4,93.83,5.8,43.3,army
Markel Johnson,JR,RB,11,1,1,100.0,55,55.0,0,0,562.00,0.1,5.0,army
Larry Robinson,FR,QB,2,6,2,33.3,20,3.3,0,1,28.00,3.0,10.0,army
Tyson Riley,SR,TE,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,army
Dewayne Coleman,SO,QB,3,1,1,100.0,-14,-14.0,0,0,-17.60,0.3,-4.7,army
