name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Arion Worthman,JR,QB,10,217,821,3.78,13,21.70,82.10,air_force
Tim McVey,SR,RB,12,128,741,5.79,7,10.67,61.75,air_force
Ronald Cleveland,JR,WR,12,44,418,9.50,3,3.67,34.83,air_force
Jacob Stafford,SR,FB,12,67,398,5.94,1,5.58,33.17,air_force
Taven Birdow,SO,FB,9,88,384,4.36,5,9.78,42.67,air_force
Nolan Eriksen,SO,RB,10,40,228,5.70,1,4.00,22.80,air_force
Isaiah Sanders,SO,QB,3,50,218,4.36,3,16.67,72.67,air_force
Parker Wilson,JR,RB,7,44,200,4.55,0,6.29,28.57,air_force
Nate Romine,SR,QB,5,21,94,4.48,1,4.20,18.80,air_force
Garrett Amy,JR,WR,10,11,55,5.00,1,1.10,5.50,air_force
Malik Miller,JR,RB,6,8,34,4.25,1,1.33,5.67,air_force
Aubrey Duty-Tyson,SR,FB,1,5,32,6.40,1,5.00,32.00,air_force
Cole Fagan,SO,FB,10,5,27,5.40,0,0.50,2.70,air_force
Jake LaCoste,SR,WR,1,2,26,13.00,0,2.00,26.00,air_force
Mike Schmidt,,,2,1,21,21.00,0,0.50,10.50,air_force
Christian Mallard,SO,RB,3,4,21,5.25,1,1.33,7.00,air_force
D'Morea Wicks,SO,WR,1,2,14,7.00,0,2.00,14.00,air_force
Colton Parton,SO,LB,1,4,11,2.75,0,4.00,11.00,air_force
Benton Washington,SR,RB,6,1,5,5.00,0,0.17,0.83,air_force
Tyler Williams,SR,WR,7,3,5,1.67,0,0.43,0.71,air_force
Geraud Sanders,SO,WR,11,0,2,-,0,-,-,air_force
Andrew Smith,JR,WR,3,2,2,1.00,0,0.67,0.67,air_force
Charlie Scott,SO,,12,1,-23,-23.00,0,0.08,-1.92,air_force
Manny Morgan,SR,RB,14,116,434,3.74,4,8.29,31.00,akron
"Van Edwards, Jr.",JR,RB,14,94,343,3.65,2,6.71,24.50,akron
Warren Ball,SR,RB,5,75,332,4.43,4,15.00,66.40,akron
Kato Nelson,FR,QB,10,95,198,2.08,1,9.50,19.80,akron
Deltron Sands,SO,RB,10,25,173,6.92,2,2.50,17.30,akron
Chuck Turfe,SO,RB,11,7,31,4.43,0,0.64,2.82,akron
Andre Williams,FR,WR,12,1,7,7.00,0,0.08,0.58,akron
Robbie Kelley,JR,QB,7,1,-10,-10.00,0,0.14,-1.43,akron
Thomas Woodson,SR,QB,11,43,-25,-0.58,1,3.91,-2.27,akron
Damien Harris,JR,RB,14,135,1000,7.41,11,9.64,71.43,alabama
Jalen Hurts,SO,QB,14,154,855,5.55,8,11.00,61.07,alabama
Bo Scarbrough,JR,RB,14,124,596,4.81,8,8.86,42.57,alabama
Najee Harris,FR,RB,14,61,370,6.07,3,4.36,26.43,alabama
Josh Jacobs,SO,RB,12,46,284,6.17,1,3.83,23.67,alabama
Brian Robinson Jr.,FR,RB,11,24,165,6.88,2,2.18,15.00,alabama
Tua Tagovailoa,FR,QB,9,27,133,4.93,2,3.00,14.78,alabama
Ronnie Clark,JR,RB,5,21,107,5.10,1,4.20,21.40,alabama
Calvin Ridley,JR,WR,14,2,17,8.50,0,0.14,1.21,alabama
Robert Foster,SR,WR,14,1,12,12.00,0,0.07,0.86,alabama
Austin Johnson,SR,WR,1,2,8,4.00,0,2.00,8.00,alabama
Jalin Moore,JR,RB,11,183,1037,5.67,12,16.64,94.27,appalachian_state
Taylor Lamb,SR,QB,13,78,584,7.49,5,6.00,44.92,appalachian_state
Marcus Williams Jr.,FR,RB,8,97,500,5.15,2,12.13,62.50,appalachian_state
Terrence Upshaw,SR,RB,6,68,314,4.62,4,11.33,52.33,appalachian_state
Daetrich Harrington,FR,RB,9,59,296,5.02,2,6.56,32.89,appalachian_state
DeMarcus Harper,FR,RB,5,8,46,5.75,0,1.60,9.20,appalachian_state
Zac Thomas,FR,QB,4,8,45,5.63,0,2.00,11.25,appalachian_state
Ike Lewis,SR,WR,13,3,31,10.33,0,0.23,2.38,appalachian_state
Caleb Fuller,SR,DL,13,1,23,23.00,0,0.08,1.77,appalachian_state
De'Vonta Smith,FR,RB,1,6,15,2.50,0,6.00,15.00,appalachian_state
Jacob Huesman,FR,QB,2,2,13,6.50,0,1.00,6.50,appalachian_state
Curtis Fitch,JR,QB,1,2,6,3.00,1,2.00,6.00,appalachian_state
Malik Williams,FR,WR,13,6,6,1.00,1,0.46,0.46,appalachian_state
T.J. Watkins,SR,WR,11,1,3,3.00,0,0.09,0.27,appalachian_state
Jalen Virgil,FR,WR,13,2,0,0.00,0,0.15,0.00,appalachian_state
Khalil Tate,SO,QB,11,153,1411,9.22,12,13.91,128.27,arizona
J.J. Taylor,FR,RB,13,146,847,5.80,5,11.23,65.15,arizona
Nick Wilson,SR,RB,11,128,614,4.80,6,11.64,55.82,arizona
Brandon Dawkins,JR,QB,7,69,459,6.65,8,9.86,65.57,arizona
Zach Green,SR,RB,13,66,312,4.73,11,5.08,24.00,arizona
Nathan Tilford,FR,RB,10,13,121,9.31,2,1.30,12.10,arizona
Tyrell Johnson,SR,WR,13,8,96,12.00,1,0.62,7.38,arizona
Branden Leon,SO,RB,13,13,81,6.23,1,1.00,6.23,arizona
Shun Brown,JR,WR,13,5,51,10.20,0,0.38,3.92,arizona
Tony Ellison,JR,WR,13,3,36,12.00,1,0.23,2.77,arizona
Zach Werlinger,JR,QB,1,1,1,1.00,0,1.00,1.00,arizona
Rhett Rodriguez,FR,QB,2,4,-1,-0.25,1,2.00,-0.50,arizona
Demario Richard,SR,RB,12,198,1027,5.19,12,16.50,85.58,arizona_state
Kalen Ballage,SR,RB,13,157,669,4.26,6,12.08,51.46,arizona_state
Manny Wilkins,JR,QB,13,138,287,2.08,7,10.62,22.08,arizona_state
Eno Benjamin,FR,RB,10,23,142,6.17,1,2.30,14.20,arizona_state
Kyle Williams,SO,WR,13,10,86,8.60,0,0.77,6.62,arizona_state
N'Keal Harry,SO,WR,13,13,65,5.00,0,1.00,5.00,arizona_state
Nick Ralston,SO,RB,12,4,22,5.50,0,0.33,1.83,arizona_state
Frank Darby,FR,WR,10,1,21,21.00,1,0.10,2.10,arizona_state
Mark Cosgrove,JR,FB,2,3,6,2.00,0,1.50,3.00,arizona_state
Trelon Smith,FR,RB,9,1,4,4.00,0,0.11,0.44,arizona_state
Jalen Harvey,JR,WR,13,1,2,2.00,0,0.08,0.15,arizona_state
Blake Barnett,SO,QB,3,1,-3,-3.00,0,0.33,-1.00,arizona_state
Ryan Newsome,SO,WR,10,1,-10,-10.00,0,0.10,-1.00,arizona_state
David Williams,SR,RB,12,117,656,5.61,8,9.75,54.67,arkansas
Devwah Whaley,SO,RB,12,127,559,4.40,7,10.58,46.58,arkansas
Chase Hayden,FR,RB,7,61,326,5.34,4,8.71,46.57,arkansas
T.J. Hammonds,SO,WR,12,32,262,8.19,1,2.67,21.83,arkansas
Jordan Jones,FR,WR,12,8,88,11.00,0,0.67,7.33,arkansas
Cole Kelley,FR,QB,9,53,74,1.40,2,5.89,8.22,arkansas
Jonathan Nance,JR,WR,11,5,62,12.40,0,0.45,5.64,arkansas
Austin Cantrell,SO,TE,12,4,15,3.75,1,0.33,1.25,arkansas
De’Vion Warren,FR,WR,12,2,10,5.00,0,0.17,0.83,arkansas
