name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Cade Harris,SR,WR,5,29,171,5.90,3,5.80,34.20,air_force
John Busha,JR,QB,5,60,141,2.35,0,12.00,28.20,air_force
Owen Allen,SO,RB,5,25,101,4.04,0,5.00,20.20,air_force
Aiden Calvert,SR,RB,5,18,91,5.06,2,3.60,18.20,air_force
Kade Frew,JR,RB,3,16,85,5.31,1,5.33,28.33,air_force
Dylan Carson,JR,RB,3,20,60,3.00,0,6.67,20.00,air_force
Roman Bradley,SO,FB,2,21,56,2.67,0,10.50,28.00,air_force
Terrence Gist,JR,FB,3,13,52,4.00,0,4.33,17.33,air_force
Kemper Hodges,SO,FB,4,14,44,3.14,0,3.50,11.00,air_force
Quentin Hayes,SO,QB,4,14,21,1.50,0,3.50,5.25,air_force
Josh Johnson,SO,QB,2,6,19,3.17,0,3.00,9.50,air_force
Rocco Conti,SO,RB,2,4,13,3.25,0,2.00,6.50,air_force
Darius Stone,JR,RB,1,3,7,2.33,0,3.00,7.00,air_force
Kaden Cloud,JR,RB,3,2,6,3.00,0,0.67,2.00,air_force
Tylor Latham,JR,WR,4,4,6,1.50,0,1.00,1.50,air_force
Jordon Simmons,JR,RB,6,44,255,5.80,1,7.33,42.50,akron
Charles Kellom,SO,RB,6,33,95,2.88,0,5.50,15.83,akron
Tahj Bullock,JR,QB,6,22,48,2.18,1,3.67,8.00,akron
Marquese Williams,FR,RB,3,4,8,2.00,0,1.33,2.67,akron
Ben Finley,JR,QB,6,46,2,0.04,0,7.67,0.33,akron
Jam Miller,JR,RB,5,39,318,8.15,5,7.80,63.60,alabama
Jalen Milroe,JR,QB,5,59,283,4.80,9,11.80,56.60,alabama
Justice Haynes,SO,RB,5,31,223,7.19,2,6.20,44.60,alabama
Daniel Hill,FR,RB,3,13,37,2.85,1,4.33,12.33,alabama
Germie Bernard,JR,WR,5,4,37,9.25,1,0.80,7.40,alabama
Kevin Riley,FR,RB,1,7,26,3.71,0,7.00,26.00,alabama
Ty Simpson,SO,QB,2,4,26,6.50,1,2.00,13.00,alabama
Richard Young,FR,RB,2,9,24,2.67,0,4.50,12.00,alabama
Dylan Lonergan,FR,QB,1,1,16,16.00,0,1.00,16.00,alabama
Kendrick Law,JR,WR,4,2,6,3.00,0,0.50,1.50,alabama
Ryan Williams,FR,WR,5,1,2,2.00,1,0.20,0.40,alabama
Anderson Castle,JR,RB,5,39,184,4.72,1,7.80,36.80,appalachian_state
Kanye Roberts,SO,RB,5,40,137,3.43,1,8.00,27.40,appalachian_state
Ahmani Marshall,SR,RB,5,28,114,4.07,2,5.60,22.80,appalachian_state
Maquel Haywood,SR,RB,5,20,95,4.75,1,4.00,19.00,appalachian_state
Makai Jackson,JR,WR,5,4,88,22.00,1,0.80,17.60,appalachian_state
Joey Aguilar,SR,QB,5,27,88,3.26,2,5.40,17.60,appalachian_state
Kaedin Robinson,SR,WR,5,1,13,13.00,0,0.20,2.60,appalachian_state
Jaylon Calhoun,FR,RB,5,1,2,2.00,0,0.20,0.40,appalachian_state
Quali Conley,SR,RB,5,69,419,6.07,5,13.80,83.80,arizona
Kedrick Reescano,SO,RB,5,26,167,6.42,1,5.20,33.40,arizona
Jacory Croskey-Merritt,SR,RB,1,13,106,8.15,1,13.00,106.00,arizona
Noah Fifita,SO,QB,5,15,17,1.13,0,3.00,3.40,arizona
Malachi Riley,SO,WR,3,1,15,15.00,0,0.33,5.00,arizona
Rayshon Luke,JR,RB,4,4,13,3.25,0,1.00,3.25,arizona
Kayden Luke,FR,RB,5,1,4,4.00,0,0.20,0.80,arizona
Jeremiah Patterson,JR,WR,5,1,-2,-2.00,0,0.20,-0.40,arizona
Cam Skattebo,SR,RB,5,111,615,5.54,6,22.20,123.00,arizona_state
Sam Leavitt,FR,QB,5,49,257,5.24,4,9.80,51.40,arizona_state
DeCarlos Brooks,SR,RB,3,15,79,5.27,1,5.00,26.33,arizona_state
Raleek Brown,SO,RB,2,9,42,4.67,0,4.50,21.00,arizona_state
Kyson Brown,SO,RB,5,11,39,3.55,0,2.20,7.80,arizona_state
Jason Brown Jr.,FR,RB,1,4,33,8.25,0,4.00,33.00,arizona_state
Alton McCaskill,JR,RB,1,7,17,2.43,0,7.00,17.00,arizona_state
Jeff Sims,SR,QB,1,3,15,5.00,0,3.00,15.00,arizona_state
Melquan Stovall,SR,WR,5,1,12,12.00,0,0.20,2.40,arizona_state
Jake Smith,SR,WR,5,3,6,2.00,0,0.60,1.20,arizona_state
Derek Eusebio,FR,WR,2,1,5,5.00,0,0.50,2.50,arizona_state
Jordyn Tyson,SO,WR,5,1,1,1.00,0,0.20,0.20,arizona_state
Keona Peat,FR,OL,1,1,-1,-1.00,0,1.00,-1.00,arizona_state
Ja’Quinden Jackson,SR,RB,6,99,566,5.72,10,16.50,94.33,arkansas
Taylen Green,JR,QB,6,81,326,4.02,4,13.50,54.33,arkansas
Braylen Russell,FR,RB,6,24,124,5.17,2,4.00,20.67,arkansas
Rodney Hill,SO,RB,5,15,78,5.20,1,3.00,15.60,arkansas
"Tyrell Reed, Jr.",SO,RB,2,5,28,5.60,1,2.50,14.00,arkansas
Rashod Dubinion,JR,RB,2,5,25,5.00,0,2.50,12.50,arkansas
Malachi Singleton,FR,QB,3,8,21,2.63,2,2.67,7.00,arkansas
Devin Bale,JR,P,6,2,20,10.00,0,0.33,3.33,arkansas
Isaiah Sategna,SO,WR,6,1,15,15.00,0,0.17,2.50,arkansas
KJ Jackson,FR,QB,1,1,3,3.00,0,1.00,3.00,arkansas
Jordan Anthony,SO,WR,6,1,3,3.00,0,0.17,0.50,arkansas
Zak Wallace,SR,RB,5,51,164,3.22,2,10.20,32.80,arkansas_state
Jaylen Raynor,SO,QB,5,52,135,2.60,2,10.40,27.00,arkansas_state
Ja'Quez Cross,JR,RB,5,28,90,3.21,0,5.60,18.00,arkansas_state
Devin Spencer,FR,RB,4,19,84,4.42,0,4.75,21.00,arkansas_state
Timmy McClain,JR,QB,2,15,22,1.47,0,7.50,11.00,arkansas_state
Mike Sharpe II,JR,RB,4,2,11,5.50,0,0.50,2.75,arkansas_state
Malik Hornsby,JR,WR,5,2,11,5.50,0,0.40,2.20,arkansas_state
