name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Brad Roberts,JR,RB,13,297,1357,4.57,13,22.85,104.38,air_force
Haaziq Daniels,JR,QB,12,155,736,4.75,11,12.92,61.33,air_force
DeAndre Hughes,JR,WR,10,61,497,8.15,3,6.10,49.70,air_force
Emmanuel Michel,JR,FB,12,73,427,5.85,3,6.08,35.58,air_force
Micah Davis,SO,WR,8,47,360,7.66,4,5.88,45.00,air_force
Omar Fattah,JR,FB,10,49,220,4.49,0,4.90,22.00,air_force
Brandon Lewis,SR,WR,13,21,178,8.48,1,1.62,13.69,air_force
Dane Kinamon,SO,WR,12,36,170,4.72,5,3.00,14.17,air_force
Zachary Larrier,SO,QB,5,12,106,8.83,1,2.40,21.20,air_force
Warren Bryan,SR,QB,5,13,43,3.31,0,2.60,8.60,air_force
Elijah Robinson,JR,FB,5,7,29,4.14,0,1.40,5.80,air_force
Jensen Jones,SO,QB,1,4,27,6.75,1,4.00,27.00,air_force
Jet Harris,,,1,4,24,6.00,0,4.00,24.00,air_force
Owen Burk,SO,RB,4,6,22,3.67,0,1.50,5.50,air_force
John Lee Eldridge III,SO,RB,9,3,21,7.00,1,0.33,2.33,air_force
Conner Carey,JR,WR,2,2,19,9.50,0,1.00,9.50,air_force
CJ McNeal,SR,RB,3,2,17,8.50,0,0.67,5.67,air_force
Ben Jefferson,JR,WR,9,3,17,5.67,1,0.33,1.89,air_force
Jorden Gidrey,SO,RB,9,8,16,2.00,0,0.89,1.78,air_force
Amari Terry,SR,WR,6,4,11,2.75,0,0.67,1.83,air_force
Jonzell Norrils,FR,RB,10,118,573,4.86,3,11.80,57.30,akron
DJ Irons,SO,QB,8,91,296,3.25,2,11.38,37.00,akron
Blake Hester,FR,RB,11,65,274,4.22,2,5.91,24.91,akron
"Anthony Williams, Jr.",FR,RB,10,56,207,3.70,1,5.60,20.70,akron
Kato Nelson,SR,QB,5,47,78,1.66,0,9.40,15.60,akron
Zach Gibson,FR,QB,7,43,57,1.33,0,6.14,8.14,akron
"Oran Singleton, Jr.",FR,WR,9,3,14,4.67,0,0.33,1.56,akron
Josh Bryant,FR,RB,9,2,6,3.00,0,0.22,0.67,akron
Michael Mathison,SO,WR,11,1,5,5.00,0,0.09,0.45,akron
Tristian Brank,FR,TE,12,1,0,0.00,0,0.08,0.00,akron
Brian Robinson Jr.,SR,RB,14,271,1343,4.96,14,19.36,95.93,alabama
Trey Sanders,SO,RB,13,72,314,4.36,2,5.54,24.15,alabama
Roydell Williams,SO,RB,10,48,284,5.92,1,4.80,28.40,alabama
Jase McClellan,SO,RB,5,40,191,4.78,1,8.00,38.20,alabama
Jalen Milroe,FR,QB,4,15,57,3.80,0,3.75,14.25,alabama
Jameson Williams,JR,WR,15,3,23,7.67,0,0.20,1.53,alabama
Christian Leary,FR,WR,8,3,22,7.33,0,0.38,2.75,alabama
Demouy Kennedy,SO,LB,14,7,16,2.29,0,0.50,1.14,alabama
John Metchie III,JR,WR,13,1,8,8.00,0,0.08,0.62,alabama
Bryce Young,SO,QB,15,81,0,0.00,3,5.40,0.00,alabama
Slade Bolden,JR,WR,15,1,0,0.00,0,0.07,0.00,alabama
Nate Noel,SO,RB,14,199,1126,5.66,4,14.21,80.43,appalachian_state
Camerun Peoples,JR,RB,12,166,926,5.58,14,13.83,77.17,appalachian_state
