name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Anderson Castle,SO,RB,14,47,236,5.02,3,3.36,16.86,appalachian_state
Daetrich Harrington,SR,RB,6,46,196,4.26,1,7.67,32.67,appalachian_state
Chase Brice,SR,QB,14,71,161,2.27,3,5.07,11.50,appalachian_state
Jahmir Smith,SR,RB,5,19,69,3.63,1,3.80,13.80,appalachian_state
Gabe Montgomery,SR,RB,8,5,13,2.60,0,0.63,1.63,appalachian_state
Malik Williams,SR,WR,14,2,13,6.50,0,0.14,0.93,appalachian_state
Milan Tucker,SO,WR,13,1,3,3.00,0,0.08,0.23,appalachian_state
Jalen Virgil,SR,WR,12,2,-1,-0.50,0,0.17,-0.08,appalachian_state
Jacob Huesman,SR,QB,6,3,-8,-2.67,0,0.50,-1.33,appalachian_state
Drake Anderson,SO,RB,11,87,385,4.43,1,7.91,35.00,arizona
Michael Wiley,SO,RB,11,91,302,3.32,2,8.27,27.45,arizona
Jalen John,FR,RB,9,62,250,4.03,0,6.89,27.78,arizona
Stevie Rocker Jr.,FR,RB,11,31,153,4.94,0,2.82,13.91,arizona
Will Plummer,FR,QB,10,60,130,2.17,2,6.00,13.00,arizona
Stanley Berryhill III,JR,WR,12,19,121,6.37,0,1.58,10.08,arizona
Jordan McCloud,SO,QB,3,18,75,4.17,0,6.00,25.00,arizona
Jamarye Joiner,SO,WR,8,19,67,3.53,1,2.38,8.38,arizona
Tayvian Cunningham,SR,WR,10,3,38,12.67,0,0.30,3.80,arizona
Anthony Pandy,SR,LB,12,1,32,32.00,0,0.08,2.67,arizona
Clay Markoff,SR,RB,12,3,20,6.67,0,0.25,1.67,arizona
BJ Casteel,JR,WR,12,4,18,4.50,0,0.33,1.50,arizona
Anthony Simpson,FR,WR,7,1,7,7.00,0,0.14,1.00,arizona
Darrius Smith,SO,RB,7,2,4,2.00,0,0.29,0.57,arizona
Jalen Johnson,SO,WR,8,1,-6,-6.00,0,0.13,-0.75,arizona
Gunner Cruz,FR,QB,5,19,-21,-1.11,0,3.80,-4.20,arizona
Rachaad White,SR,RB,11,182,1006,5.53,15,16.55,91.45,arizona_state
Jayden Daniels,JR,QB,13,138,710,5.14,6,10.62,54.62,arizona_state
DeaMonte Trayanum,SO,RB,9,78,401,5.14,6,8.67,44.56,arizona_state
Daniyel Ngata,FR,RB,11,56,309,5.52,4,5.09,28.09,arizona_state
Ricky Pearsall,JR,WR,13,6,44,7.33,1,0.46,3.38,arizona_state
Elijhah Badger,FR,WR,11,3,37,12.33,2,0.27,3.36,arizona_state
George Hart III,FR,RB,12,10,19,1.90,0,0.83,1.58,arizona_state
Bryan Thompson,SR,WR,11,2,17,8.50,0,0.18,1.55,arizona_state
Trenton Bourguet,SO,QB,4,1,7,7.00,0,0.25,1.75,arizona_state
Deonce Elliott,FR,RB,1,3,6,2.00,0,3.00,6.00,arizona_state
KJ Jefferson,SO,QB,13,146,664,4.55,6,11.23,51.08,arkansas
Trelon Smith,SR,RB,13,119,598,5.03,5,9.15,46.00,arkansas
Raheim Sanders,FR,RB,13,114,578,5.07,5,8.77,44.46,arkansas
Dominique Johnson,SO,RB,13,97,575,5.93,7,7.46,44.23,arkansas
AJ Green,FR,RB,12,47,227,4.83,1,3.92,18.92,arkansas
Malik Hornsby,FR,QB,7,24,136,5.67,1,3.43,19.43,arkansas
Treylon Burks,JR,WR,12,14,112,8.00,1,1.17,9.33,arkansas
De’Vion Warren,SR,WR,13,5,42,8.40,0,0.38,3.23,arkansas
Reid Bauer,JR,P,13,1,23,23.00,0,0.08,1.77,arkansas
Javion Hunt,FR,RB,1,4,19,4.75,0,4.00,19.00,arkansas
Josh Oglesby,JR,RB,2,4,19,4.75,0,2.00,9.50,arkansas
T.J. Hammonds,SR,RB,13,1,-1,-1.00,0,0.08,-0.08,arkansas
Lincoln Pare,FR,RB,12,107,455,4.25,1,8.92,37.92,arkansas_state
Johnnie Lang,JR,RB,12,65,263,4.05,0,5.42,21.92,arkansas_state
Alan Lamar,SR,RB,12,62,231,3.73,1,5.17,19.25,arkansas_state
Marcel Murray,JR,RB,4,14,105,7.50,0,3.50,26.25,arkansas_state
Wyatt Begeal,FR,QB,3,8,42,5.25,0,2.67,14.00,arkansas_state
Corey Rucker,FR,WR,12,2,20,10.00,1,0.17,1.67,arkansas_state
Reed Tyler,JR,TE,10,1,8,8.00,0,0.10,0.80,arkansas_state
Josh Edwards,FR,RB,2,2,1,0.50,0,1.00,0.50,arkansas_state
Omari Walker,FR,WR,3,1,-5,-5.00,0,0.33,-1.67,arkansas_state
James Blackman,JR,QB,6,32,-39,-1.22,0,5.33,-6.50,arkansas_state
Layne Hatcher,SO,QB,11,50,-54,-1.08,1,4.55,-4.91,arkansas_state
Christian Anderson,SR,QB,11,108,625,5.79,8,9.82,56.82,army
Tyrell Robinson,SO,RB,13,72,609,8.46,3,5.54,46.85,army
Jakobi Buchanan,JR,RB,13,136,504,3.71,12,10.46,38.77,army
Tyhier Tyler,JR,QB,11,125,486,3.89,7,11.36,44.18,army
Anthony Adkins,SO,RB,13,76,355,4.67,5,5.85,27.31,army
Tyson Riley,SO,RB,10,44,198,4.50,2,4.40,19.80,army
Brandon Walters,SR,RB,13,16,198,12.38,1,1.23,15.23,army
Cade Barnard,SR,RB,13,34,129,3.79,0,2.62,9.92,army
Jemel Jones,JR,QB,4,30,124,4.13,1,7.50,31.00,army
A.J. Howard,SR,RB,13,20,106,5.30,2,1.54,8.15,army
Wilson Catoe,SR,FB,11,20,71,3.55,2,1.82,6.45,army
Braheam Murphy,JR,RB,13,12,51,4.25,0,0.92,3.92,army
Jabari Laws,SR,QB,6,23,43,1.87,0,3.83,7.17,army
Shacori Williams,SO,RB,3,13,41,3.15,1,4.33,13.67,army
Cade Ballard,SO,QB,3,7,40,5.71,0,2.33,13.33,army
Laquan Veney,FR,RB,3,3,30,10.00,0,1.00,10.00,army
Markens Pierre,SR,RB,4,3,28,9.33,1,0.75,7.00,army
Maurice Bellan,JR,QB,1,2,16,8.00,0,2.00,16.00,army
Justin Lescouflair,JR,RB,4,4,16,4.00,0,1.00,4.00,army
Ay'Jaun Marshall,SO,RB,5,1,10,10.00,0,0.20,2.00,army
Reikan Donaldson,JR,WR,10,2,1,0.50,0,0.20,0.10,army
Zach Harding,SR,P,12,1,-13,-13.00,0,0.08,-1.08,army
Tank Bigsby,SO,RB,13,223,1099,4.93,10,17.15,84.54,auburn
Jarquez Hunter,FR,RB,13,89,593,6.66,3,6.85,45.62,auburn
Bo Nix,JR,QB,10,57,168,2.95,4,5.70,16.80,auburn
Shaun Shivers,SR,RB,10,14,87,6.21,1,1.40,8.70,auburn
Sean Jackson,FR,RB,4,12,60,5.00,1,3.00,15.00,auburn
Ja'Varrius Johnson,SO,WR,12,2,59,29.50,1,0.17,4.92,auburn
Demetris Robertson,SR,WR,12,5,42,8.40,1,0.42,3.50,auburn
Malcolm Johnson Jr.,SO,WR,11,3,25,8.33,0,0.27,2.27,auburn
Jay Sharp,FR,RB,1,5,15,3.00,0,5.00,15.00,auburn
Jordon Ingram,FR,RB,1,2,8,4.00,0,2.00,8.00,auburn
John Samuel Shenker,SR,TE,13,1,1,1.00,0,0.08,0.08,auburn
Kobe Hudson,SO,WR,12,1,-10,-10.00,0,0.08,-0.83,auburn
T.J. Finley,SO,QB,9,20,-36,-1.80,1,2.22,-4.00,auburn
Carson Steele,FR,RB,13,192,891,4.64,6,14.77,68.54,ball_state
Will Jones,SR,RB,13,88,314,3.57,3,6.77,24.15,ball_state
Justin Hall,SR,WR,11,37,255,6.89,6,3.36,23.18,ball_state
Drew Plitt,SR,QB,13,81,131,1.62,2,6.23,10.08,ball_state
Donny Marcus,SO,RB,9,17,40,2.35,0,1.89,4.44,ball_state
Jayshon Jackson,JR,WR,13,10,33,3.30,0,0.77,2.54,ball_state
Jalen McGaughy,SO,WR,11,2,26,13.00,0,0.18,2.36,ball_state
Lucas Borrow,FR,P,5,1,21,21.00,0,0.20,4.20,ball_state
Rico Barfield,FR,RB,1,3,12,4.00,0,3.00,12.00,ball_state
Trevor Hohlt,SR,WR,13,1,1,1.00,0,0.08,0.08,ball_state
John Paddock,JR,QB,2,2,-9,-4.50,0,1.00,-4.50,ball_state
Abram Smith,SR,RB,14,257,1601,6.23,12,18.36,114.36,baylor
Trestan Ebner,SR,RB,14,148,799,5.40,2,10.57,57.07,baylor
Gerry Bohanon,JR,QB,12,76,323,4.25,9,6.33,26.92,baylor
Taye McWilliams,SO,RB,10,17,181,10.65,2,1.70,18.10,baylor
Monaray Baldwin,FR,WR,8,6,87,14.50,1,0.75,10.88,baylor
Blake Shapen,FR,QB,6,21,59,2.81,0,3.50,9.83,baylor
Craig Williams,SO,RB,2,4,15,3.75,0,2.00,7.50,baylor
Hal Presley,FR,WR,8,1,13,13.00,0,0.13,1.63,baylor
Josh Fleeks,SR,WR,9,3,11,3.67,0,0.33,1.22,baylor
Jacoby Clarke,SO,RB,12,2,9,4.50,0,0.17,0.75,baylor
Dillon Doyle,JR,LB,14,3,7,2.33,1,0.21,0.50,baylor
Drew Estrada,SR,WR,12,8,4,0.50,0,0.67,0.33,baylor
Gavin Yates,FR,TE,12,1,2,2.00,1,0.08,0.17,baylor
Brandon Bass,JR,QB,1,1,1,1.00,0,1.00,1.00,baylor
Ben Sims,JR,TE,14,1,1,1.00,1,0.07,0.07,baylor
R.J. Sneed,SR,WR,14,2,0,0.00,0,0.14,0.00,baylor
Jacob Zeno,SO,QB,2,3,-3,-1.00,0,1.50,-1.50,baylor
Tyquan Thornton,SR,WR,14,1,-11,-11.00,0,0.07,-0.79,baylor
George Holani,SO,RB,9,119,569,4.78,1,13.22,63.22,boise_state
Cyrus Habibi-Likio,SR,RB,11,107,374,3.50,2,9.73,34.00,boise_state
Andrew Van Buren,SR,RB,12,72,217,3.01,9,6.00,18.08,boise_state
Khalil Shakir,SR,WR,12,21,130,6.19,0,1.75,10.83,boise_state
Tyler Crowe,SO,RB,12,21,108,5.14,1,1.75,9.00,boise_state
Taequan Tyler,SO,RB,3,11,47,4.27,0,3.67,15.67,boise_state
CT Thomas,SR,WR,6,4,29,7.25,0,0.67,4.83,boise_state
Octavius Evans,SR,WR,10,3,22,7.33,1,0.30,2.20,boise_state
Jack Sears,SR,QB,4,9,20,2.22,1,2.25,5.00,boise_state
Danny Smith,JR,RB,5,6,17,2.83,0,1.20,3.40,boise_state
Latrell Caples,FR,WR,6,1,9,9.00,0,0.17,1.50,boise_state
Stefan Cobbs,JR,WR,8,2,5,2.50,0,0.25,0.63,boise_state
Taylen Green,FR,QB,2,5,2,0.40,0,2.50,1.00,boise_state
Hank Bachmeier,JR,QB,12,60,-20,-0.33,0,5.00,-1.67,boise_state
Pat Garwo III,SO,RB,12,205,1045,5.10,7,17.08,87.08,boston_college
Alec Sinkfield,SR,RB,12,85,350,4.12,2,7.08,29.17,boston_college
Phil Jurkovec,JR,QB,6,50,322,6.44,5,8.33,53.67,boston_college
Travis Levy,SR,RB,12,56,184,3.29,4,4.67,15.33,boston_college
Zay Flowers,JR,WR,12,7,69,9.86,0,0.58,5.75,boston_college
Dennis Grosel,SR,QB,8,44,57,1.30,2,5.50,7.13,boston_college
Xavier Coleman,FR,RB,3,6,13,2.17,0,2.00,4.33,boston_college
Peter Stehr,JR,RB,9,4,12,3.00,1,0.44,1.33,boston_college
Grant Carlson,SR,P,12,1,-8,-8.00,0,0.08,-0.67,boston_college
Emmett Morehead,FR,QB,2,9,-29,-3.22,0,4.50,-14.50,boston_college
Terion Stewart,FR,RB,9,70,412,5.89,5,7.78,45.78,bowling_green
Nick Mosley,FR,RB,12,77,336,4.36,2,6.42,28.00,bowling_green
Jaison Patterson,FR,RB,10,65,271,4.17,2,6.50,27.10,bowling_green
Taron Keith,FR,RB,12,34,91,2.68,0,2.83,7.58,bowling_green
Jamal Johnson,FR,RB,11,15,69,4.60,0,1.36,6.27,bowling_green
Jhaylin Embry,FR,WR,12,17,52,3.06,1,1.42,4.33,bowling_green
Matt McDonald,SR,QB,12,80,13,0.16,4,6.67,1.08,bowling_green
Matt Naranjo,SR,P,12,1,8,8.00,0,0.08,0.67,bowling_green
Christian Sims,JR,TE,11,1,4,4.00,1,0.09,0.36,bowling_green
Cade Zimmerly,FR,C,10,0,3,-,0,-,-,bowling_green
Dylan McDuffie,JR,RB,12,206,1049,5.09,11,17.17,87.42,buffalo
"Kevin Marks, Jr.",SR,RB,9,108,414,3.83,5,12.00,46.00,buffalo
"Ron Cook, Jr.",JR,RB,12,88,377,4.28,3,7.33,31.42,buffalo
Matt Myers,JR,QB,10,61,185,3.03,4,6.10,18.50,buffalo
Mike Washington,FR,RB,3,23,132,5.74,1,7.67,44.00,buffalo
Kyle Vantrease,SR,QB,10,30,109,3.63,3,3.00,10.90,buffalo
Tajay Ahmed,JR,RB,10,6,42,7.00,1,0.60,4.20,buffalo
Jamari Gassett,FR,WR,12,2,16,8.00,0,0.17,1.33,buffalo
Ryan Razzano,SO,RB,1,1,5,5.00,0,1.00,5.00,buffalo
Khamran Laborn,FR,WR,11,1,5,5.00,0,0.09,0.45,buffalo
Jake Molinich,SR,TE,12,4,4,1.00,2,0.33,0.33,buffalo
Tyler Allgeier,SO,RB,13,276,1606,5.82,23,21.23,123.54,byu
Jaren Hall,SO,QB,10,62,307,4.95,3,6.20,30.70,byu
Lopini Katoa,JR,RB,13,61,242,3.97,2,4.69,18.62,byu
Puka Nacua,SO,WR,12,14,148,10.57,0,1.17,12.33,byu
Jackson McChesney,FR,RB,5,14,64,4.57,1,2.80,12.80,byu
Neil Pau'u,JR,WR,10,5,46,9.20,0,0.50,4.60,byu
Samson Nacua,SR,WR,13,7,29,4.14,1,0.54,2.23,byu
Hinckley Ropati,SO,RB,5,4,15,3.75,0,0.80,3.00,byu
Chris Jackson,JR,WR,12,3,12,4.00,0,0.25,1.00,byu
Masen Wake,SO,FB,11,3,8,2.67,0,0.27,0.73,byu
Gunner Romney,JR,WR,10,2,2,1.00,0,0.20,0.20,byu
Baylor Romney,SO,QB,5,10,-4,-0.40,0,2.00,-0.80,byu
Dallin Holker,SO,TE,13,1,-7,-7.00,0,0.08,-0.54,byu
Miles Davis,FR,RB,2,1,-7,-7.00,0,0.50,-3.50,byu
Christopher Brooks,SR,RB,12,116,607,5.23,4,9.67,50.58,california
Damien Moore,SO,RB,11,100,518,5.18,6,9.09,47.09,california
Chase Garbers,SR,QB,11,104,461,4.43,4,9.45,41.91,california
Marcel Dancy,SR,RB,12,26,161,6.19,2,2.17,13.42,california
Chris Street,SO,RB,10,21,107,5.10,1,2.10,10.70,california
DeCarlos Brooks,SO,RB,7,10,96,9.60,0,1.43,13.71,california
Nikko Remigio,SR,WR,11,7,57,8.14,0,0.64,5.18,california
Ashton Stredick,SO,RB,4,2,8,4.00,0,0.50,2.00,california
Robby Rowell,JR,QB,1,1,-4,-4.00,0,1.00,-4.00,california
Ryan Glover,SR,QB,1,6,-12,-2.00,0,6.00,-12.00,california
Lew Nichols III,FR,RB,13,341,1848,5.42,16,26.23,142.15,central_michigan
Darius Bracy,JR,RB,8,36,212,5.89,0,4.50,26.50,central_michigan
Myles Bailey,FR,RB,11,30,114,3.80,0,2.73,10.36,central_michigan
De'Javion Stepney,FR,RB,4,13,109,8.38,0,3.25,27.25,central_michigan
Marion Lukes,FR,RB,13,22,94,4.27,0,1.69,7.23,central_michigan
Kalil Pimpleton,JR,WR,13,16,84,5.25,2,1.23,6.46,central_michigan
Jake Tafelski,FR,RB,3,1,5,5.00,0,0.33,1.67,central_michigan
Joel Wilson,SO,TE,13,1,0,0.00,0,0.08,0.00,central_michigan
Ke'Andre Collins,FR,WR,1,1,-5,-5.00,0,1.00,-5.00,central_michigan
Daniel Richardson,FR,QB,13,23,-38,-1.65,0,1.77,-2.92,central_michigan
Jacob Sirmon,SO,QB,5,27,-53,-1.96,0,5.40,-10.60,central_michigan
Calvin Camp,SR,RB,12,113,635,5.62,4,9.42,52.92,charlotte
Shadrick Byrd,SO,RB,12,132,583,4.42,3,11.00,48.58,charlotte
ChaVon McEachern,FR,RB,10,50,272,5.44,1,5.00,27.20,charlotte
Chris Reynolds,SR,QB,11,84,183,2.18,4,7.64,16.64,charlotte
Jairus Mack,FR,WR,10,3,47,15.67,0,0.30,4.70,charlotte
Victor Tucker,SR,WR,11,4,26,6.50,0,0.36,2.36,charlotte
Grant DuBose,SO,WR,12,3,18,6.00,0,0.25,1.50,charlotte
Keith Pearson,SR,WR,12,3,18,6.00,0,0.25,1.50,charlotte
James Foster,SO,QB,5,23,16,0.70,1,4.60,3.20,charlotte
Chavion Smith,FR,RB,2,6,13,2.17,0,3.00,6.50,charlotte
Henry Rutledge,FR,RB,4,1,8,8.00,0,0.25,2.00,charlotte
Dylan Ratliff,JR,QB,1,1,-4,-4.00,0,1.00,-4.00,charlotte
Jerome Ford,JR,RB,13,215,1320,6.14,19,16.54,101.54,cincinnati
Desmond Ridder,SR,QB,14,110,355,3.23,6,7.86,25.36,cincinnati
Ryan Montgomery,JR,RB,14,46,312,6.78,3,3.29,22.29,cincinnati
Charles McClelland,JR,RB,13,37,190,5.14,1,2.85,14.62,cincinnati
Ethan Wright,SO,RB,13,29,153,5.28,3,2.23,11.77,cincinnati
Evan Prater,FR,QB,7,12,105,8.75,2,1.71,15.00,cincinnati
Tre Tucker,JR,WR,14,2,12,6.00,0,0.14,0.86,cincinnati
Will Shipley,FR,RB,10,149,739,4.96,11,14.90,73.90,clemson
Kobe Pace,SO,RB,11,104,641,6.16,6,9.45,58.27,clemson
DJ Uiagalelei,SO,QB,13,105,308,2.93,4,8.08,23.69,clemson
Phil Mafah,FR,RB,9,68,292,4.29,3,7.56,32.44,clemson
Taisun Phommachanh,SO,QB,6,11,69,6.27,1,1.83,11.50,clemson
Darien Rencher,SR,RB,13,19,62,3.26,0,1.46,4.77,clemson
Lyn-J Dixon,SR,RB,3,10,48,4.80,0,3.33,16.00,clemson
Will Taylor,FR,QB,5,5,20,4.00,0,1.00,4.00,clemson
Ty Lucas,JR,RB,2,4,13,3.25,0,2.00,6.50,clemson
Michel Dukes,JR,RB,1,2,7,3.50,0,2.00,7.00,clemson
Will Swinney,SR,WR,13,1,6,6.00,1,0.08,0.46,clemson
Hunter Helms,FR,QB,2,1,4,4.00,0,0.50,2.00,clemson
Billy Wiles,FR,QB,1,1,2,2.00,0,1.00,2.00,clemson
Shermari Jones,SR,RB,11,159,1040,6.54,13,14.45,94.55,coastal_carolina
Braydon Bennett,FR,RB,13,74,636,8.59,7,5.69,48.92,coastal_carolina
Reese White,JR,RB,9,72,515,7.15,7,8.00,57.22,coastal_carolina
Grayson McCall,SO,QB,11,93,290,3.12,4,8.45,26.36,coastal_carolina
Bryce Carpenter,SR,QB,11,54,217,4.02,3,4.91,19.73,coastal_carolina
Christian Malloy,JR,RB,8,11,72,6.55,0,1.38,9.00,coastal_carolina
Isaiah Connelly,FR,RB,3,13,71,5.46,0,4.33,23.67,coastal_carolina
CJ Beasley,FR,RB,11,14,47,3.36,1,1.27,4.27,coastal_carolina
Tyson Mobley,SO,WR,13,1,32,32.00,1,0.08,2.46,coastal_carolina
Jarrett Guest,SO,QB,6,4,30,7.50,0,0.67,5.00,coastal_carolina
Nate Hope II,SO,RB,2,3,15,5.00,0,1.50,7.50,coastal_carolina
C.J. Brewer,SR,DT,13,1,12,12.00,0,0.08,0.92,coastal_carolina
Isaiah Likely,SR,TE,13,3,10,3.33,0,0.23,0.77,coastal_carolina
Aaron Bedgood,SO,WR,13,1,4,4.00,0,0.08,0.31,coastal_carolina
Jarek Broussard,SO,TB,11,142,661,4.65,2,12.91,60.09,colorado
Alex Fontenot,JR,TB,12,96,326,3.40,5,8.00,27.17,colorado
Deion Smith,SO,TB,11,53,192,3.62,2,4.82,17.45,colorado
Brendon Lewis,FR,QB,12,98,190,1.94,2,8.17,15.83,colorado
Ashaad Clayton,FR,TB,4,20,84,4.20,1,5.00,21.00,colorado
Brenden Rice,FR,WR,11,6,54,9.00,0,0.55,4.91,colorado
Joe Davis,SO,TB,1,5,22,4.40,0,5.00,22.00,colorado
Jayle Stacks,FR,TB,2,1,4,4.00,0,0.50,2.00,colorado
Matt Lynch,SR,TE,9,1,3,3.00,0,0.11,0.33,colorado
Dimitri Stanley,SO,WR,9,2,1,0.50,0,0.22,0.11,colorado
Daniel Arias,JR,WR,12,2,1,0.50,0,0.17,0.08,colorado
Brady Russell,JR,TE,12,1,0,0.00,0,0.08,0.00,colorado
Drew Carter,FR,QB,6,3,-1,-0.33,0,0.50,-0.17,colorado
David Bailey,SR,RB,11,197,752,3.82,9,17.91,68.36,colorado_state
Todd Centeio,SR,QB,12,131,439,3.35,2,10.92,36.58,colorado_state
A'Jon Vivens,JR,RB,9,90,324,3.60,0,10.00,36.00,colorado_state
Jaylen Thomas,SO,RB,12,44,180,4.09,2,3.67,15.00,colorado_state
Evan Olaes,FR,QB,3,18,84,4.67,0,6.00,28.00,colorado_state
Trey McBride,SR,TE,12,1,69,69.00,1,0.08,5.75,colorado_state
Alex Berrouet,FR,RB,1,7,50,7.14,0,7.00,50.00,colorado_state
"Marcus McElroy, Jr.",SR,RB,4,6,47,7.83,0,1.50,11.75,colorado_state
E.J. Scott,SR,WR,11,4,33,8.25,0,0.36,3.00,colorado_state
Ty McCullouch,JR,WR,12,3,14,4.67,0,0.25,1.17,colorado_state
Jordan Kress,SR,WR,10,1,4,4.00,0,0.10,0.40,colorado_state
Dante Wright,JR,WR,8,3,-5,-1.67,0,0.38,-0.63,colorado_state
Thomas Pannunzio,SR,WR,12,2,-6,-3.00,0,0.17,-0.50,colorado_state
Nathan Carter,FR,RB,12,125,578,4.62,2,10.42,48.17,connecticut
Kevin Mensah,SR,RB,12,104,314,3.02,0,8.67,26.17,connecticut
Steven Krajewski,SO,QB,11,61,173,2.84,3,5.55,15.73,connecticut
Tyler Phommachanh,FR,QB,3,24,84,3.50,2,8.00,28.00,connecticut
Robert Burns,SR,RB,10,12,45,3.75,0,1.20,4.50,connecticut
Aaron Turner,FR,WR,12,1,22,22.00,0,0.08,1.83,connecticut
Heron Maurisseau,SO,WR,12,6,20,3.33,0,0.50,1.67,connecticut
Brian Brewton,FR,RB,11,6,18,3.00,0,0.55,1.64,connecticut
Devontae Houston,FR,RB,9,4,10,2.50,0,0.44,1.11,connecticut
Micah Leon,JR,QB,1,6,-4,-0.67,0,6.00,-4.00,connecticut
Jacob Drena,FR,QB,1,1,-7,-7.00,0,1.00,-7.00,connecticut
Jay Rose,SR,TE,10,1,-9,-9.00,0,0.10,-0.90,connecticut
Jack Zergiotis,SO,QB,3,22,-55,-2.50,1,7.33,-18.33,connecticut
Mataeo Durant,SR,RB,12,255,1244,4.88,9,21.25,103.67,duke
Jordan Moore,FR,QB,10,44,221,5.02,3,4.40,22.10,duke
Jordan Waters,SO,RB,10,39,197,5.05,1,3.90,19.70,duke
Riley Leonard,FR,QB,7,47,173,3.68,2,6.71,24.71,duke
Gunnar Holmberg,SR,QB,11,88,167,1.90,6,8.00,15.18,duke
Luca Diamont,FR,QB,2,4,48,12.00,0,2.00,24.00,duke
Trent Davis,FR,RB,3,9,29,3.22,0,3.00,9.67,duke
Nakeie Montgomery,SR,RB,8,3,28,9.33,0,0.38,3.50,duke
Nate Kyei-Donkor,SR,RB,4,10,18,1.80,0,2.50,4.50,duke
Jaylen Coleman,SO,RB,9,11,14,1.27,0,1.22,1.56,duke
Jalon Calhoun,JR,WR,12,2,13,6.50,1,0.17,1.08,duke
Jaquez Moore,FR,RB,10,5,12,2.40,0,0.50,1.20,duke
Porter Wilson,SO,P,12,2,10,5.00,0,0.17,0.83,duke
Jontavis Robertson,SO,WR,11,1,4,4.00,0,0.09,0.36,duke
DeWayne Carter,SO,DT,12,1,-1,-1.00,0,0.08,-0.08,duke
Keaton Mitchell,FR,RB,12,174,1132,6.51,9,14.50,94.33,east_carolina
Rahjai Harris,FR,RB,12,164,579,3.53,4,13.67,48.25,east_carolina
Holton Ahlers,JR,QB,12,116,204,1.76,6,9.67,17.00,east_carolina
Mason Garcia,FR,QB,6,8,19,2.38,1,1.33,3.17,east_carolina
Joseph McKay,FR,RB,1,4,14,3.50,0,4.00,14.00,east_carolina
Jsi Hatfield,SO,WR,10,1,4,4.00,0,0.10,0.40,east_carolina
