name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
John Busha,JR,QB,5,141,240,114,381,3.34,76.2,air_force
Cade Harris,SR,WR,5,171,0,29,171,5.90,34.2,air_force
Quentin Hayes,SO,QB,4,21,122,21,143,6.81,35.8,air_force
Owen Allen,SO,RB,5,101,0,25,101,4.04,20.2,air_force
Aiden Calvert,SR,RB,5,91,0,18,91,5.06,18.2,air_force
Kade Frew,JR,RB,3,85,0,16,85,5.31,28.3,air_force
Dylan Carson,JR,RB,3,60,0,20,60,3.00,20.0,air_force
Roman Bradley,SO,FB,2,56,0,21,56,2.67,28.0,air_force
Terrence Gist,JR,FB,3,52,0,13,52,4.00,17.3,air_force
Kemper Hodges,SO,FB,4,44,0,14,44,3.14,11.0,air_force
Josh Johnson,SO,QB,2,19,18,9,37,4.11,18.5,air_force
Rocco Conti,SO,RB,2,13,0,4,13,3.25,6.5,air_force
Darius Stone,JR,RB,1,7,0,3,7,2.33,7.0,air_force
Kaden Cloud,JR,RB,3,6,0,2,6,3.00,2.0,air_force
Tylor Latham,JR,WR,4,6,0,4,6,1.50,1.5,air_force
Ben Finley,JR,QB,6,2,1061,231,1063,4.60,177.2,akron
Jordon Simmons,JR,RB,6,255,0,44,255,5.80,42.5,akron
Tahj Bullock,JR,QB,6,48,95,42,143,3.40,23.8,akron
Charles Kellom,SO,RB,6,95,0,33,95,2.88,15.8,akron
Brayden Roggow,FR,QB,1,0,9,2,9,4.50,9.0,akron
Marquese Williams,FR,RB,3,8,0,4,8,2.00,2.7,akron
Jalen Milroe,JR,QB,5,283,1274,168,1557,9.27,311.4,alabama
Jam Miller,JR,RB,5,318,0,39,318,8.15,63.6,alabama
Justice Haynes,SO,RB,5,223,0,31,223,7.19,44.6,alabama
Ty Simpson,SO,QB,2,26,96,18,122,6.78,61.0,alabama
Daniel Hill,FR,RB,3,37,0,13,37,2.85,12.3,alabama
Germie Bernard,JR,WR,5,37,0,4,37,9.25,7.4,alabama
Kevin Riley,FR,RB,1,26,0,7,26,3.71,26.0,alabama
Richard Young,FR,RB,2,24,0,9,24,2.67,12.0,alabama
Dylan Lonergan,FR,QB,1,16,0,1,16,16.00,16.0,alabama
Kendrick Law,JR,WR,4,6,0,2,6,3.00,1.5,alabama
Ryan Williams,FR,WR,5,2,0,1,2,2.00,0.4,alabama
Joey Aguilar,SR,QB,5,88,1523,235,1611,6.86,322.2,appalachian_state
Anderson Castle,JR,RB,5,184,0,39,184,4.72,36.8,appalachian_state
Kanye Roberts,SO,RB,5,137,0,40,137,3.43,27.4,appalachian_state
Ahmani Marshall,SR,RB,5,114,0,28,114,4.07,22.8,appalachian_state
Maquel Haywood,SR,RB,5,95,0,20,95,4.75,19.0,appalachian_state
Makai Jackson,JR,WR,5,88,0,4,88,22.00,17.6,appalachian_state
Kaedin Robinson,SR,WR,5,13,0,2,13,6.50,2.6,appalachian_state
Jaylon Calhoun,FR,RB,5,2,0,1,2,2.00,0.4,appalachian_state
Billy Wiles,JR,QB,2,0,0,1,0,0.00,0.0,appalachian_state
Noah Fifita,SO,QB,5,17,1361,194,1378,7.10,275.6,arizona
Quali Conley,SR,RB,5,419,0,69,419,6.07,83.8,arizona
Kedrick Reescano,SO,RB,5,167,0,26,167,6.42,33.4,arizona
Jacory Croskey-Merritt,SR,RB,1,106,0,13,106,8.15,106.0,arizona
Malachi Riley,SO,WR,3,15,0,1,15,15.00,5.0,arizona
Rayshon Luke,JR,RB,4,13,0,4,13,3.25,3.3,arizona
Kayden Luke,FR,RB,5,4,0,1,4,4.00,0.8,arizona
Jeremiah Patterson,JR,WR,5,-2,0,1,-2,-2.00,-0.4,arizona
Sam Leavitt,FR,QB,5,257,1012,183,1269,6.93,253.8,arizona_state
Cam Skattebo,SR,RB,5,615,0,111,615,5.54,123.0,arizona_state
DeCarlos Brooks,SR,RB,3,79,0,15,79,5.27,26.3,arizona_state
Raleek Brown,SO,RB,2,42,0,9,42,4.67,21.0,arizona_state
Kyson Brown,SO,RB,5,39,0,11,39,3.55,7.8,arizona_state
Jason Brown Jr.,FR,RB,1,33,0,4,33,8.25,33.0,arizona_state
Alton McCaskill,JR,RB,1,17,0,7,17,2.43,17.0,arizona_state
Jeff Sims,SR,QB,1,15,0,3,15,5.00,15.0,arizona_state
Kanyon Floyd,FR,P,5,0,15,1,15,15.00,3.0,arizona_state
Melquan Stovall,SR,WR,5,12,0,1,12,12.00,2.4,arizona_state
Jake Smith,SR,WR,5,6,0,3,6,2.00,1.2,arizona_state
Derek Eusebio,FR,WR,2,5,0,1,5,5.00,2.5,arizona_state
Jordyn Tyson,SO,WR,5,1,0,1,1,1.00,0.2,arizona_state
Keona Peat,FR,OL,1,-1,0,1,-1,-1.00,-1.0,arizona_state
Taylen Green,JR,QB,6,326,1502,270,1828,6.77,304.7,arkansas
Ja’Quinden Jackson,SR,RB,6,566,0,99,566,5.72,94.3,arkansas
Malachi Singleton,FR,QB,3,21,151,22,172,7.82,57.3,arkansas
