name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Braylen Russell,FR,RB,6,124,0,24,124,5.17,20.7,arkansas
Rodney Hill,SO,RB,5,78,0,15,78,5.20,15.6,arkansas
KJ Jackson,FR,QB,1,3,59,5,62,12.40,62.0,arkansas
"Tyrell Reed, Jr.",SO,RB,2,28,0,5,28,5.60,14.0,arkansas
Rashod Dubinion,JR,RB,2,25,0,5,25,5.00,12.5,arkansas
Devin Bale,JR,P,6,20,0,2,20,10.00,3.3,arkansas
Isaiah Sategna,SO,WR,6,15,0,1,15,15.00,2.5,arkansas
Jordan Anthony,SO,WR,6,3,0,1,3,3.00,0.5,arkansas
Jaylen Raynor,SO,QB,5,135,1125,219,1260,5.75,252.0,arkansas_state
Zak Wallace,SR,RB,5,164,0,51,164,3.22,32.8,arkansas_state
Timmy McClain,JR,QB,2,22,132,33,154,4.67,77.0,arkansas_state
Ja'Quez Cross,JR,RB,5,90,0,28,90,3.21,18.0,arkansas_state
Devin Spencer,FR,RB,4,84,0,19,84,4.42,21.0,arkansas_state
Mike Sharpe II,JR,RB,4,11,0,2,11,5.50,2.8,arkansas_state
Malik Hornsby,JR,WR,5,11,0,2,11,5.50,2.2,arkansas_state
Damon Sisa,FR,RB,1,1,0,1,1,1.00,1.0,arkansas_state
Cedric Hawkins,SO,RB,3,-6,0,2,-6,-3.00,-2.0,arkansas_state
Bryson Daily,SR,QB,5,602,380,125,982,7.86,196.4,army
Kanye Udoh,SO,RB,5,434,0,57,434,7.61,86.8,army
Noah Short,JR,SB,5,355,0,28,355,12.68,71.0,army
Dewayne Coleman,JR,QB,4,68,73,25,141,5.64,35.3,army
Jake Rendina,SO,RB,5,86,0,21,86,4.10,17.2,army
Hayden Reed,JR,RB,5,73,0,14,73,5.21,14.6,army
Samari Howard,SO,SB,5,66,0,13,66,5.08,13.2,army
David Clerk,SO,SB,4,37,0,4,37,9.25,9.3,army
Andon Thomas,JR,ILB,5,35,0,1,35,35.00,7.0,army
Matthew Rhodes,SR,P,5,23,0,1,23,23.00,4.6,army
Miles Stewart,SR,RB,5,18,0,2,18,9.00,3.6,army
AJ Williams,SR,RB,3,9,0,2,9,4.50,3.0,army
Carson Smith,SO,RB,3,5,0,3,5,1.67,1.7,army
Lloyd Benson III,SO,SB,5,3,0,1,3,3.00,0.6,army
Cale Hellums,SO,QB,2,2,0,3,2,0.67,1.0,army
James Wagenseller,SO,P,5,0,0,1,0,0.00,0.0,army
Payton Thorne,SR,QB,5,147,1238,183,1385,7.57,277.0,auburn
Jarquez Hunter,SR,RB,6,528,0,78,528,6.77,88.0,auburn
Hank Brown,FR,QB,3,10,403,46,413,8.98,137.7,auburn
Damari Alston,JR,RB,6,186,0,29,186,6.41,31.0,auburn
Jeremiah Cobb,SO,RB,6,67,0,13,67,5.15,11.2,auburn
Holden Geriner,SO,QB,2,6,33,3,39,13.00,19.5,auburn
Justin Jones,JR,RB,6,24,0,1,24,24.00,4.0,auburn
Sean Jackson,JR,RB,6,13,0,3,13,4.33,2.2,auburn
Malcolm Simmons,FR,WR,6,8,0,2,8,4.00,1.3,auburn
Oscar Chapman,SR,P,6,6,0,1,6,6.00,1.0,auburn
Sam Jackson V,JR,WR,6,0,0,2,0,0.00,0.0,auburn
Kadin Semonza,FR,QB,5,-37,1133,202,1096,5.43,219.2,ball_state
Braedon Sloan,SR,RB,5,347,22,78,369,4.73,73.8,ball_state
Vaughn Pemberton,JR,RB,3,44,0,12,44,3.67,14.7,ball_state
Kiael Kelly,JR,DB,5,33,-3,18,30,1.67,6.0,ball_state
TJ Horton,FR,RB,2,26,0,5,26,5.20,13.0,ball_state
Cam Pickett,SO,WR,5,20,0,4,20,5.00,4.0,ball_state
Charlie Spegal,JR,RB,5,15,0,6,15,2.50,3.0,ball_state
Malcolm Gillie,SR,WR,5,12,0,2,12,6.00,2.4,ball_state
Christian Davis,FR,RB,4,8,0,9,8,0.89,2.0,ball_state
Aidan Leffler,SO,QB,2,0,6,6,6,1.00,3.0,ball_state
Isaiah Thacker,FR,WR,5,6,0,1,6,6.00,1.2,ball_state
Sawyer Robertson,JR,QB,5,140,1045,169,1185,7.01,237.0,baylor
Dequan Finn,SR,QB,2,26,307,62,333,5.37,166.5,baylor
Bryson Washington,FR,RB,4,186,0,43,186,4.33,46.5,baylor
Dawson Pendergrass,SO,RB,6,184,0,43,184,4.28,30.7,baylor
Richard Reese,JR,RB,4,143,0,37,143,3.86,35.8,baylor
Dominic Richardson,SR,RB,4,109,0,31,109,3.52,27.3,baylor
Nate Bennett,FR,QB,1,0,19,1,19,19.00,19.0,baylor
Joseph Hagman,SO,RB,2,16,0,4,16,4.00,8.0,baylor
Ashtyn Hawkins,SR,WR,6,4,0,3,4,1.33,0.7,baylor
Jamaal Bell,SR,WR,6,1,0,1,1,1.00,0.2,baylor
Monaray Baldwin,SR,WR,6,1,0,2,1,0.50,0.2,baylor
Maddux Madsen,SO,QB,5,34,1056,144,1090,7.57,218.0,boise_state
Ashton Jeanty,JR,RB,5,1031,0,95,1031,10.85,206.2,boise_state
Sire Gaines,FR,RB,3,156,0,20,156,7.80,52.0,boise_state
Dylan Riley,FR,RB,2,112,0,14,112,8.00,56.0,boise_state
Malachi Nelson,FR,QB,2,-11,113,17,102,6.00,51.0,boise_state
Tyler Crowe,SR,FB,5,83,0,18,83,4.61,16.6,boise_state
Jambres Dubar,SO,RB,2,62,0,13,62,4.77,31.0,boise_state
Cameron Bates,FR,WR,5,34,0,3,34,11.33,6.8,boise_state
Troy Wilkey,SO,WR,5,15,0,4,15,3.75,3.0,boise_state
Max Cutforth,FR,QB,1,0,13,2,13,6.50,13.0,boise_state
Thomas Castellanos,JR,QB,5,103,983,153,1086,7.10,217.2,boston_college
Treshaun Ward,SR,RB,6,283,0,50,283,5.66,47.2,boston_college
Turbo Richard,FR,RB,6,207,0,42,207,4.93,34.5,boston_college
Kye Robichaux,SR,RB,6,204,0,53,204,3.85,34.0,boston_college
Grayson James,JR,QB,1,11,168,38,179,4.71,179.0,boston_college
Datrell Jones,FR,RB,2,65,0,5,65,13.00,32.5,boston_college
Jordan McDonald,JR,RB,3,54,0,5,54,10.80,18.0,boston_college
Jacobe Robinson,FR,QB,1,19,23,9,42,4.67,42.0,boston_college
Jayden McGowan,JR,WR,6,13,0,2,13,6.50,2.2,boston_college
Reed Harris,FR,WR,6,11,0,0,11,-,1.8,boston_college
Connor Bazelak,SR,QB,5,-25,1243,176,1218,6.92,243.6,bowling_green
Terion Stewart,JR,RB,3,270,0,47,270,5.74,90.0,bowling_green
Jaison Patterson,SR,RB,5,203,0,53,203,3.83,40.6,bowling_green
Rahkeem Smith,JR,WR,5,60,0,6,60,10.00,12.0,bowling_green
Jamal Johnson,SR,RB,5,58,0,11,58,5.27,11.6,bowling_green
Lucian Anderson III,FR,QB,3,49,2,6,51,8.50,17.0,bowling_green
Justin Pegues,JR,RB,5,38,0,6,38,6.33,7.6,bowling_green
Harold Fannin Jr.,JR,TE,5,37,0,3,37,12.33,7.4,bowling_green
John Henderson,JR,P,5,29,0,1,29,29.00,5.8,bowling_green
Mar'Kel Porter,FR,RB,1,8,0,1,8,8.00,8.0,bowling_green
Chris Edmonds,FR,RB,2,8,0,2,8,4.00,4.0,bowling_green
C.J. Ogbonna,SR,QB,5,62,624,150,686,4.57,137.2,buffalo
Jacqez Barksdale,SR,RB,5,203,0,46,203,4.41,40.6,buffalo
Al-Jay Henderson,JR,RB,5,135,0,39,135,3.46,27.0,buffalo
Lamar Sperling,FR,RB,4,108,0,24,108,4.50,27.0,buffalo
"Terrance Shelton, Jr.",FR,RB,5,48,0,14,48,3.43,9.6,buffalo
Gunnar Gray,JR,QB,2,0,41,11,41,3.73,20.5,buffalo
Messiah Burch,FR,RB,5,26,0,8,26,3.25,5.2,buffalo
Victor Snow,SO,WR,5,21,0,4,21,5.25,4.2,buffalo
"Mark-Anthony Scott, Jr.",SO,RB,4,4,0,1,4,4.00,1.0,buffalo
Jake Retzlaff,JR,QB,5,156,1208,181,1364,7.54,272.8,byu
Enoch Nawahine,JR,RB,4,98,0,29,98,3.38,24.5,byu
Sione I Moa,FR,RB,4,93,0,21,93,4.43,23.3,byu
Hinckley Ropati,SR,RB,2,89,0,21,89,4.24,44.5,byu
LJ Martin,SO,RB,2,87,0,18,87,4.83,43.5,byu
Miles Davis,JR,RB,5,76,0,16,76,4.75,15.2,byu
Pokaiaua Haunga,FR,RB,3,56,0,12,56,4.67,18.7,byu
Gerry Bohanon,SR,QB,3,12,27,7,39,5.57,13.0,byu
Sam Vander Haar,SO,P,5,22,0,1,22,22.00,4.4,byu
Chase Roberts,JR,WR,5,10,0,2,10,5.00,2.0,byu
Parker Kingston,SO,WR,5,8,0,3,8,2.67,1.6,byu
Darius Lassiter,SR,WR,4,0,0,1,0,0.00,0.0,byu
Keelan Marion,JR,WR,5,-1,0,3,-1,-0.33,-0.2,byu
Fernando Mendoza,SO,QB,5,36,1177,183,1213,6.63,242.6,california
Jaivian Thomas,SO,RB,5,287,0,45,287,6.38,57.4,california
Jaydn Ott,JR,RB,4,135,0,47,135,2.87,33.8,california
Kadarius Calloway,SR,RB,4,103,0,19,103,5.42,25.8,california
Chandler Rogers,SR,QB,3,42,33,17,75,4.41,25.0,california
Jonathan Brady,JR,WR,5,24,0,2,24,12.00,4.8,california
Byron Cardwell Jr.,SO,RB,3,16,0,8,16,2.00,5.3,california
Jamaal Wiley,FR,RB,1,11,0,2,11,5.50,11.0,california
Josiah Martin,FR,WR,2,10,0,1,10,10.00,5.0,california
Mikey Matthews,SO,WR,5,-3,0,1,-3,-3.00,-0.6,california
Joe Labas,JR,QB,5,19,1078,171,1097,6.42,219.4,central_michigan
B.J. Harris,SR,RB,5,273,0,37,273,7.38,54.6,central_michigan
Marion Lukes,SR,RB,4,212,0,46,212,4.61,53.0,central_michigan
Myles Bailey,SR,RB,4,171,0,24,171,7.13,42.8,central_michigan
Tyler Jefferson,FR,QB,3,24,117,20,141,7.05,47.0,central_michigan
Nahree Biggins,JR,RB,4,136,0,19,136,7.16,34.0,central_michigan
"Bert Emanuel, Jr.",SO,QB,2,65,7,15,72,4.80,36.0,central_michigan
David Chapeau,SR,P,5,0,23,1,23,23.00,4.6,central_michigan
Brock Townsend,FR,RB,3,14,0,5,14,2.80,4.7,central_michigan
Solomon Davis,SR,WR,5,9,0,1,9,9.00,1.8,central_michigan
Deshawn Purdie,FR,QB,4,-110,717,98,607,6.19,151.8,charlotte
Max Brown,SO,QB,2,2,368,67,370,5.52,185.0,charlotte
Trexler Ivey,JR,QB,5,3,315,60,318,5.30,63.6,charlotte
Hahsaun Wilson,JR,RB,6,307,0,47,307,6.53,51.2,charlotte
Cartevious Norton,JR,RB,6,246,0,52,246,4.73,41.0,charlotte
Terron Kellman,SO,RB,4,156,0,32,156,4.88,39.0,charlotte
Henry Rutledge,JR,RB,6,56,0,7,56,8.00,9.3,charlotte
"Rod Gainey, Jr.",FR,RB,3,34,0,10,34,3.40,11.3,charlotte
CJ Stokes,SO,RB,3,33,0,7,33,4.71,11.0,charlotte
Xander Lamb,SO,WR,4,2,0,1,2,2.00,0.5,charlotte
Jairus Mack,JR,WR,6,-4,0,1,-4,-4.00,-0.7,charlotte
Brendan Sorsby,SO,QB,5,66,1481,198,1547,7.81,309.4,cincinnati
Corey Kiner,SR,RB,5,413,0,67,413,6.16,82.6,cincinnati
Evan Pryor,JR,RB,5,239,0,23,239,10.39,47.8,cincinnati
Chance Williams,JR,RB,4,67,0,15,67,4.47,16.8,cincinnati
Victor Dawson,JR,RB,5,63,0,7,63,9.00,12.6,cincinnati
Manny Covey,FR,RB,5,58,0,16,58,3.63,11.6,cincinnati
Brady Lichtenberg,JR,QB,2,-2,25,8,23,2.88,11.5,cincinnati
Tony Johnson,JR,WR,5,13,0,1,13,13.00,2.6,cincinnati
Barry Jackson Jr.,FR,WR,3,11,0,2,11,5.50,3.7,cincinnati
Cade Klubnik,JR,QB,5,168,1219,171,1387,8.11,277.4,clemson
Phil Mafah,SR,RB,5,496,0,68,496,7.29,99.2,clemson
Christopher Vizzina,FR,QB,4,38,119,27,157,5.81,39.3,clemson
Jay Haynes,FR,RB,5,110,0,21,110,5.24,22.0,clemson
Antonio Williams,SO,WR,5,48,0,3,48,16.00,9.6,clemson
David Eziomume,FR,RB,2,35,0,7,35,5.00,17.5,clemson
Cole Turner,SO,WR,5,30,0,2,30,15.00,6.0,clemson
"Keith Adams, Jr.",SO,RB,5,26,0,11,26,2.36,5.2,clemson
Trent Pearman,SO,QB,2,16,8,7,24,3.43,12.0,clemson
Troy Stellato,JR,WR,4,11,0,1,11,11.00,2.8,clemson
Jarvis Green,FR,RB,1,5,0,2,5,2.50,5.0,clemson
"Wise Segars, Jr.",JR,RB,1,2,0,1,2,2.00,2.0,clemson
Tristen Rigby,JR,RB,3,1,0,1,1,1.00,0.3,clemson
Tyler Brown,SO,WR,4,-2,0,1,-2,-2.00,-0.5,clemson
Ethan Vasko,SO,QB,6,258,1185,181,1443,7.97,240.5,coastal_carolina
Christian Washington,SO,RB,6,313,0,60,313,5.22,52.2,coastal_carolina
Braydon Bennett,SR,RB,4,190,0,37,190,5.14,47.5,coastal_carolina
Noah Kim,SR,QB,4,-2,126,29,124,4.28,31.0,coastal_carolina
Darren Lloyd,FR,RB,6,122,0,18,122,6.78,20.3,coastal_carolina
Ja'Vin Simpkins,SO,RB,2,93,0,14,93,6.64,46.5,coastal_carolina
Simeon Price,JR,RB,4,67,0,28,67,2.39,16.8,coastal_carolina
Tray Taylor,JR,WR,6,27,0,4,27,6.75,4.5,coastal_carolina
Matt Pack Jr.,JR,RB,1,16,0,6,16,2.67,16.0,coastal_carolina
Bryson Graves,SO,WR,6,8,0,3,8,2.67,1.3,coastal_carolina
Kyre Duplessis,SR,WR,6,0,0,1,0,0.00,0.0,coastal_carolina
Mack West,JR,P,6,-5,0,1,-5,-5.00,-0.8,coastal_carolina
Shedeur Sanders,SR,QB,5,25,1630,237,1655,6.98,331.0,colorado
Isaiah Augustave,SO,RB,4,117,0,24,117,4.88,29.3,colorado
Micah Welch,FR,RB,4,113,0,23,113,4.91,28.3,colorado
Dallan Hayden,SO,RB,3,85,0,25,85,3.40,28.3,colorado
Charlie Offerdahl,JR,RB,5,46,0,14,46,3.29,9.2,colorado
Drelon Miller,FR,WR,5,11,0,3,11,3.67,2.2,colorado
Ryan Staub,FR,QB,2,4,0,5,4,0.80,2.0,colorado
Jimmy Horn Jr.,SR,WR,5,3,0,1,3,3.00,0.6,colorado
Travis Hunter,JR,ATH,5,0,0,1,0,0.00,0.0,colorado
Brayden Fowler-Nicolosi,SO,QB,5,-6,865,156,859,5.51,171.8,colorado_state
Avery Morrow,SR,RB,5,390,0,54,390,7.22,78.0,colorado_state
Justin Marshall,FR,RB,5,323,0,73,323,4.42,64.6,colorado_state
Keegan Holles,SO,RB,3,97,0,15,97,6.47,32.3,colorado_state
Damian Henderson II,FR,RB,1,38,0,8,38,4.75,38.0,colorado_state
Caleb Goodie,SO,WR,5,31,0,2,31,15.50,6.2,colorado_state
Jackson Brousseau,FR,QB,2,8,15,7,23,3.29,11.5,colorado_state
Kobe Johnson,SR,RB,5,-2,0,8,-2,-0.25,-0.4,colorado_state
Paddy Turner,SR,P,5,-2,0,1,-2,-2.00,-0.4,colorado_state
Joe Fagnano,SR,QB,6,51,999,117,1050,8.97,175.0,connecticut
Nick Evers,SO,QB,4,172,347,114,519,4.55,129.8,connecticut
Durell Robinson,FR,RB,6,421,0,55,421,7.65,70.2,connecticut
Cam Edwards,SO,RB,6,320,0,64,320,5.00,53.3,connecticut
Mel Brown,JR,RB,6,315,0,62,315,5.08,52.5,connecticut
Victor Rosa,JR,RB,2,48,0,7,48,6.86,24.0,connecticut
Tucker McDonald,FR,QB,3,9,20,8,29,3.63,9.7,connecticut
Cole Welliver,FR,QB,1,0,10,4,10,2.50,10.0,connecticut
Daniel Shaban,FR,RB,1,6,0,2,6,3.00,6.0,connecticut
Skyler Bell,JR,WR,6,4,0,0,4,-,0.7,connecticut
Maalik Murphy,SO,QB,6,-54,1431,217,1377,6.35,229.5,duke
Star Thomas,SR,RB,6,528,0,113,528,4.67,88.0,duke
Peyton Jones,SO,RB,6,164,0,38,164,4.32,27.3,duke
Jaquez Moore,SR,RB,3,35,0,14,35,2.50,11.7,duke
Henry Belin IV,SO,QB,2,23,7,6,30,5.00,15.0,duke
Al Wooten II,SR,RB,3,1,0,2,1,0.50,0.3,duke
Quran Boyd,FR,RB,5,0,0,2,0,0.00,0.0,duke
Jake Garcia,JR,QB,6,46,1426,221,1472,6.66,245.3,east_carolina
Rahjai Harris,SR,RB,6,397,0,100,397,3.97,66.2,east_carolina
London Montgomery,FR,RB,4,119,0,19,119,6.26,29.8,east_carolina
Katin Houser,SO,QB,2,-19,134,36,115,3.19,57.5,east_carolina
Javious Bond,SO,RB,4,92,0,14,92,6.57,23.0,east_carolina
Marlon Gunn Jr.,JR,RB,6,60,0,23,60,2.61,10.0,east_carolina
Winston Wright Jr.,SR,WR,6,44,0,6,44,7.33,7.3,east_carolina
Jhari Patterson,SR,WR,6,12,0,1,12,12.00,2.0,east_carolina
Brock Spalding,SO,WR,6,0,0,1,0,0.00,0.0,east_carolina
Anthony Smith,SR,WR,6,0,0,1,0,0.00,0.0,east_carolina
Cole Snyder,SR,QB,5,109,957,196,1066,5.44,213.2,eastern_michigan
Delbert Mimms III,SR,RB,5,314,0,69,314,4.55,62.8,eastern_michigan
Elijah Jackson-Anderson,JR,RB,5,146,0,45,146,3.24,29.2,eastern_michigan
Jeremiah Salem,JR,QB,2,5,102,6,107,17.83,53.5,eastern_michigan
Dontae McMillan,SR,RB,2,87,0,23,87,3.78,43.5,eastern_michigan
Deion Brown,SO,RB,4,75,0,11,75,6.82,18.8,eastern_michigan
Terry Lockett Jr.,SR,WR,5,0,22,1,22,22.00,4.4,eastern_michigan
Joey Mattord,SO,RB,3,15,0,7,15,2.14,5.0,eastern_michigan
Oran Singleton,JR,WR,5,10,0,2,10,5.00,2.0,eastern_michigan
Jayvin Norman,FR,RB,1,8,0,4,8,2.00,8.0,eastern_michigan
Mitchell Tomasek,SR,P,5,0,0,1,0,0.00,0.0,eastern_michigan
DJ Lagway,FR,QB,5,49,667,74,716,9.68,143.2,florida
Graham Mertz,SR,QB,4,45,666,92,711,7.73,177.8,florida
Montrell Johnson Jr.,SR,RB,5,288,0,58,288,4.97,57.6,florida
Jadan Baugh,FR,RB,5,128,0,19,128,6.74,25.6,florida
Treyaun Webb,SO,RB,4,93,0,21,93,4.43,23.3,florida
Ja'Kobi Jackson,JR,RB,5,93,0,14,93,6.64,18.6,florida
Aidan Warner,FR,QB,1,9,10,3,19,6.33,19.0,florida
Tank Hawkins,FR,WR,3,11,0,3,11,3.67,3.7,florida
KD Daniels,FR,RB,2,10,0,3,10,3.33,5.0,florida
Cam Fancher,JR,QB,5,219,707,167,926,5.54,185.2,florida_atlantic
Zuberi Mobley,JR,RB,5,307,0,55,307,5.58,61.4,florida_atlantic
CJ Campbell Jr.,JR,RB,5,292,0,59,292,4.95,58.4,florida_atlantic
Kasen Weisman,FR,QB,3,15,98,19,113,5.95,37.7,florida_atlantic
Xavier Terrell,FR,RB,1,34,0,4,34,8.50,34.0,florida_atlantic
Gemari Sands,FR,RB,5,25,0,6,25,4.17,5.0,florida_atlantic
Kaden Shields-Dutton,FR,RB,2,19,0,4,19,4.75,9.5,florida_atlantic
Carson Cruver,FR,QB,1,0,9,1,9,9.00,9.0,florida_atlantic
Omari Hayes,SO,WR,5,0,0,2,0,0.00,0.0,florida_atlantic
Keyone Jenkins,SO,QB,6,61,1349,214,1410,6.59,235.0,florida_international
Kejon Owens,JR,RB,6,265,0,60,265,4.42,44.2,florida_international
Lexington Joseph,SR,RB,6,195,0,43,195,4.53,32.5,florida_international
Shomari Lawrence,JR,RB,4,68,0,24,68,2.83,17.0,florida_international
Shaborne Demps,FR,RB,2,20,0,2,20,10.00,10.0,florida_international
Amari Jones,SO,QB,3,6,9,3,15,5.00,5.0,florida_international
Luby Maurice Jr.,FR,WR,5,15,0,1,15,15.00,3.0,florida_international
Dean Patterson,JR,WR,6,15,0,3,15,5.00,2.5,florida_international
Nazeviah Burris,SR,WR,6,-2,0,1,-2,-2.00,-0.3,florida_international
C'Quan Jnopierre,SR,WR,5,-2,0,1,-2,-2.00,-0.4,florida_international
DJ Uiagalelei,SR,QB,5,-8,1065,193,1057,5.48,211.4,florida_state
Brock Glenn,FR,QB,2,15,228,50,243,4.86,121.5,florida_state
Lawrance Toafili,SR,RB,6,230,0,55,230,4.18,38.3,florida_state
Kam Davis,FR,RB,6,68,0,24,68,2.83,11.3,florida_state
Roydell Williams,SR,RB,3,54,0,20,54,2.70,18.0,florida_state
Jaylin Lucas,JR,RB,2,13,0,2,13,6.50,6.5,florida_state
Caziah Holmes,SR,RB,6,12,0,4,12,3.00,2.0,florida_state
Samuel Singleton Jr.,FR,RB,3,11,0,5,11,2.20,3.7,florida_state
Ja’Khi Douglas,SR,WR,6,10,0,2,10,5.00,1.7,florida_state
Malik Benson,SR,WR,6,-5,0,1,-5,-5.00,-0.8,florida_state
Mikey Keene,JR,QB,5,-71,1356,183,1285,7.02,257.0,fresno_state
Malik Sherrod,SR,RB,4,196,0,60,196,3.27,49.0,fresno_state
Elijah Gilliam,SR,RB,5,175,0,48,175,3.65,35.0,fresno_state
Raylen Sharpe,JR,WR,5,74,26,3,100,33.33,20.0,fresno_state
Bryson Donelson,FR,RB,4,91,0,21,91,4.33,22.8,fresno_state
Joshua Wood,SO,QB,5,40,15,15,55,3.67,11.0,fresno_state
Johnathan Arceneaux,JR,RB,3,40,0,7,40,5.71,13.3,fresno_state
Mac Dalena,SR,WR,5,15,0,3,15,5.00,3.0,fresno_state
Nathan Acevedo,SO,WR,5,10,0,1,10,10.00,2.0,fresno_state
Jalen Moss,SO,WR,5,6,0,1,6,6.00,1.2,fresno_state
Jayden Mandal,FR,QB,4,-7,8,4,1,0.25,0.3,fresno_state
Carson Beck,SR,QB,5,49,1359,183,1408,7.69,281.6,georgia
Trevor Etienne,JR,RB,4,300,0,52,300,5.77,75.0,georgia
Nate Frazier,FR,RB,4,151,0,27,151,5.59,37.8,georgia
Gunner Stockton,SO,QB,2,2,90,15,92,6.13,46.0,georgia
Branson Robinson,SO,RB,5,61,0,22,61,2.77,12.2,georgia
Dillon Bell,JR,WR,5,54,0,4,54,13.50,10.8,georgia
Chauncey Bowens,FR,RB,2,20,0,6,20,3.33,10.0,georgia
Cash Jones,JR,RB,5,18,0,4,18,4.50,3.6,georgia
