name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Isaiah Sanders,JR,QB,8,466,844,198,1310,6.62,163.8,air_force
Donald Hammond III,SO,QB,9,374,623,156,997,6.39,110.8,air_force
Cole Fagan,JR,FB,12,997,0,185,997,5.39,83.1,air_force
Kadin Remsberg,SO,RB,12,583,0,100,583,5.83,48.6,air_force
Joseph Saucier,JR,RB,11,274,32,44,306,6.95,27.8,air_force
Taven Birdow,JR,FB,11,256,0,50,256,5.12,23.3,air_force
Ronald Cleveland,SR,WR,7,171,0,39,171,4.38,24.4,air_force
Arion Worthman,SR,QB,4,88,77,45,165,3.67,41.3,air_force
Nolan Eriksen,JR,RB,9,101,0,21,101,4.81,11.2,air_force
Christian Mallard,JR,RB,4,46,0,11,46,4.18,11.5,air_force
Andrew Smith,SR,WR,12,29,0,6,29,4.83,2.4,air_force
Parker Wilson,SR,FB,1,22,0,5,22,4.40,22.0,air_force
Garrett Amy,SR,WR,12,14,0,4,14,3.50,1.2,air_force
Colton Parton,JR,LB,2,7,0,3,7,2.33,3.5,air_force
Joshua Stoner,SO,RB,2,3,0,2,3,1.50,1.5,air_force
Marcus Bennett,SR,WR,12,2,0,0,2,-,0.2,air_force
Brandon Lewis,FR,WR,4,1,0,1,1,1.00,0.3,air_force
Geraud Sanders,JR,WR,11,-3,0,1,-3,-3.00,-0.3,air_force
Charlie Scott,JR,,11,-10,0,1,-10,-10.00,-0.9,air_force
Kato Nelson,SO,QB,11,303,2329,473,2632,5.56,239.3,akron
"Van Edwards, Jr.",SR,RB,11,558,0,147,558,3.80,50.7,akron
Deltron Sands,JR,RB,11,128,0,39,128,3.28,11.6,akron
Keyondre White,FR,RB,7,81,0,23,81,3.52,11.6,akron
Jemarulin Suggs,FR,RB,4,52,0,19,52,2.74,13.0,akron
Alex Ramart,FR,QB,6,-11,61,38,50,1.32,8.3,akron
Dylan Meeks,SO,TE,12,30,0,1,30,30.00,2.5,akron
Kwadarrius Smith,SR,WR,11,24,0,8,24,3.00,2.2,akron
Mykel Traylor-Bennett,SR,WR,12,13,0,7,13,1.86,1.1,akron
Jerome Cooper,FR,DB,10,10,0,1,10,10.00,1.0,akron
Devanier Floyd,FR,RB,1,4,0,2,4,2.00,4.0,akron
Andre Williams,SO,WR,11,4,0,1,4,4.00,0.4,akron
Caleb Green,SR,RB,1,1,0,1,1,1.00,1.0,akron
Jonah Morris,SO,WR,12,1,0,1,1,1.00,0.1,akron
Tua Tagovailoa,SO,QB,15,190,3966,412,4156,10.09,277.1,alabama
Jalen Hurts,JR,QB,13,167,765,106,932,8.79,71.7,alabama
Damien Harris,SR,RB,15,876,0,150,876,5.84,58.4,alabama
Najee Harris,SO,RB,15,783,0,117,783,6.69,52.2,alabama
Josh Jacobs,JR,RB,15,640,0,120,640,5.33,42.7,alabama
Brian Robinson Jr.,SO,RB,15,272,0,63,272,4.32,18.1,alabama
Mac Jones,FR,QB,14,-8,123,16,115,7.19,8.2,alabama
Jerome Ford,FR,RB,4,37,0,7,37,5.29,9.3,alabama
Ronnie Clark,SR,RB,4,33,0,10,33,3.30,8.3,alabama
