name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Donald Hammond III,JR,QB,13,111,56,50.5,1316,11.9,13,6,177.88,8.5,101.2,air_force
Mike Schmidt,SR,QB,6,6,5,83.3,147,24.5,1,0,344.13,1.0,24.5,air_force
Isaiah Sanders,SR,QB,5,5,5,100.0,76,15.2,0,0,227.68,1.0,15.2,air_force
C Stevenson,,,6,2,2,100.0,63,31.5,0,0,364.60,0.3,10.5,air_force
Kato Nelson,JR,QB,10,280,151,53.9,1825,6.5,11,6,117.36,28.0,182.5,akron
Zach Gibson,FR,QB,4,81,41,50.6,425,5.2,1,3,91.36,20.3,106.3,akron
Robbie Kelley,SR,QB,8,28,10,35.7,75,2.7,0,3,36.78,3.5,9.4,akron
T.J. DeShields,FR,QB,3,8,3,37.5,22,2.8,0,2,10.60,2.7,7.3,akron
Nate Stewart,JR,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,akron
Tua Tagovailoa,JR,QB,9,252,180,71.4,2840,11.3,33,3,206.93,28.0,315.6,alabama
Mac Jones,SO,QB,12,141,97,68.8,1503,10.7,14,3,186.84,11.8,125.3,alabama
Taulia Tagovailoa,FR,QB,5,12,9,75.0,100,8.3,1,0,172.50,2.4,20.0,alabama
Slade Bolden,FR,WR,13,1,1,100.0,6,6.0,1,0,480.40,0.1,0.5,alabama
Zac Thomas,JR,QB,14,359,225,62.7,2718,7.6,28,6,148.67,25.6,194.1,appalachian_state
Jacob Huesman,JR,QB,5,7,5,71.4,92,13.1,2,0,276.11,1.4,18.4,appalachian_state
Darrynton Evans,JR,RB,14,1,1,100.0,14,14.0,0,0,217.60,0.1,1.0,appalachian_state
Malik Williams,JR,WR,14,2,0,0.0,0,0.0,0,0,0.00,0.1,0.0,appalachian_state
Raykwon Anderson,FR,RB,9,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,appalachian_state
Khalil Tate,SR,QB,11,266,160,60.2,1954,7.3,14,11,130.96,24.2,177.6,arizona
Grant Gunnell,FR,QB,8,155,101,65.2,1239,8.0,9,1,150.18,19.4,154.9,arizona
Jamarye Joiner,FR,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arizona
Jayden Daniels,FR,QB,12,338,205,60.7,2943,8.7,17,2,149.21,28.2,245.3,arizona_state
Joey Yellen,FR,QB,1,44,28,63.6,292,6.6,4,2,140.29,44.0,292.0,arizona_state
Nick Starkel,JR,QB,8,179,96,53.6,1152,6.4,7,10,109.43,22.4,144.0,arkansas
Ben Hicks,SR,QB,7,137,65,47.4,738,5.4,2,2,94.60,19.6,105.4,arkansas
K.J. Jefferson,FR,QB,3,31,14,45.2,197,6.4,0,1,92.09,10.3,65.7,arkansas
Jack Lindsey,JR,QB,11,30,13,43.3,126,4.2,3,0,111.61,2.7,11.5,arkansas
John Stephen Jones,FR,QB,3,26,13,50.0,101,3.9,2,1,100.32,8.7,33.7,arkansas
Rakeem Boyd,JR,RB,12,1,1,100.0,1,1.0,0,0,108.40,0.1,0.1,arkansas
Treylon Burks,FR,WR,11,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arkansas
Sam Loy,JR,P,12,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,arkansas
Layne Hatcher,FR,QB,10,310,204,65.8,2946,9.5,27,10,167.93,31.0,294.6,arkansas_state
Logan Bonner,JR,QB,5,153,91,59.5,1052,6.9,10,1,137.50,30.6,210.4,arkansas_state
Omar Bayless,SR,WR,13,3,1,33.3,37,12.3,0,0,136.93,0.2,2.8,arkansas_state
Cody Grace,SR,P,13,1,1,100.0,15,15.0,0,0,226.00,0.1,1.2,arkansas_state
Carson Coats,SR,QB,2,2,1,50.0,7,3.5,0,0,79.40,1.0,3.5,arkansas_state
Kelvin Hopkins Jr.,SR,QB,11,77,33,42.9,577,7.5,4,6,107.37,7.0,52.5,army
Jabari Laws,SO,QB,9,20,16,80.0,311,15.6,1,0,227.12,2.2,34.6,army
Christian Anderson,JR,QB,7,23,7,30.4,135,5.9,1,0,94.10,3.3,19.3,army
Jemel Jones,FR,QB,2,4,3,75.0,43,10.8,0,1,115.30,2.0,21.5,army
Zach Potter,SR,P,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,army
Bo Nix,FR,QB,13,377,217,57.6,2542,6.7,16,6,125.03,29.0,195.5,auburn
Cord Sandberg,FR,QB,2,7,5,71.4,84,12.0,2,0,266.51,3.5,42.0,auburn
Joey Gatewood,FR,QB,7,7,5,71.4,54,7.7,2,0,230.51,1.0,7.7,auburn
Wil Appleton,SR,QB,1,2,2,100.0,17,8.5,0,0,171.40,2.0,17.0,auburn
Arryn Siposs,JR,P,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,auburn
Drew Plitt,JR,QB,12,370,238,64.3,2918,7.9,24,7,148.18,30.8,243.2,ball_state
John Paddock,FR,QB,2,2,1,50.0,5,2.5,0,0,71.00,1.0,2.5,ball_state
Charlie Brewer,JR,QB,14,389,251,64.5,3161,8.1,21,7,146.99,27.8,225.8,baylor
Jacob Zeno,FR,QB,3,18,9,50.0,223,12.4,1,1,161.29,6.0,74.3,baylor
Gerry Bohanon,FR,QB,10,36,17,47.2,187,5.2,2,0,109.18,3.6,18.7,baylor
Jared Atkinson,JR,WR,14,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,baylor
Hank Bachmeier,FR,QB,8,219,137,62.6,1879,8.6,9,6,142.71,27.4,234.9,boise_state
Jaylon Henderson,SR,QB,9,143,89,62.2,1080,7.6,12,2,150.57,15.9,120.0,boise_state
Chase Cord,SO,QB,8,95,57,60.0,670,7.1,9,3,144.19,11.9,83.8,boise_state
CT Thomas,JR,WR,13,2,1,50.0,21,10.5,0,0,138.20,0.2,1.6,boise_state
Khalil Shakir,SO,WR,14,2,2,100.0,10,5.0,1,0,307.00,0.1,0.7,boise_state
John Hightower,SR,WR,14,2,1,50.0,4,2.0,0,0,66.80,0.1,0.3,boise_state
Anthony Brown,JR,QB,6,137,81,59.1,1250,9.1,9,2,154.52,22.8,208.3,boston_college
Dennis Grosel,SO,QB,13,155,75,48.4,983,6.3,9,3,116.95,11.9,75.6,boston_college
Matt Valecce,FR,QB,6,7,3,42.9,27,3.9,0,0,75.26,1.2,4.5,boston_college
David Bailey,SO,RB,13,1,1,100.0,16,16.0,1,0,564.40,0.1,1.2,boston_college
CJ Lewis,JR,WR,4,1,1,100.0,12,12.0,1,0,530.80,0.3,3.0,boston_college
Zay Flowers,FR,WR,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,boston_college
Kobay White,JR,WR,13,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,boston_college
Grant Loy,JR,QB,12,204,115,56.4,1137,5.6,6,11,102.12,17.0,94.8,bowling_green
