name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Zac Larrier,SR,QB,11,605,789,209,1394,6.67,126.7,air_force
Emmanuel Michel,SR,FB,11,950,0,204,950,4.66,86.4,air_force
John Lee Eldridge III,SR,RB,13,599,0,84,599,7.13,46.1,air_force
Dylan Carson,SO,RB,9,493,0,68,493,7.25,54.8,air_force
Owen Burk,SR,RB,12,439,0,81,439,5.42,36.6,air_force
Jensen Jones,SR,QB,10,233,160,62,393,6.34,39.3,air_force
Aiden Calvert,JR,RB,13,177,0,23,177,7.70,13.6,air_force
John Busha,SO,QB,4,11,152,32,163,5.09,40.8,air_force
Cade Harris,JR,WR,13,81,0,11,81,7.36,6.2,air_force
Ben Brittain,SR,QB,4,31,0,10,31,3.10,7.8,air_force
Dane Kinamon,SR,WR,8,21,0,7,21,3.00,2.6,air_force
Jet Harris,SR,RB,13,20,0,5,20,4.00,1.5,air_force
Kaden Cloud,SO,RB,1,11,0,2,11,5.50,11.0,air_force
Jalen Johnson,SR,RB,12,7,0,2,7,3.50,0.6,air_force
Darius Stone,SO,RB,1,6,0,1,6,6.00,6.0,air_force
Cannon Turner,SR,QB,2,5,0,3,5,1.67,2.5,air_force
Brandon Engel,JR,WR,11,0,4,1,4,4.00,0.4,air_force
Christopher Frew,SO,RB,3,3,0,1,3,3.00,1.0,air_force
Kendin Alexander,JR,WR,3,0,0,1,0,0.00,0.0,air_force
"Jeff Undercuffler, Jr.",SR,QB,10,-201,1378,250,1177,4.71,117.7,akron
DJ Irons,SR,QB,5,215,722,194,937,4.83,187.4,akron
Lorenzo Lingard,SR,RB,12,641,0,143,641,4.48,53.4,akron
Tahj Bullock,SO,QB,10,165,271,128,436,3.41,43.6,akron
Drake Anderson,SR,RB,12,132,0,40,132,3.30,11.0,akron
Dante Jackson,JR,K,12,22,0,1,22,22.00,1.8,akron
Bobby Golden,SO,WR,12,7,0,2,7,3.50,0.6,akron
Charles Kellom,FR,RB,12,5,0,4,5,1.25,0.4,akron
Jalen Milroe,SO,QB,13,531,2834,445,3365,7.56,258.8,alabama
Jase McClellan,SR,RB,13,890,0,180,890,4.94,68.5,alabama
Roydell Williams,SR,RB,14,560,0,111,560,5.05,40.0,alabama
Ty Simpson,FR,QB,6,86,179,34,265,7.79,44.2,alabama
Jam Miller,SO,RB,14,201,0,41,201,4.90,14.4,alabama
Justice Haynes,FR,RB,13,168,0,25,168,6.72,12.9,alabama
Tyler Buchner,SO,QB,2,20,61,22,81,3.68,40.5,alabama
Richard Young,FR,RB,3,24,0,9,24,2.67,8.0,alabama
Dylan Lonergan,FR,QB,1,5,12,3,17,5.67,17.0,alabama
Isaiah Bond,SO,WR,14,3,0,1,3,3.00,0.2,alabama
Joey Aguilar,JR,QB,14,245,3757,541,4002,7.40,285.9,appalachian_state
Nate Noel,JR,RB,11,834,0,173,834,4.82,75.8,appalachian_state
Kanye Roberts,FR,RB,14,696,0,123,696,5.66,49.7,appalachian_state
Maquel Haywood,JR,RB,13,318,0,60,318,5.30,24.5,appalachian_state
