name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name
Isaiah Sanders,JR,QB,8,78,48,61.5,844,10.8,4,3,161.67,9.8,105.5,air_force
Donald Hammond III,SO,QB,9,72,38,52.8,623,8.7,5,2,142.83,8.0,69.2,air_force
Arion Worthman,SR,QB,4,16,6,37.5,77,4.8,0,0,77.93,4.0,19.3,air_force
Joseph Saucier,JR,RB,11,1,1,100.0,32,32.0,1,0,698.80,0.1,2.9,air_force
Andrew Smith,SR,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,air_force
Kato Nelson,SO,QB,11,342,178,52.0,2329,6.8,15,8,119.04,31.1,211.7,akron
Alex Ramart,FR,QB,6,32,9,28.1,61,1.9,1,6,16.95,5.3,10.2,akron
Tua Tagovailoa,SO,QB,15,355,245,69.0,3966,11.2,43,6,199.44,23.7,264.4,alabama
Jalen Hurts,JR,QB,13,70,51,72.9,765,10.9,8,2,196.67,5.4,58.8,alabama
Mac Jones,FR,QB,14,13,5,38.5,123,9.5,1,0,143.32,0.9,8.8,alabama
Zac Thomas,SO,QB,12,254,159,62.6,2039,8.0,21,6,152.60,21.2,169.9,appalachian_state
Jacob Huesman,SO,QB,7,38,21,55.3,206,5.4,2,4,97.12,5.4,29.4,appalachian_state
Peyton Derrick,FR,QB,6,22,13,59.1,186,8.5,2,2,141.93,3.7,31.0,appalachian_state
Malik Williams,SO,WR,13,2,2,100.0,38,19.0,2,0,589.60,0.2,2.9,appalachian_state
Zeb Speir,SR,QB,3,3,1,33.3,9,3.0,0,0,58.53,1.0,3.0,appalachian_state
Khalil Tate,JR,QB,11,302,170,56.3,2530,8.4,26,8,149.77,27.5,230.0,arizona
Rhett Rodriguez,SO,QB,7,83,43,51.8,516,6.2,3,2,111.14,11.9,73.7,arizona
Jamarye Joiner,FR,QB,2,4,3,75.0,17,4.3,0,0,110.70,2.0,8.5,arizona
Manny Wilkins,SR,QB,13,393,247,62.8,3025,7.7,20,6,141.24,30.2,232.7,arizona_state
Dillon Sterling-Cole,SO,QB,2,2,0,0.0,0,0.0,0,0,0.00,1.0,0.0,arizona_state
N'Keal Harry,JR,WR,12,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,arizona_state
Ty Storey,JR,QB,10,250,143,57.2,1584,6.3,11,10,116.94,25.0,158.4,arkansas
Cole Kelley,SO,QB,9,67,35,52.2,455,6.8,5,5,118.98,7.4,50.6,arkansas
Connor Noland,FR,QB,4,43,21,48.8,255,5.9,1,2,97.03,10.8,63.8,arkansas
De’Vion Warren,SO,WR,9,2,1,50.0,13,6.5,0,0,104.60,0.2,1.4,arkansas
John Stephen Jones,FR,QB,3,6,1,16.7,5,0.8,0,1,-9.66,2.0,1.7,arkansas
Jared Cornelius,SR,WR,11,1,1,100.0,-5,-5.0,0,0,58.00,0.1,-0.5,arkansas
Justice Hansen,SR,QB,13,434,286,65.9,3447,7.9,27,9,148.99,33.4,265.2,arkansas_state
Logan Bonner,SO,QB,5,32,15,46.9,165,5.2,1,1,94.25,6.4,33.0,arkansas_state
Darveon Brown,JR,WR,12,2,2,100.0,47,23.5,0,0,297.40,0.2,3.9,arkansas_state
Warren Wand,SR,RB,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,arkansas_state
Kelvin Hopkins Jr.,JR,QB,12,93,51,54.8,1026,11.0,6,3,162.35,7.8,85.5,army
Cam Thomas,SO,QB,8,3,1,33.3,15,5.0,1,0,185.33,0.4,1.9,army
Fred Cooper,SO,RB,4,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,army
Luke Langdon,SR,QB,4,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,army
Jarrett Stidham,JR,QB,13,369,224,60.7,2794,7.6,18,5,137.70,28.4,214.9,auburn
Ryan Davis,SR,WR,13,2,2,100.0,43,21.5,2,0,610.60,0.2,3.3,auburn
Malik Willis,SO,QB,8,7,5,71.4,24,3.4,0,0,100.23,0.9,3.0,auburn
Cord Sandberg,FR,QB,1,1,1,100.0,22,22.0,0,0,284.80,1.0,22.0,auburn
JaTarvious Whitlow,FR,RB,13,1,1,100.0,9,9.0,1,0,505.60,0.1,0.7,auburn
Joey Gatewood,FR,QB,1,1,0,0.0,0,0.0,0,0,0.00,1.0,0.0,auburn
Riley Neal,JR,QB,9,335,194,57.9,1917,5.7,11,4,114.42,37.2,213.0,ball_state
Drew Plitt,SO,QB,8,131,85,64.9,1008,7.7,6,8,132.43,16.4,126.0,ball_state
Corey Lacanaria,SR,WR,12,4,4,100.0,67,16.8,0,0,240.70,0.3,5.6,ball_state
John Paddock,FR,QB,1,6,5,83.3,43,7.2,0,0,143.53,6.0,43.0,ball_state
Charlie Brewer,SO,QB,13,390,240,61.5,3019,7.7,19,9,138.02,30.0,232.2,baylor
Jalan McClendon,SR,QB,9,91,55,60.4,715,7.9,3,3,130.73,10.1,79.4,baylor
Jared Atkinson,JR,WR,4,1,1,100.0,36,36.0,0,0,402.40,0.3,9.0,baylor
Gerry Bohanon,FR,QB,3,1,0,0.0,0,0.0,0,0,0.00,0.3,0.0,baylor
Drew Galitz,SR,P,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,baylor
Trestan Ebner,SO,RB,13,1,0,0.0,0,0.0,0,1,-200.00,0.1,0.0,baylor
Brett Rypien,SR,QB,13,447,301,67.3,3705,8.3,30,7,155.99,34.4,285.0,boise_state
Chase Cord,FR,QB,4,9,6,66.7,67,7.4,1,1,143.65,2.3,16.8,boise_state
Jaylon Henderson,JR,QB,3,1,1,100.0,14,14.0,0,0,217.60,0.3,4.7,boise_state
Khalil Shakir,FR,WR,10,2,2,100.0,10,5.0,0,0,142.00,0.2,1.0,boise_state
CT Thomas,SO,WR,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,boise_state
Anthony Brown,SO,QB,12,285,158,55.4,2121,7.4,20,9,134.79,23.8,176.8,boston_college
EJ Perry,SO,QB,5,39,27,69.2,277,7.1,2,0,145.82,7.8,55.4,boston_college
