name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name
Mike Collins,SR,QB,3,-25,802,116,777,6.70,259.0,rice
JoVoni Johnson,FR,QB,4,83,225,63,308,4.89,77.0,rice
Khalan Griffin,FR,RB,5,249,0,72,249,3.46,49.8,rice
Juma Otoviano,SO,RB,2,195,0,45,195,4.33,97.5,rice
Ari Broussard,SO,RB,5,87,0,25,87,3.48,17.4,rice
Wiley Green,SO,QB,1,-9,27,14,18,1.29,18.0,rice
Jake Bailey,SO,WR,5,16,0,2,16,8.00,3.2,rice
Jordan Myers,SR,TE,5,10,0,9,10,1.11,2.0,rice
Andrew Mason,FR,WR,5,1,0,1,1,1.00,0.2,rice
Noah Vedral,SR,QB,7,193,1219,289,1412,4.89,201.7,rutgers
Isaih Pacheco,JR,RB,9,515,0,116,515,4.44,57.2,rutgers
Artur Sitkowski,JR,QB,4,2,444,95,446,4.69,111.5,rutgers
Johnny Langan,JR,QB,9,201,92,69,293,4.25,32.6,rutgers
Kay'Ron Adams,SO,RB,9,159,0,35,159,4.54,17.7,rutgers
Aaron Young,SO,RB,9,96,0,36,96,2.67,10.7,rutgers
Bo Melton,SR,WR,9,69,0,6,69,11.50,7.7,rutgers
Aron Cruickshank,JR,WR,9,26,0,4,26,6.50,2.9,rutgers
Adam Korsak,SR,P,9,17,0,1,17,17.00,1.9,rutgers
Raiqwon O’Neal,JR,OL,8,4,0,1,4,4.00,0.5,rutgers
Shameen Jones,SR,WR,9,0,0,2,0,0.00,0.0,rutgers
Greg Bell,SR,RB,7,637,0,113,637,5.64,91.0,san_diego_state
Carson Baker,SO,QB,6,1,617,129,618,4.79,103.0,san_diego_state
Jordon Brookshire,JR,QB,3,101,410,119,511,4.29,170.3,san_diego_state
Chance Bell,JR,RB,7,273,0,56,273,4.88,39.0,san_diego_state
Lucas Johnson,JR,QB,3,80,184,32,264,8.25,88.0,san_diego_state
Kaegun Williams,JR,RB,7,257,0,54,257,4.76,36.7,san_diego_state
Jordan Byrd,JR,RB,8,225,0,35,225,6.43,28.1,san_diego_state
Chase Jasmin,SR,RB,1,26,0,5,26,5.20,26.0,san_diego_state
Leka Lotulelei,JR,RB,6,6,0,1,6,6.00,1.0,san_diego_state
BJ Busbee,JR,WR,8,6,0,1,6,6.00,0.8,san_diego_state
Tanner Kuljian,SR,P,8,6,0,1,6,6.00,0.8,san_diego_state
Jaylon Armstead,FR,RB,1,5,0,1,5,5.00,5.0,san_diego_state
Jesse Matthews,SO,WR,8,-1,0,1,-1,-1.00,-0.1,san_diego_state
Ethan Dedeaux,JR,WR,7,-2,0,1,-2,-2.00,-0.3,san_diego_state
Nick Starkel,SR,QB,8,-40,2174,267,2134,7.99,266.8,san_jose_state
Tyler Nevens,SR,RB,8,515,0,66,515,7.80,64.4,san_jose_state
Nick Nash,SO,QB,8,204,213,74,417,5.64,52.1,san_jose_state
Kairee Robinson,SO,RB,8,313,0,82,313,3.82,39.1,san_jose_state
Isaiah Holiness,SO,WR,7,61,0,19,61,3.21,8.7,san_jose_state
Shamar Garrett,FR,RB,7,16,0,3,16,5.33,2.3,san_jose_state
Isaiah Hamilton,SO,WR,8,9,0,1,9,9.00,1.1,san_jose_state
Shane Buechele,SR,QB,10,105,3095,428,3200,7.48,320.0,smu
Ulysses Bentley IV,FR,RB,10,913,0,170,913,5.37,91.3,smu
Tyler Lavine,SO,RB,10,310,0,61,310,5.08,31.0,smu
TJ McDaniel,SO,RB,4,297,0,60,297,4.95,74.3,smu
TaMerik Williams,SO,RB,10,98,0,13,98,7.54,9.8,smu
Tyler Page,SR,WR,9,0,55,3,55,18.33,6.1,smu
Terrance Gipson,FR,QB,4,19,30,10,49,4.90,12.3,smu
Danny Gray,JR,WR,8,30,0,3,30,10.00,3.8,smu
Kylen Granson,SR,TE,10,0,0,1,0,0.00,0.0,smu
Desmond Trotter,SO,QB,10,3,1917,332,1920,5.78,192.0,south_alabama
Carlos Davis,SO,RB,11,674,0,164,674,4.11,61.3,south_alabama
Chance Lovertich,JR,QB,6,7,619,105,626,5.96,104.3,south_alabama
Terrion Avery,JR,RB,10,180,0,51,180,3.53,18.0,south_alabama
Tanner McGee,FR,QB,2,8,145,12,153,12.75,76.5,south_alabama
Jared Wilson,SO,RB,11,142,0,44,142,3.23,12.9,south_alabama
Caullin Lacy,FR,WR,11,112,0,20,112,5.60,10.2,south_alabama
AJ Phillips,FR,RB,10,45,0,11,45,4.09,4.5,south_alabama
Kawaan Baker,SR,WR,11,42,0,13,42,3.23,3.8,south_alabama
Eli Gainey,FR,QB,10,0,38,9,38,4.22,3.8,south_alabama
John Miller,SO,RB,5,24,0,5,24,4.80,4.8,south_alabama
Collin Hill,SR,QB,8,-66,1411,258,1345,5.21,168.1,south_carolina
Kevin Harris,SO,RB,10,1138,0,185,1138,6.15,113.8,south_carolina
Luke Doty,FR,QB,8,91,405,112,496,4.43,62.0,south_carolina
Deshaun Fenwick,SO,RB,8,297,0,54,297,5.50,37.1,south_carolina
Rashad Amos,FR,RB,3,99,0,18,99,5.50,33.0,south_carolina
Dakereon Joyner,SO,WR,10,61,0,2,61,30.50,6.1,south_carolina
ZaQuandre White,JR,RB,9,59,0,16,59,3.69,6.6,south_carolina
Ryan Hilinski,SO,QB,2,0,34,8,34,4.25,17.0,south_carolina
Kai Kroeger,FR,P,10,0,22,1,22,22.00,2.2,south_carolina
Shi Smith,SR,WR,9,6,0,8,6,0.75,0.7,south_carolina
Jordan McCloud,SO,QB,8,74,1341,256,1415,5.53,176.9,south_florida
Noah Johnson,SR,QB,6,106,459,118,565,4.79,94.2,south_florida
