name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name
Brad Roberts,SR,RB,13,345,1728,5.01,17,26.54,132.92,air_force
John Lee Eldridge III,JR,RB,13,99,766,7.74,4,7.62,58.92,air_force
Haaziq Daniels,SR,QB,13,138,695,5.04,8,10.62,53.46,air_force
Emmanuel Michel,SR,FB,10,52,252,4.85,2,5.20,25.20,air_force
Omar Fattah,SR,FB,12,28,130,4.64,0,2.33,10.83,air_force
DeAndre Hughes,SR,WR,10,23,113,4.91,1,2.30,11.30,air_force
Jalen Johnson,JR,RB,5,2,102,51.00,1,0.40,20.40,air_force
Dane Kinamon,JR,WR,3,5,98,19.60,1,1.67,32.67,air_force
Jensen Jones,JR,QB,7,14,82,5.86,2,2.00,11.71,air_force
Jet Harris,,,3,17,70,4.12,0,5.67,23.33,air_force
Ben Jefferson,SR,WR,13,8,67,8.38,0,0.62,5.15,air_force
Zac Larrier,JR,QB,6,12,60,5.00,0,2.00,10.00,air_force
Aiden Calvert,SO,RB,4,4,45,11.25,1,1.00,11.25,air_force
Owen Burk,JR,RB,6,16,43,2.69,0,2.67,7.17,air_force
Ben Brittain,JR,QB,5,3,25,8.33,0,0.60,5.00,air_force
Cannon Turner,JR,QB,3,2,12,6.00,0,0.67,4.00,air_force
Amari Terry,SR,WR,13,2,11,5.50,0,0.15,0.85,air_force
Sione Angilau,SO,RB,2,3,9,3.00,0,1.50,4.50,air_force
Wesley Erwin,,,1,1,5,5.00,0,1.00,5.00,air_force
Kale Gibbs,SO,RB,1,1,4,4.00,0,1.00,4.00,air_force
Cade Harris,SO,WR,4,1,2,2.00,0,0.25,0.50,air_force
Cam Wiley,SO,RB,10,106,486,4.58,5,10.60,48.60,akron
DJ Irons,JR,QB,10,133,314,2.36,4,13.30,31.40,akron
Clyde Price III,SO,RB,12,99,309,3.12,7,8.25,25.75,akron
Charles Kellom,FR,RB,1,2,27,13.50,0,2.00,27.00,akron
Jonzell Norrils,SO,RB,5,9,22,2.44,0,1.80,4.40,akron
Blake Hester,SO,RB,12,3,10,3.33,0,0.25,0.83,akron
Daniel George,JR,WR,12,1,5,5.00,0,0.08,0.42,akron
"Tony Grimes, Jr.",SO,WR,9,0,4,-,0,-,-,akron
Ryan Jankowski,FR,QB,2,1,-8,-8.00,0,0.50,-4.00,akron
"Jeff Undercuffler, Jr.",JR,QB,7,17,-83,-4.88,0,2.43,-11.86,akron
Jahmyr Gibbs,JR,RB,12,151,926,6.13,7,12.58,77.17,alabama
Jase McClellan,JR,RB,13,111,655,5.90,7,8.54,50.38,alabama
Jalen Milroe,FR,QB,8,31,265,8.55,1,3.88,33.13,alabama
Roydell Williams,JR,RB,13,56,250,4.46,4,4.31,19.23,alabama
