name,team_name,season,g,g_diff,passing_rating,pass_rating_perc,other_qbs,attempts_per_game,playing_time_ratio,team_win_pct,team_win_pct_change,depth_chart_position,passing_rating_yoy_change,passing_att_yoy_change,passing_yards_yoy_change,passing_td_yoy_change,transfer,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,offense_plays_yoy_change,offense_total_yards_yoy_change,offense_yards/play_yoy_change,offense_yards/g_yoy_change,transferred_next_year
Aaron Allen,louisiana_tech,2020,10,4.0,99.81,0.5,3,12.1,0.34,0.5,-0.35,2.0,-0.15,0.61,0.35,0.33,0,138,592,4.29,59.2,0.57,0.32,-0.16,-0.21,0
Aaron Allen,louisiana_tech,2021,7,-3.0,130.76,0.67,2,11.0,0.19,0.25,-0.5,3.0,0.31,-0.36,0.03,-0.5,0,89,614,6.9,87.7,-0.36,0.04,0.61,0.48,0
Aaron McLaughlin,north_carolina_state,2021,2,0.0,127.31,0.67,2,12.38,0.2,0.75,0.0,2.0,0.02,0.7,0.94,1.0,0,1,0,0.0,0.0,0.64,0.78,0.01,0.06,0
Aaron Philo,georgia_tech,2024,1,0.0,142.32,0.33,3,5.0,0.03,0.67,0.04,3.0,0.03,-0.5,-0.49,-0.43,0,5,49,9.8,49.0,-0.51,-0.48,0.03,0.05,0
Aaron Winchester,georgia_state,2016,6,0.0,102.35,0.5,3,7.5,0.11,0.25,0.0,2.0,-999.0,-999.0,-999.0,-999.0,0,94,475,5.05,79.2,-999.0,-999.0,-999.0,-999.0,0
Aaron Winchester,georgia_state,2017,6,0.0,176.32,1.0,1,1.5,0.02,0.58,1.33,2.0,0.72,-0.8,-0.62,0.0,0,30,181,6.03,30.2,-0.68,-0.62,0.19,-0.62,0
Aaron Winchester,georgia_state,2018,6,0.0,119.53,0.67,2,9.5,0.16,0.17,-0.71,2.0,-0.32,5.33,2.41,2.0,0,89,470,5.28,78.3,1.97,1.6,-0.12,1.59,0
Aaron Zwahlen,hawai'i,2016,1,0.0,36.88,0.33,2,10.0,0.02,0.5,0.0,3.0,-999.0,-999.0,-999.0,-999.0,0,12,32,2.67,32.0,-999.0,-999.0,-999.0,-999.0,0
Adrian Martinez,nebraska,2018,11,0.0,139.46,1.0,2,31.55,0.86,0.33,0.0,1.0,-0.0,0.31,0.33,0.49,0,487,3246,6.67,295.1,0.25,0.27,0.01,0.06,0
Adrian Martinez,nebraska,2019,10,-1.0,130.8,0.5,3,25.1,0.78,0.42,0.25,1.0,-0.06,-0.28,-0.25,-0.41,0,395,2582,6.54,258.2,-0.19,-0.2,-0.02,-0.13,0
Adrian Martinez,nebraska,2020,7,-3.0,134.98,1.0,1,21.57,0.67,0.38,-0.1,1.0,0.03,-0.4,-0.46,-0.6,0,242,1576,6.51,225.1,-0.39,-0.39,-0.0,-0.13,0
Adrian Martinez,nebraska,2021,11,4.0,148.92,1.0,2,27.82,0.89,0.25,-0.33,1.0,0.1,1.03,1.71,2.5,1,439,3388,7.72,308.0,0.81,1.15,0.19,0.37,1
Adrian Martinez,kansas_state,2022,10,-1.0,131.37,0.67,2,18.4,0.47,0.71,0.0,2.0,-0.12,-0.4,-0.56,-0.57,0,295,1888,6.4,188.8,-0.33,-0.44,-0.17,-0.39,0
Ahmad Bradshaw,army,2016,12,0.0,103.58,0.33,2,7.58,0.76,0.62,0.0,1.0,-999.0,-999.0,-999.0,-999.0,0,276,1529,5.54,127.4,-999.0,-999.0,-999.0,-999.0,0
Ahmad Bradshaw,army,2017,13,1.0,86.62,1.0,2,3.31,0.68,0.77,0.25,1.0,-0.16,-0.53,-0.59,-0.75,0,285,2031,7.13,156.2,0.03,0.33,0.29,0.23,0
Ahmad Haston,massachusetts,2023,3,0.0,178.74,1.0,3,5.67,0.05,0.25,0.0,3.0,0.02,0.13,0.16,0.45,0,33,230,6.97,76.7,0.13,0.09,0.01,0.07,0
Aidan Armenta,louisiana-monroe,2024,5,0.0,121.81,0.67,2,8.6,0.44,0.8,0.04,2.0,0.03,-0.5,-0.49,-0.43,0,49,315,6.43,63.0,-0.51,-0.48,0.03,0.05,0
Aidan Chiles,oregon_state,2023,9,0.0,180.45,1.0,2,3.89,0.09,0.62,0.0,2.0,0.02,0.13,0.16,0.45,1,52,388,7.46,43.1,0.13,0.09,0.01,0.07,1
Aidan Chiles,michigan_state,2024,6,-3.0,123.88,0.5,1,25.33,0.88,0.5,0.04,1.0,-0.31,3.34,2.92,0.25,0,197,1327,6.74,221.2,2.79,2.42,-0.1,4.13,0
Aidan Leffler,ball_state,2024,2,0.0,41.73,0.5,1,3.0,0.03,0.2,0.04,2.0,0.03,-0.5,-0.49,-0.43,0,6,6,1.0,3.0,-0.51,-0.48,0.03,0.05,0
Aidan O'Connell,purdue,2019,6,0.0,130.42,0.67,2,27.33,0.32,0.33,0.0,2.0,0.0,0.38,0.32,0.33,0,179,1092,6.1,182.0,0.32,0.27,0.01,0.15,0
Aidan O'Connell,purdue,2020,3,-3.0,135.33,0.5,1,45.33,0.52,0.33,0.0,1.0,0.04,-0.17,-0.17,-0.12,0,148,852,5.76,284.0,-0.17,-0.22,-0.06,0.56,0
Aidan O'Connell,purdue,2021,12,9.0,158.74,1.0,4,36.58,0.76,0.69,1.08,1.0,0.17,2.23,3.05,3.0,0,464,3588,7.73,299.0,2.14,3.21,0.34,0.05,0
Aidan O'Connell,purdue,2022,12,0.0,132.22,1.0,4,41.58,0.86,0.57,-0.17,1.0,-0.17,0.14,-0.06,-0.21,0,542,3409,6.29,284.1,0.17,-0.05,-0.19,-0.05,0
Aidan Smith,northwestern,2019,9,0.0,82.88,0.5,4,19.0,0.55,0.25,0.0,1.0,0.0,0.38,0.32,0.33,0,243,971,4.0,107.9,0.32,0.27,0.01,0.15,0
Aidan Warner,florida,2024,1,0.0,92.0,0.33,2,2.0,0.01,0.6,0.04,3.0,0.03,-0.5,-0.49,-0.43,0,3,19,6.33,19.0,-0.51,-0.48,0.03,0.05,0
Aidan Willard,oregon_state,2018,1,0.0,0.0,0.25,3,1.0,0.0,0.17,-0.73,4.0,-0.0,0.31,0.33,0.49,0,2,-15,-7.5,-15.0,0.25,0.27,0.01,0.06,0
Ajani Sheppard,rutgers,2023,1,0.0,196.6,0.67,2,2.0,0.01,0.54,0.0,3.0,0.02,0.13,0.16,0.45,0,3,33,11.0,33.0,0.13,0.09,0.01,0.07,0
Ajani Sheppard,rutgers,2024,2,1.0,127.31,0.67,1,12.38,0.2,0.8,0.49,2.0,0.03,-0.5,-0.49,-0.43,0,1,4,4.0,2.0,-0.67,-0.88,-0.64,-0.94,0
Alan Bowman,texas_tech,2018,8,0.0,150.06,0.75,3,40.88,0.61,0.42,0.0,1.0,-0.0,0.31,0.33,0.49,0,356,2612,7.34,326.5,0.25,0.27,0.01,0.06,0
Alan Bowman,texas_tech,2019,3,-5.0,130.17,0.67,2,51.33,0.29,0.33,-0.2,2.0,-0.13,-0.53,-0.61,-0.65,0,161,1034,6.42,344.7,-0.55,-0.6,-0.13,0.06,0
Alan Bowman,texas_tech,2020,8,5.0,130.85,1.0,1,29.0,0.58,0.4,0.2,1.0,0.01,0.51,0.57,0.67,1,242,1605,6.63,200.6,0.5,0.55,0.03,-0.42,1
Alan Bowman,michigan,2021,3,-5.0,18.9,0.25,3,1.33,0.01,0.86,0.0,3.0,-0.86,-0.98,-0.99,-1.0,0,4,9,2.25,3.0,-0.98,-0.99,-0.66,-0.99,0
Alan Bowman,michigan,2022,4,1.0,204.85,1.0,6,1.75,0.02,0.93,0.08,4.0,9.84,0.75,5.67,1.0,1,7,60,8.57,15.0,0.75,5.67,2.81,4.0,1
Alan Bowman,oklahoma_state,2023,14,10.0,122.98,1.0,2,35.79,0.88,0.71,0.0,1.0,-0.4,70.57,56.67,14.0,0,527,3484,6.61,248.9,74.29,57.07,-0.23,15.59,0
Alan Bowman,oklahoma_state,2024,6,-8.0,135.25,1.0,1,35.67,0.9,0.5,-0.3,1.0,0.1,-0.57,-0.52,-0.2,0,227,1649,7.26,274.8,-0.57,-0.53,0.1,0.1,0
