transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g
False,Brayden Schager,2021,QB,hawai'i,FR,6,108,65,60.2,615,5.7,2,5,104.87,18.0,102.5,brayden_schager_hawai'i,14,-50,-3.57,0,2.33,-8.33
False,Brayden Schager,2022,QB,hawai'i,SO,12,400,221,55.3,2348,5.9,13,10,110.29,33.3,195.7,brayden_schager_hawai'i,45,47,1.04,0,3.75,3.92
False,Brayden Schager,2023,QB,hawai'i,JR,13,525,332,63.2,3542,6.7,26,14,130.92,40.4,272.5,brayden_schager_hawai'i,103,63,0.61,2,7.92,4.85
False,Brayden Schager,2024,QB,hawai'i,SR,5,205,124,60.5,1328,6.5,11,6,126.77,41.0,265.6,brayden_schager_hawai'i,50,96,1.92,2,10.00,19.20
False,Braylon Braxton,2022,QB,tulsa,FR,9,163,92,56.4,1133,7.0,10,2,132.63,18.1,125.9,braylon_braxton_tulsa,55,145,2.64,5,6.11,16.11
True,Braylon Braxton,2023,QB,tulsa,SO,6,50,22,44.0,212,4.2,2,6,68.82,8.3,35.3,braylon_braxton_tulsa,40,174,4.35,0,6.67,29.00
False,Braylon Braxton,2024,QB,marshall,JR,3,29,16,55.2,272,9.4,5,0,190.85,9.7,90.7,braylon_braxton_marshall,21,167,7.95,2,7.00,55.67
False,Brendan Sorsby,2022,QB,indiana,FR,1,6,3,50.0,8,1.3,0,1,27.87,6.0,8.0,brendan_sorsby_indiana,2,-8,-4.00,0,2.00,-8.00
True,Brendan Sorsby,2023,QB,indiana,FR,10,237,135,57.0,1587,6.7,15,5,129.88,23.7,158.7,brendan_sorsby_indiana,113,276,2.44,4,11.30,27.60
False,Brendan Sorsby,2024,QB,cincinnati,SO,5,163,108,66.3,1481,9.1,12,1,165.64,32.6,296.2,brendan_sorsby_cincinnati,35,66,1.89,3,7.00,13.20
False,Brendan Sullivan,2022,QB,northwestern,SO,5,96,71,74.0,589,6.1,4,3,132.99,19.2,117.8,brendan_sullivan_northwestern,54,97,1.80,1,10.80,19.40
True,Brendan Sullivan,2023,QB,northwestern,JR,8,99,63,63.6,714,7.2,6,2,140.18,12.4,89.3,brendan_sullivan_northwestern,75,160,2.13,2,9.38,20.00
False,Brendan Sullivan,2024,QB,iowa,JR,4,2,2,100.0,14,7.0,1,0,323.8,0.5,3.5,brendan_sullivan_iowa,5,25,5.00,1,1.25,6.25
False,Brenden Motley,2016,QB,virginia_tech,SR,7,20,9,45.0,81,4.1,1,0,95.52,2.9,11.6,brenden_motley_virginia_tech,20,124,6.20,2,2.86,17.71
False,Brendon Clark,2019,QB,notre_dame,FR,3,1,1,100.0,22,22.0,1,0,614.8,0.3,7.3,brendon_clark_notre_dame,5,33,6.60,0,1.67,11.00
True,Brendon Clark,2020,QB,notre_dame,SO,1,3,1,33.3,7,2.3,0,0,52.93,3.0,7.0,brendon_clark_notre_dame,1,-4,-4.00,0,1.00,-4.00
False,Brendon Clark,2022,QB,old_dominion,SO,2,4,2,50.0,37,9.3,0,1,77.7,2.0,18.5,brendon_clark_old_dominion,6,12,2.00,0,3.00,6.00
False,Brendon Lewis,2020,QB,colorado,FR,2,10,6,60.0,95,9.5,0,0,139.8,5.0,47.5,brendon_lewis_colorado,9,73,8.11,1,4.50,36.50
False,Brendon Lewis,2021,QB,colorado,FR,12,257,149,58.0,1540,6.0,10,3,118.82,21.4,128.3,brendon_lewis_colorado,98,190,1.94,2,8.17,15.83
True,Brendon Lewis,2022,QB,colorado,SO,2,24,15,62.5,92,3.8,0,0,94.7,12.0,46.0,brendon_lewis_colorado,12,43,3.58,0,6.00,21.50
False,Brendon Lewis,2023,QB,nevada,SO,12,236,131,55.5,1313,5.6,2,6,99.97,19.7,109.4,brendon_lewis_nevada,120,495,4.13,4,10.00,41.25
False,Brendon Lewis,2024,QB,nevada,JR,6,155,107,69.0,1081,7.0,9,5,140.32,25.8,180.2,brendon_lewis_nevada,79,362,4.58,3,13.17,60.33
False,Brennan Armstrong,2018,QB,virginia,FR,4,5,2,40.0,62,12.4,1,0,210.16,1.3,15.5,brennan_armstrong_virginia,9,74,8.22,0,2.25,18.50
False,Brennan Armstrong,2019,QB,virginia,FR,7,20,15,75.0,196,9.8,1,2,153.82,2.9,28.0,brennan_armstrong_virginia,7,19,2.71,0,1.00,2.71
False,Brennan Armstrong,2020,QB,virginia,SO,9,268,157,58.6,2117,7.9,18,11,138.88,29.8,235.2,brennan_armstrong_virginia,126,552,4.38,5,14.00,61.33
False,Brennan Armstrong,2021,QB,virginia,JR,11,500,326,65.2,4449,8.9,31,10,156.4,45.5,404.5,brennan_armstrong_virginia,98,251,2.56,9,8.91,22.82
True,Brennan Armstrong,2022,QB,virginia,SR,10,339,185,54.6,2210,6.5,7,12,109.06,33.9,221.0,brennan_armstrong_virginia,123,371,3.02,6,12.30,37.10
False,Brennan Armstrong,2023,QB,north_carolina_state,SR,12,262,160,61.1,1785,6.8,11,7,126.81,21.8,148.8,brennan_armstrong_north_carolina_state,143,665,4.65,7,11.92,55.42
False,Brent Stockstill,2016,QB,middle_tennessee,SO,10,414,262,63.3,3233,7.8,31,7,150.22,41.4,323.3,brent_stockstill_middle_tennessee,45,240,5.33,0,4.50,24.00
False,Brent Stockstill,2017,QB,middle_tennessee,JR,8,239,138,57.7,1672,7.0,16,8,131.91,29.9,209.0,brent_stockstill_middle_tennessee,37,41,1.11,0,4.63,5.13
False,Brent Stockstill,2018,QB,middle_tennessee,SR,14,464,326,70.3,3544,7.6,29,10,150.74,33.1,253.1,brent_stockstill_middle_tennessee,128,169,1.32,2,9.14,12.07
False,Brett Gabbert,2019,QB,miami_ohio,FR,14,316,175,55.4,2411,7.6,11,8,125.9,22.6,172.2,brett_gabbert_miami_ohio,88,72,0.82,3,6.29,5.14
