transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g,offense_rush_yards,offense_pass_yards,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,season_wins,season_losses,g_diff,pass_rating_perc,other_qbs,attempts_per_game,playing_time_ratio,team_win_pct,team_win_pct_change,depth_chart_position,passing_rating_yoy_change,passing_att_yoy_change,passing_yards_yoy_change,rushing_yards_yoy_change,passing_td_yoy_change,offense_plays_yoy_change,offense_total_yards_yoy_change,offense_yards/play_yoy_change,offense_yards/g_yoy_change
False,A.J. Erdely,2017,QB,uab,3,13,338.0,205.0,60.7,2331.0,6.9,16.0,4.0,131.83,26.0,179.3,a.j._erdely_uab,122.0,326.0,2.67,13.0,9.38,25.08,326,2331,460,2657,5.78,204.4,8,5,0.0,1.0,2,26.0,0.9912023460410557,0.6153846153846154,0.0,1.0,-0.007589243886442443,0.1386259753451221,0.17185554171855544,-0.34833164812942363,0.04166666666666674,0.13470122390208783,0.17042112622490102,0.012016118322764835,0.08402703114739885
False,A.J. Erdely,2018,QB,uab,4,9,198.0,111.0,56.1,1539.0,7.8,7.0,7.0,125.95,22.0,171.0,a.j._erdely_uab,84.0,257.0,3.06,5.0,9.33,28.56,257,1539,282,1796,6.37,199.6,11,3,-4.0,0.5,1,22.0,0.5857988165680473,0.7857142857142857,0.2767857142857142,1.0,-0.04460289767124337,-0.41420118343195267,-0.33976833976833976,-0.2116564417177914,-0.5625,-0.3869565217391304,-0.3240496800903274,0.10207612456747395,-0.023483365949119483
False,AJ Bianco,2023,QB,nevada,1,8,82.0,45.0,54.9,614.0,7.5,4.0,5.0,121.68,10.3,76.8,aj_bianco_nevada,42.0,183.0,4.36,1.0,5.25,22.88,183,614,124,797,6.43,99.6,2,10,0.0,1.0,2,10.25,0.23768115942028986,0.16666666666666666,0.0,2.0,0.01705115346038122,0.12962962962962954,0.15629835964097794,-0.3152866242038217,0.4545454545454546,0.13084112149532712,0.0906028965981811,0.012326656394453073,0.06699999999999995
False,AJ Bianco,2024,QB,nevada,2,2,3.0,3.0,100.0,42.0,14.0,0.0,0.0,217.6,1.5,21.0,aj_bianco_nevada,,,,,,,0,42,3,42,14.0,21.0,2,4,-6.0,1.0,2,1.5,0.018867924528301886,0.3333333333333333,1.0,2.0,0.7882971729125574,-0.9634146341463414,-0.9315960912052117,-0.6086956521739131,-1.0,-0.9758064516129032,-0.9473023839397742,1.177293934681182,-0.7891566265060241
False,AJ Bush,2017,QB,virginia_tech,3,5,11.0,7.0,63.6,99.0,9.0,1.0,0.0,169.24,2.2,19.8,aj_bush_virginia_tech,19.0,129.0,6.79,0.0,3.8,25.8,129,99,30,228,7.6,45.6,9,4,0.0,0.67,2,2.2,0.02696078431372549,0.6923076923076923,0.0,2.0,-0.007589243886442443,0.1386259753451221,0.17185554171855544,-0.34833164812942363,0.04166666666666674,0.13470122390208783,0.17042112622490102,0.012016118322764835,0.08402703114739885
False,AJ Bush Jr.,2018,QB,illinois,4,10,217.0,117.0,53.9,1413.0,6.5,6.0,10.0,108.52,21.7,141.3,aj_bush_jr._illinois,138.0,733.0,5.31,8.0,13.8,73.3,733,1413,355,2146,6.05,214.6,4,8,0.0,1.0,3,21.7,0.6697530864197531,0.3333333333333333,0.0,1.0,-0.002040755141352324,0.3089080459770115,0.33125458547322073,-0.14301919720767886,0.4852941176470589,0.25,0.2741116751269035,0.009661835748792313,0.057595993322203665
False,AJ Duffy,2022,QB,florida_state,1,3,7.0,2.0,28.6,26.0,3.7,1.0,0.0,106.91,2.3,8.7,aj_duffy_florida_state,1.0,5.0,5.0,0.0,0.33,1.67,5,26,8,31,3.88,10.3,10,3,0.0,0.25,3,2.3333333333333335,0.017811704834605598,0.7692307692307693,0.0,3.0,-0.027268552726229134,0.28903654485049834,0.26420117939104626,-0.20918537585204255,0.2857142857142858,0.20469083155650325,0.20699925539836195,-0.0383480825958703,0.10647010647010657
False,AJ Duffy,2023,QB,florida_state,1,1,,,,,,,,,,,aj_duffy_florida_state,3.0,5.0,1.67,0.0,3.0,5.0,5,0,3,5,1.67,5.0,13,1,-2.0,,3,,,0.9285714285714286,0.20714285714285707,,0.01705115346038122,0.12962962962962954,0.15629835964097794,0.0,0.4545454545454546,-0.625,-0.8387096774193549,-0.5695876288659794,-0.5145631067961165
False,AJ Mayer,2019,QB,miami_ohio,1,3,,,,,,,,,,,aj_mayer_miami_ohio,3.0,-11.0,-3.67,0.0,1.0,-3.67,-11,0,3,-11,-3.67,-3.7,8,6,0.0,,2,,,0.5714285714285714,0.0,,0.0026877706435719517,0.3799999999999999,0.3201492537313433,-0.30093411996066866,0.33333333333333326,0.32000000000000006,0.273927392739274,0.006389776357827559,0.15393654524089317
False,AJ Mayer,2020,QB,miami_ohio,2,3,49.0,23.0,46.9,328.0,6.7,4.0,1.0,126.03,16.3,109.3,aj_mayer_miami_ohio,7.0,1.0,0.14,0.0,2.33,0.33,1,328,56,329,5.88,109.7,2,1,0.0,0.67,2,16.333333333333332,0.5764705882352941,0.6666666666666666,0.16666666666666674,1.0,-0.007227509430153489,0.0,-0.015105740181268867,-1.0909090909090908,-0.125,17.666666666666668,-30.90909090909091,-2.6021798365122617,-30.64864864864865
