team_name,number,name,position,year,height,weight,hometown,last_schools,team_page_url
air_force,82,Rhett Harms,TE,SO,6-3,225,"Crete, NE",Crete,https://cfbstats.com/2018/team/721/index.html
air_force,93,Danny Highland,DL,SR,6-2,260,"Loveland, CO",Thompson Valley,https://cfbstats.com/2018/team/721/index.html
air_force,61,Scott Hattok,OL,JR,6-5,280,"Lansing, KS",Lansing,https://cfbstats.com/2018/team/721/index.html
air_force,83,Ben Harris,DL,SR,6-6,260,"Peculair, MO",Raymore-Peculiar,https://cfbstats.com/2018/team/721/index.html
air_force,84,Garrett Amy,WR,SR,5-8,190,"Dallas, TX",Jesuit College Prep,https://cfbstats.com/2018/team/721/index.html
air_force,49,Brody Bagnall,ILB,SR,6-2,235,"Vancouver, WA",Evergreen,https://cfbstats.com/2018/team/721/index.html
air_force,91,Jared Bair,DL,JR,6-3,260,"Troy, OH",Troy,https://cfbstats.com/2018/team/721/index.html
air_force,56,Kolby Barker,DL,SO,6-4,240,"Keizer, OR",McNary,https://cfbstats.com/2018/team/721/index.html
air_force,56,Britton Beasley,OL,SO,6-2,320,"Cordell, OK",Cordell,https://cfbstats.com/2018/team/721/index.html
air_force,8,Marcus Bennett,WR,SR,6-0,195,"Marietta, GA",Marietta,https://cfbstats.com/2018/team/721/index.html
air_force,33,Taven Birdow,FB,JR,6-1,220,"Altus, OK",Altus,https://cfbstats.com/2018/team/721/index.html
air_force,37,Thadius Blackmon,ILB,FR,6-1,230,"Maryville, TN",Maryville,https://cfbstats.com/2018/team/721/index.html
air_force,1W,Corbin Blanchard,-,-,-,-,-,-,https://cfbstats.com/2018/team/721/index.html
air_force,4,Milton Bugg III,DB,SO,5-9,165,"Gilbert, AZ",Williams Field,https://cfbstats.com/2018/team/721/index.html
air_force,16,Robert Bullard,DB,SR,5-9,175,"Covington, GA",Alcovy,https://cfbstats.com/2018/team/721/index.html
air_force,90,Micah Capra,DL,SR,6-2,275,"Argyle, TX",Argyle,https://cfbstats.com/2018/team/721/index.html
air_force,98,Joseph Carlson,P,SO,6-1,175,"Frisco, TX",Dr. Justin Wakeland,https://cfbstats.com/2018/team/721/index.html
air_force,3,Ronald Cleveland,WR,SR,5-9,180,"Franklin, TN",Battle Ground Academy,https://cfbstats.com/2018/team/721/index.html
air_force,31,Ross Connors,DB,SR,5-11,185,"Bellevue, WA",Bellevue Senior,https://cfbstats.com/2018/team/721/index.html
air_force,97,Noah Crabbe,-,SR,5-9,185,"Honolulu, HI",Kamehameha,https://cfbstats.com/2018/team/721/index.html
air_force,59,Austin Cutting,LS,SR,6-3,245,"Keller, TX",Central,https://cfbstats.com/2018/team/721/index.html
air_force,42,Blake Dailey,ILB,SR,6-3,220,"Gas City, IN",Mississinewa,https://cfbstats.com/2018/team/721/index.html
air_force,81,Lesley Dalger,TE,JR,6-4,235,"Sunrise, FL",Westminster Academy,https://cfbstats.com/2018/team/721/index.html
air_force,57,Ryan Darby,DL,SR,6-3,250,"Missouri City, TX",Westbury Christian,https://cfbstats.com/2018/team/721/index.html
air_force,67,Tanner Holcomb,OL,JR,6-4,275,"Hiram, GA",South Paulding,https://cfbstats.com/2018/team/721/index.html
air_force,12,Malik Dawkins,DB,JR,6-0,205,"Conyers, GA",Rockdale County,https://cfbstats.com/2018/team/721/index.html
air_force,45,R.J. Jackson,OLB,SR,6-3,235,"Beloit, KS",Beloit,https://cfbstats.com/2018/team/721/index.html
air_force,40,Kyle Johnson,ILB,JR,6-0,220,"Jacksonville, FL",Bolles School,https://cfbstats.com/2018/team/721/index.html
air_force,11,Demani Hansford,DB,SO,5-9,180,"Bowie, MD",Saint John's College,https://cfbstats.com/2018/team/721/index.html
air_force,41,Price Morgan,ILB,JR,6-3,220,"Lawrence, KS",Lawrence,https://cfbstats.com/2018/team/721/index.html
air_force,68,Christopher Mitchell,OL,JR,6-2,265,"Vancouver, WA",Mountain View,https://cfbstats.com/2018/team/721/index.html
air_force,79,Stone Miller,OL,SR,6-3,270,"Mason, MI",Mason,https://cfbstats.com/2018/team/721/index.html
air_force,9,Malik Miller,RB,SR,5-10,200,"Griffin, GA",Griffin,https://cfbstats.com/2018/team/721/index.html
air_force,85,Luke Miller,TE,SO,6-4,225,"Mooresville, NC",Lake Norman,https://cfbstats.com/2018/team/721/index.html
air_force,38,Demonte Meeks,ILB,SO,6-1,235,"Maple Heights, OH",Cleveland Heights,https://cfbstats.com/2018/team/721/index.html
air_force,17,Drew McAdams,LB,SR,6-1,225,"Coppell, TX",Coppell,https://cfbstats.com/2018/team/721/index.html
air_force,18,Jake Matkovich,WR,SR,6-5,195,"Milwaukee, WI",Marquette University,https://cfbstats.com/2018/team/721/index.html
air_force,75,Colin Marquez,OL,JR,6-3,280,"Mesa, AZ",Red Mountain,https://cfbstats.com/2018/team/721/index.html
air_force,25,Christian Mallard,RB,JR,5-9,215,"San Antonio, TX",Communication Arts,https://cfbstats.com/2018/team/721/index.html
air_force,6,Zane Lewis,DB,JR,6-1,190,"Richmond, VA",Trinity Episcopal,https://cfbstats.com/2018/team/721/index.html
air_force,26,Brandon Lewis,WR,FR,5-9,165,"San Diego, CA",Madison,https://cfbstats.com/2018/team/721/index.html
air_force,6D,Barton Lester,-,-,-,-,-,-,https://cfbstats.com/2018/team/721/index.html
air_force,66,Nolan Laufenberg,OL,SO,6-3,295,"Castle Rock, CO",Castle View,https://cfbstats.com/2018/team/721/index.html
air_force,74,Griffin Landrum,OL,SR,6-2,285,"Cummings, GA",South Forsyth,https://cfbstats.com/2018/team/721/index.html
air_force,48,Jake Ksiazek,LB,JR,6-2,230,"Tucson, AZ",Salpointe Catholic,https://cfbstats.com/2018/team/721/index.html
air_force,64,Kyle Krepsz,OL,SO,6-1,280,"Riverside, CA",Martin Luther King,https://cfbstats.com/2018/team/721/index.html
air_force,92,Jake Koehnke,-,JR,6-0,180,"Carlsbad, CA",Las Costa Canyon,https://cfbstats.com/2018/team/721/index.html
air_force,46,Conner Kirkegaard,LS,SO,6-0,205,"Poway, CA",Poway,https://cfbstats.com/2018/team/721/index.html
air_force,73,Max Kemper,OL,SR,6-2,290,"Marietta, GA",Pope,https://cfbstats.com/2018/team/721/index.html
air_force,22,Garrett Kauppila,DB,SR,6-2,205,"Rocklin, CA",Rocklin,https://cfbstats.com/2018/team/721/index.html
air_force,4,James Jones IV,DB,JR,6-2,195,"Denver, CO",Mullen,https://cfbstats.com/2018/team/721/index.html
air_force,60,Adam Jewell,OL,SO,6-2,255,"Pearland, TX",Pearland,https://cfbstats.com/2018/team/721/index.html
air_force,30,Grant Donaldson,OLB,SO,6-3,225,"Sudlersville, MD",DeMatha,https://cfbstats.com/2018/team/721/index.html
air_force,94,Jordan Jackson,DT,SO,6-5,270,"Jacksonville, FL",Bolles,https://cfbstats.com/2018/team/721/index.html
air_force,17,Beau English III,QB,SO,6-0,200,"Stevenson, MD",DeMatha,https://cfbstats.com/2018/team/721/index.html
air_force,23,Isaiah Sampson,WR,SO,5-7,175,"Swansea, SC",Cypress Bay,https://cfbstats.com/2018/team/721/index.html
air_force,7,Geraud Sanders,WR,JR,6-3,210,"Frisco, TX",Bishop Dunne,https://cfbstats.com/2018/team/721/index.html
air_force,4,Isaiah Sanders,QB,JR,6-2,210,"Colorado Springs, CO",Palmer Ridge,https://cfbstats.com/2018/team/721/index.html
air_force,26,Vince Sanford,OLB,FR,6-1,200,"Hamilton, OH",Hamilton,https://cfbstats.com/2018/team/721/index.html
air_force,28,Joseph Saucier,RB,JR,5-10,200,"Rogers, AR",Rogers Heritage,https://cfbstats.com/2018/team/721/index.html
air_force,16,Mike Schmidt,QB,JR,6-3,205,"Fletcher, NC",Hendersonville,https://cfbstats.com/2018/team/721/index.html
air_force,94,Tevye Schuettpelz-Rohl,-,FR,5-10,185,"Boulder, CO",Fairview,https://cfbstats.com/2018/team/721/index.html
air_force,15,Charlie Scott,-,JR,6-1,195,"Greenwood Village, CO",Cherry Creek,https://cfbstats.com/2018/team/721/index.html
air_force,10,Andrew Smith,WR,SR,5-8,170,"Gainsville, GA",North Hall,https://cfbstats.com/2018/team/721/index.html
air_force,5,Dailen Sutton,DB,SR,6-1,175,"Dallas, TX",Bishop Dunne,https://cfbstats.com/2018/team/721/index.html
air_force,14,Grant Theil,DB,JR,6-1,195,"Jasper, IN",Jasper,https://cfbstats.com/2018/team/721/index.html
air_force,72,Connor Vikupitz,OL,JR,6-3,275,"Fresno, CA",Bullard,https://cfbstats.com/2018/team/721/index.html
air_force,21,Bryce VonZurmuehlen,DB,SR,6-0,185,"Coppell, TX",Coppell,https://cfbstats.com/2018/team/721/index.html
air_force,87,Kade Waguespack,TE,JR,6-2,225,"Gonzales, LA",East Ascension,https://cfbstats.com/2018/team/721/index.html
air_force,26,Eric Ward,-,-,-,-,-,-,https://cfbstats.com/2018/team/721/index.html
air_force,20,Benjamin Waters,DB,JR,6-1,205,"Denver, CO",Valor Christian,https://cfbstats.com/2018/team/721/index.html
air_force,71,Garrett Watts,OL,SR,6-5,300,"Chesapeake, VA",Great Bridge,https://cfbstats.com/2018/team/721/index.html
air_force,21,D'Morea Wicks,WR,JR,5-8,180,"Plaquemine, LA",Plaquemine,https://cfbstats.com/2018/team/721/index.html
air_force,8,Lakota Wills,LB,SO,6-3,235,"Richland, WA",Richland,https://cfbstats.com/2018/team/721/index.html
air_force,36,Parker Wilson,FB,SR,5-11,230,"Coppell, TX",Coppell,https://cfbstats.com/2018/team/721/index.html
air_force,96,Joey Woodring,DL,SO,5-11,275,"Katy, TX",Katy,https://cfbstats.com/2018/team/721/index.html
air_force,98,Kyler Ehm,DL,JR,6-3,285,"Potwin, KS",Wichita Collegiate,https://cfbstats.com/2018/team/721/index.html
air_force,2,Arion Worthman,QB,SR,5-11,210,"Normal, IL",Normal Community West,https://cfbstats.com/2018/team/721/index.html
