name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name,season,player_id,transfer
Bailey Rice,SO,P,12,1,1,100.0,21,21.0,0,0,276.4,0.1,1.8,charlotte,2022,bailey_rice_charlotte,False
Bailey Zappe,SR,QB,14,686,475,69.2,5967,8.7,62,11,168.92,49.0,426.2,western_kentucky,2021,bailey_zappe_western_kentucky,False
Baker Mayfield,JR,QB,13,358,254,70.9,3965,11.1,40,8,196.38,27.5,305.0,oklahoma,2016,baker_mayfield_oklahoma,False
Baker Mayfield,SR,QB,14,404,285,70.5,4627,11.5,43,6,198.92,28.9,330.5,oklahoma,2017,baker_mayfield_oklahoma,False
Bart Houston,SR,QB,11,141,96,68.1,1245,8.8,5,3,149.7,12.8,113.2,wisconsin,2016,bart_houston_wisconsin,False
Baylor Romney,FR,QB,4,85,54,63.5,747,8.8,7,2,159.82,21.3,186.8,byu,2019,baylor_romney_byu,False
Baylor Romney,SO,QB,7,35,24,68.6,261,7.5,1,1,134.93,5.0,37.3,byu,2020,baylor_romney_byu,False
Baylor Romney,SO,QB,5,80,56,70.0,779,9.7,6,0,176.55,16.0,155.8,byu,2021,baylor_romney_byu,False
Beau Allen,FR,QB,2,7,3,42.9,40,5.7,0,0,90.86,3.5,20.0,kentucky,2020,beau_allen_kentucky,False
Beau Allen,SO,QB,3,12,8,66.7,92,7.7,0,0,131.07,4.0,30.7,kentucky,2021,beau_allen_kentucky,False
Beau Corrales,SO,WR,8,1,0,0.0,0,0.0,0,1,-200.0,0.1,0.0,north_carolina,2018,beau_corrales_north_carolina,False
Beau Hoge,SO,QB,3,39,19,48.7,257,6.6,2,3,105.62,13.0,85.7,byu,2017,beau_hoge_byu,False
Beau Nelson,SR,QB,1,5,1,20.0,8,1.6,0,0,33.44,5.0,8.0,stanford,2023,beau_nelson_stanford,False
Beau Pribula,FR,QB,11,21,11,52.4,149,7.1,4,0,174.84,1.9,13.5,penn_state,2023,beau_pribula_penn_state,False
Beau Pribula,SO,QB,5,10,7,70.0,102,10.2,2,1,201.68,2.0,20.4,penn_state,2024,beau_pribula_penn_state,False
Behren Morton,FR,QB,2,3,1,33.3,0,0.0,0,0,33.33,1.5,0.0,texas_tech,2021,behren_morton_texas_tech,False
Behren Morton,FR,QB,9,169,96,56.8,1117,6.6,7,6,118.9,18.8,124.1,texas_tech,2022,behren_morton_texas_tech,False
Behren Morton,SO,QB,10,293,182,62.1,1757,6.0,15,8,123.92,29.3,175.7,texas_tech,2023,behren_morton_texas_tech,False
Behren Morton,JR,QB,6,221,139,62.9,1640,7.4,14,2,144.34,36.8,273.3,texas_tech,2024,behren_morton_texas_tech,False
Ben Batson,FR,QB,10,1,1,100.0,0,0.0,0,0,100.0,0.1,0.0,clemson,2019,ben_batson_clemson,False
Ben Brittain,FR,QB,2,1,1,100.0,31,31.0,0,0,360.4,0.5,15.5,air_force,2020,ben_brittain_air_force,False
Ben Brittain,JR,QB,5,2,1,50.0,80,40.0,1,0,551.0,0.4,16.0,air_force,2022,ben_brittain_air_force,False
Ben Brittain,SR,QB,4,3,0,0.0,0,0.0,0,2,-133.33,0.8,0.0,air_force,2023,ben_brittain_air_force,False
Ben Bryant,FR,QB,1,8,6,75.0,75,9.4,0,1,128.75,8.0,75.0,cincinnati,2018,ben_bryant_cincinnati,False
Ben Bryant,FR,QB,7,51,29,56.9,388,7.6,1,2,119.4,7.3,55.4,cincinnati,2019,ben_bryant_cincinnati,False
Ben Bryant,SO,QB,8,14,11,78.6,90,6.4,1,0,156.14,1.8,11.3,cincinnati,2020,ben_bryant_cincinnati,True
Ben Bryant,SR,QB,13,408,279,68.4,3121,7.6,14,7,140.53,31.4,240.1,eastern_michigan,2021,ben_bryant_eastern_michigan,True
Ben Bryant,SR,QB,11,348,213,61.2,2732,7.9,21,7,143.05,31.6,248.4,cincinnati,2022,ben_bryant_cincinnati,True
Ben Bryant,SR,QB,9,277,173,62.5,1807,6.5,13,6,128.41,30.8,200.8,northwestern,2023,ben_bryant_northwestern,False
Ben DiNucci,FR,QB,2,9,3,33.3,16,1.8,1,2,40.5,4.5,8.0,pittsburgh,2016,ben_dinucci_pittsburgh,False
Ben DiNucci,SO,QB,10,158,88,55.7,1091,6.9,5,5,117.81,15.8,109.1,pittsburgh,2017,ben_dinucci_pittsburgh,False
Ben Finley,FR,QB,1,20,13,65.0,143,7.2,1,2,121.56,20.0,143.0,north_carolina_state,2020,ben_finley_north_carolina_state,False
Ben Finley,FR,QB,4,9,5,55.6,28,3.1,0,0,81.69,2.3,7.0,north_carolina_state,2021,ben_finley_north_carolina_state,False
Ben Finley,FR,QB,3,123,65,52.8,741,6.0,3,3,106.62,41.0,247.0,north_carolina_state,2022,ben_finley_north_carolina_state,True
Ben Finley,SO,QB,7,94,54,57.4,572,6.1,3,4,110.58,13.4,81.7,california,2023,ben_finley_california,True
Ben Finley,JR,QB,6,185,110,59.5,1061,5.7,7,6,113.63,30.8,176.8,akron,2024,ben_finley_akron,False
Ben Gulbranson,FR,QB,1,9,6,66.7,64,7.1,1,0,163.07,9.0,64.0,oregon_state,2020,ben_gulbranson_oregon_state,False
Ben Gulbranson,FR,QB,10,194,121,62.4,1455,7.5,9,5,135.53,19.4,145.5,oregon_state,2022,ben_gulbranson_oregon_state,False
Ben Gulbranson,SO,QB,2,28,17,60.7,186,6.6,1,1,121.15,14.0,93.0,oregon_state,2023,ben_gulbranson_oregon_state,False
Ben Hicks,FR,QB,12,422,234,55.5,2930,6.9,19,15,121.52,35.2,244.2,smu,2016,ben_hicks_smu,False
Ben Hicks,SO,QB,13,472,276,58.5,3569,7.6,33,12,139.98,36.3,274.5,smu,2017,ben_hicks_smu,False
Ben Hicks,JR,QB,12,372,208,55.9,2582,6.9,19,7,127.31,31.0,215.2,smu,2018,ben_hicks_smu,True
Ben Hicks,SR,QB,7,137,65,47.4,738,5.4,2,2,94.6,19.6,105.4,arkansas,2019,ben_hicks_arkansas,False
Ben Weaver,SR,WLB,13,1,1,100.0,6,6.0,0,0,150.4,0.1,0.5,boise_state,2016,ben_weaver_boise_state,False
Ben Wooldridge,FR,QB,3,6,4,66.7,30,5.0,1,0,163.67,2.0,10.0,fresno_state,2019,ben_wooldridge_fresno_state,False
Ben Wooldridge,SO,QB,2,16,8,50.0,117,7.3,0,0,111.43,8.0,58.5,fresno_state,2020,ben_wooldridge_fresno_state,True
Ben Wooldridge,JR,QB,10,244,138,56.6,1661,6.8,15,5,129.93,24.4,166.1,louisiana-lafayette,2022,ben_wooldridge_louisiana-lafayette,False
Ben Wooldridge,SR,QB,3,69,39,56.5,508,7.4,5,1,139.37,23.0,169.3,louisiana-lafayette,2023,ben_wooldridge_louisiana-lafayette,False
Ben Wooldridge,SR,QB,5,145,101,69.7,1214,8.4,10,3,158.6,29.0,242.8,louisiana-lafayette,2024,ben_wooldridge_louisiana-lafayette,False
"Benjamin Snell, Jr.",FR,RB,13,4,2,50.0,16,4.0,0,0,83.6,0.3,1.2,kentucky,2016,"benjamin_snell,_jr._kentucky",False
Bennett Meredith,FR,QB,3,11,7,63.6,43,3.9,0,0,96.48,3.7,14.3,purdue,2023,bennett_meredith_purdue,False
"Benny Snell, Jr.",SO,RB,13,2,0,0.0,0,0.0,0,0,0.0,0.2,0.0,kentucky,2017,"benny_snell,_jr._kentucky",False
"Benny Snell, Jr.",JR,RB,13,1,1,100.0,43,43.0,1,0,791.2,0.1,3.3,kentucky,2018,"benny_snell,_jr._kentucky",False
Bentlee Critcher,SR,P,13,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,appalachian_state,2016,bentlee_critcher_appalachian_state,False
Bernard Davis,SR,WR,12,2,0,0.0,0,0.0,0,0,0.0,0.2,0.0,massachusetts,2016,bernard_davis_massachusetts,False
Bert Emanuel Jr.,FR,QB,4,8,4,50.0,54,6.8,0,0,106.7,2.0,13.5,central_michigan,2022,bert_emanuel_jr._central_michigan,False
"Bert Emanuel, Jr.",FR,QB,6,37,19,51.4,286,7.7,3,3,126.82,6.2,47.7,central_michigan,2023,"bert_emanuel,_jr._central_michigan",False
"Bert Emanuel, Jr.",SO,QB,2,2,1,50.0,7,3.5,1,0,244.4,1.0,3.5,central_michigan,2024,"bert_emanuel,_jr._central_michigan",False
Bilal Marshall,SR,WR,12,6,3,50.0,22,3.7,0,0,80.8,0.5,1.8,purdue,2016,bilal_marshall_purdue,False
Billy Atkins,FR,QB,5,43,19,44.2,212,4.9,2,5,77.69,8.6,42.4,james_madison,2022,billy_atkins_james_madison,False
Billy Atkins,SO,QB,4,2,1,50.0,10,5.0,0,0,92.0,0.5,2.5,james_madison,2023,billy_atkins_james_madison,False
Billy Bahl,SO,QB,7,125,69,55.2,1154,9.2,8,4,147.47,17.9,164.9,miami_ohio,2016,billy_bahl_miami_ohio,False
Billy Bahl,JR,QB,4,117,61,52.1,820,7.0,5,4,118.28,29.3,205.0,miami_ohio,2017,billy_bahl_miami_ohio,False
Billy Edwards Jr.,FR,QB,7,46,28,60.9,308,6.7,3,0,138.64,6.6,44.0,maryland,2022,billy_edwards_jr._maryland,False
Billy Edwards Jr.,SO,QB,8,30,10,33.3,128,4.3,1,1,73.5,3.8,16.0,maryland,2023,billy_edwards_jr._maryland,False
Billy Edwards Jr.,JR,QB,5,177,128,72.3,1444,8.2,11,2,159.1,35.4,288.8,maryland,2024,billy_edwards_jr._maryland,False
Billy Fessler,JR,QB,12,2,1,50.0,8,4.0,0,0,83.6,0.2,0.7,penn_state,2017,billy_fessler_penn_state,False
Billy Wiles,FR,QB,1,4,2,50.0,31,7.8,1,0,197.6,4.0,31.0,clemson,2021,billy_wiles_clemson,True
Billy Wiles,SO,QB,11,301,162,53.8,1940,6.4,11,7,115.37,27.4,176.4,southern_mississippi,2023,billy_wiles_southern_mississippi,True
Billy Wiles,JR,QB,2,1,0,0.0,0,0.0,0,1,-200.0,0.5,0.0,appalachian_state,2024,billy_wiles_appalachian_state,False
