name,yr,pos,g,rec.,yards,avg.,td,rec./g,yards/g,team_name,season,player_id,transfer
E.J. Smith,SO,RB,7,14,67,4.79,0,2.0,9.6,stanford,2021,e.j._smith_stanford,False
E.J. Smith,JR,RB,2,8,63,7.88,1,4.0,31.5,stanford,2022,e.j._smith_stanford,False
E.J. Smith,SR,RB,12,33,242,7.33,0,2.8,20.2,stanford,2023,e.j._smith_stanford,False
E.J. Williams,FR,WR,12,24,306,12.75,2,2.0,25.5,clemson,2020,e.j._williams_clemson,False
E.J. Williams,SO,WR,8,9,66,7.33,0,1.1,8.3,clemson,2021,e.j._williams_clemson,False
E.J. Williams,JR,WR,13,7,70,10.00,0,0.5,5.4,clemson,2022,e.j._williams_clemson,False
E.J. Williams Jr.,SR,WR,8,23,281,12.22,0,2.9,35.1,indiana,2023,e.j._williams_jr._indiana,False
E.J. Williams Jr.,SR,WR,3,1,37,37.0,0,0.3,12.3,indiana,2024,e.j._williams_jr._indiana,False
E.J. Wilson,JR,RB,6,4,10,2.50,0,0.7,1.7,temple,2023,e.j._wilson_temple,False
E.J. Wilson,SR,RB,4,4,19,4.75,0,1.0,4.8,temple,2024,e.j._wilson_temple,False
EJ Horton,FR,WR,6,4,59,14.75,1,0.7,9.8,marshall,2021,ej_horton_marshall,False
EJ Horton,SO,WR,12,12,186,15.50,1,1.0,15.5,marshall,2022,ej_horton_marshall,True
EJ Horton,JR,WR,11,10,201,20.10,1,0.9,18.3,west_virginia,2023,ej_horton_west_virginia,False
EJ Scott,FR,WR,10,7,50,7.14,0,0.7,5.0,colorado_state,2018,ej_scott_colorado_state,False
EJ Smith,SR,RB,5,1,7,7.0,0,0.2,1.4,texas_a&m,2024,ej_smith_texas_a&m,False
EJ Wilson Jr.,FR,RB,12,8,93,11.63,1,0.7,7.8,florida_international,2021,ej_wilson_jr._florida_international,False
EJ Wilson Jr.,SO,RB,12,19,75,3.95,0,1.6,6.3,florida_international,2022,ej_wilson_jr._florida_international,False
Ean Pfeifer,SR,TE,11,2,7,3.50,2,0.2,0.6,louisville,2019,ean_pfeifer_louisville,False
Ean Pfeifer,SR,TE,10,7,101,14.43,2,0.7,10.1,louisville,2020,ean_pfeifer_louisville,False
Earl Bostick Jr.,FR,OL,10,1,8,8.00,1,0.1,0.8,kansas,2017,earl_bostick_jr._kansas,False
Earnest Crownover,JR,RB,12,1,25,25.00,0,0.1,2.1,texas_a&m,2022,earnest_crownover_texas_a&m,False
Earnest Crownover,SR,RB,13,2,21,10.50,2,0.2,1.6,texas_a&m,2023,earnest_crownover_texas_a&m,False
Earnest Patterson,JR,WR,9,10,96,9.60,0,1.1,10.7,louisiana-lafayette,2017,earnest_patterson_louisiana-lafayette,False
Earnest Patterson,SR,WR,14,12,212,17.67,1,0.9,15.1,louisiana-lafayette,2018,earnest_patterson_louisiana-lafayette,False
Easop Winston Jr.,JR,WR,13,52,654,12.58,8,4.0,50.3,washington_state,2018,easop_winston_jr._washington_state,False
Easop Winston Jr.,SR,WR,13,85,970,11.41,11,6.5,74.6,washington_state,2019,easop_winston_jr._washington_state,False
Easton Dean,FR,TE,12,1,25,25.00,0,0.1,2.1,iowa_state,2020,easton_dean_iowa_state,False
Easton Dean,SO,TE,13,1,18,18.00,0,0.1,1.4,iowa_state,2021,easton_dean_iowa_state,False
Easton Dean,JR,TE,12,10,129,12.90,2,0.8,10.8,iowa_state,2022,easton_dean_iowa_state,False
Easton Dean,SR,TE,13,16,171,10.69,3,1.2,13.2,iowa_state,2023,easton_dean_iowa_state,False
Easton Messer,FR,WR,3,1,44,44.00,1,0.3,14.7,western_kentucky,2022,easton_messer_western_kentucky,False
Easton Messer,FR,WR,13,42,484,11.52,4,3.2,37.2,western_kentucky,2023,easton_messer_western_kentucky,False
Easton Messer,SO,WR,6,26,342,13.15,2,4.3,57.0,western_kentucky,2024,easton_messer_western_kentucky,False
Ed Hendrix,SO,WR,6,3,24,8.00,0,0.5,4.0,syracuse,2020,ed_hendrix_syracuse,False
Eddie Daugherty,SO,WR,13,31,289,9.32,0,2.4,22.2,eastern_michigan,2016,eddie_daugherty_eastern_michigan,False
Eddie Daugherty,JR,WR,12,10,110,11.00,0,0.8,9.2,eastern_michigan,2017,eddie_daugherty_eastern_michigan,False
Eddie Daugherty IV,SR,WR,10,3,32,10.67,0,0.3,3.2,eastern_michigan,2019,eddie_daugherty_iv_eastern_michigan,False
Eddie Lewis,FR,WR,12,24,173,7.21,0,2.0,14.4,rutgers,2018,eddie_lewis_rutgers,False
Eddie Lewis,SO,WR,4,6,36,6.00,1,1.5,9.0,rutgers,2019,eddie_lewis_rutgers,True
Eddie Lewis,JR,WR,12,22,349,15.86,4,1.8,29.1,memphis,2021,eddie_lewis_memphis,False
Eddie Lewis,SR,WR,13,42,615,14.64,7,3.2,47.3,memphis,2022,eddie_lewis_memphis,True
Eddie Lewis,SR,WR,8,9,120,13.33,0,1.1,15.0,south_carolina,2023,eddie_lewis_south_carolina,False
Eddie McDoom,FR,WR,13,5,59,11.80,0,0.4,4.5,michigan,2016,eddie_mcdoom_michigan,False
Eddie McDoom,SO,WR,12,11,81,7.36,0,0.9,6.8,michigan,2017,eddie_mcdoom_michigan,True
Eddie McDoom,JR,WR,12,13,174,13.38,0,1.1,14.5,south_florida,2019,eddie_mcdoom_south_florida,False
Eddie Sinegal,FR,WR,12,29,338,11.66,0,2.4,28.2,utep,2016,eddie_sinegal_utep,False
Eddie Sinegal,SO,WR,8,17,144,8.47,0,2.1,18.0,utep,2017,eddie_sinegal_utep,False
Edgar Poe,SR,WR,10,16,336,21.00,3,1.6,33.6,army,2016,edgar_poe_army,False
Edward Pope,SR,WR,13,4,74,18.50,0,0.3,5.7,texas_a&m,2016,edward_pope_texas_a&m,False
Edward Saydee,FR,RB,11,14,135,9.64,0,1.3,12.3,temple,2021,edward_saydee_temple,False
Edward Saydee,SO,RB,12,36,262,7.28,0,3.0,21.8,temple,2022,edward_saydee_temple,False
Edward Saydee,SR,RB,12,18,164,9.11,2,1.5,13.7,temple,2023,edward_saydee_temple,False
Edwin Carter,FR,WR,1,2,34,17.00,2,2.0,34.0,illinois,2018,edwin_carter_illinois,False
Eian Pugh,SO,WR,3,1,9,9.0,0,0.3,3.0,ohio,2024,eian_pugh_ohio,False
Eldridge Massington,JR,WR,9,20,285,14.25,0,2.2,31.7,ucla,2016,eldridge_massington_ucla,False
Eldridge Massington,SR,WR,13,9,111,12.33,2,0.7,8.5,ucla,2017,eldridge_massington_ucla,False
Elelyon Noa,FR,RB,6,3,15,5.00,0,0.5,2.5,utah_state,2020,elelyon_noa_utah_state,False
Elelyon Noa,SO,RB,14,11,85,7.73,0,0.8,6.1,utah_state,2021,elelyon_noa_utah_state,True
Elelyon Noa,JR,RB,12,2,16,8.00,0,0.2,1.3,boise_state,2022,elelyon_noa_boise_state,False
Eli Anderson,SO,RB,2,2,16,8.00,0,1.0,8.0,new_mexico_state,2019,eli_anderson_new_mexico_state,False
Eli Finley,FR,TE,10,2,10,5.00,0,0.2,1.0,louisiana_tech,2023,eli_finley_louisiana_tech,False
Eli Finley,SO,TE,5,11,170,15.45,1,2.2,34.0,louisiana_tech,2024,eli_finley_louisiana_tech,False
Eli Green,JR,WR,5,4,44,11.0,0,0.8,8.8,iowa_state,2024,eli_green_iowa_state,False
Eli Heidenreich,SO,SB,12,19,382,20.11,4,1.6,31.8,navy,2023,eli_heidenreich_navy,False
Eli Heidenreich,JR,SB,5,20,449,22.45,5,4.0,89.8,navy,2024,eli_heidenreich_navy,False
Eli Pancol,FR,WR,12,6,91,15.17,3,0.5,7.6,duke,2019,eli_pancol_duke,False
Eli Pancol,SO,WR,11,24,241,10.04,1,2.2,21.9,duke,2020,eli_pancol_duke,False
Eli Pancol,JR,WR,12,17,233,13.71,1,1.4,19.4,duke,2021,eli_pancol_duke,False
Eli Pancol,SR,WR,9,23,347,15.09,0,2.6,38.6,duke,2022,eli_pancol_duke,False
Eli Pancol,SR,WR,6,23,294,12.78,5,3.8,49.0,duke,2024,eli_pancol_duke,False
Eli Raridon,SO,TE,7,5,51,10.20,1,0.7,7.3,notre_dame,2023,eli_raridon_notre_dame,False
Eli Raridon,JR,TE,5,4,36,9.0,0,0.8,7.2,notre_dame,2024,eli_raridon_notre_dame,False
Eli Sanders,FR,RB,4,3,41,13.67,0,0.8,10.3,iowa_state,2021,eli_sanders_iowa_state,False
Eli Sanders,FR,RB,8,7,51,7.29,0,0.9,6.4,iowa_state,2022,eli_sanders_iowa_state,False
Eli Sanders,SO,RB,9,5,43,8.60,1,0.6,4.8,iowa_state,2023,eli_sanders_iowa_state,True
Eli Sanders,JR,RB,5,5,48,9.6,0,1.0,9.6,new_mexico,2024,eli_sanders_new_mexico,False
Eli Stove,FR,WR,12,23,224,9.74,0,1.9,18.7,auburn,2016,eli_stove_auburn,False
Eli Stove,SO,WR,14,29,265,9.14,0,2.1,18.9,auburn,2017,eli_stove_auburn,False
Eli Stove,JR,WR,4,3,17,5.67,0,0.8,4.3,auburn,2018,eli_stove_auburn,False
Eli Stove,JR,WR,13,37,321,8.68,3,2.8,24.7,auburn,2019,eli_stove_auburn,False
Eli Stove,SR,WR,10,44,359,8.16,3,4.4,35.9,auburn,2020,eli_stove_auburn,False
Eli Stowers,SO,QB,15,35,366,10.46,2,2.3,24.4,new_mexico_state,2023,eli_stowers_new_mexico_state,True
Eli Stowers,SR,TE,5,25,333,13.32,1,5.0,66.6,vanderbilt,2024,eli_stowers_vanderbilt,False
Eli Wilson,FR,TE,4,1,2,2.00,0,0.3,0.5,appalachian_state,2020,eli_wilson_appalachian_state,False
Eli Wilson,FR,TE,11,8,48,6.00,1,0.7,4.4,appalachian_state,2021,eli_wilson_appalachian_state,False
Eli Wilson,SO,TE,12,10,82,8.20,1,0.8,6.8,appalachian_state,2022,eli_wilson_appalachian_state,False
Eli Wilson,JR,TE,14,34,350,10.29,5,2.4,25.0,appalachian_state,2023,eli_wilson_appalachian_state,False
Eli Wilson,SR,TE,5,11,137,12.45,2,2.2,27.4,appalachian_state,2024,eli_wilson_appalachian_state,False
Eli Wolf,FR,TE,6,1,8,8.00,0,0.2,1.3,tennessee,2016,eli_wolf_tennessee,False
Eli Wolf,SO,TE,9,3,48,16.00,0,0.3,5.3,tennessee,2017,eli_wolf_tennessee,False
Eli Wolf,JR,TE,12,5,30,6.00,1,0.4,2.5,tennessee,2018,eli_wolf_tennessee,True
Eli Wolf,SR,TE,14,13,194,14.92,1,0.9,13.9,georgia,2019,eli_wolf_georgia,False
Eli Wood,JR,WR,4,2,9,4.5,0,0.5,2.3,virginia,2024,eli_wood_virginia,False
Elic Ayomanor,FR,WR,12,62,1013,16.34,6,5.2,84.4,stanford,2023,elic_ayomanor_stanford,False
Elic Ayomanor,SO,WR,5,24,317,13.21,3,4.8,63.4,stanford,2024,elic_ayomanor_stanford,False
Elija Lofton,FR,TE,6,8,133,16.63,1,1.3,22.2,miami_florida,2024,elija_lofton_miami_florida,False
Elija Walton,FR,TE,2,1,7,7.00,0,0.5,3.5,georgia_southern,2023,elija_walton_georgia_southern,False
Elijah Arroyo,FR,TE,12,5,86,17.20,1,0.4,7.2,miami_florida,2021,elijah_arroyo_miami_florida,False
Elijah Arroyo,SO,TE,5,5,66,13.20,0,1.0,13.2,miami_florida,2022,elijah_arroyo_miami_florida,False
Elijah Arroyo,SO,TE,6,1,11,11.00,0,0.2,1.8,miami_florida,2023,elijah_arroyo_miami_florida,False
Elijah Arroyo,JR,TE,6,14,286,20.43,4,2.3,47.7,miami_florida,2024,elijah_arroyo_miami_florida,False
Elijah Ball,FR,WR,14,16,212,13.25,2,1.1,15.1,ohio,2016,elijah_ball_ohio,False
Elijah Barnwell,SO,RB,11,1,8,8.00,0,0.1,0.7,rutgers,2019,elijah_barnwell_rutgers,False
Elijah Boyd,JR,TE,5,1,3,3.0,0,0.2,0.6,bowling_green,2024,elijah_boyd_bowling_green,False
Elijah Canion,FR,WR,2,3,80,26.67,1,1.5,40.0,auburn,2020,elijah_canion_auburn,False
Elijah Canion,SO,WR,4,4,46,11.50,0,1.0,11.5,auburn,2021,elijah_canion_auburn,True
Elijah Canion,JR,WR,3,1,4,4.00,0,0.3,1.3,purdue,2023,elijah_canion_purdue,True
Elijah Canion,JR,WR,5,7,130,18.57,1,1.4,26.0,liberty,2024,elijah_canion_liberty,False
Elijah Collins,FR,RB,13,15,99,6.60,0,1.2,7.6,michigan_state,2019,elijah_collins_michigan_state,False
Elijah Collins,SO,RB,7,4,34,8.50,0,0.6,4.9,michigan_state,2020,elijah_collins_michigan_state,False
Elijah Collins,JR,RB,7,3,34,11.33,1,0.4,4.9,michigan_state,2021,elijah_collins_michigan_state,False
Elijah Collins,SR,RB,12,14,93,6.64,0,1.2,7.8,michigan_state,2022,elijah_collins_michigan_state,True
Elijah Collins,SR,RB,10,2,19,9.50,0,0.2,1.9,oklahoma_state,2023,elijah_collins_oklahoma_state,False
Elijah Cooks,FR,WR,9,2,23,11.50,0,0.2,2.6,nevada,2017,elijah_cooks_nevada,False
Elijah Cooks,SO,WR,13,22,348,15.82,6,1.7,26.8,nevada,2018,elijah_cooks_nevada,False
Elijah Cooks,JR,WR,13,76,926,12.18,8,5.8,71.2,nevada,2019,elijah_cooks_nevada,False
Elijah Cooks,SR,WR,1,2,24,12.00,0,2.0,24.0,nevada,2020,elijah_cooks_nevada,False
Elijah Cooks,SR,WR,4,13,157,12.08,4,3.3,39.3,nevada,2021,elijah_cooks_nevada,True
Elijah Cooks,SR,WR,12,69,1076,15.59,10,5.8,89.7,san_jose_state,2022,elijah_cooks_san_jose_state,False
Elijah Dale,SR,RB,14,3,32,10.67,2,0.2,2.3,hawai'i,2018,elijah_dale_hawai'i,False
Elijah Davis,SO,RB,13,7,27,3.86,0,0.5,2.1,old_dominion,2021,elijah_davis_old_dominion,True
Elijah Davis,FR,RB,5,1,4,4.00,0,0.2,0.8,louisiana-lafayette,2023,elijah_davis_louisiana-lafayette,False
Elijah Downing,FR,WR,2,1,9,9.00,0,0.5,4.5,louisville,2021,elijah_downing_louisville,False
Elijah Downing,FR,WR,5,1,7,7.00,0,0.2,1.4,louisville,2022,elijah_downing_louisville,False
Elijah Downing,SO,WR,2,1,7,7.00,0,0.5,3.5,louisville,2023,elijah_downing_louisville,False
Elijah Gilliam,JR,RB,13,11,120,10.91,1,0.8,9.2,fresno_state,2023,elijah_gilliam_fresno_state,False
Elijah Gilliam,SR,RB,5,9,44,4.89,0,1.8,8.8,fresno_state,2024,elijah_gilliam_fresno_state,False
Elijah Green,SO,RB,14,17,107,6.29,1,1.2,7.6,north_carolina,2022,elijah_green_north_carolina,False
Elijah Higgins,SO,WR,6,15,176,11.73,0,2.5,29.3,stanford,2020,elijah_higgins_stanford,False
Elijah Higgins,JR,WR,10,45,500,11.11,4,4.5,50.0,stanford,2021,elijah_higgins_stanford,False
Elijah Higgins,SR,WR,12,59,704,11.93,2,4.9,58.7,stanford,2022,elijah_higgins_stanford,False
Elijah Holyfield,FR,RB,5,1,19,19.00,0,0.2,3.8,georgia,2016,elijah_holyfield_georgia,False
Elijah Holyfield,SO,TB,13,1,4,4.00,0,0.1,0.3,georgia,2017,elijah_holyfield_georgia,False
Elijah Holyfield,JR,TB,14,5,40,8.00,0,0.4,2.9,georgia,2018,elijah_holyfield_georgia,False
Elijah Hood,JR,TB,11,25,142,5.68,0,2.3,12.9,north_carolina,2016,elijah_hood_north_carolina,False
Elijah Jackson,FR,RB,5,2,7,3.5,0,0.4,1.4,purdue,2024,elijah_jackson_purdue,False
Elijah Jackson-Anderson,SO,RB,12,1,28,28.00,1,0.1,2.3,eastern_michigan,2023,elijah_jackson-anderson_eastern_michigan,False
Elijah Jackson-Anderson,JR,RB,5,1,24,24.0,1,0.2,4.8,eastern_michigan,2024,elijah_jackson-anderson_eastern_michigan,False
Elijah Jeffreys,FR,WR,10,11,143,13.00,1,1.1,14.3,connecticut,2019,elijah_jeffreys_connecticut,False
Elijah King,JR,WR,11,28,453,16.18,2,2.5,41.2,texas_state,2016,elijah_king_texas_state,False
Elijah King,SR,WR,12,52,750,14.42,3,4.3,62.5,texas_state,2017,elijah_king_texas_state,False
Elijah Klein,SO,OL,8,0,4,-,0,0.0,0.5,utep,2020,elijah_klein_utep,False
Elijah Kothe,FR,WR,12,7,78,11.14,0,0.6,6.5,san_diego_state,2018,elijah_kothe_san_diego_state,False
Elijah Kothe,SO,WR,9,17,179,10.53,0,1.9,19.9,san_diego_state,2019,elijah_kothe_san_diego_state,False
Elijah Kothe,JR,WR,7,7,111,15.86,1,1.0,15.9,san_diego_state,2020,elijah_kothe_san_diego_state,False
Elijah Kothe,SR,WR,14,31,418,13.48,1,2.2,29.9,san_diego_state,2021,elijah_kothe_san_diego_state,False
Elijah Lilly,JR,WR,12,21,375,17.86,5,1.8,31.3,new_mexico,2018,elijah_lilly_new_mexico,False
Elijah Lilly,SR,WR,3,7,95,13.57,0,2.3,31.7,new_mexico,2019,elijah_lilly_new_mexico,False
Elijah McGuire,SR,RB,13,29,238,8.21,2,2.2,18.3,louisiana-lafayette,2016,elijah_mcguire_louisiana-lafayette,False
Elijah McIntyre,FR,WR,3,2,22,11.00,0,0.7,7.3,north_texas,2016,elijah_mcintyre_north_texas,False
Elijah Metcalf,FR,WR,5,4,52,13.00,0,0.8,10.4,middle_tennessee,2021,elijah_metcalf_middle_tennessee,False
Elijah Metcalf,FR,WR,13,26,309,11.88,2,2.0,23.8,middle_tennessee,2022,elijah_metcalf_middle_tennessee,False
Elijah Metcalf,SO,WR,12,54,634,11.74,5,4.5,52.8,middle_tennessee,2023,elijah_metcalf_middle_tennessee,True
Elijah Metcalf,JR,WR,5,20,194,9.7,3,4.0,38.8,marshall,2024,elijah_metcalf_marshall,False
Elijah Mitchell,FR,RB,5,3,25,8.33,1,0.6,5.0,louisiana-lafayette,2017,elijah_mitchell_louisiana-lafayette,False
Elijah Mitchell,SO,RB,14,20,349,17.45,3,1.4,24.9,louisiana-lafayette,2018,elijah_mitchell_louisiana-lafayette,False
Elijah Mitchell,JR,RB,14,10,70,7.00,1,0.7,5.0,louisiana-lafayette,2019,elijah_mitchell_louisiana-lafayette,False
Elijah Mitchell,SR,RB,10,16,153,9.56,0,1.6,15.3,louisiana-lafayette,2020,elijah_mitchell_louisiana-lafayette,False
Elijah Mojarro,SO,TE,10,3,12,4.00,0,0.3,1.2,california,2021,elijah_mojarro_california,False
Elijah Mojarro,JR,TE,11,8,78,9.75,0,0.7,7.1,california,2022,elijah_mojarro_california,True
Elijah Mojarro,SR,TE,10,5,52,10.40,0,0.5,5.2,rice,2023,elijah_mojarro_rice,False
Elijah Mojarro,SR,TE,4,5,77,15.4,1,1.3,19.3,rice,2024,elijah_mojarro_rice,False
Elijah Moore,FR,WR,12,36,398,11.06,2,3.0,33.2,mississippi,2018,elijah_moore_mississippi,False
Elijah Moore,SO,WR,12,67,850,12.69,6,5.6,70.8,mississippi,2019,elijah_moore_mississippi,False
Elijah Moore,JR,WR,8,86,1193,13.87,8,10.8,149.1,mississippi,2020,elijah_moore_mississippi,False
Elijah Queen,SO,WR,10,4,56,14.00,0,0.4,5.6,new_mexico,2021,elijah_queen_new_mexico,False
Elijah Queen,JR,TE,12,10,96,9.60,0,0.8,8.0,new_mexico,2022,elijah_queen_new_mexico,False
Elijah Robinson,SR,WR,12,3,35,11.67,0,0.3,2.9,boston_college,2019,elijah_robinson_boston_college,True
Elijah Rogers,JR,TE,12,4,33,8.25,0,0.3,2.8,texas_state,2017,elijah_rogers_texas_state,False
Elijah Rogers,SR,TE,12,5,36,7.20,0,0.4,3.0,texas_state,2018,elijah_rogers_texas_state,False
Elijah Sarratt,SO,WR,13,82,1191,14.52,8,6.3,91.6,james_madison,2023,elijah_sarratt_james_madison,True
Elijah Sarratt,JR,WR,6,29,513,17.69,2,4.8,85.5,indiana,2024,elijah_sarratt_indiana,False
Elijah Smoot,SR,WR,12,11,221,20.09,2,0.9,18.4,liberty,2023,elijah_smoot_liberty,False
Elijah Sohn,JR,TE,9,15,159,10.60,2,1.7,17.7,sam_houston_state,2023,elijah_sohn_sam_houston_state,False
Elijah Sohn,SR,TE,6,5,40,8.0,0,0.8,6.7,sam_houston_state,2024,elijah_sohn_sam_houston_state,False
Elijah Spencer,FR,WR,12,28,381,13.61,6,2.3,31.8,charlotte,2021,elijah_spencer_charlotte,False
Elijah Spencer,SO,WR,12,57,943,16.54,9,4.8,78.6,charlotte,2022,elijah_spencer_charlotte,True
Elijah Spencer,JR,WR,13,9,65,7.22,3,0.7,5.0,minnesota,2023,elijah_spencer_minnesota,False
Elijah Spencer,SR,WR,6,19,230,12.11,1,3.2,38.3,minnesota,2024,elijah_spencer_minnesota,False
Elijah St. Hilaire,SR,RB,12,1,19,19.00,0,0.1,1.6,army,2016,elijah_st._hilaire_army,False
Elijah Trosclair,FR,WR,8,2,69,34.50,1,0.3,8.6,unlv,2016,elijah_trosclair_unlv,False
Elijah Wellman,JR,TE,13,2,8,4.00,0,0.2,0.6,west_virginia,2016,elijah_wellman_west_virginia,False
Elijah Wellman,SR,TE,13,5,36,7.20,0,0.4,2.8,west_virginia,2017,elijah_wellman_west_virginia,False
Elijah Wright,SO,DL,11,1,4,4.00,0,0.1,0.4,syracuse,2023,elijah_wright_syracuse,False
Elijah Young,SO,RB,12,11,64,5.82,1,0.9,5.3,missouri,2021,elijah_young_missouri,False
Elijah Young,JR,RB,9,8,39,4.88,0,0.9,4.3,missouri,2022,elijah_young_missouri,True
Elijah Young,JR,RB,13,20,247,12.35,3,1.5,19.0,western_kentucky,2023,elijah_young_western_kentucky,False
Elijah Young,SR,RB,6,21,166,7.9,0,3.5,27.7,western_kentucky,2024,elijah_young_western_kentucky,False
Elijhah Badger,FR,WR,11,7,61,8.71,0,0.6,5.5,arizona_state,2021,elijhah_badger_arizona_state,False
Elijhah Badger,SO,WR,12,70,866,12.37,7,5.8,72.2,arizona_state,2022,elijhah_badger_arizona_state,False
Elijhah Badger,JR,WR,11,65,713,10.97,3,5.9,64.8,arizona_state,2023,elijhah_badger_arizona_state,True
Elijhah Badger,SR,WR,5,17,346,20.35,2,3.4,69.2,florida,2024,elijhah_badger_florida,False
Elkanah Dillon,SO,TE,11,8,177,22.13,2,0.7,16.1,south_florida,2016,elkanah_dillon_south_florida,False
Elkanah Dillon,JR,TE,12,11,119,10.82,0,0.9,9.9,south_florida,2017,elkanah_dillon_south_florida,False
Ellijah Gardiner,SO,WR,4,1,10,10.00,0,0.3,2.5,ohio_state,2019,ellijah_gardiner_ohio_state,False
Ellis Jefferson,JR,WR,11,2,21,10.50,0,0.2,1.9,arizona_state,2016,ellis_jefferson_arizona_state,True
Ellis Jefferson,SR,WR,5,3,32,10.67,1,0.6,6.4,houston,2017,ellis_jefferson_houston,False
Ellis Merriweather,JR,RB,4,1,4,4.00,0,0.3,1.0,massachusetts,2020,ellis_merriweather_massachusetts,False
Ellis Merriweather,JR,RB,12,22,165,7.50,1,1.8,13.8,massachusetts,2021,ellis_merriweather_massachusetts,False
Ellis Merriweather,SR,RB,10,8,48,6.00,0,0.8,4.8,massachusetts,2022,ellis_merriweather_massachusetts,False
Ellis Richardson,JR,HB,12,9,185,20.56,3,0.8,15.4,georgia_southern,2017,ellis_richardson_georgia_southern,False
Ellis Richardson,SR,TE,10,10,81,8.10,2,1.0,8.1,georgia_southern,2018,ellis_richardson_georgia_southern,False
"Elroy Masters, Jr.",JR,WR,12,7,108,15.43,1,0.6,9.0,colorado_state,2016,"elroy_masters,_jr._colorado_state",False
Eltoro Allen,JR,RB,9,8,61,7.63,0,0.9,6.8,utah_state,2017,eltoro_allen_utah_state,False
Eltoro Allen,SR,RB,9,4,34,8.50,0,0.4,3.8,utah_state,2018,eltoro_allen_utah_state,False
Emani Bailey,FR,RB,11,15,153,10.20,0,1.4,13.9,louisiana-lafayette,2021,emani_bailey_louisiana-lafayette,True
Emani Bailey,JR,RB,12,7,43,6.14,0,0.6,3.6,tcu,2022,emani_bailey_tcu,False
Emani Bailey,JR,RB,12,25,184,7.36,1,2.1,15.3,tcu,2023,emani_bailey_tcu,False
Emanuel Byrd,SR,TE,11,26,242,9.31,3,2.4,22.0,marshall,2016,emanuel_byrd_marshall,False
Emanuel Hall,SO,WR,11,19,307,16.16,2,1.7,27.9,missouri,2016,emanuel_hall_missouri,False
Emanuel Hall,JR,WR,13,33,817,24.76,8,2.5,62.8,missouri,2017,emanuel_hall_missouri,False
Emanuel Hall,SR,WR,9,37,828,22.38,6,4.1,92.0,missouri,2018,emanuel_hall_missouri,False
Emanuel Porter,JR,WR,10,15,245,16.33,0,1.5,24.5,tcu,2016,emanuel_porter_tcu,False
Emanuel Porter,SR,WR,10,2,14,7.00,1,0.2,1.4,tcu,2017,emanuel_porter_tcu,False
Emanuel Thompson,JR,WR,13,80,820,10.25,6,6.2,63.1,troy,2016,emanuel_thompson_troy,False
Emanuel Thompson,SR,WR,12,38,420,11.05,0,3.2,35.0,troy,2017,emanuel_thompson_troy,False
Emari Demercado,SO,RB,13,5,8,1.60,0,0.4,0.6,tcu,2018,emari_demercado_tcu,False
Emari Demercado,JR,RB,8,10,110,11.00,0,1.3,13.8,tcu,2020,emari_demercado_tcu,False
Emari Demercado,SR,RB,11,12,94,7.83,0,1.1,8.5,tcu,2021,emari_demercado_tcu,False
Emari Demercado,SR,RB,15,13,65,5.00,1,0.9,4.3,tcu,2022,emari_demercado_tcu,False
Emari White,SO,WR,11,8,132,16.50,0,0.7,12.0,utep,2023,emari_white_utep,False
Emari White,JR,WR,6,4,21,5.25,0,0.7,3.5,utep,2024,emari_white_utep,False
Emeka Egbuka,FR,WR,11,9,191,21.22,0,0.8,17.4,ohio_state,2021,emeka_egbuka_ohio_state,False
Emeka Egbuka,SO,WR,13,74,1151,15.55,10,5.7,88.5,ohio_state,2022,emeka_egbuka_ohio_state,False
Emeka Egbuka,JR,WR,10,41,515,12.56,4,4.1,51.5,ohio_state,2023,emeka_egbuka_ohio_state,False
Emeka Egbuka,SR,WR,5,30,433,14.43,5,6.0,86.6,ohio_state,2024,emeka_egbuka_ohio_state,False
Emeka Emezie,FR,WR,13,13,163,12.54,1,1.0,12.5,north_carolina_state,2017,emeka_emezie_north_carolina_state,False
Emeka Emezie,SO,WR,13,53,616,11.62,5,4.1,47.4,north_carolina_state,2018,emeka_emezie_north_carolina_state,False
Emeka Emezie,JR,WR,12,56,576,10.29,2,4.7,48.0,north_carolina_state,2019,emeka_emezie_north_carolina_state,False
Emeka Emezie,SR,WR,12,47,738,15.70,5,3.9,61.5,north_carolina_state,2020,emeka_emezie_north_carolina_state,False
Emeka Emezie,SR,WR,12,60,802,13.37,6,5.0,66.8,north_carolina_state,2021,emeka_emezie_north_carolina_state,False
Emery Simmons,FR,WR,11,4,72,18.00,1,0.4,6.5,north_carolina,2019,emery_simmons_north_carolina,False
Emery Simmons,SO,WR,11,15,201,13.40,1,1.4,18.3,north_carolina,2020,emery_simmons_north_carolina,False
Emery Simmons,JR,WR,7,11,243,22.09,1,1.6,34.7,north_carolina,2021,emery_simmons_north_carolina,True
Emery Simmons,SR,WR,12,37,408,11.03,1,3.1,34.0,indiana,2022,emery_simmons_indiana,True
Emery Simmons,SR,WR,10,1,2,2.00,0,0.1,0.2,utah,2023,emery_simmons_utah,False
Emiere Scaife,JR,TE,6,1,5,5.00,0,0.2,0.8,georgia_state,2017,emiere_scaife_georgia_state,False
Emil Smith,FR,WR,12,4,40,10.00,0,0.3,3.3,georgia_southern,2020,emil_smith_georgia_southern,False
Emil Smith,SO,WR,5,4,40,10.00,0,0.8,8.0,georgia_southern,2021,emil_smith_georgia_southern,False
