name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name,season,player_id,transfer
Andrew Smith,JR,WR,3,2,2,1.00,0,0.67,0.67,air_force,2017,andrew_smith_air_force,False
Andrew Smith,SR,WR,12,5,29,5.80,0,0.42,2.42,air_force,2018,andrew_smith_air_force,False
Andrew Stefanelli,SR,RB,13,1,1,1.00,1,0.08,0.08,maryland,2016,andrew_stefanelli_maryland,False
Andrew Stokes,SO,P,6,2,-35,-17.50,0,0.33,-5.83,south_florida,2022,andrew_stokes_south_florida,False
Andrew Strader,JR,RB,13,4,25,6.25,0,0.31,1.92,boston_college,2019,andrew_strader_boston_college,False
Andrew Tucker,JR,RB,11,20,153,7.65,2,1.82,13.91,north_texas,2016,andrew_tucker_north_texas,False
Andrew Tucker,SR,RB,13,18,88,4.89,2,1.38,6.77,north_texas,2017,andrew_tucker_north_texas,False
Andrew Van Buren,FR,RB,12,34,163,4.79,2,2.83,13.58,boise_state,2018,andrew_van_buren_boise_state,False
Andrew Van Buren,SO,RB,14,62,265,4.27,2,4.43,18.93,boise_state,2019,andrew_van_buren_boise_state,False
Andrew Van Buren,JR,RB,7,111,382,3.44,8,15.86,54.57,boise_state,2020,andrew_van_buren_boise_state,False
Andrew Van Buren,SR,RB,12,72,217,3.01,9,6.00,18.08,boise_state,2021,andrew_van_buren_boise_state,False
Andrew Zuckerman,FR,RB,3,4,26,6.50,0,1.33,8.67,tulane,2016,andrew_zuckerman_tulane,False
Andrew Zuckerman,SO,RB,2,2,4,2.00,0,1.00,2.00,tulane,2017,andrew_zuckerman_tulane,False
Andrew Zuckerman,JR,WR,2,1,-3,-3.00,0,0.50,-1.50,tulane,2019,andrew_zuckerman_tulane,False
Andy Alfieri,SO,FB,1,2,4,2.00,0,2.00,4.00,california,2023,andy_alfieri_california,False
Andy Davidson,SO,RB,13,190,961,5.06,12,14.62,73.92,army,2016,andy_davidson_army,False
Andy Davidson,JR,RB,13,116,627,5.41,5,8.92,48.23,army,2017,andy_davidson_army,False
Andy Davidson,SR,RB,13,69,330,4.78,2,5.31,25.38,army,2018,andy_davidson_army,False
Andy Isabella,SO,WR,12,12,100,8.33,0,1.00,8.33,massachusetts,2016,andy_isabella_massachusetts,False
Andy Isabella,JR,WR,12,14,135,9.64,1,1.17,11.25,massachusetts,2017,andy_isabella_massachusetts,False
Andy Isabella,SR,WR,12,11,79,7.18,1,0.92,6.58,massachusetts,2018,andy_isabella_massachusetts,False
Andy Peters,FR,QB,1,1,1,1.00,0,1.00,1.00,boise_state,2020,andy_peters_boise_state,False
Andy Vujnovich,SR,P,13,1,13,13.00,0,0.08,1.00,wisconsin,2022,andy_vujnovich_wisconsin,False
Aneyas Williams,FR,RB,4,6,36,6.00,0,1.50,9.00,notre_dame,2024,aneyas_williams_notre_dame,False
