name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name,season,player_id,transfer
A'Jon Vivens,SO,WR,4,210,0,49,210,4.29,52.5,colorado_state,2020,a'jon_vivens_colorado_state,False
A'Jon Vivens,JR,RB,9,324,0,90,324,3.60,36.0,colorado_state,2021,a'jon_vivens_colorado_state,False
A'Jon Vivens,SR,RB,5,104,0,39,104,2.67,20.8,colorado_state,2022,a'jon_vivens_colorado_state,False
A'Marion Peterson,FR,RB,2,14,0,2,14,7.00,7.0,usc,2023,a'marion_peterson_usc,False
A'Marion Peterson,FR,RB,3,18,0,3,18,6.00,6.0,usc,2024,a'marion_peterson_usc,False
A'Varius Sparrow,FR,RB,5,10,0,3,10,3.33,2.0,west_virginia,2020,a'varius_sparrow_west_virginia,False
A'Varius Sparrow,FR,RB,2,4,0,3,4,1.33,2.0,west_virginia,2021,a'varius_sparrow_west_virginia,True
A'Varius Sparrow,FR,RB,3,18,0,8,18,2.25,6.0,middle_tennessee,2022,a'varius_sparrow_middle_tennessee,False
A.J. Carter,FR,RB,4,12,0,4,12,3.00,3.0,arizona_state,2018,a.j._carter_arizona_state,False
A.J. Carter,FR,RB,13,50,0,19,50,2.63,3.8,arizona_state,2019,a.j._carter_arizona_state,False
A.J. Cole III,SO,P,13,1,0,1,1,1.00,0.1,north_carolina_state,2016,a.j._cole_iii_north_carolina_state,False
A.J. Davis,FR,RB,9,40,0,16,40,2.50,4.4,pittsburgh,2017,a.j._davis_pittsburgh,False
A.J. Davis,SO,RB,10,134,0,32,134,4.19,13.4,pittsburgh,2018,a.j._davis_pittsburgh,False
A.J. Davis,JR,RB,11,530,0,127,530,4.17,48.2,pittsburgh,2019,a.j._davis_pittsburgh,False
A.J. Davis Jr.,SR,RB,10,266,0,61,266,4.36,26.6,pittsburgh,2020,a.j._davis_jr._pittsburgh,False
A.J. Davis Jr.,SR,RB,2,21,0,2,21,10.50,10.5,pittsburgh,2021,a.j._davis_jr._pittsburgh,False
A.J. Erdely,JR,QB,13,326,2331,460,2657,5.78,204.4,uab,2017,a.j._erdely_uab,False
A.J. Erdely,SR,QB,9,257,1539,282,1796,6.37,199.6,uab,2018,a.j._erdely_uab,False
A.J. Gates,SO,RB,3,24,0,7,24,3.43,8.0,uab,2021,a.j._gates_uab,False
A.J. Gates,JR,RB,9,13,0,11,13,1.18,1.4,uab,2022,a.j._gates_uab,False
A.J. Green,SR,CB,13,2,0,1,2,2.00,0.2,oklahoma_state,2019,a.j._green_oklahoma_state,False
A.J. Henning,FR,WR,6,15,0,3,15,5.00,2.5,michigan,2020,a.j._henning_michigan,False
A.J. Henning,SO,WR,14,162,0,9,162,18.00,11.6,michigan,2021,a.j._henning_michigan,False
A.J. Henning,JR,WR,13,9,0,3,9,3.00,0.7,michigan,2022,a.j._henning_michigan,True
A.J. Henning,SR,WR,12,110,0,27,110,4.07,9.2,northwestern,2023,a.j._henning_northwestern,False
A.J. Henning,SR,WR,5,8,0,2,8,4.00,1.6,northwestern,2024,a.j._henning_northwestern,False
A.J. Howard,SO,RB,6,28,0,2,28,14.00,4.7,army,2019,a.j._howard_army,False
A.J. Howard,JR,RB,12,75,0,15,75,5.00,6.3,army,2020,a.j._howard_army,False
A.J. Howard,SR,RB,13,106,0,20,106,5.30,8.2,army,2021,a.j._howard_army,False
A.J. Krawczyk,SO,WR,10,-6,0,1,-6,-6.00,-0.6,texas_state,2016,a.j._krawczyk_texas_state,False
A.J. Ouellette,JR,RB,1,45,0,3,45,15.00,45.0,ohio,2016,a.j._ouellette_ohio,False
A.J. Ouellette,JR,RB,13,1006,0,192,1006,5.24,77.4,ohio,2017,a.j._ouellette_ohio,False
A.J. Ouellette,SR,RB,13,1306,0,213,1306,6.13,100.5,ohio,2018,a.j._ouellette_ohio,False
A.J. Taylor,FR,WR,13,19,0,4,19,4.75,1.5,wisconsin,2016,a.j._taylor_wisconsin,False
A.J. Taylor,SO,WR,14,26,0,6,26,4.33,1.9,wisconsin,2017,a.j._taylor_wisconsin,False
A.J. Taylor,SR,WR,12,34,0,6,34,5.67,2.8,wisconsin,2019,a.j._taylor_wisconsin,False
A.J. Turner,FR,RB,12,497,0,116,497,4.28,41.4,south_carolina,2016,a.j._turner_south_carolina,False
A.J. Turner,SO,RB,13,531,0,98,531,5.42,40.8,south_carolina,2017,a.j._turner_south_carolina,False
A.J. Turner,JR,RB,12,294,0,46,294,6.39,24.5,south_carolina,2018,a.j._turner_south_carolina,False
A.J. Turner,SR,ATH,7,14,0,4,14,3.50,2.0,south_carolina,2019,a.j._turner_south_carolina,True
A.J. Turner,FR,RB,8,100,0,17,100,5.88,12.5,marshall,2022,a.j._turner_marshall,False
A.J. Turner,SO,RB,3,20,0,6,20,3.33,6.7,marshall,2023,a.j._turner_marshall,False
A.J. Turner,SO,RB,5,443,0,42,443,10.55,88.6,marshall,2024,a.j._turner_marshall,False
A.j. Davis IV,SO,WR,10,-3,0,2,-3,-1.50,-0.3,uab,2021,a.j._davis_iv_uab,False
AJ Bianco,FR,QB,8,183,614,124,797,6.43,99.6,nevada,2023,aj_bianco_nevada,False
AJ Bianco,SO,QB,2,0,42,3,42,14.00,21.0,nevada,2024,aj_bianco_nevada,False
AJ Brown,SO,RB,1,2,0,1,2,2.00,2.0,georgia_southern,2021,aj_brown_georgia_southern,False
AJ Brown,JR,RB,8,67,0,15,67,4.47,8.4,georgia_southern,2022,aj_brown_georgia_southern,False
AJ Bush,JR,QB,5,129,99,30,228,7.60,45.6,virginia_tech,2017,aj_bush_virginia_tech,False
AJ Bush Jr.,SR,QB,10,733,1413,355,2146,6.05,214.6,illinois,2018,aj_bush_jr._illinois,False
AJ DiNota,JR,RB,6,29,0,6,29,4.83,4.8,texas_a&m,2024,aj_dinota_texas_a&m,False
AJ Dillon,FR,RB,13,1589,0,300,1589,5.30,122.2,boston_college,2017,aj_dillon_boston_college,False
AJ Dillon,SO,RB,10,1108,0,227,1108,4.88,110.8,boston_college,2018,aj_dillon_boston_college,False
AJ Dillon,JR,RB,13,1685,0,318,1685,5.30,129.6,boston_college,2019,aj_dillon_boston_college,False
AJ Duffy,FR,QB,3,5,26,8,31,3.88,10.3,florida_state,2022,aj_duffy_florida_state,False
AJ Duffy,FR,QB,1,5,0,3,5,1.67,5.0,florida_state,2023,aj_duffy_florida_state,False
AJ Green,FR,RB,12,227,0,47,227,4.83,18.9,arkansas,2021,aj_green_arkansas,False
AJ Green,SO,RB,13,412,0,87,412,4.74,31.7,arkansas,2022,aj_green_arkansas,False
AJ Green,JR,RB,12,312,0,67,312,4.66,26.0,arkansas,2023,aj_green_arkansas,False
AJ Mayer,FR,QB,3,-11,0,3,-11,-3.67,-3.7,miami_ohio,2019,aj_mayer_miami_ohio,False
AJ Mayer,SO,QB,3,1,328,56,329,5.88,109.7,miami_ohio,2020,aj_mayer_miami_ohio,False
AJ Mayer,SO,QB,7,89,946,151,1035,6.85,147.9,miami_ohio,2021,aj_mayer_miami_ohio,True
AJ Mayer,JR,QB,9,169,214,71,383,5.39,42.6,arkansas_state,2022,aj_mayer_arkansas_state,False
AJ Newberry,FR,RB,4,96,0,20,96,4.80,24.0,vanderbilt,2023,aj_newberry_vanderbilt,False
AJ Newberry,SO,RB,5,129,0,23,129,5.61,25.8,vanderbilt,2024,aj_newberry_vanderbilt,False
AJ Padgett,FR,QB,3,14,634,107,648,6.06,216.0,rice,2022,aj_padgett_rice,False
AJ Padgett,FR,QB,6,14,721,149,735,4.93,122.5,rice,2023,aj_padgett_rice,False
AJ Phillips,FR,RB,10,45,0,11,45,4.09,4.5,south_alabama,2020,aj_phillips_south_alabama,False
AJ Phillips,FR,RB,8,76,0,25,76,3.04,9.5,south_alabama,2021,aj_phillips_south_alabama,False
AJ Swann,FR,QB,9,-76,1274,219,1198,5.47,133.1,vanderbilt,2022,aj_swann_vanderbilt,False
AJ Swann,SO,QB,6,16,1457,223,1473,6.61,245.5,vanderbilt,2023,aj_swann_vanderbilt,False
AJ Williams,SO,RB,1,33,0,2,33,16.50,33.0,army,2022,aj_williams_army,False
AJ Williams,SR,RB,3,9,0,2,9,4.50,3.0,army,2024,aj_williams_army,False
Aaren Vaughns,JR,WR,12,99,29,8,128,16.00,10.7,utah_state,2017,aaren_vaughns_utah_state,False
Aaren Vaughns,SR,WR,13,100,0,12,100,8.33,7.7,utah_state,2018,aaren_vaughns_utah_state,False
Aaron Allen,FR,QB,2,-6,47,8,41,5.13,20.5,louisiana_tech,2018,aaron_allen_louisiana_tech,False
Aaron Allen,FR,QB,6,3,446,88,449,5.10,74.8,louisiana_tech,2019,aaron_allen_louisiana_tech,False
Aaron Allen,SO,QB,10,-10,602,138,592,4.29,59.2,louisiana_tech,2020,aaron_allen_louisiana_tech,False
Aaron Allen,SO,QB,7,-6,620,89,614,6.90,87.7,louisiana_tech,2021,aaron_allen_louisiana_tech,False
Aaron Bedgood,FR,WR,5,60,0,4,60,15.00,12.0,coastal_carolina,2019,aaron_bedgood_coastal_carolina,False
Aaron Bedgood,SO,WR,13,4,0,1,4,4.00,0.3,coastal_carolina,2021,aaron_bedgood_coastal_carolina,False
Aaron Bedgood,JR,RB,5,45,0,8,45,5.63,9.0,coastal_carolina,2022,aaron_bedgood_coastal_carolina,True
Aaron Bedgood,SR,WR,14,552,0,58,552,9.52,39.4,liberty,2023,aaron_bedgood_liberty,False
Aaron Brewer,SO,C,12,7,0,1,7,7.00,0.6,texas_state,2017,aaron_brewer_texas_state,False
Aaron Duckworth,JR,RB,13,672,0,144,672,4.67,51.7,idaho,2016,aaron_duckworth_idaho,False
Aaron Duckworth,SR,RB,12,1025,0,193,1025,5.31,85.4,idaho,2017,aaron_duckworth_idaho,False
Aaron Dumas,FR,RB,11,658,0,136,658,4.84,59.8,new_mexico,2021,aaron_dumas_new_mexico,False
Aaron Fuller,FR,WR,14,4,0,2,4,2.00,0.3,washington,2016,aaron_fuller_washington,False
Aaron Fuller,JR,WR,14,0,22,1,22,22.00,1.6,washington,2018,aaron_fuller_washington,False
Aaron Fuller,SR,WR,13,0,0,1,0,0.00,0.0,washington,2019,aaron_fuller_washington,False
Aaron Hackett,JR,TE,12,3,0,1,3,3.00,0.3,syracuse,2019,aaron_hackett_syracuse,False
Aaron Jackson,SO,TE,4,0,0,1,0,0.00,0.0,eastern_michigan,2020,aaron_jackson_eastern_michigan,False
Aaron Jackson,SO,TE,6,27,0,6,27,4.50,4.5,eastern_michigan,2021,aaron_jackson_eastern_michigan,False
Aaron Jones,JR,RB,12,1773,3,230,1776,7.72,148.0,utep,2016,aaron_jones_utep,False
Aaron Mathews,SR,WR,13,-4,3,2,-1,-0.50,-0.1,pittsburgh,2019,aaron_mathews_pittsburgh,False
Aaron McAllister,FR,RB,12,458,0,90,458,5.09,38.2,charlotte,2017,aaron_mcallister_charlotte,False
Aaron McAllister,SO,RB,12,395,0,91,395,4.34,32.9,charlotte,2018,aaron_mcallister_charlotte,False
Aaron McAllister,JR,RB,11,380,0,81,380,4.69,34.5,charlotte,2019,aaron_mcallister_charlotte,False
Aaron McAllister,SR,RB,5,254,0,37,254,6.86,50.8,charlotte,2020,aaron_mcallister_charlotte,False
Aaron McLaughlin,FR,QB,2,0,0,1,0,0.00,0.0,north_carolina_state,2021,aaron_mclaughlin_north_carolina_state,False
Aaron Philo,FR,QB,1,0,49,5,49,9.80,49.0,georgia_tech,2024,aaron_philo_georgia_tech,False
Aaron Turner,FR,WR,12,22,0,1,22,22.00,1.8,connecticut,2021,aaron_turner_connecticut,False
Aaron Turner,SO,WR,13,53,0,14,53,3.79,4.1,connecticut,2022,aaron_turner_connecticut,True
Aaron Turner,JR,WR,12,97,0,11,97,8.82,8.1,cincinnati,2023,aaron_turner_cincinnati,False
Aaron Winchester,FR,QB,6,204,271,94,475,5.05,79.2,georgia_state,2016,aaron_winchester_georgia_state,False
Aaron Winchester,SO,QB,6,79,102,30,181,6.03,30.2,georgia_state,2017,aaron_winchester_georgia_state,False
Aaron Winchester,JR,QB,6,122,348,89,470,5.28,78.3,georgia_state,2018,aaron_winchester_georgia_state,False
Aaron Young,SR,WR,12,0,0,2,0,0.00,0.0,duke,2019,aaron_young_duke,True
Aaron Young,FR,RB,12,153,0,43,153,3.56,12.8,rutgers,2019,aaron_young_rutgers,True
Aaron Young,SO,RB,9,96,0,36,96,2.67,10.7,rutgers,2020,aaron_young_rutgers,True
Aaron Young,SO,RB,13,205,0,56,205,3.66,15.8,rutgers,2021,aaron_young_rutgers,False
Aaron Young,JR,RB,4,38,0,11,38,3.45,9.5,rutgers,2022,aaron_young_rutgers,False
Aaron Young,SR,RB,9,94,0,16,94,5.88,10.4,rutgers,2023,aaron_young_rutgers,True
Aaron Young,SR,RB,5,301,0,77,301,3.91,60.2,old_dominion,2024,aaron_young_old_dominion,False
Aaron Zwahlen,FR,QB,1,0,32,12,32,2.67,32.0,hawai'i,2016,aaron_zwahlen_hawai'i,False
Abdul Adams,FR,RB,7,283,0,53,283,5.34,40.4,oklahoma,2016,abdul_adams_oklahoma,False
Abdul Adams,SO,RB,12,542,0,59,542,9.19,45.2,oklahoma,2017,abdul_adams_oklahoma,True
Abdul Adams,JR,RB,1,19,0,8,19,2.38,19.0,syracuse,2018,abdul_adams_syracuse,False
Abdul Adams,JR,RB,11,336,0,87,336,3.86,30.5,syracuse,2019,abdul_adams_syracuse,False
Abdul Adams,SR,RB,11,56,0,13,56,4.31,5.1,syracuse,2021,abdul_adams_syracuse,False
Abdul-Fatai Ibrahim,SR,WR,13,6,0,3,6,2.00,0.5,bowling_green,2023,abdul-fatai_ibrahim_bowling_green,True
Abdul-Fatai Ibrahim,SR,WR,5,7,0,1,7,7.00,1.4,louisiana_tech,2024,abdul-fatai_ibrahim_louisiana_tech,False
Abdur-Rahmaan Yaseen,SO,WR,8,0,26,1,26,26.00,3.3,purdue,2022,abdur-rahmaan_yaseen_purdue,False
Abraham Alce,SO,FB,12,17,0,15,17,1.13,1.4,louisiana-monroe,2021,abraham_alce_louisiana-monroe,False
Abram Smith,FR,RB,6,11,0,4,11,2.75,1.8,baylor,2018,abram_smith_baylor,False
Abram Smith,SO,RB,14,35,0,8,35,4.38,2.5,baylor,2019,abram_smith_baylor,False
Abram Smith,SR,RB,14,1601,0,257,1601,6.23,114.4,baylor,2021,abram_smith_baylor,False
Abu Sama III,FR,RB,12,614,0,84,614,7.31,51.2,iowa_state,2023,abu_sama_iii_iowa_state,False
Abu Sama III,SO,RB,5,242,0,48,242,5.04,48.4,iowa_state,2024,abu_sama_iii_iowa_state,False
Aca'Cedric Ware,SO,TB,11,397,0,78,397,5.09,36.1,usc,2016,aca'cedric_ware_usc,False
Aca'Cedric Ware,JR,TB,14,247,0,49,247,5.04,17.6,usc,2017,aca'cedric_ware_usc,False
Aca'Cedric Ware,SR,TB,12,825,0,125,825,6.60,68.8,usc,2018,aca'cedric_ware_usc,False
Adam Barry,SO,P,13,0,0,1,0,0.00,0.0,temple,2019,adam_barry_temple,False
Adam Barry,JR,P,12,15,0,1,15,15.00,1.3,temple,2021,adam_barry_temple,False
Adam Choice,SO,RB,11,158,0,45,158,3.51,14.4,clemson,2016,adam_choice_clemson,False
Adam Choice,JR,RB,13,326,0,67,326,4.87,25.1,clemson,2017,adam_choice_clemson,False
Adam Choice,SR,RB,15,548,0,77,548,7.12,36.5,clemson,2018,adam_choice_clemson,False
Adam Cofield,SR,RB,14,374,0,81,374,4.62,26.7,western_kentucky,2021,adam_cofield_western_kentucky,False
Adam Dulka,SO,TE,12,1,0,1,1,1.00,0.1,kent_state,2018,adam_dulka_kent_state,False
Adam Korsak,SR,P,9,17,0,1,17,17.00,1.9,rutgers,2020,adam_korsak_rutgers,False
Adam Korsak,SR,P,13,-8,0,1,-8,-8.00,-0.6,rutgers,2021,adam_korsak_rutgers,False
Adam Krumholz,SR,WR,3,-8,0,1,-8,-8.00,-2.7,wisconsin,2020,adam_krumholz_wisconsin,False
Adam Mohammed,FR,RB,6,115,0,16,115,7.19,19.2,washington,2024,adam_mohammed_washington,False
Adam Nunez,FR,P,13,18,0,1,18,18.00,1.4,tcu,2016,adam_nunez_tcu,False
Adam Nunez,SO,P,14,1,0,1,1,1.00,0.1,tcu,2017,adam_nunez_tcu,False
Adam Prentice,SO,FB,13,2,0,1,2,2.00,0.2,colorado_state,2017,adam_prentice_colorado_state,False
Adam Prentice,SO,FB,12,62,0,16,62,3.88,5.2,colorado_state,2018,adam_prentice_colorado_state,False
Adam Prentice,JR,FB,12,1,0,1,1,1.00,0.1,colorado_state,2019,adam_prentice_colorado_state,True
Adam Williams,FR,P,14,0,0,1,0,0.00,0.0,memphis,2018,adam_williams_memphis,False
Adam Williams,SO,P,14,0,29,1,29,29.00,2.1,memphis,2019,adam_williams_memphis,False
Adarius Lemons,FR,RB,9,136,0,19,136,7.16,15.1,florida,2017,adarius_lemons_florida,False
Addai Lewellen,FR,RB,1,7,0,1,7,7.00,7.0,purdue,2022,addai_lewellen_purdue,False
Addai Lewellen,FR,RB,1,-2,0,1,-2,-2.00,-2.0,purdue,2023,addai_lewellen_purdue,False
Adonai Mitchell,JR,WR,14,1,0,2,1,0.50,0.1,texas,2023,adonai_mitchell_texas,False
Adonicas Sanders,SR,WR,9,22,0,6,22,3.67,2.4,temple,2022,adonicas_sanders_temple,False
Adonis Jennings,JR,WR,14,81,0,7,81,11.57,5.8,temple,2016,adonis_jennings_temple,False
Adonis Jennings,SR,WR,13,22,0,2,22,11.00,1.7,temple,2017,adonis_jennings_temple,False
Adoree' Jackson,JR,DB,13,51,0,7,51,7.29,3.9,usc,2016,adoree'_jackson_usc,False
Adrian Hardy,FR,WR,9,1,0,1,1,1.00,0.1,louisiana_tech,2017,adrian_hardy_louisiana_tech,False
Adrian Hardy,JR,WR,10,0,0,1,0,0.00,0.0,louisiana_tech,2019,adrian_hardy_louisiana_tech,False
Adrian Hardy,SR,WR,7,0,0,1,0,0.00,0.0,louisiana_tech,2020,adrian_hardy_louisiana_tech,False
Adrian Killins,FR,RB,13,325,0,50,325,6.50,25.0,ucf,2016,adrian_killins_ucf,False
Adrian Killins Jr.,SO,RB,13,790,0,122,790,6.48,60.8,ucf,2017,adrian_killins_jr._ucf,False
Adrian Killins Jr.,JR,RB,13,715,0,147,715,4.86,55.0,ucf,2018,adrian_killins_jr._ucf,False
Adrian Killins Jr.,SR,RB,12,629,0,87,629,7.23,52.4,ucf,2019,adrian_killins_jr._ucf,False
Adrian Magee,SR,OL,15,1,0,0,1,-,0.1,lsu,2019,adrian_magee_lsu,False
Adrian Martinez,FR,QB,11,629,2617,487,3246,6.67,295.1,nebraska,2018,adrian_martinez_nebraska,False
Adrian Martinez,SO,QB,10,626,1956,395,2582,6.54,258.2,nebraska,2019,adrian_martinez_nebraska,False
Adrian Martinez,JR,QB,7,521,1055,242,1576,6.51,225.1,nebraska,2020,adrian_martinez_nebraska,False
Adrian Martinez,JR,QB,11,525,2863,439,3388,7.72,308.0,nebraska,2021,adrian_martinez_nebraska,True
Adrian Martinez,SR,QB,10,627,1261,295,1888,6.40,188.8,kansas_state,2022,adrian_martinez_kansas_state,False
Adrian Murdaugh,SO,RB,8,121,0,26,121,4.65,15.1,sam_houston_state,2023,adrian_murdaugh_sam_houston_state,False
Aeris Williams,SO,RB,13,720,0,137,720,5.26,55.4,mississippi_state,2016,aeris_williams_mississippi_state,False
Aeris Williams,JR,RB,13,1107,0,236,1107,4.69,85.2,mississippi_state,2017,aeris_williams_mississippi_state,False
Aeris Williams,SR,RB,12,524,0,85,524,6.16,43.7,mississippi_state,2018,aeris_williams_mississippi_state,False
Ahki Muhammad,SO,WR,10,39,0,6,39,6.50,3.9,nevada,2016,ahki_muhammad_nevada,False
Ahkil Crumpton,SR,WR,11,12,0,1,12,12.00,1.1,georgia,2018,ahkil_crumpton_georgia,False
Ahmad Bradshaw,JR,QB,12,826,703,276,1529,5.54,127.4,army,2016,ahmad_bradshaw_army,False
Ahmad Bradshaw,SR,QB,13,1746,285,285,2031,7.13,156.2,army,2017,ahmad_bradshaw_army,False
Ahmad Edwards,SR,WR,12,12,0,2,12,6.00,1.0,ball_state,2023,ahmad_edwards_ball_state,False
Ahmad Hardy,FR,RB,5,379,0,84,379,4.51,75.8,louisiana-monroe,2024,ahmad_hardy_louisiana-monroe,False
Ahmad Haston,FR,QB,3,54,176,33,230,6.97,76.7,massachusetts,2023,ahmad_haston_massachusetts,False
Ahmani Marshall,FR,RB,2,18,0,6,18,3.00,9.0,wake_forest,2020,ahmani_marshall_wake_forest,False
Ahmani Marshall,FR,RB,10,103,0,23,103,4.48,10.3,wake_forest,2021,ahmani_marshall_wake_forest,True
Ahmani Marshall,SO,RB,11,389,0,76,389,5.12,35.4,appalachian_state,2022,ahmani_marshall_appalachian_state,False
Ahmani Marshall,JR,RB,14,65,0,20,65,3.25,4.6,appalachian_state,2023,ahmani_marshall_appalachian_state,False
Ahmani Marshall,SR,RB,5,114,0,28,114,4.07,22.8,appalachian_state,2024,ahmani_marshall_appalachian_state,False
Ahmarean Brown,FR,WR,12,2,0,1,2,2.00,0.2,georgia_tech,2019,ahmarean_brown_georgia_tech,False
Ahmarean Brown,SO,WR,7,-1,9,3,8,2.67,1.1,georgia_tech,2020,ahmarean_brown_georgia_tech,True
Ahmarean Brown,JR,WR,13,0,0,1,0,0.00,0.0,south_carolina,2021,ahmarean_brown_south_carolina,False
Ahmarean Brown,SR,WR,13,50,0,5,50,10.00,3.8,south_carolina,2022,ahmarean_brown_south_carolina,False
Ahmarean Brown,SR,WR,9,0,0,2,0,0.00,0.0,south_carolina,2023,ahmarean_brown_south_carolina,False
Ahmari Davis,JR,RB,8,185,0,51,185,3.63,23.1,new_mexico,2018,ahmari_davis_new_mexico,False
Ahmari Davis,SR,RB,9,832,0,140,832,5.94,92.4,new_mexico,2019,ahmari_davis_new_mexico,False
Ahmari Huggins-Bruce,FR,WR,12,15,0,2,15,7.50,1.3,louisville,2021,ahmari_huggins-bruce_louisville,False
Ahmari Huggins-Bruce,SO,WR,12,4,0,3,4,1.33,0.3,louisville,2022,ahmari_huggins-bruce_louisville,False
Ahmari Huggins-Bruce,JR,WR,14,48,0,6,48,8.00,3.4,louisville,2023,ahmari_huggins-bruce_louisville,False
Ahmarian Granger,SO,WR,13,17,30,3,47,15.67,3.6,old_dominion,2023,ahmarian_granger_old_dominion,True
Ahmmon Richards,FR,WR,13,8,0,2,8,4.00,0.6,miami_florida,2016,ahmmon_richards_miami_florida,False
Ahmonte Watkins,FR,RB,2,49,0,12,49,4.08,24.5,tcu,2021,ahmonte_watkins_tcu,True
Ahmonte Watkins,SO,CB,12,248,0,39,248,6.36,20.7,new_mexico_state,2022,ahmonte_watkins_new_mexico_state,False
Ahrod Lloyd,SO,RB,13,19,0,10,19,1.90,1.5,indiana,2019,ahrod_lloyd_indiana,False
Aidan Armenta,FR,QB,5,20,295,49,315,6.43,63.0,louisiana-monroe,2024,aidan_armenta_louisiana-monroe,False
Aidan Chiles,FR,QB,9,79,309,52,388,7.46,43.1,oregon_state,2023,aidan_chiles_oregon_state,True
Aidan Chiles,SO,QB,6,115,1212,197,1327,6.74,221.2,michigan_state,2024,aidan_chiles_michigan_state,False
Aidan Laughery,FR,RB,1,9,0,3,9,3.00,9.0,illinois,2022,aidan_laughery_illinois,False
Aidan Laughery,FR,RB,9,81,0,16,81,5.06,9.0,illinois,2023,aidan_laughery_illinois,False
Aidan Laughery,SO,RB,4,119,0,19,119,6.26,29.8,illinois,2024,aidan_laughery_illinois,False
Aidan Leffler,SO,QB,2,0,6,6,6,1.00,3.0,ball_state,2024,aidan_leffler_ball_state,False
Aidan O'Connell,SO,QB,6,-9,1101,179,1092,6.10,182.0,purdue,2019,aidan_o'connell_purdue,False
Aidan O'Connell,JR,QB,3,-64,916,148,852,5.76,284.0,purdue,2020,aidan_o'connell_purdue,False
Aidan O'Connell,SR,QB,12,-120,3708,464,3588,7.73,299.0,purdue,2021,aidan_o'connell_purdue,False
Aidan O'Connell,SR,QB,12,-81,3490,542,3409,6.29,284.1,purdue,2022,aidan_o'connell_purdue,False
Aidan Robbins,FR,RB,7,10,0,5,10,2.00,1.4,louisville,2020,aidan_robbins_louisville,False
Aidan Robbins,FR,RB,4,41,0,2,41,20.50,10.3,louisville,2021,aidan_robbins_louisville,True
Aidan Robbins,JR,RB,11,1011,0,209,1011,4.84,91.9,unlv,2022,aidan_robbins_unlv,True
Aidan Robbins,JR,RB,8,485,0,101,485,4.80,60.6,byu,2023,aidan_robbins_byu,False
Aidan Smith,JR,QB,9,211,760,243,971,4.00,107.9,northwestern,2019,aidan_smith_northwestern,False
Aidan Swanson,SR,P,13,4,0,1,4,4.00,0.3,clemson,2023,aidan_swanson_clemson,False
Aidan Warner,FR,QB,1,9,10,3,19,6.33,19.0,florida,2024,aidan_warner_florida,False
Aidan Willard,FR,QB,1,-15,0,2,-15,-7.50,-15.0,oregon_state,2018,aidan_willard_oregon_state,False
Aiden Calvert,SO,RB,4,45,0,4,45,11.25,11.3,air_force,2022,aiden_calvert_air_force,False
Aiden Calvert,JR,RB,13,177,0,23,177,7.70,13.6,air_force,2023,aiden_calvert_air_force,False
Aiden Calvert,SR,RB,5,91,0,18,91,5.06,18.2,air_force,2024,aiden_calvert_air_force,False
Aiden Flora,FR,RB,1,27,0,6,27,4.50,27.0,iowa_state,2024,aiden_flora_iowa_state,False
Ainias Smith,FR,WR,12,54,0,7,54,7.71,4.5,texas_a&m,2019,ainias_smith_texas_a&m,False
Ainias Smith,SO,RB,10,293,0,49,293,5.98,29.3,texas_a&m,2020,ainias_smith_texas_a&m,False
Ainias Smith,JR,WR,12,26,0,8,26,3.25,2.2,texas_a&m,2021,ainias_smith_texas_a&m,False
Ainias Smith,SR,WR,4,11,0,3,11,3.67,2.8,texas_a&m,2022,ainias_smith_texas_a&m,False
Ainias Smith,SR,WR,12,21,0,5,21,4.20,1.8,texas_a&m,2023,ainias_smith_texas_a&m,False
Ajalen Holley,SR,WR,12,7,0,3,7,2.33,0.6,louisiana-monroe,2016,ajalen_holley_louisiana-monroe,False
Ajani Sheppard,FR,QB,1,10,23,3,33,11.00,33.0,rutgers,2023,ajani_sheppard_rutgers,False
Ajani Sheppard,SO,QB,2,4,0,1,4,4.00,2.0,rutgers,2024,ajani_sheppard_rutgers,False
Ajay Allen,FR,RB,4,190,0,33,190,5.76,47.5,nebraska,2022,ajay_allen_nebraska,True
Ajay Allen,FR,RB,9,361,0,70,361,5.16,40.1,miami_florida,2023,ajay_allen_miami_florida,False
Ajay Allen,SO,RB,5,143,0,17,143,8.41,28.6,miami_florida,2024,ajay_allen_miami_florida,False
Ajene Harris,SO,DB,13,14,0,1,14,14.00,1.1,usc,2016,ajene_harris_usc,False
Akeel Lynch,SR,RB,4,29,0,8,29,3.63,7.3,nevada,2016,akeel_lynch_nevada,False
Akeem Hayes,FR,WR,8,2,0,1,2,2.00,0.3,kentucky,2019,akeem_hayes_kentucky,False
Akeem Judd,SR,RB,12,826,0,164,826,5.04,68.8,mississippi,2016,akeem_judd_mississippi,False
Akili Taylor,JR,FB,1,-2,0,1,-2,-2.00,-2.0,navy,2017,akili_taylor_navy,False
Akilian Butler,SO,WR,10,33,0,3,33,11.00,3.3,boise_state,2016,akilian_butler_boise_state,False
Akilian Butler,JR,WR,2,0,0,1,0,0.00,0.0,boise_state,2017,akilian_butler_boise_state,False
Akilian Butler,SR,WR,14,54,0,8,54,6.75,3.9,boise_state,2019,akilian_butler_boise_state,False
Akrum Wadley,JR,RB,13,1081,0,168,1081,6.43,83.2,iowa,2016,akrum_wadley_iowa,False
Akrum Wadley,SR,RB,13,1109,0,252,1109,4.40,85.3,iowa,2017,akrum_wadley_iowa,False
