name,yr,pos,g,rush_yards,pass_yards,plays,total_yards,yards/play,yards/g,team_name,season,player_id,transfer
Tyler Wilson,FR,WR,12,-5,0,3,-5,-1.67,-0.4,north_texas,2016,tyler_wilson_north_texas,False
Tyler Wormhoudt,FR,RB,2,8,0,2,8,4.00,4.0,san_diego_state,2016,tyler_wormhoudt_san_diego_state,False
Tyler Wormhoudt,SR,RB,4,56,0,13,56,4.31,14.0,san_diego_state,2017,tyler_wormhoudt_san_diego_state,False
Tyliek Raynor,SO,RB,4,48,0,12,48,4.00,12.0,temple,2018,tyliek_raynor_temple,False
Tylin Oden,FR,QB,6,144,2,45,146,3.24,24.3,rutgers,2016,tylin_oden_rutgers,False
Tylon Citizen,FR,RB,2,29,0,5,29,5.80,14.5,louisiana-lafayette,2024,tylon_citizen_louisiana-lafayette,False
Tylor Latham,JR,WR,4,6,0,4,6,1.50,1.5,air_force,2024,tylor_latham_air_force,False
Tyquan Thornton,FR,WR,13,2,0,2,2,1.00,0.2,baylor,2018,tyquan_thornton_baylor,False
Tyquan Thornton,SR,WR,14,-11,6,2,-5,-2.50,-0.4,baylor,2021,tyquan_thornton_baylor,False
Tyraiq Beals,JR,WR,12,4,0,2,4,2.00,0.3,connecticut,2017,tyraiq_beals_connecticut,False
Tyre Brady,SR,WR,13,14,0,2,14,7.00,1.1,marshall,2018,tyre_brady_marshall,False
Tyre McCants,SO,WR,13,12,0,2,12,6.00,0.9,south_florida,2016,tyre_mccants_south_florida,False
Tyre McCants,JR,WR,12,30,0,1,30,30.00,2.5,south_florida,2017,tyre_mccants_south_florida,False
Tyre McCants,SR,WR,13,52,38,9,90,10.00,6.9,south_florida,2018,tyre_mccants_south_florida,False
Tyre Shelton,FR,RB,14,587,0,108,587,5.44,41.9,miami_ohio,2019,tyre_shelton_miami_ohio,False
Tyre Shelton,SO,RB,7,245,0,54,245,4.54,35.0,miami_ohio,2021,tyre_shelton_miami_ohio,False
Tyre Shelton,JR,RB,11,321,0,85,321,3.78,29.2,miami_ohio,2022,tyre_shelton_miami_ohio,True
Tyre Shelton,SR,RB,8,551,0,97,551,5.68,68.9,louisiana_tech,2023,tyre_shelton_louisiana_tech,False
Tyre'oune Holmes,JR,WR,9,30,0,4,30,7.50,3.3,southern_mississippi,2016,tyre'oune_holmes_southern_mississippi,False
Tyree Jackson,FR,QB,10,399,1772,410,2171,5.30,217.1,buffalo,2016,tyree_jackson_buffalo,False
Tyree Jackson,SO,QB,9,197,2096,284,2293,8.07,254.8,buffalo,2017,tyree_jackson_buffalo,False
Tyree Jackson,JR,QB,14,161,3131,462,3292,7.13,235.1,buffalo,2018,tyree_jackson_buffalo,True
Tyree Jackson,JR,RB,12,22,0,6,22,3.67,1.8,unlv,2019,tyree_jackson_unlv,False
Tyreek King-El,SO,SB,4,22,0,3,22,7.33,5.5,navy,2018,tyreek_king-el_navy,False
Tyreek King-El,JR,SB,7,36,0,6,36,6.00,5.1,navy,2019,tyreek_king-el_navy,False
Tyrei Washington,JR,RB,4,2,0,3,2,0.67,0.5,temple,2024,tyrei_washington_temple,False
Tyreis Thomas,SR,RB,9,300,0,73,300,4.11,33.3,south_alabama,2016,tyreis_thomas_south_alabama,False
Tyrek Tisdale,FR,RB,8,30,0,7,30,4.29,3.8,florida_atlantic,2017,tyrek_tisdale_florida_atlantic,False
Tyrek Tisdale,SO,RB,13,22,0,6,22,3.67,1.7,florida_atlantic,2019,tyrek_tisdale_florida_atlantic,False
Tyrell Alexander,SR,WR,9,-6,0,1,-6,-6.00,-0.7,vanderbilt,2020,tyrell_alexander_vanderbilt,False
Tyrell Clay,JR,RB,12,41,0,13,41,3.15,3.4,utsa,2016,tyrell_clay_utsa,False
Tyrell Clay,SR,RB,11,608,0,135,608,4.50,55.3,utsa,2017,tyrell_clay_utsa,False
Tyrell Goodman,SR,WR,10,40,270,63,310,4.92,31.0,akron,2016,tyrell_goodman_akron,False
Tyrell Johnson,JR,WR,7,144,0,28,144,5.14,20.6,arizona,2016,tyrell_johnson_arizona,False
Tyrell Johnson,SR,WR,13,96,0,8,96,12.00,7.4,arizona,2017,tyrell_johnson_arizona,False
"Tyrell Reed, Jr.",SO,RB,2,28,0,5,28,5.60,14.0,arkansas,2024,"tyrell_reed,_jr._arkansas",False
Tyrell Robinson,FR,RB,12,424,0,60,424,7.07,35.3,army,2020,tyrell_robinson_army,False
Tyrell Robinson,SO,RB,13,609,0,73,609,8.34,46.8,army,2021,tyrell_robinson_army,False
Tyrell Robinson,SO,RB,5,321,6,39,327,8.38,65.4,army,2022,tyrell_robinson_army,False
Tyrell Robinson,JR,RB,8,187,0,39,187,4.79,23.4,army,2023,tyrell_robinson_army,False
Tyrell Shavers,SO,WR,13,14,0,1,14,14.00,1.1,alabama,2019,tyrell_shavers_alabama,True
Tyrese Chambers,SR,WR,10,8,0,1,8,8.00,0.8,florida_international,2022,tyrese_chambers_florida_international,True
Tyrese Grant,FR,WR,4,-11,0,2,-11,-5.50,-2.8,wyoming,2021,tyrese_grant_wyoming,False
Tyrese Johnson,SO,WR,12,0,0,1,0,0.00,0.0,middle_tennessee,2019,tyrese_johnson_middle_tennessee,False
Tyrian Taylor,SR,WR,12,5,31,2,36,18.00,3.0,new_mexico_state,2016,tyrian_taylor_new_mexico_state,False
Tyrice Richie,JR,WR,11,35,0,5,35,7.00,3.2,northern_illinois,2019,tyrice_richie_northern_illinois,False
Tyrice Richie,SR,WR,6,27,0,6,27,4.50,4.5,northern_illinois,2020,tyrice_richie_northern_illinois,False
Tyrice Richie,SR,WR,9,6,0,5,6,1.20,0.7,northern_illinois,2021,tyrice_richie_northern_illinois,False
